Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21MXP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MXP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MXP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MXP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MXP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MXP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MXP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MXP_M_R
32,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
33,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Built-up
35,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
36,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
38,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
39,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Water
40,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
41,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
43,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
44,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
45,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
46,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Built-up
47,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
48,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
49,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
50,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
51,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Wetland,Forest
52,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
53,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Forest
54,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
55,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
56,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
57,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
58,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
59,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
60,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Grassland
61,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Forest
62,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Grassland
63,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
64,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
65,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
66,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
67,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
68,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
69,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
70,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
71,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Forest
72,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Forest
73,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
74,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
75,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Forest
76,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
77,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Forest
78,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Grassland
79,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Bareland
80,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Grassland
81,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Bareland
82,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Water
83,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Forest
84,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Grassland
85,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
86,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
87,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
88,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
89,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
90,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
91,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
92,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
93,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
94,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
95,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
96,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
97,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
98,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
99,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
100,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
101,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
102,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
103,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
104,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
105,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
106,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
107,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
108,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
109,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
110,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
111,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
112,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
113,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Water
114,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
115,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
116,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Built-up
117,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Water
118,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Forest
119,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
120,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Built-up
121,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
122,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
123,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
124,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Forest
125,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
126,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Bareland
127,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
128,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
129,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
130,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Grassland
131,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Forest
132,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
133,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,Forest
134,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
135,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
136,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
137,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Forest
138,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
139,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Grassland
140,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Grassland
141,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Bareland
142,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Water
143,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
144,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
145,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
146,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
147,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
148,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
149,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
150,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
151,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
152,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Built-up
153,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
154,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
155,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Forest
156,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
157,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
158,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
159,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
160,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Bareland
161,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Built-up
162,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
163,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Built-up
164,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Forest
165,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
166,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Bareland
167,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Built-up
168,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Water
169,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
170,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Grassland
171,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Bareland
172,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Forest
173,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
174,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
175,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
176,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Built-up
177,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Forest
178,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Grassland
179,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Forest
180,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
181,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Built-up
182,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Forest
183,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Forest
184,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
185,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
186,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Bareland,Forest
187,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
188,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
189,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
190,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
191,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
192,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Bareland,Forest
193,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Grassland
194,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Forest
195,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Bareland,Grassland
196,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Bareland,Bareland
197,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Bareland,Forest
198,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
199,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,NULL
200,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
201,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
202,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Bareland
203,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
204,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
205,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
206,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
207,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
208,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Built-up
209,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
210,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Grassland
211,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Forest
212,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
213,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
214,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Bareland,Grassland
215,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Forest,Built-up
216,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
217,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
218,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Bareland
219,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
220,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Cropland
221,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Bareland
222,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Built-up
223,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
224,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Grassland
225,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
226,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Bareland
227,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Built-up
228,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Water
229,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
230,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Built-up,Grassland
231,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Built-up,Bareland
232,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Built-up,Built-up
233,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Built-up,Water
234,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Built-up,Forest
235,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Grassland
236,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Forest
237,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Grassland
238,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Forest
239,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Bareland,Grassland
240,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Bareland,Bareland
241,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Bareland,Built-up
242,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Bareland,Forest
243,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Grassland
244,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Bareland
245,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Built-up
246,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Forest
247,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Grassland
248,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Bareland
249,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Forest
250,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Grassland
251,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Forest
252,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Bareland,Forest
253,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Forest,Forest
254,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
255,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
256,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,Forest
257,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Grassland,Grassland
258,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Bareland,Grassland
259,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Wetland,Bareland
260,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Bareland,Grassland
261,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Bareland,Bareland
262,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Bareland,Water
263,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Bareland,Forest
264,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
265,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
266,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
267,NULL,NULL,Wetland,NULL,Wetland,Grassland,Bareland,Grassland
268,NULL,NULL,Wetland,NULL,Wetland,Grassland,Bareland,Forest
269,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Grassland
270,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Bareland
271,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Water
272,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Forest
273,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Forest
274,NULL,NULL,Wetland,NULL,Wetland,Bareland,Bareland,NULL
275,NULL,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Grassland
276,NULL,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Bareland
277,NULL,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Water
278,NULL,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Forest
279,NULL,NULL,Wetland,NULL,Wetland,Bareland,Water,Grassland
280,NULL,NULL,Wetland,NULL,Wetland,Bareland,Forest,Forest
281,NULL,NULL,Wetland,NULL,Wetland,Forest,Grassland,Forest
282,NULL,NULL,Wetland,NULL,Wetland,Forest,Bareland,Forest
283,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Grassland,Grassland
284,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Bareland,Grassland
285,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Bareland,Grassland
286,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Bareland,Bareland
287,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Bareland,Water
288,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Bareland,Forest
289,NULL,NULL,Wetland,Water,Wetland,Grassland,Grassland,Forest
290,NULL,NULL,Wetland,Water,Wetland,Bareland,Grassland,Grassland
291,NULL,NULL,Wetland,Water,Wetland,Bareland,Bareland,Grassland
292,NULL,NULL,Wetland,Water,Wetland,Bareland,Bareland,Bareland
293,NULL,NULL,Wetland,Water,Wetland,Bareland,Bareland,Water
294,NULL,NULL,Wetland,Water,Wetland,Bareland,Bareland,Forest
295,NULL,NULL,Wetland,Water,Wetland,Bareland,Water,Grassland
296,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Grassland,Grassland
297,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Grassland,Built-up
298,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Grassland,Forest
299,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Bareland,Grassland
300,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Bareland,Forest
301,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Forest,Grassland
302,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland,NULL,Grassland
303,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland,Grassland,Grassland
304,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland,Grassland,Built-up
305,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland,Bareland,Grassland
306,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Built-up,Grassland,Grassland
307,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Built-up,Built-up,Grassland
308,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
309,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Bareland
310,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
311,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Grassland
312,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Forest
313,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Bareland,Grassland
314,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Bareland,Forest
315,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,Grassland
316,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,Grassland
317,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,Built-up
318,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,Forest
319,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Bareland,NULL
320,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Bareland,Grassland
321,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Bareland,Bareland
322,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Bareland,Built-up
323,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Bareland,Forest
