Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19MHM_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MHM_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MHM_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MHM_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MHM_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MHM_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MHM_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19MHM_M_R
90,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Wetland,Water
91,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Bareland,Grassland
92,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Bareland,Water
93,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Water,Grassland
94,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Water,Water
95,NULL,NULL,Cropland,Water,Non_Wetland,Water,Bareland,Grassland
96,NULL,NULL,Cropland,Water,Non_Wetland,Water,Water,Water
97,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
98,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
99,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
100,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
101,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
102,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
103,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
104,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
105,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
106,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Grassland
107,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Forest
108,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Forest
109,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
110,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
111,NULL,NULL,Wetland,NULL,Wetland,Water,Forest,Grassland
112,NULL,NULL,Wetland,NULL,Wetland,Water,Forest,Forest
113,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
114,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Water
115,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Forest
116,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Grassland
117,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
118,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Water
119,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
120,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
121,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Forest
122,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Wetland,Grassland
123,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Wetland,Water
124,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Water
125,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Grassland
126,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Water
127,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Forest
128,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Grassland
129,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Water
130,NULL,NULL,Wetland,Water,Wetland,Wetland,Grassland,Grassland
131,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
132,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Water
133,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Forest
134,NULL,NULL,Wetland,Water,Wetland,Wetland,Bareland,Grassland
135,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Grassland
136,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Water
137,NULL,NULL,Wetland,Water,Wetland,Bareland,Grassland,Water
138,NULL,NULL,Wetland,Water,Wetland,Bareland,Wetland,Grassland
139,NULL,NULL,Wetland,Water,Wetland,Bareland,Wetland,Water
140,NULL,NULL,Wetland,Water,Wetland,Bareland,Bareland,Grassland
141,NULL,NULL,Wetland,Water,Wetland,Bareland,Bareland,Water
142,NULL,NULL,Wetland,Water,Wetland,Bareland,Water,Grassland
143,NULL,NULL,Wetland,Water,Wetland,Bareland,Water,Wetland
144,NULL,NULL,Wetland,Water,Wetland,Bareland,Water,Water
145,NULL,NULL,Wetland,Water,Wetland,Water,Grassland,Grassland
146,NULL,NULL,Wetland,Water,Wetland,Water,Grassland,Water
147,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Grassland
148,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Wetland
149,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Water
150,NULL,NULL,Wetland,Water,Wetland,Water,Bareland,Grassland
151,NULL,NULL,Wetland,Water,Wetland,Water,Water,Grassland
152,NULL,NULL,Wetland,Water,Wetland,Water,Water,Wetland
153,NULL,NULL,Wetland,Water,Wetland,Water,Water,Water
154,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Forest
155,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,Forest
156,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
157,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
158,NULL,NULL,Bareland,Water,Non_Wetland,Grassland,Water,Water
159,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Wetland,Grassland
160,NULL,NULL,Bareland,Water,Non_Wetland,Bareland,Wetland,Grassland
161,NULL,NULL,Bareland,Water,Non_Wetland,Bareland,Water,Grassland
162,NULL,NULL,Bareland,Water,Non_Wetland,Bareland,Water,Water
163,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
164,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Wetland,Grassland
165,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
166,NULL,NULL,Built-up,Water,Non_Wetland,Wetland,Bareland,Grassland
167,NULL,NULL,Built-up,Water,Non_Wetland,Bareland,Bareland,Grassland
168,NULL,NULL,Water,NULL,Water,Bareland,Water,Bareland
169,NULL,NULL,Water,NULL,Water,Water,Water,Grassland
170,NULL,NULL,Water,Non_Water,Water,Grassland,Wetland,Grassland
171,NULL,NULL,Water,Non_Water,Water,Grassland,Wetland,Water
172,NULL,NULL,Water,Water,Water,NULL,Wetland,Water
173,NULL,NULL,Water,Water,Water,Grassland,Wetland,Grassland
174,NULL,NULL,Water,Water,Water,Grassland,Water,Grassland
175,NULL,NULL,Water,Water,Water,Grassland,Water,Water
176,NULL,NULL,Water,Water,Water,Wetland,Wetland,Grassland
177,NULL,NULL,Water,Water,Water,Wetland,Wetland,Water
178,NULL,NULL,Water,Water,Water,Wetland,Water,Grassland
179,NULL,NULL,Water,Water,Water,Bareland,NULL,Grassland
180,NULL,NULL,Water,Water,Water,Bareland,Wetland,Grassland
181,NULL,NULL,Water,Water,Water,Bareland,Wetland,Water
182,NULL,NULL,Water,Water,Water,Bareland,Water,Grassland
183,NULL,NULL,Water,Water,Water,Bareland,Water,Wetland
184,NULL,NULL,Water,Water,Water,Bareland,Water,Water
185,NULL,NULL,Water,Water,Water,Water,Wetland,Wetland
186,NULL,NULL,Water,Water,Water,Water,Wetland,Water
187,NULL,NULL,Water,Water,Water,Water,Water,Grassland
188,NULL,NULL,Water,Water,Water,Water,Water,Water
189,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
190,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
191,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
192,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
193,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
194,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
195,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
196,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Water,Grassland
197,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
198,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
199,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
200,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
201,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
202,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
203,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
204,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
205,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
206,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
207,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
208,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Grassland
209,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
210,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
211,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Forest
212,NULL,NULL,Forest,NULL,Non_Wetland,Water,Forest,Forest
213,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
214,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
215,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
216,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
217,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Forest
218,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Water,Forest
219,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
220,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Forest
221,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
222,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Wetland,Grassland
223,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Bareland,Grassland
224,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Wetland,Grassland
225,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Water,Grassland
226,NULL,NULL,Forest,Water,Non_Wetland,Bareland,Wetland,Grassland
227,NULL,NULL,Forest,Water,Non_Wetland,Bareland,Bareland,Grassland
228,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
229,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
230,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
231,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
232,NULL,Wetland,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
233,NULL,Wetland,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Forest
234,NULL,Wetland,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
235,NULL,Wetland,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
236,NULL,Wetland,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
237,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
238,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
239,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
240,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
241,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
242,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
243,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
244,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland,Wetland,Forest
245,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
246,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
247,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
248,NULL,Wetland,Grassland,Water,Non_Wetland,Grassland,Wetland,Grassland
249,NULL,Wetland,Grassland,Water,Non_Wetland,Grassland,Wetland,Forest
250,NULL,Wetland,Grassland,Water,Non_Wetland,Bareland,Wetland,Grassland
251,NULL,Wetland,Cropland,NULL,Non_Wetland,Bareland,Wetland,Forest
252,NULL,Wetland,Cropland,Water,Non_Wetland,Bareland,Wetland,Forest
253,NULL,Wetland,Wetland,NULL,Wetland,Grassland,Grassland,Forest
254,NULL,Wetland,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
255,NULL,Wetland,Wetland,NULL,Wetland,Grassland,Wetland,Water
256,NULL,Wetland,Wetland,NULL,Wetland,Grassland,Wetland,Forest
257,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
258,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Forest
259,NULL,Wetland,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
260,NULL,Wetland,Wetland,NULL,Wetland,Water,Wetland,Forest
261,NULL,Wetland,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
262,NULL,Wetland,Wetland,Non_Water,Wetland,Grassland,Wetland,Water
263,NULL,Wetland,Wetland,Non_Water,Wetland,Grassland,Wetland,Forest
264,NULL,Wetland,Wetland,Non_Water,Wetland,Grassland,Water,Grassland
265,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
266,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
267,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
268,NULL,Wetland,Wetland,Non_Water,Wetland,Water,Water,Grassland
269,NULL,Wetland,Wetland,Water,Wetland,Grassland,Wetland,Grassland
270,NULL,Wetland,Wetland,Water,Wetland,Grassland,Wetland,Water
271,NULL,Wetland,Wetland,Water,Wetland,Grassland,Wetland,Forest
272,NULL,Wetland,Wetland,Water,Wetland,Grassland,Water,Wetland
273,NULL,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Grassland
274,NULL,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Wetland
275,NULL,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Water
276,NULL,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Forest
277,NULL,Wetland,Wetland,Water,Wetland,Wetland,Bareland,Grassland
278,NULL,Wetland,Wetland,Water,Wetland,Wetland,Water,Grassland
279,NULL,Wetland,Wetland,Water,Wetland,Wetland,Water,Wetland
280,NULL,Wetland,Wetland,Water,Wetland,Water,Water,Grassland
281,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Grassland,Wetland,Grassland
282,NULL,Wetland,Bareland,NULL,Non_Wetland,Grassland,Wetland,Grassland
283,NULL,Wetland,Bareland,NULL,Non_Wetland,Grassland,Wetland,Forest
284,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
285,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
286,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
287,NULL,Wetland,Water,NULL,Water,Grassland,Water,Water
288,NULL,Wetland,Water,NULL,Water,Water,Water,Water
289,NULL,Wetland,Water,Non_Water,Water,Grassland,Wetland,Forest
290,NULL,Wetland,Water,Water,Water,Grassland,Wetland,Grassland
291,NULL,Wetland,Water,Water,Water,Grassland,Wetland,Water
292,NULL,Wetland,Water,Water,Water,Grassland,Wetland,Forest
293,NULL,Wetland,Water,Water,Water,Grassland,Water,Water
294,NULL,Wetland,Water,Water,Water,Wetland,Wetland,Grassland
295,NULL,Wetland,Water,Water,Water,Wetland,Wetland,Wetland
296,NULL,Wetland,Water,Water,Water,Wetland,Wetland,Water
297,NULL,Wetland,Water,Water,Water,Wetland,Water,Wetland
298,NULL,Wetland,Water,Water,Water,Wetland,Water,Water
299,NULL,Wetland,Water,Water,Water,Water,Wetland,Water
300,NULL,Wetland,Water,Water,Water,Water,Water,Wetland
301,NULL,Wetland,Water,Water,Water,Water,Water,Water
302,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
303,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
304,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
305,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
306,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
307,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
308,NULL,Wetland,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
309,NULL,Wetland,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Forest
310,NULL,Wetland,Forest,Non_Water,Non_Wetland,Grassland,Water,Grassland
311,NULL,Wetland,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
312,NULL,Wetland,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Forest
313,NULL,Wetland,Forest,Water,Non_Wetland,Grassland,Wetland,Grassland
314,NULL,Wetland,Forest,Water,Non_Wetland,Grassland,Wetland,Water
315,NULL,Wetland,Forest,Water,Non_Wetland,Grassland,Wetland,Forest
316,NULL,Wetland,Forest,Water,Non_Wetland,Grassland,Bareland,Grassland
317,NULL,Wetland,Forest,Water,Non_Wetland,Wetland,Wetland,Grassland
318,NULL,Wetland,Forest,Water,Non_Wetland,Wetland,Wetland,Wetland
319,NULL,Wetland,Forest,Water,Non_Wetland,Bareland,Wetland,Grassland
320,NULL,Bareland,Cropland,Water,Non_Wetland,Bareland,Water,Water
321,NULL,Bareland,Cropland,Water,Non_Wetland,Water,Water,Water
322,NULL,Bareland,Wetland,Water,Wetland,Bareland,Grassland,Water
323,NULL,Bareland,Wetland,Water,Wetland,Bareland,Wetland,Water
324,NULL,Bareland,Wetland,Water,Wetland,Bareland,Bareland,Grassland
325,NULL,Bareland,Wetland,Water,Wetland,Bareland,Water,Grassland
326,NULL,Bareland,Wetland,Water,Wetland,Bareland,Water,Water
327,NULL,Bareland,Wetland,Water,Wetland,Water,Grassland,Water
328,NULL,Bareland,Wetland,Water,Wetland,Water,Wetland,Water
329,NULL,Bareland,Wetland,Water,Wetland,Water,Bareland,Grassland
330,NULL,Bareland,Wetland,Water,Wetland,Water,Water,Bareland
331,NULL,Bareland,Wetland,Water,Wetland,Water,Water,Water
332,NULL,Bareland,Water,Water,Water,Bareland,Grassland,Grassland
333,NULL,Bareland,Water,Water,Water,Bareland,Wetland,Water
334,NULL,Bareland,Water,Water,Water,Bareland,Water,Water
335,NULL,Bareland,Water,Water,Water,Water,Water,Grassland
336,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
337,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
338,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
339,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
340,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
341,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
