Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22NCK_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NCK_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NCK_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NCK_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NCK_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NCK_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NCK_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22NCK_M_R
49,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
50,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
51,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
52,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
53,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
54,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
55,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,NULL,Water
56,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
57,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
58,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
59,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
60,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
61,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
62,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
63,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
64,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
65,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
66,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
67,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
68,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
69,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
70,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
71,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
72,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
73,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
74,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
75,NULL,NULL,Wetland,NULL,Wetland,Water,NULL,Grassland
76,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
77,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
78,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,NULL,Grassland
79,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
80,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
81,NULL,NULL,Wetland,Water,Wetland,Bareland,NULL,Water
82,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
83,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
84,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
85,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Grassland,Grassland
86,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,Grassland
87,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,Grassland
88,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
89,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Wetland,Grassland
90,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Wetland,Grassland
91,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
92,NULL,NULL,Water,NULL,Water,NULL,NULL,Bareland
93,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
94,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
95,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Bareland
96,NULL,NULL,Water,Water,Water,NULL,NULL,Bareland
97,NULL,NULL,Water,Water,Water,NULL,NULL,Water
98,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
99,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
100,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
101,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
102,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
103,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
104,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
105,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
106,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
107,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
108,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
109,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
110,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
111,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Grassland
112,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Bareland
113,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
114,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
115,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
116,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
117,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
118,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
119,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,NULL,Grassland
120,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,NULL,Bareland
121,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,NULL,Built-up
122,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
123,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Grassland
124,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
125,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
126,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
127,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
128,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
129,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
130,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Bareland
131,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
132,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
133,NULL,NULL,Forest,Water,Non_Wetland,Bareland,NULL,Forest
134,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
135,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
136,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
137,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Bareland
138,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
139,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
140,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
141,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland,NULL,Grassland
142,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
143,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
144,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
145,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Water,Forest
146,NULL,Wetland,Shrubland,Water,Non_Wetland,Wetland,NULL,Water
147,NULL,Wetland,Shrubland,Water,Non_Wetland,Water,NULL,Water
148,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
149,NULL,Wetland,Wetland,NULL,Wetland,Water,NULL,Water
150,NULL,Wetland,Wetland,NULL,Wetland,Water,Wetland,Wetland
151,NULL,Wetland,Wetland,Water,Wetland,Wetland,NULL,Forest
152,NULL,Wetland,Wetland,Water,Wetland,Water,NULL,Wetland
153,NULL,Wetland,Wetland,Water,Wetland,Water,NULL,Water
154,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
155,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
156,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
157,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
158,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
159,NULL,Bareland,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
160,NULL,Bareland,Wetland,Water,Wetland,Bareland,Water,Water
161,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
162,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
163,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
164,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
165,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
166,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
167,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
168,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
169,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
170,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Water,Forest
171,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
172,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
173,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
174,NULL,Built-up,NULL,NULL,Non_Wetland,Water,Grassland,Wetland
175,NULL,Built-up,NULL,Water,Non_Wetland,Bareland,Water,Water
176,NULL,Built-up,NULL,Water,Non_Wetland,Built-up,Water,Bareland
177,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
178,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
179,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
180,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
181,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
182,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
183,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
184,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
185,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
186,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
187,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
188,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
189,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
190,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
191,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
192,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
193,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
194,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
195,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
196,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Built-up
197,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
198,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
199,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
200,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Built-up
201,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
202,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
203,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
204,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Built-up,Grassland
205,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Built-up,Forest
206,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Water,Forest
207,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
208,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
209,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
210,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
211,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
212,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
213,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
214,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
215,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Bareland
216,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Built-up
217,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
218,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
219,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
220,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
221,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
222,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Built-up
223,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Forest
224,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Water,Water
225,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Water,Forest
226,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
227,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Built-up
228,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
229,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Wetland,Grassland
230,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Wetland,Bareland
231,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Wetland,Built-up
232,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Wetland,Forest
233,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
234,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Bareland
235,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Built-up
236,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Forest
237,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
238,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Bareland
239,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
240,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
241,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Forest,Grassland
242,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water,Grassland,Built-up
243,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest,Bareland,Forest
244,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Built-up,Water,Built-up
245,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Built-up
246,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Water
247,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
248,NULL,Built-up,Shrubland,Water,Non_Wetland,Bareland,Water,Forest
249,NULL,Built-up,Shrubland,Water,Non_Wetland,Built-up,Built-up,Grassland
250,NULL,Built-up,Shrubland,Water,Non_Wetland,Built-up,Built-up,Built-up
251,NULL,Built-up,Shrubland,Water,Non_Wetland,Built-up,Water,Water
252,NULL,Built-up,Shrubland,Water,Non_Wetland,Built-up,Water,Forest
253,NULL,Built-up,Shrubland,Water,Non_Wetland,Water,Water,Water
254,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
255,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
256,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
257,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
258,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
259,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
260,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Built-up,Forest
261,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
262,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
263,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
264,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
265,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Bareland,Forest
266,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Built-up,Forest
267,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,NULL,Forest
268,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
269,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Wetland,Bareland
270,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Grassland,Forest
271,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Wetland,Grassland
272,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Wetland,Built-up
273,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Wetland,Forest
274,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Bareland,Grassland
275,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Bareland,Built-up
276,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Bareland,Forest
277,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
278,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Built-up,Built-up
279,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Built-up,Forest
280,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
281,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
282,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
283,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Wetland,Forest
284,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Built-up,Grassland
285,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Forest
286,NULL,Built-up,Wetland,NULL,Wetland,Grassland,Grassland,Forest
287,NULL,Built-up,Wetland,NULL,Wetland,Grassland,Wetland,Forest
288,NULL,Built-up,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
289,NULL,Built-up,Wetland,NULL,Wetland,Wetland,Wetland,Forest
290,NULL,Built-up,Wetland,NULL,Wetland,Wetland,Water,Forest
291,NULL,Built-up,Wetland,NULL,Wetland,Bareland,Water,Wetland
292,NULL,Built-up,Wetland,NULL,Wetland,Water,Water,Water
293,NULL,Built-up,Wetland,Water,Wetland,Wetland,Water,Forest
294,NULL,Built-up,Wetland,Water,Wetland,Bareland,Water,Water
295,NULL,Built-up,Wetland,Water,Wetland,Built-up,Water,Water
296,NULL,Built-up,Wetland,Water,Wetland,Built-up,Water,Forest
297,NULL,Built-up,Wetland,Water,Wetland,Water,Water,Water
298,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
299,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
300,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
301,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
302,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
303,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
304,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Grassland,Wetland
305,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
306,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Wetland,Grassland
307,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Wetland,Forest
308,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
309,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Bareland,Forest
310,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Built-up,Grassland
311,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Built-up,Forest
312,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,NULL,Built-up
313,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,NULL,Forest
314,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Grassland,Grassland
315,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Grassland,Built-up
316,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Grassland,Forest
317,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Wetland,Grassland
318,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Wetland,Forest
319,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Bareland,Grassland
320,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Bareland,Forest
321,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Built-up,Grassland
322,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Built-up,Built-up
323,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Built-up,Forest
324,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Water,Forest
325,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,NULL,Grassland
326,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,NULL,Built-up
