Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23KQU_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KQU_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KQU_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KQU_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KQU_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KQU_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KQU_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23KQU_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Bareland
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Built-up
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Water
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
35,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Bareland
37,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Built-up
38,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Water
39,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Wetland
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Water
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Bareland
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Built-up
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Bareland
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Water
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Bareland
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
95,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
96,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Grassland
97,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
98,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
99,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
100,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
101,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
102,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
103,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
104,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
105,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
106,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
107,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Forest
108,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
109,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
110,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
111,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
112,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
113,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
114,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
115,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
116,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
117,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Wetland
118,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
119,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
121,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
123,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Water
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Wetland
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Built-up
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Water
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
139,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
140,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
141,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
142,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
143,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
144,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Bareland
145,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
146,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
147,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
148,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Bareland
149,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Built-up
150,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Forest
151,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
152,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
153,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
154,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
155,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
156,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Water,Forest
157,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Grassland
158,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Bareland
159,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Forest
160,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,NULL
161,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
162,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Bareland
163,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Water
164,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Forest
165,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
166,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Bareland
167,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Water
168,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
169,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,NULL
170,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Water
171,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Grassland
172,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Wetland
173,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
174,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Bareland
175,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Water
176,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Forest
177,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,NULL
178,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Water
179,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
180,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
181,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Wetland
182,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Bareland
183,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Built-up
184,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Water
185,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
186,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
187,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
188,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
189,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
190,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
191,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Wetland
192,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Bareland
193,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
194,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Grassland
195,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
196,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Grassland
197,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Bareland
198,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
199,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Built-up,Forest
200,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Forest
201,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
202,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
203,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Wetland
204,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Bareland
205,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
206,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
207,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
208,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Built-up
209,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
210,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
211,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Wetland
212,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Built-up
213,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
214,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Forest
215,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Built-up,Grassland
216,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Built-up,Forest
217,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
218,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Forest
219,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Grassland
220,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Forest
221,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
222,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
223,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Forest
224,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
225,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
226,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Grassland
227,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
228,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Forest
229,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
230,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
231,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Bareland
232,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Built-up
233,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Water
234,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
235,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
236,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Built-up
237,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Forest
238,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Built-up,Forest
239,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
240,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Cropland
241,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Grassland
242,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Cropland
243,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
244,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Forest
245,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
246,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Built-up
247,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Water
248,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
249,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Forest
250,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Forest
251,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,Built-up,Grassland
252,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,Built-up,Built-up
253,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,Built-up,Forest
254,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
255,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Grassland
256,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Forest
257,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Grassland
258,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Forest
259,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,NULL
260,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,Wetland
261,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,Forest
262,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Grassland
263,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Wetland
264,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Forest
265,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Water,Wetland
266,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Forest,Grassland
267,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Forest,Forest
268,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
269,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Wetland
270,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Built-up
271,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Water
272,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Grassland
273,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Bareland
274,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Water
275,NULL,NULL,NULL,Water,Non_Wetland,NULL,Forest,Grassland
276,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
277,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Forest
278,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
279,NULL,NULL,NULL,Water,Non_Wetland,Wetland,NULL,Forest
280,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Water
281,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Bareland
282,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Water
283,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Grassland
284,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Bareland
285,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Water
286,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Water
287,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Grassland
288,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Bareland
289,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Water
290,NULL,NULL,NULL,Water,Non_Wetland,Forest,Grassland,Grassland
291,NULL,NULL,NULL,Water,Non_Wetland,Forest,Forest,Grassland
292,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
293,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
294,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
295,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
296,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
297,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
298,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
299,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
300,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
301,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
302,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
303,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
304,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
305,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
306,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
307,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
308,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
309,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
310,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
311,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
312,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
313,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Wetland
314,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
315,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
316,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
317,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
318,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Built-up
319,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Forest
320,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
321,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Bareland
322,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Built-up
323,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Water
324,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Forest
325,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
326,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
327,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Wetland
328,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Bareland
329,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Built-up
330,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
331,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
332,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
333,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Wetland
