Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19NCA_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NCA_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NCA_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NCA_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NCA_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NCA_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NCA_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19NCA_M_R
48,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
49,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
50,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
51,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
52,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
53,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
54,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Grassland
55,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Forest
56,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
57,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Wetland,Grassland
58,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
59,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
60,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
61,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Wetland,Grassland
62,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Wetland,Forest
63,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Forest,Grassland
64,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
65,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
66,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
67,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
68,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
69,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
70,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
71,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
72,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
73,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
74,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
75,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
76,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
77,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
78,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
79,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
80,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
81,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
82,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
83,NULL,NULL,Forest,NULL,Non_Wetland,Water,Forest,Forest
84,NULL,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Forest
85,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
86,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
87,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
88,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
89,NULL,NULL,Forest,Water,Non_Wetland,Water,Wetland,Forest
90,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
91,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
92,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
93,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
94,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
95,NULL,Wetland,Water,NULL,Water,NULL,NULL,Forest
96,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
97,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
98,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
99,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
100,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
101,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
102,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
103,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
104,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
105,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
106,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
107,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
108,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
109,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
110,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
111,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
112,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
113,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
114,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
115,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
116,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
117,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
118,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
119,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
120,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
121,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
122,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
123,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
124,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
125,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
126,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
127,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
128,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
129,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
130,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Wetland,Forest
131,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
132,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
133,NULL,Built-up,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
134,NULL,Built-up,Cropland,NULL,Non_Wetland,Wetland,Grassland,Forest
135,NULL,Built-up,Cropland,NULL,Non_Wetland,Wetland,Wetland,Forest
136,NULL,Built-up,Cropland,NULL,Non_Wetland,Wetland,Forest,Forest
137,NULL,Built-up,Wetland,NULL,Wetland,Wetland,Forest,Forest
138,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
139,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
140,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland,Wetland,Grassland
141,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland,Wetland,Forest
142,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland,Forest,Forest
143,NULL,Built-up,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
144,NULL,Built-up,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
145,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland,Wetland,Grassland
146,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
147,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
148,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Wetland,Forest
149,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
150,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
151,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
152,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
153,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
154,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
155,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
156,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
157,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,Forest,Forest
158,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
159,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
160,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
161,NULL,Water,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
162,NULL,Water,Grassland,Water,Non_Wetland,NULL,NULL,Water
163,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
164,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
165,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Water
166,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
167,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
168,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
169,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
170,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
171,NULL,Forest,Shrubland,Water,Non_Wetland,Wetland,Wetland,Forest
172,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
173,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
174,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
175,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
176,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
177,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
178,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland,NULL,Forest
179,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
180,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
181,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
182,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
183,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
184,NULL,Forest,Grassland,NULL,Non_Wetland,Forest,Wetland,Forest
185,NULL,Forest,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
186,NULL,Forest,Grassland,Water,Non_Wetland,Water,Wetland,Grassland
187,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,NULL
188,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
189,NULL,Forest,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
190,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
191,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
192,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
193,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
194,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
195,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
196,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
197,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
198,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
199,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
200,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
201,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
202,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
203,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
204,NULL,Forest,Forest,NULL,Non_Wetland,Forest,NULL,Forest
205,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
206,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
207,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
208,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
209,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
210,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
211,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
212,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
213,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
214,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
215,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
216,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
217,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
218,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
219,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
220,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
221,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
222,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
223,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Water
224,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
225,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
226,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
227,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
228,Grassland,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Forest
229,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
230,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
231,Grassland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
232,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
233,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
234,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
235,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
236,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
237,Grassland,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
238,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
239,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
240,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Forest
241,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
242,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
243,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
244,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
245,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
246,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
247,Cropland,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Forest
248,Cropland,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
249,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
250,Cropland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
251,Cropland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
252,Cropland,Water,Water,NULL,Water,NULL,NULL,Grassland
253,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
254,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
255,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
256,Cropland,Forest,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
257,Cropland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
258,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
259,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
260,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
261,Cropland,Forest,Forest,NULL,Non_Wetland,Forest,NULL,Forest
262,Cropland,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
263,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
264,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
265,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
266,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
267,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
268,Wetland,NULL,Water,NULL,Water,NULL,NULL,Grassland
269,Wetland,NULL,Water,NULL,Water,NULL,NULL,Water
270,Wetland,NULL,Water,NULL,Water,NULL,NULL,Forest
271,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
272,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
273,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
274,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Water
275,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
276,Wetland,Wetland,Water,NULL,Water,NULL,NULL,Grassland
277,Wetland,Wetland,Water,NULL,Water,NULL,NULL,Water
278,Wetland,Wetland,Water,NULL,Water,NULL,NULL,Forest
279,Wetland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
280,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
281,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
282,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
283,Bareland,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
284,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
285,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
286,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
287,Bareland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Water
288,Bareland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
289,Bareland,Built-up,Bareland,NULL,Non_Wetland,Bareland,Wetland,Grassland
290,Bareland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
291,Bareland,Water,Wetland,Water,Wetland,NULL,NULL,Water
292,Bareland,Water,Water,Water,Water,NULL,NULL,Water
293,Water,NULL,Grassland,NULL,Non_Wetland,Water,NULL,Water
294,Water,NULL,Grassland,NULL,Non_Wetland,Water,NULL,Forest
295,Water,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Water
296,Water,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
297,Water,NULL,Water,Water,Water,Water,Water,Water
298,Water,NULL,Forest,Non_Water,Non_Wetland,Water,Water,Water
299,Water,NULL,Forest,Water,Non_Wetland,Wetland,Wetland,Forest
300,Water,Water,NULL,NULL,Non_Wetland,NULL,NULL,Water
301,Water,Water,NULL,NULL,Non_Wetland,NULL,NULL,Forest
302,Water,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
303,Water,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
304,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
305,Water,Water,Shrubland,NULL,Non_Wetland,Wetland,Water,Water
306,Water,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
307,Water,Water,Shrubland,Water,Non_Wetland,Wetland,Wetland,Forest
308,Water,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
309,Water,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Water
310,Water,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
311,Water,Water,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
312,Water,Water,Grassland,NULL,Non_Wetland,Wetland,Water,Water
313,Water,Water,Grassland,NULL,Non_Wetland,Water,Wetland,Water
314,Water,Water,Grassland,NULL,Non_Wetland,Water,Wetland,Forest
315,Water,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
316,Water,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
317,Water,Water,Grassland,Non_Water,Non_Wetland,Wetland,Grassland,Water
318,Water,Water,Grassland,Non_Water,Non_Wetland,Water,NULL,Water
319,Water,Water,Grassland,Water,Non_Wetland,NULL,NULL,Water
320,Water,Water,Grassland,Water,Non_Wetland,Wetland,Wetland,Grassland
321,Water,Water,Grassland,Water,Non_Wetland,Water,Wetland,Grassland
322,Water,Water,Grassland,Water,Non_Wetland,Water,Wetland,Water
323,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
324,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Bareland
325,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Water
326,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
327,Water,Water,Wetland,NULL,Wetland,Wetland,Grassland,Water
328,Water,Water,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
329,Water,Water,Wetland,NULL,Wetland,Wetland,Wetland,Water
330,Water,Water,Wetland,NULL,Wetland,Wetland,Wetland,Forest
331,Water,Water,Wetland,NULL,Wetland,Wetland,Water,Water
332,Water,Water,Wetland,NULL,Wetland,Water,NULL,Water
333,Water,Water,Wetland,NULL,Wetland,Water,NULL,Forest
334,Water,Water,Wetland,NULL,Wetland,Water,Grassland,Water
335,Water,Water,Wetland,NULL,Wetland,Water,Grassland,Forest
336,Water,Water,Wetland,NULL,Wetland,Water,Wetland,Grassland
337,Water,Water,Wetland,NULL,Wetland,Water,Wetland,Water
