Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21MYR_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MYR_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MYR_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MYR_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MYR_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MYR_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MYR_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MYR_M_R
53,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
54,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
55,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
56,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
57,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
58,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
59,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
60,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
61,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
62,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
63,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
64,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
65,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
66,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
67,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
68,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Built-up
69,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
70,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
71,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
72,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
73,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Built-up
74,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
75,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
76,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
77,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
78,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Built-up
79,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
80,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
81,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
82,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Water
83,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
84,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
85,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
86,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
87,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
88,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
89,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
90,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
91,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
92,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
93,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
94,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
95,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
96,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
97,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
98,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
99,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
100,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
101,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
102,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
103,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
104,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Bareland
105,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Built-up
106,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Forest
107,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
108,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Bareland
109,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
110,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Grassland
111,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
112,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Built-up
113,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
114,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
115,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Bareland
116,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Built-up
117,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Forest
118,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
119,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Bareland
120,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
121,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
122,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
123,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
124,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
125,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Bareland
126,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
127,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
128,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
129,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
130,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
131,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
132,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
133,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
134,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Bareland
135,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
136,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
137,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
138,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Water
139,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Grassland
140,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Grassland
141,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Grassland
142,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Water
143,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
144,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Grassland
145,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Water
146,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
147,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
148,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
149,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Forest
150,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
151,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Built-up
152,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
153,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
154,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
155,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Bareland
156,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
157,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
158,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
159,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
160,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
161,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Built-up
162,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
163,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
164,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Built-up
165,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Forest
166,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
167,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
168,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Grassland
169,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Grassland
170,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Forest
171,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Bareland,Grassland
172,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Bareland,Built-up
173,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Bareland,Forest
174,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
175,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Built-up
176,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Forest
177,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
178,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Bareland
179,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
180,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
181,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
182,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Grassland
183,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Forest
184,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
185,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
186,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
187,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Bareland
188,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Built-up
189,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Forest
190,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
191,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Bareland
192,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Built-up
193,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
194,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
195,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
196,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Bareland
197,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Built-up
198,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
199,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Grassland
200,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Bareland
201,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Forest
202,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
203,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Built-up
204,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
205,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,NULL,Grassland
206,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,NULL,Built-up
207,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
208,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Built-up
209,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Forest
210,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Grassland
211,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Built-up
212,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Forest
213,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
214,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Bareland
215,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Built-up
216,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Forest
217,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
218,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Forest
219,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Forest,Grassland
220,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Forest
221,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
222,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
223,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
224,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
225,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
226,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Built-up
227,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Grassland
228,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Water,Grassland
229,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,NULL,Grassland
230,NULL,NULL,Grassland,Water,Non_Wetland,Water,Grassland,Water
231,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
232,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
233,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,Forest
234,NULL,NULL,Wetland,NULL,Wetland,Grassland,NULL,Grassland
235,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
236,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Water
237,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
238,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
239,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
240,NULL,NULL,Wetland,NULL,Wetland,Grassland,Bareland,Grassland
241,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Grassland
242,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Grassland
243,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Water
244,NULL,NULL,Wetland,NULL,Wetland,Cropland,Grassland,Grassland
245,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,NULL
246,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
247,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Bareland
248,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
249,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
250,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Bareland
251,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
252,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Grassland
253,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Bareland
254,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Forest
255,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Grassland
256,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Grassland
257,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Forest
258,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
259,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Bareland
260,NULL,NULL,Wetland,NULL,Wetland,Bareland,Water,Bareland
261,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Forest
262,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
263,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Wetland
264,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Bareland
265,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
266,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Grassland
267,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Bareland
268,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Water
269,NULL,NULL,Wetland,NULL,Wetland,Water,Forest,Water
270,NULL,NULL,Wetland,NULL,Wetland,Forest,Forest,Forest
271,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Grassland,Grassland
272,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
273,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Bareland,Forest
274,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Grassland
275,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Grassland,Grassland
276,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
277,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
278,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Wetland,Grassland
279,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
280,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Grassland
281,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Bareland
282,NULL,NULL,Wetland,Water,Wetland,Grassland,Grassland,Grassland
283,NULL,NULL,Wetland,Water,Wetland,Grassland,Grassland,Water
284,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Grassland
285,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Wetland
286,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Forest
287,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Grassland
288,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Wetland
289,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
290,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Wetland
291,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Bareland
292,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Water
293,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Forest
294,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Grassland
295,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Wetland
296,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Water
297,NULL,NULL,Wetland,Water,Wetland,Bareland,Wetland,Grassland
298,NULL,NULL,Wetland,Water,Wetland,Bareland,Wetland,Water
299,NULL,NULL,Wetland,Water,Wetland,Bareland,Water,Grassland
300,NULL,NULL,Wetland,Water,Wetland,Bareland,Water,Water
301,NULL,NULL,Wetland,Water,Wetland,Bareland,Water,Forest
302,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Grassland
303,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Wetland
304,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Water
305,NULL,NULL,Wetland,Water,Wetland,Water,Water,Grassland
306,NULL,NULL,Wetland,Water,Wetland,Water,Water,Wetland
307,NULL,NULL,Wetland,Water,Wetland,Water,Water,Bareland
308,NULL,NULL,Wetland,Water,Wetland,Water,Water,Water
309,NULL,NULL,Wetland,Water,Wetland,Water,Water,Forest
310,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Grassland,Grassland
311,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Bareland,Forest
312,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Built-up,Forest
313,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland,Grassland,Grassland
314,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland,Bareland,Grassland
315,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Wetland,Forest
316,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
317,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
318,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,Grassland
319,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,Forest
320,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Grassland
321,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Forest
322,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Forest,Grassland
323,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Forest,Forest
324,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,Grassland
325,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,Built-up
326,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,Forest
327,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Grassland,Grassland
328,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Water,Grassland
329,NULL,NULL,Bareland,NULL,Non_Wetland,Forest,Grassland,Grassland
330,NULL,NULL,Bareland,NULL,Non_Wetland,Forest,Forest,Grassland
