Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20MPV_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MPV_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MPV_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MPV_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MPV_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MPV_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MPV_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20MPV_M_R
53,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
54,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
55,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
56,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
57,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
58,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
59,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Bareland
60,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Built-up
61,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
62,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
63,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
64,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
65,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Built-up
66,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
67,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
68,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
69,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
70,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
71,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
72,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Bareland
73,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Built-up
74,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
75,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Grassland
76,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Bareland
77,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
78,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
79,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,NULL,Grassland
80,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,NULL,Forest
81,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
82,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
83,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Wetland
84,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Forest
85,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
86,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Wetland
87,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
88,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
89,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
90,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Wetland
91,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Bareland
92,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
93,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
94,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,NULL
95,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
96,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
97,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,NULL
98,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
99,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
100,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,NULL
101,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
102,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Wetland
103,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
104,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
105,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
106,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
107,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
108,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
109,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Bareland
110,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Bareland,Bareland
111,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Forest,Grassland
112,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
113,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Water,Grassland
114,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Wetland,Grassland
115,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Wetland
116,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
117,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
118,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
119,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
120,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Bareland
121,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Forest,Grassland
122,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Forest,Bareland
123,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,Forest
124,NULL,NULL,Wetland,NULL,Wetland,NULL,Forest,Forest
125,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,NULL
126,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
127,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Wetland
128,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
129,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,NULL
130,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
131,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Wetland
132,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
133,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,NULL
134,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Grassland
135,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
136,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,NULL
137,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
138,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Wetland
139,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
140,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
141,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
142,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
143,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Grassland
144,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Forest
145,NULL,NULL,Wetland,NULL,Wetland,Forest,Grassland,Forest
146,NULL,NULL,Wetland,NULL,Wetland,Forest,Forest,Forest
147,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
148,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
149,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Grassland
150,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
151,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Wetland
152,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Grassland
153,NULL,NULL,Wetland,Water,Wetland,Wetland,Forest,Grassland
154,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Grassland,Grassland
155,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Grassland,Forest
156,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Forest,Forest
157,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,NULL
158,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
159,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Wetland
160,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
161,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,NULL
162,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Grassland
163,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Forest
164,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,NULL
165,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,Grassland
166,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,Forest
167,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,NULL
168,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Grassland
169,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Forest
170,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
171,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Wetland
172,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
173,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Water,Grassland
174,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Forest,NULL
175,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Forest,Grassland
176,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Forest,Forest
177,NULL,NULL,Bareland,NULL,Non_Wetland,Forest,Forest,Forest
178,NULL,NULL,Bareland,Water,Non_Wetland,Grassland,NULL,Grassland
179,NULL,NULL,Bareland,Water,Non_Wetland,Grassland,Wetland,Grassland
180,NULL,NULL,Bareland,Water,Non_Wetland,Grassland,Wetland,Wetland
181,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Wetland,Grassland
182,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Wetland,Wetland
183,NULL,NULL,Bareland,Water,Non_Wetland,Water,Wetland,Wetland
184,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,NULL
185,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
186,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Bareland
187,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Built-up
188,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
189,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Wetland,Grassland
190,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Wetland,Built-up
191,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Wetland,Forest
192,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
193,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Bareland
194,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Built-up
195,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Water,Grassland
196,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Forest,Grassland
197,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Forest,Bareland
198,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Forest,Built-up
199,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Forest,Forest
200,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Grassland,Grassland
201,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Grassland,Forest
202,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,Grassland
203,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Grassland,Grassland
204,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Grassland,Bareland
205,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Grassland,Built-up
206,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Forest,Grassland
207,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Forest,Bareland
208,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Forest,Forest
209,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland,Wetland,Built-up
210,NULL,NULL,Built-up,Water,Non_Wetland,Grassland,Water,Grassland
211,NULL,NULL,Water,Non_Water,Water,Wetland,Water,Grassland
212,NULL,NULL,Water,Non_Water,Water,Water,Water,Grassland
213,NULL,NULL,Water,Non_Water,Water,Water,Water,Wetland
214,NULL,NULL,Water,Water,Water,Wetland,Water,Grassland
215,NULL,NULL,Water,Water,Water,Wetland,Water,Wetland
216,NULL,NULL,Water,Water,Water,Water,Water,Grassland
217,NULL,NULL,Water,Water,Water,Water,Water,Wetland
218,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
219,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
220,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
221,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
222,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
223,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Grassland
224,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
225,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
226,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
227,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,NULL
228,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
229,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
230,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,NULL
231,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
232,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
233,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,NULL
234,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
235,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
236,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
237,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Water,Grassland
238,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,NULL
239,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
240,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
241,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
242,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
243,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
244,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
245,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
246,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Wetland,Grassland
247,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Wetland,Wetland
248,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
249,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
250,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
251,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Built-up
252,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
253,NULL,Wetland,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
254,NULL,Wetland,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
255,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
256,NULL,Wetland,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
257,NULL,Wetland,Wetland,NULL,Wetland,Grassland,Forest,Forest
258,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Grassland,Forest
259,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
260,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
261,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Forest
262,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Forest,Forest
263,NULL,Wetland,Wetland,NULL,Wetland,Water,Wetland,Grassland
264,NULL,Wetland,Wetland,NULL,Wetland,Water,Wetland,Wetland
265,NULL,Wetland,Wetland,NULL,Wetland,Water,Water,Grassland
266,NULL,Wetland,Wetland,NULL,Wetland,Forest,Forest,Forest
267,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland,Grassland,Forest
268,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
269,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
270,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
271,NULL,Wetland,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
272,NULL,Wetland,Wetland,Non_Water,Wetland,Water,Wetland,Wetland
273,NULL,Wetland,Wetland,Non_Water,Wetland,Water,Water,Grassland
274,NULL,Wetland,Wetland,Non_Water,Wetland,Water,Water,Wetland
275,NULL,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Grassland
276,NULL,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Wetland
277,NULL,Wetland,Wetland,Water,Wetland,Wetland,Water,Grassland
278,NULL,Wetland,Wetland,Water,Wetland,Wetland,Water,Wetland
279,NULL,Wetland,Wetland,Water,Wetland,Water,Wetland,Grassland
280,NULL,Wetland,Wetland,Water,Wetland,Water,Wetland,Wetland
281,NULL,Wetland,Wetland,Water,Wetland,Water,Water,Grassland
282,NULL,Wetland,Wetland,Water,Wetland,Water,Water,Wetland
283,NULL,Wetland,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
284,NULL,Wetland,Bareland,NULL,Non_Wetland,Wetland,Wetland,Wetland
285,NULL,Wetland,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
286,NULL,Wetland,Bareland,Water,Non_Wetland,Wetland,Wetland,Grassland
287,NULL,Wetland,Bareland,Water,Non_Wetland,Wetland,Wetland,Wetland
288,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
289,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
290,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
291,NULL,Bareland,Built-up,NULL,Non_Wetland,Grassland,Wetland,Grassland
292,NULL,Bareland,Built-up,NULL,Non_Wetland,Grassland,Forest,Bareland
293,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
294,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
295,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
296,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
297,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
298,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
299,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
300,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
301,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
302,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
303,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Built-up
304,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
305,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
306,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Wetland
307,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
308,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
309,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Water,Built-up
310,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
311,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Forest,Built-up
312,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
313,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
314,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Water
315,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
316,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
317,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
318,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
319,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland,Bareland,Forest
320,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Water
321,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Forest
322,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
323,NULL,Built-up,Shrubland,Water,Non_Wetland,Grassland,Water,Grassland
324,NULL,Built-up,Shrubland,Water,Non_Wetland,Grassland,Water,Forest
325,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
326,NULL,Built-up,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
327,NULL,Built-up,Wetland,NULL,Wetland,Grassland,Wetland,Forest
328,NULL,Built-up,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
329,NULL,Built-up,Wetland,Water,Wetland,Grassland,Water,Forest
