Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23MKQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MKQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MKQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MKQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MKQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MKQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MKQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23MKQ_M_R
4444,Grassland,NULL,Built-up,NULL,Non_Wetland,Bareland,Built-up,Built-up
4445,Grassland,NULL,Built-up,NULL,Non_Wetland,Bareland,Built-up,Forest
4446,Grassland,NULL,Built-up,NULL,Non_Wetland,Built-up,NULL,Grassland
4447,Grassland,NULL,Built-up,NULL,Non_Wetland,Built-up,NULL,Cropland
4448,Grassland,NULL,Built-up,NULL,Non_Wetland,Built-up,Grassland,Grassland
4449,Grassland,NULL,Built-up,NULL,Non_Wetland,Built-up,Grassland,Cropland
4450,Grassland,NULL,Built-up,NULL,Non_Wetland,Built-up,Grassland,Forest
4451,Grassland,NULL,Built-up,NULL,Non_Wetland,Built-up,Bareland,Grassland
4452,Grassland,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Grassland
4453,Grassland,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Built-up
4454,Grassland,NULL,Built-up,NULL,Non_Wetland,Water,NULL,Bareland
4455,Grassland,NULL,Built-up,NULL,Non_Wetland,Water,Grassland,Grassland
4456,Grassland,NULL,Built-up,NULL,Non_Wetland,Water,Grassland,Bareland
4457,Grassland,NULL,Built-up,NULL,Non_Wetland,Forest,NULL,Forest
4458,Grassland,NULL,Built-up,NULL,Non_Wetland,Forest,Grassland,Forest
4459,Grassland,NULL,Built-up,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
4460,Grassland,NULL,Built-up,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
4461,Grassland,NULL,Water,NULL,Water,NULL,NULL,Forest
4462,Grassland,NULL,Water,NULL,Water,NULL,Shrubland,Grassland
4463,Grassland,NULL,Water,NULL,Water,NULL,Grassland,Grassland
4464,Grassland,NULL,Water,NULL,Water,NULL,Wetland,Grassland
4465,Grassland,NULL,Water,NULL,Water,NULL,Water,Forest
4466,Grassland,NULL,Water,NULL,Water,Shrubland,Grassland,NULL
4467,Grassland,NULL,Water,NULL,Water,Shrubland,Grassland,Grassland
4468,Grassland,NULL,Water,NULL,Water,Shrubland,Grassland,Wetland
4469,Grassland,NULL,Water,NULL,Water,Shrubland,Grassland,Forest
4470,Grassland,NULL,Water,NULL,Water,Shrubland,Wetland,Forest
4471,Grassland,NULL,Water,NULL,Water,Grassland,NULL,Grassland
4472,Grassland,NULL,Water,NULL,Water,Grassland,NULL,Forest
4473,Grassland,NULL,Water,NULL,Water,Grassland,Grassland,Grassland
4474,Grassland,NULL,Water,NULL,Water,Grassland,Grassland,Wetland
4475,Grassland,NULL,Water,NULL,Water,Grassland,Grassland,Bareland
4476,Grassland,NULL,Water,NULL,Water,Grassland,Grassland,Forest
4477,Grassland,NULL,Water,NULL,Water,Grassland,Wetland,Grassland
4478,Grassland,NULL,Water,NULL,Water,Grassland,Water,Grassland
4479,Grassland,NULL,Water,NULL,Water,Grassland,Water,Cropland
4480,Grassland,NULL,Water,NULL,Water,Grassland,Forest,Grassland
4481,Grassland,NULL,Water,NULL,Water,Grassland,Forest,Forest
4482,Grassland,NULL,Water,NULL,Water,Cropland,Grassland,Grassland
4483,Grassland,NULL,Water,NULL,Water,Cropland,Grassland,Forest
4484,Grassland,NULL,Water,NULL,Water,Wetland,Grassland,Grassland
4485,Grassland,NULL,Water,NULL,Water,Wetland,Grassland,Wetland
4486,Grassland,NULL,Water,NULL,Water,Wetland,Grassland,Forest
4487,Grassland,NULL,Water,NULL,Water,Wetland,Forest,Forest
4488,Grassland,NULL,Water,NULL,Water,Bareland,NULL,Grassland
4489,Grassland,NULL,Water,NULL,Water,Bareland,NULL,Bareland
4490,Grassland,NULL,Water,NULL,Water,Bareland,Grassland,Grassland
4491,Grassland,NULL,Water,NULL,Water,Bareland,Grassland,Wetland
4492,Grassland,NULL,Water,NULL,Water,Bareland,Grassland,Bareland
4493,Grassland,NULL,Water,NULL,Water,Bareland,Grassland,Water
4494,Grassland,NULL,Water,NULL,Water,Bareland,Grassland,Forest
4495,Grassland,NULL,Water,NULL,Water,Water,Grassland,Grassland
4496,Grassland,NULL,Water,NULL,Water,Water,Grassland,Bareland
4497,Grassland,NULL,Water,NULL,Water,Water,Grassland,Forest
4498,Grassland,NULL,Water,NULL,Water,Forest,Forest,Grassland
4499,Grassland,NULL,Water,Non_Water,Water,Shrubland,Grassland,Grassland
4500,Grassland,NULL,Water,Non_Water,Water,Grassland,NULL,Grassland
4501,Grassland,NULL,Water,Non_Water,Water,Grassland,Grassland,Grassland
4502,Grassland,NULL,Water,Non_Water,Water,Grassland,Forest,Grassland
4503,Grassland,NULL,Water,Non_Water,Water,Wetland,NULL,Wetland
4504,Grassland,NULL,Water,Non_Water,Water,Wetland,Grassland,Grassland
4505,Grassland,NULL,Water,Non_Water,Water,Wetland,Grassland,Wetland
4506,Grassland,NULL,Water,Non_Water,Water,Bareland,NULL,Grassland
4507,Grassland,NULL,Water,Non_Water,Water,Bareland,Grassland,Grassland
4508,Grassland,NULL,Water,Non_Water,Water,Bareland,Grassland,Forest
4509,Grassland,NULL,Water,Water,Water,Shrubland,Water,Wetland
4510,Grassland,NULL,Water,Water,Water,Grassland,Grassland,Grassland
4511,Grassland,NULL,Water,Water,Water,Grassland,Water,Grassland
4512,Grassland,NULL,Water,Water,Water,Cropland,Grassland,Grassland
4513,Grassland,NULL,Water,Water,Water,Wetland,Grassland,Grassland
4514,Grassland,NULL,Water,Water,Water,Wetland,Water,Wetland
4515,Grassland,NULL,Water,Water,Water,Bareland,Grassland,Grassland
4516,Grassland,NULL,Water,Water,Water,Bareland,Grassland,Water
4517,Grassland,NULL,Water,Water,Water,Bareland,Grassland,Forest
4518,Grassland,NULL,Water,Water,Water,Water,Grassland,Grassland
4519,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
4520,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
4521,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
4522,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
4523,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
4524,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Shrubland,NULL
4525,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Shrubland,Grassland
4526,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Shrubland,Wetland
4527,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Shrubland,Forest
4528,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,NULL
4529,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Grassland
4530,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Cropland
4531,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Wetland
4532,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
4533,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,NULL
4534,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Grassland
4535,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Wetland
4536,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
4537,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Water,Forest
4538,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Forest,NULL
4539,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Grassland
4540,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Wetland
4541,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Water
4542,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
4543,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,NULL,NULL
4544,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,NULL,Grassland
4545,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,NULL,Wetland
4546,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,NULL,Forest
4547,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Shrubland,NULL
4548,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
4549,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
4550,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Forest
4551,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,NULL
4552,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,Grassland
4553,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,Wetland
4554,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,Bareland
4555,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,Built-up
4556,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,Water
4557,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,Forest
4558,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Wetland,Grassland
4559,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Wetland,Wetland
4560,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Wetland,Forest
4561,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Forest,NULL
4562,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Forest,Grassland
4563,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Forest,Wetland
4564,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Forest,Water
4565,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Forest,Forest
4566,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,NULL
4567,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
4568,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Cropland
4569,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Wetland
4570,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
4571,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Grassland
4572,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Wetland
4573,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Forest
4574,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
4575,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
4576,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Cropland
4577,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Wetland
4578,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Bareland
4579,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Built-up
4580,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Water
4581,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
4582,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,NULL
4583,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
4584,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Wetland
4585,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
4586,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
4587,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Built-up,Grassland
4588,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Water,Grassland
4589,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,NULL
4590,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
4591,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Cropland
4592,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Wetland
4593,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
4594,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland,NULL,Grassland
4595,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland,NULL,Cropland
4596,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland,NULL,Forest
4597,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland,Grassland,Grassland
4598,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland,Grassland,Cropland
4599,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland,Grassland,Bareland
4600,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland,Grassland,Forest
4601,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland,Forest,Grassland
4602,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland,Forest,Cropland
4603,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland,Forest,Forest
4604,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,NULL
4605,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Grassland
4606,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Wetland
4607,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
4608,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Shrubland,NULL
4609,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Shrubland,Grassland
4610,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Shrubland,Wetland
4611,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Shrubland,Forest
4612,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,NULL
4613,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
4614,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Wetland
4615,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Bareland
4616,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
4617,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Wetland
4618,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
4619,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,NULL
4620,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
4621,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Wetland
4622,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
4623,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,NULL,Grassland
4624,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,NULL,Cropland
4625,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,NULL,Wetland
4626,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,NULL,Bareland
4627,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,NULL,Forest
4628,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Shrubland,Grassland
4629,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Shrubland,Forest
4630,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,NULL
4631,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
4632,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Cropland
4633,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Wetland
4634,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Bareland
4635,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Built-up
4636,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
4637,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Grassland
4638,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
4639,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,NULL
4640,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Grassland
4641,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
4642,Grassland,NULL,Forest,NULL,Non_Wetland,Built-up,Grassland,Grassland
4643,Grassland,NULL,Forest,NULL,Non_Wetland,Built-up,Grassland,Forest
4644,Grassland,NULL,Forest,NULL,Non_Wetland,Water,NULL,Forest
4645,Grassland,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Grassland
4646,Grassland,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Wetland
4647,Grassland,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Bareland
4648,Grassland,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Water
4649,Grassland,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Forest
4650,Grassland,NULL,Forest,NULL,Non_Wetland,Water,Forest,Grassland
4651,Grassland,NULL,Forest,NULL,Non_Wetland,Water,Forest,Wetland
4652,Grassland,NULL,Forest,NULL,Non_Wetland,Water,Forest,Forest
4653,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Grassland
4654,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Cropland
4655,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Wetland
4656,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Forest
4657,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Shrubland,Forest
4658,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,NULL
4659,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
4660,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Cropland
4661,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
4662,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Forest,NULL
4663,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
4664,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Wetland
4665,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
4666,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
4667,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
4668,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,Grassland,Grassland
4669,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,Grassland,Forest
4670,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,Wetland,NULL
4671,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,Wetland,Grassland
4672,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,Wetland,Wetland
4673,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,Wetland,Forest
4674,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,Water,Grassland
4675,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,Water,Forest
4676,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,Forest,Grassland
4677,Grassland,NULL,Forest,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
4678,Grassland,NULL,Forest,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
4679,Grassland,NULL,Forest,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
4680,Grassland,NULL,Forest,Non_Water,Non_Wetland,Shrubland,Wetland,Wetland
4681,Grassland,NULL,Forest,Non_Water,Non_Wetland,Shrubland,Forest,Grassland
4682,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland,NULL,Grassland
4683,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland,NULL,Forest
4684,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland,Grassland,NULL
4685,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
4686,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
4687,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Forest
4688,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland,Water,Grassland
4689,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland,Forest,Grassland
4690,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland,Forest,Forest
4691,Grassland,NULL,Forest,Non_Water,Non_Wetland,Cropland,Grassland,Grassland
4692,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
4693,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
4694,Grassland,NULL,Forest,Non_Water,Non_Wetland,Bareland,Grassland,NULL
4695,Grassland,NULL,Forest,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
4696,Grassland,NULL,Forest,Non_Water,Non_Wetland,Bareland,Grassland,Forest
4697,Grassland,NULL,Forest,Non_Water,Non_Wetland,Forest,NULL,Forest
4698,Grassland,NULL,Forest,Non_Water,Non_Wetland,Forest,Wetland,Forest
4699,Grassland,NULL,Forest,Non_Water,Non_Wetland,Forest,Forest,Forest
4700,Grassland,NULL,Forest,Water,Non_Wetland,Grassland,Grassland,Grassland
4701,Grassland,NULL,Forest,Water,Non_Wetland,Grassland,Grassland,Wetland
4702,Grassland,NULL,Forest,Water,Non_Wetland,Cropland,Grassland,Cropland
4703,Grassland,NULL,Forest,Water,Non_Wetland,Wetland,Grassland,Grassland
4704,Grassland,NULL,Forest,Water,Non_Wetland,Wetland,Grassland,Forest
4705,Grassland,NULL,Forest,Water,Non_Wetland,Water,Grassland,Bareland
4706,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
4707,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
4708,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,Grassland,Cropland
4709,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
4710,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,Forest,Cropland
4711,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,Forest,Forest
4712,Grassland,Cropland,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
4713,Grassland,Cropland,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
4714,Grassland,Cropland,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
4715,Grassland,Cropland,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
4716,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
4717,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
4718,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
4719,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
4720,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
4721,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
4722,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
4723,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
4724,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
4725,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
4726,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
4727,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
4728,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
4729,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Forest,Built-up
4730,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
4731,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
4732,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
4733,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
4734,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
4735,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
4736,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,Grassland,Bareland
4737,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
4738,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,Bareland,Grassland
4739,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
4740,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,Forest,Cropland
4741,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
4742,Grassland,Cropland,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
4743,Grassland,Cropland,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
4744,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
4745,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
4746,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
4747,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
4748,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
4749,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
4750,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
4751,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
4752,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
4753,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
4754,Grassland,Cropland,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
4755,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest,NULL,Forest
4756,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
4757,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
4758,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
4759,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
4760,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest,Forest,Forest
4761,Grassland,Cropland,NULL,Non_Water,Non_Wetland,Cropland,NULL,Bareland
4762,Grassland,Cropland,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
4763,Grassland,Cropland,NULL,Water,Non_Wetland,Cropland,NULL,Cropland
4764,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
4765,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
4766,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
4767,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Water
4768,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
4769,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
4770,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
4771,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
4772,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
