Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19KFV_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KFV_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KFV_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KFV_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KFV_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19KFV_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19KFV_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19KFV_M_R
329,Cropland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
330,Cropland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
331,Cropland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
332,Cropland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
333,Cropland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
334,Cropland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Cropland
335,Cropland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Wetland
336,Cropland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Bareland
337,Cropland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Water
338,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
339,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
340,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
341,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
342,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
343,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
344,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
345,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
346,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
347,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
348,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
349,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
350,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
351,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
352,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Cropland
353,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
354,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
355,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
356,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
357,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
358,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
359,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
360,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
361,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
362,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
363,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
364,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
365,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
366,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
367,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
368,Cropland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
369,Cropland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Cropland
370,Cropland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
371,Cropland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
372,Cropland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
373,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
374,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
375,Cropland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
376,Cropland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Cropland
377,Cropland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Wetland
378,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
379,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Cropland
380,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
381,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
382,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
383,Cropland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
384,Cropland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
385,Cropland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
386,Cropland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
387,Cropland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
388,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
389,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Cropland
390,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
391,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
392,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
393,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
394,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
395,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Cropland
396,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Wetland
397,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
398,Cropland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Grassland
399,Cropland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Cropland
400,Cropland,NULL,Lichens_and_Mosses,Water,Non_Wetland,NULL,NULL,Grassland
401,Cropland,NULL,Lichens_and_Mosses,Water,Non_Wetland,NULL,NULL,Cropland
402,Cropland,NULL,Lichens_and_Mosses,Water,Non_Wetland,NULL,NULL,Wetland
403,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
404,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
405,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
406,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
407,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
408,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
409,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Water
410,Cropland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,NULL
411,Cropland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
412,Cropland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Cropland
413,Cropland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Wetland
414,Cropland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
415,Cropland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Built-up
416,Cropland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
417,Cropland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
418,Cropland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Cropland
419,Cropland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Wetland
420,Cropland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
421,Cropland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
422,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
423,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
424,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
425,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Wetland
426,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
427,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
428,Cropland,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
429,Cropland,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Cropland
430,Cropland,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Wetland
431,Cropland,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
432,Cropland,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Water
433,Cropland,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
434,Cropland,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Cropland
435,Cropland,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Wetland
436,Cropland,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
437,Cropland,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Water
438,Cropland,NULL,Water,NULL,Water,NULL,NULL,Grassland
439,Cropland,NULL,Water,NULL,Water,NULL,NULL,Cropland
440,Cropland,NULL,Water,NULL,Water,NULL,NULL,Wetland
441,Cropland,NULL,Water,NULL,Water,NULL,NULL,Bareland
442,Cropland,NULL,Water,NULL,Water,NULL,NULL,Water
443,Cropland,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
444,Cropland,NULL,Water,Non_Water,Water,NULL,NULL,Cropland
445,Cropland,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
446,Cropland,NULL,Water,Water,Water,NULL,NULL,Grassland
447,Cropland,NULL,Water,Water,Water,NULL,NULL,Cropland
448,Cropland,NULL,Water,Water,Water,NULL,NULL,Wetland
449,Cropland,NULL,Water,Water,Water,NULL,NULL,Bareland
450,Cropland,NULL,Water,Water,Water,NULL,NULL,Water
451,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
452,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
453,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
454,Cropland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
455,Cropland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
456,Cropland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
457,Cropland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
458,Cropland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
459,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
460,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
461,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
462,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
463,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
464,Cropland,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
465,Cropland,Cropland,NULL,Water,Non_Wetland,NULL,NULL,Cropland
466,Cropland,Cropland,NULL,Water,Non_Wetland,NULL,NULL,Wetland
467,Cropland,Cropland,NULL,Water,Non_Wetland,NULL,NULL,Bareland
468,Cropland,Cropland,NULL,Water,Non_Wetland,NULL,NULL,Water
469,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
470,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
471,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
472,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
473,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
474,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
475,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
476,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
477,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
478,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
479,Cropland,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
480,Cropland,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Cropland
481,Cropland,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
482,Cropland,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
483,Cropland,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
484,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
485,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
486,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
487,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
488,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
489,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
490,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
491,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
492,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
493,Cropland,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
494,Cropland,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Cropland
495,Cropland,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
496,Cropland,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
497,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
498,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
499,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
500,Cropland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
501,Cropland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Bareland
502,Cropland,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
503,Cropland,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
504,Cropland,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
505,Cropland,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
506,Cropland,Cropland,Wetland,Water,Wetland,NULL,NULL,Grassland
507,Cropland,Cropland,Wetland,Water,Wetland,NULL,NULL,Cropland
508,Cropland,Cropland,Wetland,Water,Wetland,NULL,NULL,Wetland
509,Cropland,Cropland,Wetland,Water,Wetland,NULL,NULL,Bareland
510,Cropland,Cropland,Wetland,Water,Wetland,NULL,NULL,Water
511,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
512,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
513,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Cropland
514,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
515,Cropland,Cropland,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Cropland
516,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
517,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
518,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
519,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
520,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
521,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
522,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Water
523,Cropland,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
524,Cropland,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Cropland
525,Cropland,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Wetland
526,Cropland,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
527,Cropland,Cropland,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
528,Cropland,Cropland,Bareland,Water,Non_Wetland,NULL,NULL,Cropland
529,Cropland,Cropland,Bareland,Water,Non_Wetland,NULL,NULL,Wetland
530,Cropland,Cropland,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
531,Cropland,Cropland,Bareland,Water,Non_Wetland,NULL,NULL,Water
532,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
533,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
534,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
535,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
536,Cropland,Cropland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Cropland
537,Cropland,Cropland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
538,Cropland,Cropland,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
539,Cropland,Cropland,Built-up,Water,Non_Wetland,NULL,NULL,Cropland
540,Cropland,Cropland,Built-up,Water,Non_Wetland,NULL,NULL,Wetland
541,Cropland,Cropland,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
542,Cropland,Cropland,Water,Water,Water,NULL,NULL,Grassland
543,Cropland,Cropland,Water,Water,Water,NULL,NULL,Cropland
544,Cropland,Cropland,Water,Water,Water,NULL,NULL,Wetland
545,Cropland,Cropland,Water,Water,Water,NULL,NULL,Water
546,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
547,Cropland,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
548,Cropland,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
549,Cropland,Wetland,NULL,Water,Non_Wetland,NULL,NULL,Grassland
550,Cropland,Wetland,NULL,Water,Non_Wetland,NULL,NULL,Cropland
551,Cropland,Wetland,NULL,Water,Non_Wetland,NULL,NULL,Wetland
552,Cropland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
553,Cropland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
554,Cropland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
555,Cropland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
556,Cropland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
557,Cropland,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
558,Cropland,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Cropland
559,Cropland,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
560,Cropland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
561,Cropland,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
562,Cropland,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Cropland
563,Cropland,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
564,Cropland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Cropland
565,Cropland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
566,Cropland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
567,Cropland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
568,Cropland,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
569,Cropland,Wetland,Wetland,Water,Wetland,NULL,NULL,Cropland
570,Cropland,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
571,Cropland,Wetland,Wetland,Water,Wetland,NULL,NULL,Bareland
572,Cropland,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
573,Cropland,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
574,Cropland,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
575,Cropland,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
576,Cropland,Wetland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Cropland
577,Cropland,Wetland,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
578,Cropland,Wetland,Bareland,Water,Non_Wetland,NULL,NULL,Cropland
579,Cropland,Wetland,Bareland,Water,Non_Wetland,NULL,NULL,Wetland
580,Cropland,Wetland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
581,Cropland,Wetland,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
582,Cropland,Wetland,Water,Water,Water,NULL,NULL,Cropland
583,Cropland,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
584,Cropland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
585,Cropland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
586,Cropland,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
587,Cropland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
588,Cropland,Bareland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
589,Cropland,Bareland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
590,Cropland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Grassland
591,Cropland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Bareland
592,Cropland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
593,Cropland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
594,Cropland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
595,Cropland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Water
596,Cropland,Bareland,Wetland,Water,Wetland,NULL,NULL,Grassland
597,Cropland,Bareland,Wetland,Water,Wetland,NULL,NULL,Cropland
598,Cropland,Bareland,Wetland,Water,Wetland,NULL,NULL,Wetland
599,Cropland,Bareland,Wetland,Water,Wetland,NULL,NULL,Bareland
600,Cropland,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
601,Cropland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
602,Cropland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
603,Cropland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
604,Cropland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
605,Cropland,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
606,Cropland,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Cropland
607,Cropland,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
608,Cropland,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
609,Cropland,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Cropland
610,Cropland,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
611,Cropland,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Water
612,Cropland,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
613,Cropland,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
614,Cropland,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
615,Cropland,Bareland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
616,Cropland,Bareland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Cropland
617,Cropland,Bareland,Built-up,Water,Non_Wetland,NULL,NULL,Cropland
618,Cropland,Bareland,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
619,Cropland,Bareland,Water,Non_Water,Water,NULL,NULL,Cropland
620,Cropland,Bareland,Water,Water,Water,NULL,NULL,Cropland
621,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
622,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
623,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
624,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
625,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
626,Cropland,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
627,Cropland,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
628,Cropland,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
629,Cropland,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
630,Cropland,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
631,Cropland,Built-up,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
632,Cropland,Built-up,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
633,Cropland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
634,Cropland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
635,Cropland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
636,Cropland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
637,Cropland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
638,Cropland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
639,Cropland,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
640,Cropland,Water,Wetland,Water,Wetland,NULL,NULL,Wetland
641,Cropland,Water,Wetland,Water,Wetland,NULL,NULL,Bareland
642,Cropland,Water,Wetland,Water,Wetland,NULL,NULL,Water
643,Cropland,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
644,Cropland,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
645,Cropland,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Water
646,Wetland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
647,Wetland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
648,Wetland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
649,Wetland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
650,Wetland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
651,Wetland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
652,Wetland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
653,Wetland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
654,Wetland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
655,Wetland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Cropland
656,Wetland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Wetland
657,Wetland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Bareland
658,Wetland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Water
659,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
660,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
661,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
662,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
