Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_24KVD_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24KVD_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24KVD_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24KVD_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24KVD_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24KVD_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24KVD_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24KVD_M_R
43,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,NULL
44,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,NULL
45,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,NULL
46,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,NULL
47,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,NULL
48,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,NULL
49,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,NULL
50,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,NULL
51,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,NULL
52,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Wetland,NULL
53,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Bareland,NULL
54,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,NULL
55,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,NULL
56,NULL,NULL,NULL,Water,Non_Wetland,NULL,Wetland,NULL
57,NULL,NULL,NULL,Water,Non_Wetland,NULL,Bareland,NULL
58,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,NULL
59,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,NULL
60,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,NULL
61,NULL,NULL,NULL,Water,Non_Wetland,Wetland,NULL,NULL
62,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,NULL
63,NULL,NULL,NULL,Water,Non_Wetland,Water,NULL,NULL
64,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,NULL
65,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,NULL
66,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
67,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
68,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
69,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
70,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,NULL
71,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,NULL
72,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
73,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
74,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
75,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
76,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
77,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,NULL
78,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
79,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
80,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
81,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
82,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,NULL
83,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
84,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
85,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,NULL
86,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
87,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,NULL
88,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,NULL
89,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,NULL
90,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,NULL
91,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,NULL
92,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,NULL
93,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,NULL
94,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,NULL
95,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,NULL
96,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,NULL
97,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,NULL
98,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,NULL
99,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,NULL
100,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
101,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland,NULL
102,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,NULL
103,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Bareland,NULL
104,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Built-up,NULL
105,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Water,NULL
106,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Forest,NULL
107,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,NULL
108,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,NULL
109,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,NULL
110,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Bareland,NULL
111,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,NULL
112,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,NULL
113,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,NULL
114,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Bareland,NULL
115,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,NULL,NULL
116,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,NULL
117,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,NULL
118,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,NULL
119,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Water,NULL
120,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,NULL,NULL
121,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,NULL
122,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,NULL
123,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Bareland,NULL
124,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Water,NULL
125,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest,Grassland,NULL
126,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest,Wetland,NULL
127,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,NULL
128,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Grassland,NULL
129,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Wetland,NULL
130,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Bareland,NULL
131,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Water,NULL
132,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,NULL
133,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,NULL
134,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,NULL,NULL
135,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,NULL
136,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Bareland,NULL
137,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,NULL,NULL
138,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,NULL
139,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,NULL
140,NULL,NULL,Shrubland,Water,Non_Wetland,Water,NULL,NULL
141,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Grassland,NULL
142,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,NULL
143,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Bareland,NULL
144,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,NULL
145,NULL,NULL,Shrubland,Water,Non_Wetland,Forest,Wetland,NULL
146,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
147,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,NULL
148,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,NULL
149,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Bareland,NULL
150,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,NULL
151,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,NULL
152,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
153,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,NULL
154,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,NULL
155,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,NULL
156,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,NULL
157,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,NULL
158,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,NULL
159,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,NULL
160,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,NULL
161,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,NULL
162,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,NULL
163,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,NULL
164,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,NULL,NULL
165,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,NULL
166,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,NULL
167,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,NULL
168,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Wetland,NULL
169,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,NULL
170,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
171,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,Grassland,NULL
172,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,Wetland,NULL
173,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,NULL,NULL
174,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,NULL
175,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,NULL
176,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,NULL
177,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,NULL,NULL
178,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,Wetland,NULL
179,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest,Grassland,NULL
180,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest,Wetland,NULL
181,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,NULL
182,NULL,NULL,Grassland,Water,Non_Wetland,NULL,Grassland,NULL
183,NULL,NULL,Grassland,Water,Non_Wetland,NULL,Wetland,NULL
184,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,NULL
185,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Wetland,NULL
186,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,NULL,NULL
187,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,NULL
188,NULL,NULL,Grassland,Water,Non_Wetland,Water,Wetland,NULL
189,NULL,NULL,Grassland,Water,Non_Wetland,Water,Water,NULL
190,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
191,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,NULL
192,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland,NULL
193,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,NULL
194,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up,NULL
195,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Water,NULL
196,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Forest,NULL
197,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,NULL
198,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,NULL
199,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,NULL
200,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,NULL
201,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,NULL
202,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,NULL
203,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,NULL,NULL
204,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,NULL
205,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,NULL
206,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,NULL
207,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,NULL
208,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,NULL
209,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Built-up,NULL
210,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Water,NULL
211,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,NULL
212,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,NULL,NULL
213,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,NULL
214,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,NULL
215,NULL,NULL,Cropland,NULL,Non_Wetland,Water,NULL,NULL
216,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Wetland,NULL
217,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,NULL,NULL
218,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,NULL
219,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Wetland,NULL
220,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Bareland,NULL
221,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Forest,NULL
222,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,NULL
223,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Grassland,NULL
224,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Wetland,NULL
225,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Bareland,NULL
226,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Built-up,NULL
227,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Water,NULL
228,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,NULL,NULL
229,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,NULL
230,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Wetland,NULL
231,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Bareland,NULL
232,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Built-up,NULL
233,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland,NULL,NULL
234,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Grassland,NULL
235,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Wetland,NULL
236,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,NULL,NULL
237,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Grassland,NULL
238,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Wetland,NULL
239,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,NULL
240,NULL,NULL,Cropland,Non_Water,Non_Wetland,Built-up,Grassland,NULL
241,NULL,NULL,Cropland,Non_Water,Non_Wetland,Built-up,Built-up,NULL
242,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water,NULL,NULL
243,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water,Wetland,NULL
244,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water,Bareland,NULL
245,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest,NULL,NULL
246,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest,Grassland,NULL
247,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest,Wetland,NULL
248,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,NULL
249,NULL,NULL,Cropland,Water,Non_Wetland,NULL,Grassland,NULL
250,NULL,NULL,Cropland,Water,Non_Wetland,NULL,Wetland,NULL
251,NULL,NULL,Cropland,Water,Non_Wetland,NULL,Bareland,NULL
252,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Grassland,NULL
253,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Wetland,NULL
254,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Built-up,NULL
255,NULL,NULL,Cropland,Water,Non_Wetland,Wetland,NULL,NULL
256,NULL,NULL,Cropland,Water,Non_Wetland,Wetland,Wetland,NULL
257,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,NULL,NULL
258,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Bareland,NULL
259,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Water,NULL
260,NULL,NULL,Cropland,Water,Non_Wetland,Water,NULL,NULL
261,NULL,NULL,Cropland,Water,Non_Wetland,Forest,Grassland,NULL
262,NULL,NULL,Cropland,Water,Non_Wetland,Forest,Wetland,NULL
263,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
264,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,NULL
265,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,NULL
266,NULL,NULL,Wetland,NULL,Wetland,NULL,Bareland,NULL
267,NULL,NULL,Wetland,NULL,Wetland,NULL,Water,NULL
268,NULL,NULL,Wetland,NULL,Wetland,Grassland,NULL,NULL
269,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,NULL
270,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,NULL
271,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,NULL
272,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,NULL
273,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
274,NULL,NULL,Wetland,NULL,Wetland,Wetland,Bareland,NULL
275,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,NULL
276,NULL,NULL,Wetland,NULL,Wetland,Bareland,NULL,NULL
277,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,NULL
278,NULL,NULL,Wetland,NULL,Wetland,Bareland,Bareland,NULL
279,NULL,NULL,Wetland,NULL,Wetland,Bareland,Built-up,NULL
280,NULL,NULL,Wetland,NULL,Wetland,Bareland,Water,NULL
281,NULL,NULL,Wetland,NULL,Wetland,Water,NULL,NULL
282,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,NULL
283,NULL,NULL,Wetland,NULL,Wetland,Water,Water,NULL
284,NULL,NULL,Wetland,NULL,Wetland,Forest,NULL,NULL
285,NULL,NULL,Wetland,NULL,Wetland,Forest,Wetland,NULL
286,NULL,NULL,Wetland,NULL,Wetland,Forest,Bareland,NULL
287,NULL,NULL,Wetland,NULL,Wetland,Forest,Forest,NULL
288,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,NULL
289,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Grassland,NULL
290,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Wetland,NULL
291,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Bareland,NULL
292,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Water,NULL
293,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,NULL,NULL
294,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Grassland,NULL
295,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,NULL
296,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,NULL,NULL
297,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,NULL
298,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,NULL,NULL
299,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Water,NULL
300,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Forest,NULL
301,NULL,NULL,Wetland,Non_Water,Wetland,Water,NULL,NULL
302,NULL,NULL,Wetland,Non_Water,Wetland,Water,Grassland,NULL
303,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,NULL
304,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,NULL
305,NULL,NULL,Wetland,Non_Water,Wetland,Forest,NULL,NULL
306,NULL,NULL,Wetland,Non_Water,Wetland,Forest,Grassland,NULL
307,NULL,NULL,Wetland,Non_Water,Wetland,Forest,Wetland,NULL
308,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,NULL
309,NULL,NULL,Wetland,Water,Wetland,NULL,Grassland,NULL
310,NULL,NULL,Wetland,Water,Wetland,NULL,Wetland,NULL
311,NULL,NULL,Wetland,Water,Wetland,NULL,Bareland,NULL
312,NULL,NULL,Wetland,Water,Wetland,NULL,Water,NULL
313,NULL,NULL,Wetland,Water,Wetland,Grassland,NULL,NULL
314,NULL,NULL,Wetland,Water,Wetland,Grassland,Grassland,NULL
315,NULL,NULL,Wetland,Water,Wetland,Wetland,NULL,NULL
316,NULL,NULL,Wetland,Water,Wetland,Wetland,Grassland,NULL
317,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,NULL
318,NULL,NULL,Wetland,Water,Wetland,Bareland,NULL,NULL
319,NULL,NULL,Wetland,Water,Wetland,Bareland,Water,NULL
320,NULL,NULL,Wetland,Water,Wetland,Water,NULL,NULL
321,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,NULL
322,NULL,NULL,Wetland,Water,Wetland,Water,Bareland,NULL
323,NULL,NULL,Wetland,Water,Wetland,Water,Water,NULL
324,NULL,NULL,Wetland,Water,Wetland,Forest,NULL,NULL
325,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,NULL,NULL
326,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland,Bareland,NULL
327,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
328,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Grassland,NULL
329,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Wetland,NULL
330,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Water,NULL
331,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,NULL,NULL
332,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,NULL
333,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Bareland,NULL
334,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Wetland,NULL
335,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,NULL
