Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21LUL_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LUL_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LUL_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LUL_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LUL_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LUL_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LUL_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21LUL_M_R
111,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
112,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
113,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Built-up
114,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
115,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
116,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
117,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
118,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
119,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
120,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
121,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
122,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
123,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
124,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
125,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
126,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
127,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
128,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Water
129,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
130,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
131,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
132,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
133,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
134,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
135,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
136,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
137,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,NULL
138,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
139,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
140,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
141,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
142,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
143,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
144,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
145,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
146,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
147,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
148,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
149,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
150,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
151,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
152,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
153,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
154,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
155,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
156,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Wetland,Forest
157,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Water,Grassland
158,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
159,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Shrubland,Forest
160,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
161,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
162,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Water
163,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Grassland
164,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Shrubland,Grassland
165,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
166,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
167,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
168,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
169,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Water,Bareland
170,NULL,NULL,Shrubland,Water,Non_Wetland,Shrubland,Wetland,Grassland
171,NULL,NULL,Shrubland,Water,Non_Wetland,Shrubland,Wetland,Wetland
172,NULL,NULL,Shrubland,Water,Non_Wetland,Shrubland,Wetland,Forest
173,NULL,NULL,Shrubland,Water,Non_Wetland,Shrubland,Water,Grassland
174,NULL,NULL,Shrubland,Water,Non_Wetland,Shrubland,Forest,Grassland
175,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,NULL,Grassland
176,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,NULL,Bareland
177,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,NULL,Water
178,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Shrubland,Grassland
179,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
180,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
181,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Wetland
182,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Bareland
183,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Water
184,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Forest
185,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Grassland
186,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Forest,Grassland
187,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,NULL,Grassland
188,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
189,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Grassland
190,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Grassland
191,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Forest
192,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
193,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Bareland
194,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Grassland
195,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
196,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
197,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
198,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
199,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Wetland,Forest
200,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Bareland,Forest
201,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Forest,Grassland
202,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Forest,Forest
203,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
204,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
205,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Forest
206,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
207,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
208,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
209,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
210,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
211,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
212,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Forest
213,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
214,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
215,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
216,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Bareland
217,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
218,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
219,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
220,NULL,NULL,Grassland,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
221,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
222,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
223,NULL,NULL,Grassland,Water,Non_Wetland,Shrubland,Wetland,Grassland
224,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Bareland,Grassland
225,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Bareland,Water
226,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
227,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
228,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
229,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
230,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Wetland,Forest
231,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Forest,Grassland
232,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Forest,Forest
233,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
234,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
235,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
236,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Forest
237,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
238,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
239,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
240,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
241,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
242,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
243,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
244,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
245,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
246,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Grassland
247,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Forest
248,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
249,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
250,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Grassland
251,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
252,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Bareland
253,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Built-up
254,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
255,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Grassland
256,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Forest
257,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Forest,Forest
258,NULL,NULL,Cropland,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
259,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
260,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
261,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Water,Grassland
262,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Forest,Grassland
263,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
264,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,Forest
265,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Wetland,Grassland
266,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Bareland,Grassland
267,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Grassland
268,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Shrubland,Grassland
269,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Shrubland,Forest
270,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Wetland,Grassland
271,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Wetland,Wetland
272,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Wetland,Water
273,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Wetland,Forest
274,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Bareland,Forest
275,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Water,Grassland
276,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Water,Forest
277,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Forest,NULL
278,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Forest,Grassland
279,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Forest,Forest
280,NULL,NULL,Wetland,NULL,Wetland,Grassland,NULL,Grassland
281,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
282,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Bareland
283,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
284,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Grassland
285,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Forest
286,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Grassland
287,NULL,NULL,Wetland,NULL,Wetland,Wetland,Shrubland,Forest
288,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
289,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Water
290,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
291,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Grassland
292,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,NULL
293,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Grassland
294,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Forest
295,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Grassland
296,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Forest
297,NULL,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Grassland
298,NULL,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Bareland
299,NULL,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Forest
300,NULL,NULL,Wetland,NULL,Wetland,Bareland,Forest,Forest
301,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
302,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Grassland
303,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Forest
304,NULL,NULL,Wetland,NULL,Wetland,Forest,Bareland,Forest
305,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Wetland,Grassland
306,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Wetland,Forest
307,NULL,NULL,Wetland,Non_Water,Wetland,Shrubland,Shrubland,Forest
308,NULL,NULL,Wetland,Non_Water,Wetland,Shrubland,Wetland,Grassland
309,NULL,NULL,Wetland,Non_Water,Wetland,Shrubland,Wetland,Wetland
310,NULL,NULL,Wetland,Non_Water,Wetland,Shrubland,Wetland,Forest
311,NULL,NULL,Wetland,Non_Water,Wetland,Shrubland,Water,Grassland
312,NULL,NULL,Wetland,Non_Water,Wetland,Shrubland,Water,Wetland
313,NULL,NULL,Wetland,Non_Water,Wetland,Shrubland,Water,Forest
314,NULL,NULL,Wetland,Non_Water,Wetland,Shrubland,Forest,Grassland
315,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,NULL,Grassland
316,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
317,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Water
318,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Forest
319,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Grassland
320,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Water
321,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Forest,Grassland
322,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Forest,Forest
323,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
324,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
