Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19NBC_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NBC_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NBC_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NBC_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NBC_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NBC_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NBC_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19NBC_M_R
50,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
51,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
52,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
53,NULL,Water,Grassland,Water,Non_Wetland,NULL,NULL,Forest
54,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
55,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
56,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Water
57,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
58,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
59,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
60,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
61,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
62,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
63,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
64,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
65,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
66,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
67,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
68,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
69,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
70,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
71,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
72,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
73,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
74,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
75,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
76,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
77,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
78,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
79,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
80,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
81,Grassland,NULL,Water,NULL,Water,NULL,NULL,Forest
82,Grassland,NULL,Water,Water,Water,NULL,NULL,Grassland
83,Grassland,NULL,Water,Water,Water,NULL,NULL,Water
84,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
85,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
86,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
87,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
88,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
89,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
90,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
91,Grassland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
92,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
93,Grassland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
94,Grassland,Water,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
95,Grassland,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
96,Grassland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
97,Grassland,Water,Water,NULL,Water,NULL,NULL,Grassland
98,Grassland,Water,Water,Non_Water,Water,NULL,NULL,Forest
99,Grassland,Water,Water,Water,Water,NULL,NULL,Forest
100,Grassland,Water,Forest,Water,Non_Wetland,NULL,NULL,Grassland
101,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
102,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
103,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
104,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
105,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
106,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
107,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
108,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
109,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
110,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
111,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
112,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
113,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
114,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
115,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
116,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
117,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
118,Wetland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
119,Wetland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
120,Wetland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
121,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
122,Wetland,Water,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
123,Wetland,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
124,Wetland,Water,Wetland,Water,Wetland,NULL,NULL,Forest
125,Wetland,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
126,Wetland,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
127,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
128,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
129,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
130,Bareland,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
131,Bareland,Water,Wetland,Water,Wetland,NULL,NULL,Water
132,Bareland,Water,Water,NULL,Water,NULL,NULL,Water
133,Water,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
134,Water,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
135,Water,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
136,Water,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
137,Water,NULL,Wetland,Water,Wetland,NULL,NULL,Water
138,Water,NULL,Water,NULL,Water,NULL,NULL,Water
139,Water,NULL,Water,Water,Water,NULL,NULL,Water
140,Water,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
141,Water,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
142,Water,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
143,Water,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
144,Water,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
145,Water,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
146,Water,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
147,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
148,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
149,Water,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
150,Water,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Water
151,Water,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
152,Water,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
153,Water,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
154,Water,Water,Grassland,Water,Non_Wetland,NULL,NULL,Water
155,Water,Water,Grassland,Water,Non_Wetland,NULL,NULL,Forest
156,Water,Water,Cropland,Water,Non_Wetland,NULL,NULL,Water
157,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
158,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Wetland
159,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Water
160,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
161,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
162,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
163,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
164,Water,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
165,Water,Water,Wetland,Water,Wetland,NULL,NULL,Water
166,Water,Water,Wetland,Water,Wetland,NULL,NULL,Forest
167,Water,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
168,Water,Water,Bareland,Water,Non_Wetland,NULL,NULL,Water
169,Water,Water,Water,NULL,Water,NULL,NULL,Grassland
170,Water,Water,Water,NULL,Water,NULL,NULL,Water
171,Water,Water,Water,NULL,Water,NULL,NULL,Forest
172,Water,Water,Water,Non_Water,Water,NULL,NULL,Grassland
173,Water,Water,Water,Non_Water,Water,NULL,NULL,Water
174,Water,Water,Water,Non_Water,Water,NULL,NULL,Forest
175,Water,Water,Water,Water,Water,NULL,NULL,Grassland
176,Water,Water,Water,Water,Water,NULL,NULL,Wetland
177,Water,Water,Water,Water,Water,NULL,NULL,Water
178,Water,Water,Water,Water,Water,NULL,NULL,Forest
179,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
180,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
181,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
182,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
183,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
184,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
185,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Grassland
186,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
187,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
188,Water,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
189,Water,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
190,Water,Forest,Wetland,NULL,Wetland,NULL,NULL,Wetland
191,Water,Forest,Wetland,NULL,Wetland,NULL,NULL,Water
192,Water,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
193,Water,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
194,Water,Forest,Wetland,Water,Wetland,NULL,NULL,Water
195,Water,Forest,Wetland,Water,Wetland,NULL,NULL,Forest
196,Water,Forest,Water,Water,Water,NULL,NULL,Water
197,Water,Forest,Water,Water,Water,NULL,NULL,Forest
198,Water,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
199,Water,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
200,Water,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
201,Forest,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
202,Forest,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
203,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
204,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
205,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
206,Forest,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
207,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
208,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
209,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
210,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
211,Forest,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
212,Forest,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
213,Forest,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
214,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
215,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
216,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
217,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
218,Forest,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
219,Forest,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
220,Forest,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
221,Forest,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
222,Forest,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
223,Forest,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
224,Forest,NULL,Water,NULL,Water,NULL,NULL,Grassland
225,Forest,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
226,Forest,NULL,Water,Water,Water,NULL,NULL,Water
227,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
228,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
229,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
230,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
231,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
232,Forest,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
233,Forest,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
234,Forest,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
235,Forest,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
236,Forest,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
237,Forest,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
238,Forest,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
239,Forest,Wetland,Wetland,NULL,Wetland,NULL,NULL,Water
240,Forest,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
241,Forest,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
242,Forest,Wetland,Water,NULL,Water,NULL,NULL,Grassland
243,Forest,Wetland,Water,NULL,Water,NULL,NULL,Water
244,Forest,Wetland,Water,Water,Water,NULL,NULL,Grassland
245,Forest,Wetland,Water,Water,Water,NULL,NULL,Forest
246,Forest,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
247,Forest,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
248,Forest,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Forest
249,Forest,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
250,Forest,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
251,Forest,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
252,Forest,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
253,Forest,Built-up,Wetland,NULL,Wetland,NULL,NULL,Forest
254,Forest,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
255,Forest,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
256,Forest,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
257,Forest,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
258,Forest,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
259,Forest,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
260,Forest,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Water
261,Forest,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
262,Forest,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
263,Forest,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
264,Forest,Water,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
265,Forest,Water,Grassland,Water,Non_Wetland,NULL,NULL,Forest
266,Forest,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Water
267,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,NULL
268,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
269,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Water
270,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
271,Forest,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
272,Forest,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
273,Forest,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
274,Forest,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
275,Forest,Water,Wetland,Water,Wetland,NULL,NULL,Water
276,Forest,Water,Wetland,Water,Wetland,NULL,NULL,Forest
277,Forest,Water,Water,NULL,Water,NULL,NULL,Grassland
278,Forest,Water,Water,NULL,Water,NULL,NULL,Water
279,Forest,Water,Water,NULL,Water,NULL,NULL,Forest
280,Forest,Water,Water,Non_Water,Water,NULL,NULL,Water
281,Forest,Water,Water,Non_Water,Water,NULL,NULL,Forest
282,Forest,Water,Water,Water,Water,NULL,NULL,Grassland
283,Forest,Water,Water,Water,Water,NULL,NULL,Water
284,Forest,Water,Water,Water,Water,NULL,NULL,Forest
285,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
286,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
287,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
288,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
289,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
290,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
291,Forest,Water,Forest,Water,Non_Wetland,NULL,NULL,Grassland
292,Forest,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
293,Forest,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
294,Forest,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
295,Forest,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
296,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
297,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
298,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
299,Forest,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
300,Forest,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
301,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
302,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
303,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
304,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Water
305,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
306,Forest,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
307,Forest,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
308,Forest,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Forest
309,Forest,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
310,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,NULL
311,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
312,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,Wetland
313,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,Water
314,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
315,Forest,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
316,Forest,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Water
317,Forest,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
318,Forest,Forest,Wetland,Water,Wetland,NULL,NULL,Grassland
319,Forest,Forest,Wetland,Water,Wetland,NULL,NULL,Water
320,Forest,Forest,Wetland,Water,Wetland,NULL,NULL,Forest
321,Forest,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
322,Forest,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
323,Forest,Forest,Water,NULL,Water,NULL,NULL,Grassland
324,Forest,Forest,Water,NULL,Water,NULL,NULL,Wetland
325,Forest,Forest,Water,NULL,Water,NULL,NULL,Water
326,Forest,Forest,Water,NULL,Water,NULL,NULL,Forest
327,Forest,Forest,Water,Non_Water,Water,NULL,NULL,Grassland
328,Forest,Forest,Water,Non_Water,Water,NULL,NULL,Water
329,Forest,Forest,Water,Non_Water,Water,NULL,NULL,Forest
330,Forest,Forest,Water,Water,Water,NULL,NULL,Grassland
331,Forest,Forest,Water,Water,Water,NULL,NULL,Wetland
332,Forest,Forest,Water,Water,Water,NULL,NULL,Water
333,Forest,Forest,Water,Water,Water,NULL,NULL,Forest
334,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
335,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
336,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
337,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Water
338,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
339,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
340,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
341,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
342,Forest,Forest,Forest,Water,Non_Wetland,NULL,NULL,Grassland
343,Forest,Forest,Forest,Water,Non_Wetland,NULL,NULL,Water
344,Forest,Forest,Forest,Water,Non_Wetland,NULL,NULL,Forest
