Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19MBR_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MBR_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MBR_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MBR_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MBR_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MBR_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MBR_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19MBR_M_R
60,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
61,NULL,NULL,Cropland,NULL,Non_Wetland,Water,NULL,Forest
62,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,NULL,Forest
63,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
64,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
65,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
66,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
67,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,Forest
68,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
69,NULL,NULL,Wetland,NULL,Wetland,NULL,Forest,Forest
70,NULL,NULL,Wetland,NULL,Wetland,Water,NULL,Forest
71,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Forest
72,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
73,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Water
74,NULL,NULL,Wetland,NULL,Wetland,Forest,NULL,Forest
75,NULL,NULL,Wetland,NULL,Wetland,Forest,Grassland,Forest
76,NULL,NULL,Wetland,NULL,Wetland,Forest,Forest,Forest
77,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
78,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
79,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
80,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
81,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Water,Water
82,NULL,NULL,Wetland,Non_Water,Wetland,Water,NULL,Wetland
83,NULL,NULL,Wetland,Non_Water,Wetland,Water,NULL,Water
84,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Water
85,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
86,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
87,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
88,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
89,NULL,NULL,Wetland,Water,Wetland,Bareland,NULL,Water
90,NULL,NULL,Wetland,Water,Wetland,Bareland,Water,Water
91,NULL,NULL,Wetland,Water,Wetland,Water,NULL,Water
92,NULL,NULL,Wetland,Water,Wetland,Water,Water,Water
93,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Grassland
94,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
95,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
96,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Built-up,Grassland
97,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Water,Water
98,NULL,NULL,Bareland,NULL,Non_Wetland,Forest,NULL,Forest
99,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
100,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
101,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water,Water,Water
102,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
103,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
104,NULL,NULL,Bareland,Water,Non_Wetland,Water,Water,Water
105,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
106,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
107,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
108,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,Grassland
109,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Built-up,Grassland
110,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Built-up,Built-up
111,NULL,NULL,Built-up,NULL,Non_Wetland,Water,NULL,Grassland
112,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
113,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
114,NULL,NULL,Water,NULL,Water,NULL,NULL,Water
115,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
116,NULL,NULL,Water,NULL,Water,Bareland,Built-up,Grassland
117,NULL,NULL,Water,NULL,Water,Bareland,Built-up,Bareland
118,NULL,NULL,Water,NULL,Water,Bareland,Built-up,Built-up
119,NULL,NULL,Water,NULL,Water,Bareland,Built-up,Forest
120,NULL,NULL,Water,NULL,Water,Built-up,Wetland,Grassland
121,NULL,NULL,Water,NULL,Water,Built-up,Built-up,Grassland
122,NULL,NULL,Water,NULL,Water,Water,NULL,Forest
123,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
124,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
125,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Water
126,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Forest
127,NULL,NULL,Water,Non_Water,Water,Bareland,NULL,Water
128,NULL,NULL,Water,Non_Water,Water,Water,Water,Water
129,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
130,NULL,NULL,Water,Water,Water,NULL,NULL,Water
131,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
132,NULL,NULL,Water,Water,Water,Water,NULL,Water
133,NULL,NULL,Water,Water,Water,Water,Water,Water
134,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
135,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
136,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
137,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
138,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
139,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
140,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
141,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,NULL,Grassland
142,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,NULL,Forest
143,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Grassland
144,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
145,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Built-up,Bareland
146,NULL,NULL,Forest,NULL,Non_Wetland,Water,NULL,Grassland
147,NULL,NULL,Forest,NULL,Non_Wetland,Water,NULL,Forest
148,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Forest
149,NULL,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Forest
150,NULL,NULL,Forest,NULL,Non_Wetland,Water,Forest,Forest
151,NULL,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Forest
152,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
153,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
154,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
155,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
156,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
157,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
158,NULL,NULL,Forest,Non_Water,Non_Wetland,Water,Wetland,Forest
159,NULL,NULL,Forest,Non_Water,Non_Wetland,Water,Water,Forest
160,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest,Grassland,Forest
161,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest,Water,Forest
162,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
163,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
164,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
165,NULL,NULL,Forest,Water,Non_Wetland,Bareland,Water,Forest
166,NULL,NULL,Forest,Water,Non_Wetland,Water,Water,Grassland
167,NULL,NULL,Forest,Water,Non_Wetland,Water,Water,Forest
168,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
169,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
170,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
171,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
172,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Forest
173,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Water
174,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Water
175,NULL,Cropland,Water,Non_Water,Water,NULL,NULL,Grassland
176,NULL,Cropland,Water,Water,Water,NULL,NULL,Water
177,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
178,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
179,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
180,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
181,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
182,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
183,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
184,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
185,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
186,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
187,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
188,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
189,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
190,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
191,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
192,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Water
193,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
194,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
195,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Water
196,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
197,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
198,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
199,NULL,Wetland,Water,NULL,Water,NULL,NULL,Grassland
200,NULL,Wetland,Water,NULL,Water,NULL,NULL,Forest
201,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Grassland
202,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Wetland
203,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Water
204,NULL,Wetland,Water,Water,Water,NULL,NULL,Grassland
205,NULL,Wetland,Water,Water,Water,NULL,NULL,Wetland
206,NULL,Wetland,Water,Water,Water,NULL,NULL,Water
207,NULL,Wetland,Water,Water,Water,NULL,NULL,Forest
208,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
209,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
210,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
211,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
212,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland,Built-up,Bareland
213,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Water
214,NULL,Bareland,Wetland,NULL,Wetland,Water,Water,Water
215,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Water
216,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
217,NULL,Bareland,Wetland,Water,Wetland,Water,NULL,Water
218,NULL,Bareland,Wetland,Water,Wetland,Water,Water,Water
219,NULL,Bareland,Water,NULL,Water,Bareland,Built-up,Grassland
220,NULL,Bareland,Water,NULL,Water,Bareland,Built-up,Bareland
221,NULL,Bareland,Water,Water,Water,NULL,NULL,Water
222,NULL,Bareland,Water,Water,Water,Water,NULL,Water
223,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
224,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
225,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Water
226,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
227,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
228,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
229,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
230,NULL,Built-up,NULL,NULL,Non_Wetland,Water,NULL,Forest
231,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
232,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
233,NULL,Built-up,NULL,Water,Non_Wetland,NULL,NULL,Grassland
234,NULL,Built-up,NULL,Water,Non_Wetland,NULL,NULL,Built-up
235,NULL,Built-up,NULL,Water,Non_Wetland,NULL,NULL,Forest
236,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
237,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
238,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
239,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
240,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
241,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
242,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
243,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
244,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
245,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
246,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Forest
247,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
248,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
249,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Wetland,Grassland
250,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
251,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Built-up
252,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Forest
253,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
254,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
255,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
256,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water,NULL,Grassland
257,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water,NULL,Built-up
258,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water,NULL,Forest
259,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
260,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
261,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water,Bareland,Forest
262,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water,Built-up,Built-up
263,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water,Built-up,Forest
264,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
265,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Built-up
266,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
267,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
268,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Built-up,Wetland,Forest
269,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Water,Bareland,Forest
270,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
271,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Built-up
272,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Water
273,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
274,NULL,Built-up,Shrubland,Water,Non_Wetland,Built-up,Bareland,Forest
275,NULL,Built-up,Shrubland,Water,Non_Wetland,Built-up,Built-up,Forest
276,NULL,Built-up,Shrubland,Water,Non_Wetland,Built-up,Water,Forest
277,NULL,Built-up,Shrubland,Water,Non_Wetland,Water,NULL,Grassland
278,NULL,Built-up,Shrubland,Water,Non_Wetland,Water,Built-up,Forest
279,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
280,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
281,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Water
282,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
283,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
284,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,NULL,Built-up
285,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,NULL,Forest
286,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Bareland,Forest
287,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
288,NULL,Built-up,Grassland,NULL,Non_Wetland,Water,NULL,Grassland
289,NULL,Built-up,Grassland,NULL,Non_Wetland,Water,NULL,Forest
290,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
291,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
292,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
293,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
294,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Built-up
295,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Water
296,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Forest
297,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
298,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Grassland
299,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Water
300,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Forest
301,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
302,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Water
303,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Forest
304,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Grassland
305,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Water
306,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Forest
307,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
308,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
309,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Water
310,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
311,NULL,Built-up,Bareland,NULL,Non_Wetland,Water,NULL,Forest
312,NULL,Built-up,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
313,NULL,Built-up,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
314,NULL,Built-up,Bareland,Water,Non_Wetland,NULL,NULL,Built-up
315,NULL,Built-up,Bareland,Water,Non_Wetland,NULL,NULL,Water
316,NULL,Built-up,Bareland,Water,Non_Wetland,NULL,NULL,Forest
317,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
318,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
319,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
320,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Water
321,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
322,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,NULL,Grassland
323,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,NULL,Built-up
324,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Built-up,Built-up
325,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Bareland,Grassland
326,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Grassland
327,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Built-up
328,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Forest
329,NULL,Built-up,Built-up,NULL,Non_Wetland,Water,NULL,Grassland
330,NULL,Built-up,Built-up,NULL,Non_Wetland,Water,Bareland,Forest
331,NULL,Built-up,Built-up,NULL,Non_Wetland,Water,Built-up,Forest
332,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
333,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Built-up
334,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Water
335,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
336,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
337,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
338,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Built-up
339,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Water
340,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Forest
341,NULL,Built-up,Built-up,Water,Non_Wetland,Built-up,Built-up,Grassland
