Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23LPD_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LPD_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LPD_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LPD_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LPD_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LPD_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LPD_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23LPD_M_R
2082,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Wetland
2083,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Built-up
2084,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
2085,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
2086,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
2087,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
2088,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
2089,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
2090,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Water
2091,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
2092,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
2093,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
2094,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
2095,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
2096,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Water
2097,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
2098,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
2099,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,NULL
2100,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
2101,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Cropland
2102,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Water,Forest
2103,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
2104,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
2105,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Wetland
2106,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
2107,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
2108,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
2109,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
2110,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
2111,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
2112,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
2113,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
2114,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
2115,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
2116,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
2117,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
2118,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
2119,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
2120,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
2121,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
2122,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
2123,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
2124,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
2125,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
2126,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
2127,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
2128,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
2129,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Cropland
2130,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Built-up,NULL
2131,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
2132,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Cropland
2133,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
2134,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Water,Cropland
2135,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
2136,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland,NULL,NULL
2137,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
2138,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
2139,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland,NULL,Built-up
2140,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
2141,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,NULL
2142,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Cropland
2143,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Grassland,NULL
2144,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
2145,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
2146,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Forest,NULL
2147,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
2148,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
2149,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,NULL,Cropland
2150,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
2151,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
2152,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
2153,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,NULL
2154,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
2155,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Cropland
2156,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Built-up
2157,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
2158,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
2159,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
2160,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Cropland
2161,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
2162,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
2163,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
2164,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
2165,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
2166,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Cropland
2167,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
2168,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
2169,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Cropland
2170,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Water,Cropland
2171,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
2172,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Forest,Cropland
2173,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up,NULL,Cropland
2174,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up,NULL,Forest
2175,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Cropland
2176,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up,Built-up,NULL
2177,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
2178,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Cropland
2179,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
2180,NULL,Cropland,Shrubland,NULL,Non_Wetland,Water,NULL,NULL
2181,NULL,Cropland,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
2182,NULL,Cropland,Shrubland,NULL,Non_Wetland,Water,Water,NULL
2183,NULL,Cropland,Shrubland,NULL,Non_Wetland,Water,Water,Bareland
2184,NULL,Cropland,Shrubland,NULL,Non_Wetland,Water,Water,Water
2185,NULL,Cropland,Shrubland,NULL,Non_Wetland,Water,Water,Forest
2186,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest,NULL,NULL
2187,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
2188,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest,NULL,Cropland
2189,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest,NULL,Wetland
2190,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
2191,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest,Shrubland,NULL
2192,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Grassland
2193,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Cropland
2194,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Wetland
2195,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Water
2196,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
2197,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest,Grassland,NULL
2198,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
2199,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest,Grassland,Cropland
2200,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
2201,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest,Built-up,Cropland
2202,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest,Forest,Cropland
2203,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest,Forest,Wetland
2204,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
2205,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
2206,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
2207,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
2208,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
2209,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
2210,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
2211,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
2212,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Shrubland,Forest,Wetland
2213,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Shrubland,Forest,Forest
2214,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
2215,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Cropland
2216,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
2217,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
2218,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
2219,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Cropland
2220,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Forest,Shrubland,Wetland
2221,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Forest,Forest,Wetland
2222,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Forest,Forest,Forest
2223,NULL,Cropland,Shrubland,Water,Non_Wetland,Shrubland,Shrubland,Grassland
2224,NULL,Cropland,Shrubland,Water,Non_Wetland,Bareland,Grassland,Cropland
2225,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
2226,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
2227,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
2228,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
2229,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
2230,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,Shrubland,NULL
2231,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,Shrubland,Grassland
2232,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,Shrubland,Cropland
2233,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,Shrubland,Forest
2234,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,Grassland,NULL
2235,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
2236,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,Grassland,Cropland
2237,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
2238,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,Built-up,Forest
2239,NULL,Cropland,Grassland,NULL,Non_Wetland,Shrubland,NULL,NULL
2240,NULL,Cropland,Grassland,NULL,Non_Wetland,Shrubland,NULL,Cropland
2241,NULL,Cropland,Grassland,NULL,Non_Wetland,Shrubland,NULL,Forest
2242,NULL,Cropland,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
2243,NULL,Cropland,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
2244,NULL,Cropland,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
2245,NULL,Cropland,Grassland,NULL,Non_Wetland,Shrubland,Grassland,NULL
2246,NULL,Cropland,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
2247,NULL,Cropland,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
2248,NULL,Cropland,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Forest
2249,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,NULL,NULL
2250,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
2251,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,NULL,Cropland
2252,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
2253,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Shrubland,NULL
2254,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Forest
2255,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
2256,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
2257,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
2258,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Water
2259,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
2260,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland,NULL,NULL
2261,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland,NULL,Grassland
2262,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland,NULL,Cropland
2263,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland,NULL,Built-up
2264,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland,NULL,Forest
2265,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland,Grassland,Forest
2266,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
2267,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland,NULL,Cropland
2268,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up,NULL,NULL
2269,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest,NULL,NULL
2270,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest,NULL,Cropland
2271,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest,NULL,Forest
2272,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest,Shrubland,Forest
2273,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,Grassland,Forest
2274,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Water,NULL,Forest
2275,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
2276,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
2277,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
2278,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
2279,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
2280,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
2281,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Water
2282,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
2283,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Shrubland,NULL
2284,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Shrubland,Grassland
2285,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Shrubland,Cropland
2286,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Shrubland,Built-up
2287,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Shrubland,Water
2288,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Shrubland,Forest
2289,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Grassland,NULL
2290,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Grassland,Grassland
2291,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Grassland,Cropland
2292,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Grassland,Wetland
2293,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Grassland,Bareland
2294,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Grassland,Built-up
2295,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Grassland,Water
2296,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Grassland,Forest
2297,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Bareland,NULL
2298,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Bareland,Built-up
2299,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Bareland,Forest
2300,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Built-up,NULL
2301,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Built-up,Grassland
2302,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Built-up,Cropland
2303,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Built-up,Forest
2304,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Water,Forest
2305,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Forest,NULL
2306,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Forest,Grassland
2307,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Forest,Cropland
2308,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Forest,Forest
2309,NULL,Cropland,Cropland,NULL,Non_Wetland,Shrubland,NULL,NULL
2310,NULL,Cropland,Cropland,NULL,Non_Wetland,Shrubland,NULL,Grassland
2311,NULL,Cropland,Cropland,NULL,Non_Wetland,Shrubland,NULL,Cropland
2312,NULL,Cropland,Cropland,NULL,Non_Wetland,Shrubland,NULL,Wetland
2313,NULL,Cropland,Cropland,NULL,Non_Wetland,Shrubland,NULL,Bareland
2314,NULL,Cropland,Cropland,NULL,Non_Wetland,Shrubland,NULL,Built-up
2315,NULL,Cropland,Cropland,NULL,Non_Wetland,Shrubland,NULL,Water
2316,NULL,Cropland,Cropland,NULL,Non_Wetland,Shrubland,NULL,Forest
2317,NULL,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
2318,NULL,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
2319,NULL,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
2320,NULL,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
2321,NULL,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
2322,NULL,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
2323,NULL,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Water
2324,NULL,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
2325,NULL,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Grassland,NULL
2326,NULL,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
2327,NULL,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
2328,NULL,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
2329,NULL,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Bareland
2330,NULL,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
2331,NULL,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Water
2332,NULL,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Forest
2333,NULL,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Bareland,NULL
2334,NULL,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
2335,NULL,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Built-up,Cropland
2336,NULL,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Built-up,Forest
2337,NULL,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Forest,NULL
2338,NULL,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Forest,Grassland
2339,NULL,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Forest,Cropland
2340,NULL,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Forest,Forest
2341,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,NULL,NULL
2342,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
2343,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,NULL,Cropland
2344,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,NULL,Wetland
2345,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,NULL,Bareland
2346,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,NULL,Built-up
2347,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,NULL,Water
2348,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
2349,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Shrubland,NULL
2350,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
2351,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
2352,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
2353,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
2354,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Water
2355,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Forest
2356,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,NULL
2357,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
2358,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
2359,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Wetland
2360,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Bareland
2361,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
2362,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Water
2363,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
2364,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
2365,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Bareland,Cropland
2366,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Built-up,NULL
2367,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Built-up,Grassland
2368,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Built-up,Cropland
2369,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Built-up,Bareland
2370,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Water,Grassland
2371,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Water,Cropland
2372,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Forest,NULL
2373,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
2374,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Forest,Cropland
2375,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland,NULL,NULL
2376,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland,NULL,Grassland
2377,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland,NULL,Cropland
2378,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland,NULL,Built-up
2379,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland,NULL,Water
2380,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland,NULL,Forest
2381,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland,Shrubland,NULL
2382,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
2383,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland,Shrubland,Cropland
2384,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland,Shrubland,Forest
2385,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland,Grassland,NULL
2386,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland,Grassland,Grassland
2387,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland,Grassland,Cropland
2388,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland,Grassland,Forest
2389,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,NULL,NULL
2390,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
2391,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,NULL,Cropland
2392,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,NULL,Bareland
2393,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,NULL,Built-up
