Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19NHA_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NHA_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NHA_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NHA_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NHA_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NHA_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NHA_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19NHA_M_R
82,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
83,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
84,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
85,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
86,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
87,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
88,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Forest,Grassland
89,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Forest,Forest
90,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
91,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
92,NULL,NULL,Wetland,NULL,Wetland,Grassland,NULL,Grassland
93,NULL,NULL,Wetland,NULL,Wetland,Grassland,NULL,Forest
94,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
95,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
96,NULL,NULL,Wetland,NULL,Wetland,Grassland,Bareland,Grassland
97,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,NULL
98,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Grassland
99,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
100,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
101,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Forest
102,NULL,NULL,Wetland,NULL,Wetland,Forest,Grassland,Forest
103,NULL,NULL,Wetland,NULL,Wetland,Forest,Forest,Forest
104,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,Grassland
105,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Forest
106,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
107,NULL,NULL,Water,NULL,Water,Grassland,NULL,Grassland
108,NULL,NULL,Water,NULL,Water,Grassland,NULL,Forest
109,NULL,NULL,Water,NULL,Water,Grassland,Grassland,Grassland
110,NULL,NULL,Water,NULL,Water,Grassland,Grassland,Bareland
111,NULL,NULL,Water,NULL,Water,Grassland,Grassland,Forest
112,NULL,NULL,Water,NULL,Water,Grassland,Water,Forest
113,NULL,NULL,Water,NULL,Water,Grassland,Forest,Grassland
114,NULL,NULL,Water,NULL,Water,Grassland,Forest,Forest
115,NULL,NULL,Water,NULL,Water,Wetland,NULL,Forest
116,NULL,NULL,Water,NULL,Water,Wetland,Forest,Grassland
117,NULL,NULL,Water,NULL,Water,Water,Grassland,Forest
118,NULL,NULL,Water,NULL,Water,Forest,Grassland,Forest
119,NULL,NULL,Water,NULL,Water,Forest,Forest,Forest
120,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
121,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
122,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
123,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
124,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
125,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
126,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,NULL
127,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
128,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Bareland
129,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
130,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
131,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
132,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Bareland
133,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
134,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
135,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Water,Bareland
136,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Water,Forest
137,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,NULL
138,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
139,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Bareland
140,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
141,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Grassland
142,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Bareland
143,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
144,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
145,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
146,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
147,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,NULL
148,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
149,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Bareland
150,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
151,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
152,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
153,NULL,NULL,Forest,NULL,Non_Wetland,Water,NULL,Grassland
154,NULL,NULL,Forest,NULL,Non_Wetland,Water,NULL,Forest
155,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Grassland
156,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Forest
157,NULL,NULL,Forest,NULL,Non_Wetland,Water,Forest,Grassland
158,NULL,NULL,Forest,NULL,Non_Wetland,Water,Forest,Forest
159,NULL,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Grassland
160,NULL,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Forest
161,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
162,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
163,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,NULL
164,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
165,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
166,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
167,NULL,Bareland,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
168,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
169,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
170,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
171,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
172,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Bareland
173,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Built-up
174,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
175,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
176,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Built-up,Grassland
177,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Built-up,Bareland
178,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Built-up,Forest
179,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
180,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Forest,Built-up
181,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
182,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
183,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
184,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,Bareland
185,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
186,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
187,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
188,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Built-up,Forest
189,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Forest,Built-up
190,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
191,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
192,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Grassland,Built-up
193,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
194,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
195,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
196,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Bareland,Grassland
197,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Bareland,Forest
198,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Built-up,Grassland
199,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Built-up,Bareland
200,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Built-up,Built-up
201,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Built-up,Forest
202,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
203,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Forest,Built-up
204,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
205,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest,Built-up,Grassland
206,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest,Built-up,Forest
207,NULL,Built-up,Cropland,NULL,Non_Wetland,Wetland,Grassland,Forest
208,NULL,Built-up,Cropland,NULL,Non_Wetland,Wetland,Built-up,Grassland
209,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Built-up,Forest
210,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland,Built-up,Grassland
211,NULL,Built-up,Bareland,NULL,Non_Wetland,Wetland,Grassland,Built-up
212,NULL,Built-up,Bareland,NULL,Non_Wetland,Wetland,Bareland,Grassland
213,NULL,Built-up,Bareland,NULL,Non_Wetland,Wetland,Bareland,Forest
214,NULL,Built-up,Bareland,NULL,Non_Wetland,Wetland,Built-up,Grassland
215,NULL,Built-up,Bareland,NULL,Non_Wetland,Wetland,Built-up,Bareland
216,NULL,Built-up,Bareland,NULL,Non_Wetland,Wetland,Built-up,Built-up
217,NULL,Built-up,Bareland,NULL,Non_Wetland,Wetland,Built-up,Forest
218,NULL,Built-up,Bareland,NULL,Non_Wetland,Wetland,Forest,Grassland
219,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
220,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Grassland,Built-up
221,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Forest,Grassland
222,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Grassland,Grassland
223,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Grassland,Built-up
224,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Built-up,Grassland
225,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Built-up,Forest
226,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Forest,Grassland
227,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Forest,Built-up
228,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
229,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
230,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
231,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Built-up,Forest
232,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
233,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
234,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
235,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
236,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
237,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
238,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Bareland,Forest
239,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Built-up,Grassland
240,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Built-up,Bareland
241,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Built-up,Built-up
242,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Built-up,Forest
243,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
244,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
245,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,Built-up,Forest
246,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
247,NULL,Water,Grassland,Water,Non_Wetland,Wetland,Water,Water
248,NULL,Water,Wetland,Water,Wetland,Wetland,Water,Water
249,NULL,Water,Forest,NULL,Non_Wetland,Forest,Forest,Forest
250,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
251,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
252,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
253,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
254,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
255,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
256,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
257,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
258,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
259,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
260,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
261,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
262,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
263,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
264,NULL,Forest,Shrubland,NULL,Non_Wetland,Water,NULL,NULL
265,NULL,Forest,Shrubland,NULL,Non_Wetland,Water,NULL,Grassland
266,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
267,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
268,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,NULL,NULL
269,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
270,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
271,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
272,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Forest,NULL
273,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
274,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
275,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
276,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
277,NULL,Forest,Grassland,NULL,Non_Wetland,Water,Forest,Grassland
278,NULL,Forest,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
279,NULL,Forest,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
280,NULL,Forest,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
281,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
282,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,NULL
283,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
284,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
285,NULL,Forest,Wetland,NULL,Wetland,Grassland,NULL,Grassland
286,NULL,Forest,Wetland,NULL,Wetland,Grassland,NULL,Forest
287,NULL,Forest,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
288,NULL,Forest,Wetland,NULL,Wetland,Grassland,Grassland,Forest
289,NULL,Forest,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
290,NULL,Forest,Water,NULL,Water,Grassland,NULL,Forest
291,NULL,Forest,Water,NULL,Water,Grassland,Water,Forest
292,NULL,Forest,Water,NULL,Water,Water,Water,Forest
293,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
294,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
295,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
296,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
297,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,NULL,NULL
298,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
299,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
300,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
301,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
302,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
303,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Water,Forest
304,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,NULL
305,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
306,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Bareland
307,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
308,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Grassland,NULL
309,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
310,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
311,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
312,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
313,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
314,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
315,NULL,Forest,Forest,NULL,Non_Wetland,Water,NULL,Grassland
316,NULL,Forest,Forest,NULL,Non_Wetland,Water,NULL,Forest
317,NULL,Forest,Forest,NULL,Non_Wetland,Water,Grassland,Grassland
318,NULL,Forest,Forest,NULL,Non_Wetland,Water,Grassland,Forest
319,NULL,Forest,Forest,NULL,Non_Wetland,Water,Forest,Grassland
320,NULL,Forest,Forest,NULL,Non_Wetland,Water,Forest,Forest
321,NULL,Forest,Forest,NULL,Non_Wetland,Forest,NULL,NULL
322,NULL,Forest,Forest,NULL,Non_Wetland,Forest,NULL,Grassland
323,NULL,Forest,Forest,NULL,Non_Wetland,Forest,NULL,Forest
324,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
325,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
326,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Forest,NULL
327,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
328,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
329,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
330,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
331,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
332,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
333,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
