Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18NWF_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NWF_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NWF_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NWF_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NWF_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18NWF_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18NWF_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18NWF_M_R
50,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
51,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
52,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
53,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
54,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
55,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
56,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
57,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
58,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
59,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
60,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
61,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
62,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
63,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
64,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
65,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
66,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Water
67,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Grassland
68,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Built-up
69,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Water
70,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Forest
71,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
72,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Grassland
73,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Built-up
74,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Water
75,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Forest
76,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
77,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
78,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
79,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
80,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Built-up
81,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
82,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Built-up
83,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Forest
84,NULL,Built-up,Water,NULL,Water,NULL,NULL,Built-up
85,NULL,Built-up,Water,NULL,Water,NULL,NULL,Water
86,NULL,Built-up,Water,NULL,Water,NULL,NULL,Forest
87,NULL,Built-up,Water,Water,Water,NULL,NULL,Water
88,NULL,Built-up,Water,Water,Water,NULL,NULL,Forest
89,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
90,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
91,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
92,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
93,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
94,NULL,Built-up,Forest,Water,Non_Wetland,NULL,NULL,Forest
95,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
96,NULL,Water,Grassland,Water,Non_Wetland,NULL,NULL,Water
97,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
98,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Built-up
99,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
100,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
101,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
102,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Water
103,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Forest
104,NULL,Water,Water,Water,Water,NULL,NULL,Water
105,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
106,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Grassland
107,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
108,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
109,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
110,NULL,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
111,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
112,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
113,NULL,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Forest
114,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
115,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
116,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
117,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Grassland
118,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Water
119,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Forest
120,NULL,Forest,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
121,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
122,NULL,Forest,Water,Water,Water,NULL,NULL,Grassland
123,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
124,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
125,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
126,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
127,NULL,Forest,Forest,Water,Non_Wetland,NULL,NULL,Grassland
128,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
129,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
130,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
131,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
132,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
133,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
134,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
135,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
136,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
137,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
138,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
139,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
140,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
141,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
142,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
143,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
144,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
145,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
146,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
147,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
148,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
149,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
150,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
151,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
152,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
153,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
154,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
155,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
156,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
157,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
158,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
159,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
160,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
161,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
162,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
163,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
164,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
165,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
166,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
167,Grassland,NULL,Water,NULL,Water,NULL,NULL,Grassland
168,Grassland,NULL,Water,NULL,Water,NULL,NULL,Water
169,Grassland,NULL,Water,NULL,Water,NULL,NULL,Forest
170,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
171,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Forest
172,Grassland,NULL,Water,Water,Water,NULL,NULL,Grassland
173,Grassland,NULL,Water,Water,Water,NULL,NULL,Forest
174,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
175,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
176,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
177,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
178,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
179,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
180,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
181,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
182,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
183,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Built-up
184,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
185,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
186,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
187,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
188,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
189,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
190,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
191,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
192,Grassland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
193,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
194,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
195,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
196,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
197,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
198,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
199,Grassland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
200,Grassland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
201,Grassland,Wetland,Water,Water,Water,NULL,NULL,Grassland
202,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
203,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
204,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
205,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
206,Grassland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
207,Grassland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
208,Grassland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
209,Grassland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
210,Grassland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
211,Grassland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
212,Grassland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
213,Grassland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
214,Grassland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
215,Grassland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
216,Grassland,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
217,Grassland,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
218,Grassland,Water,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
219,Grassland,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
220,Grassland,Water,Wetland,NULL,Wetland,NULL,NULL,Water
221,Grassland,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
222,Grassland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
223,Grassland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
224,Grassland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
225,Grassland,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
226,Grassland,Water,Wetland,Water,Wetland,NULL,NULL,Water
227,Grassland,Water,Wetland,Water,Wetland,NULL,NULL,Forest
228,Grassland,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
229,Grassland,Water,Water,NULL,Water,NULL,NULL,Grassland
230,Grassland,Water,Water,NULL,Water,NULL,NULL,Forest
231,Grassland,Water,Water,Non_Water,Water,NULL,NULL,Forest
232,Grassland,Water,Water,Water,Water,NULL,NULL,Grassland
233,Grassland,Water,Water,Water,Water,NULL,NULL,Forest
234,Grassland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
235,Grassland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
236,Grassland,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
237,Grassland,Water,Forest,Water,Non_Wetland,NULL,NULL,Grassland
238,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
239,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
240,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
241,Grassland,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
242,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
243,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
244,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
245,Grassland,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
246,Grassland,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
247,Grassland,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
248,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,NULL
249,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
250,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
251,Grassland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
252,Grassland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
253,Grassland,Forest,Wetland,Water,Wetland,NULL,NULL,Grassland
254,Grassland,Forest,Wetland,Water,Wetland,NULL,NULL,Water
255,Grassland,Forest,Wetland,Water,Wetland,NULL,NULL,Forest
256,Grassland,Forest,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
257,Grassland,Forest,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
258,Grassland,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
259,Grassland,Forest,Water,NULL,Water,NULL,NULL,Grassland
260,Grassland,Forest,Water,NULL,Water,NULL,NULL,Forest
261,Grassland,Forest,Water,Non_Water,Water,NULL,NULL,Forest
262,Grassland,Forest,Water,Water,Water,NULL,NULL,Grassland
263,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
264,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
265,Grassland,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
266,Grassland,Forest,Forest,Water,Non_Wetland,NULL,NULL,Grassland
267,Grassland,Forest,Forest,Water,Non_Wetland,NULL,NULL,Forest
268,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
269,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
270,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
271,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
272,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
273,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
274,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
275,Cropland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
276,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
277,Cropland,NULL,Water,Non_Water,Water,NULL,NULL,Forest
278,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
279,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
280,Cropland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
281,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
282,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
283,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
284,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
285,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
286,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
287,Cropland,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
288,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
289,Cropland,Water,Wetland,Water,Wetland,NULL,NULL,Forest
290,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
291,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
292,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
293,Cropland,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
294,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
295,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
296,Cropland,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
297,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
298,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
299,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
300,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
301,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
302,Wetland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
303,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
304,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
305,Wetland,NULL,Water,Water,Water,NULL,NULL,Grassland
306,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
307,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
308,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
309,Wetland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
310,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
311,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
312,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Bareland
313,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Water
314,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
315,Wetland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
316,Wetland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Water
317,Wetland,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
318,Wetland,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
319,Wetland,Wetland,Water,NULL,Water,NULL,NULL,Water
320,Wetland,Wetland,Water,NULL,Water,NULL,NULL,Forest
321,Wetland,Wetland,Water,Water,Water,NULL,NULL,Grassland
322,Wetland,Wetland,Water,Water,Water,NULL,NULL,Wetland
323,Wetland,Wetland,Water,Water,Water,NULL,NULL,Water
324,Wetland,Wetland,Water,Water,Water,NULL,NULL,Forest
325,Wetland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
326,Wetland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
327,Wetland,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
328,Wetland,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
329,Wetland,Water,Wetland,NULL,Wetland,NULL,NULL,Wetland
330,Wetland,Water,Wetland,NULL,Wetland,NULL,NULL,Bareland
331,Wetland,Water,Wetland,NULL,Wetland,NULL,NULL,Water
332,Wetland,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
333,Wetland,Water,Wetland,Water,Wetland,NULL,NULL,Water
334,Wetland,Water,Water,NULL,Water,NULL,NULL,Water
335,Wetland,Water,Water,NULL,Water,NULL,NULL,Forest
336,Wetland,Water,Water,Water,Water,NULL,NULL,Grassland
337,Wetland,Water,Water,Water,Water,NULL,NULL,Wetland
338,Wetland,Water,Water,Water,Water,NULL,NULL,Bareland
339,Wetland,Water,Water,Water,Water,NULL,NULL,Water
340,Wetland,Water,Water,Water,Water,NULL,NULL,Forest
341,Wetland,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
342,Wetland,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
343,Wetland,Forest,Forest,Water,Non_Wetland,NULL,NULL,Grassland
344,Bareland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
345,Bareland,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Water
346,Bareland,NULL,Water,Water,Water,NULL,NULL,Water
