Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_24LTR_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LTR_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LTR_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LTR_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LTR_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LTR_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LTR_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24LTR_M_R
871,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Water
872,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Forest
873,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Bareland,Grassland
874,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Bareland,Wetland
875,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Bareland,Bareland
876,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Built-up,Grassland
877,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,NULL
878,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Grassland
879,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Bareland
880,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,NULL,NULL
881,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,NULL,Grassland
882,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,NULL,Wetland
883,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,NULL,Bareland
884,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,NULL,Water
885,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Shrubland,Grassland
886,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Shrubland,Bareland
887,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Shrubland,Water
888,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,NULL
889,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Grassland
890,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Bareland
891,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Water
892,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,NULL
893,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Grassland
894,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Bareland
895,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Water
896,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Built-up,Grassland
897,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Grassland
898,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Bareland
899,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Water
900,NULL,NULL,Shrubland,Water,Non_Wetland,Water,NULL,NULL
901,NULL,NULL,Shrubland,Water,Non_Wetland,Water,NULL,Grassland
902,NULL,NULL,Shrubland,Water,Non_Wetland,Water,NULL,Cropland
903,NULL,NULL,Shrubland,Water,Non_Wetland,Water,NULL,Wetland
904,NULL,NULL,Shrubland,Water,Non_Wetland,Water,NULL,Bareland
905,NULL,NULL,Shrubland,Water,Non_Wetland,Water,NULL,Water
906,NULL,NULL,Shrubland,Water,Non_Wetland,Water,NULL,Forest
907,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Shrubland,NULL
908,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Shrubland,Grassland
909,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Shrubland,Wetland
910,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Shrubland,Water
911,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Shrubland,Forest
912,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Grassland,Grassland
913,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Grassland,Wetland
914,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Grassland,Water
915,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Bareland,Grassland
916,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Built-up,Bareland
917,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,NULL
918,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Grassland
919,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Wetland
920,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Bareland
921,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Water
922,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Forest
923,NULL,NULL,Shrubland,Water,Non_Wetland,Forest,NULL,Forest
924,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
925,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
926,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
927,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
928,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
929,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
930,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Shrubland,NULL
931,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Shrubland,Grassland
932,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Shrubland,Cropland
933,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Shrubland,Bareland
934,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Shrubland,Forest
935,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,NULL
936,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
937,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Cropland
938,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Wetland
939,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Water
940,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
941,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Bareland,NULL
942,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Bareland,Grassland
943,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Bareland,Bareland
944,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Bareland,Forest
945,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Built-up,Grassland
946,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Water,Grassland
947,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Water,Cropland
948,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Water,Built-up
949,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,NULL,NULL
950,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,NULL,Grassland
951,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,NULL,Cropland
952,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,NULL,Wetland
953,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,NULL,Forest
954,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
955,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
956,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
957,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
958,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
959,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,NULL
960,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
961,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
962,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
963,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Water
964,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Forest
965,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
966,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Built-up,NULL
967,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Built-up,Cropland
968,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Water,NULL
969,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Water,Grassland
970,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,NULL
971,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
972,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Cropland
973,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
974,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,NULL
975,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
976,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
977,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
978,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Forest
979,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
980,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
981,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
982,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Wetland
983,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Water
984,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
985,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
986,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Bareland
987,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
988,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,NULL
989,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,NULL
990,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
991,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Bareland
992,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Forest
993,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Shrubland,NULL
994,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
995,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Shrubland,Bareland
996,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,NULL
997,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
998,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
999,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,NULL
1000,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
1001,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Bareland
1002,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Built-up
1003,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Grassland
1004,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Water,Grassland
1005,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Water,Bareland
1006,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Water,Built-up
1007,NULL,NULL,Grassland,NULL,Non_Wetland,Water,NULL,Grassland
1008,NULL,NULL,Grassland,NULL,Non_Wetland,Water,NULL,Cropland
1009,NULL,NULL,Grassland,NULL,Non_Wetland,Water,NULL,Wetland
1010,NULL,NULL,Grassland,NULL,Non_Wetland,Water,NULL,Forest
1011,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Shrubland,Grassland
1012,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,NULL
1013,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
1014,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Wetland
1015,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Water
1016,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Forest
1017,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Bareland,Grassland
1018,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Water,NULL
1019,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Water,Grassland
1020,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,NULL
1021,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Grassland
1022,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Forest
1023,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Shrubland,NULL
1024,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Shrubland,Forest
1025,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
1026,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
1027,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
1028,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
1029,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
1030,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,Shrubland,NULL
1031,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,Shrubland,Forest
1032,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,Grassland,Grassland
1033,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,Grassland,Cropland
1034,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,Grassland,Wetland
1035,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,Grassland,Water
1036,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,Grassland,Forest
1037,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,Bareland,Bareland
1038,NULL,NULL,Grassland,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
1039,NULL,NULL,Grassland,Non_Water,Non_Wetland,Shrubland,NULL,Cropland
1040,NULL,NULL,Grassland,Non_Water,Non_Wetland,Shrubland,NULL,Water
1041,NULL,NULL,Grassland,Non_Water,Non_Wetland,Shrubland,NULL,Forest
1042,NULL,NULL,Grassland,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
1043,NULL,NULL,Grassland,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
1044,NULL,NULL,Grassland,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
1045,NULL,NULL,Grassland,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
1046,NULL,NULL,Grassland,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
1047,NULL,NULL,Grassland,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
1048,NULL,NULL,Grassland,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
1049,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,NULL,NULL
1050,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
1051,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,NULL,Wetland
1052,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,NULL,Forest
1053,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
1054,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
1055,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,NULL
1056,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
1057,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
1058,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
1059,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
1060,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,NULL,Grassland
1061,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,NULL,Water
1062,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,NULL,Forest
1063,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,Shrubland,Grassland
1064,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,Grassland,Grassland
1065,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,Grassland,Forest
1066,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest,NULL,Grassland
1067,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest,NULL,Forest
1068,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest,Grassland,Forest
1069,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,NULL
1070,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
1071,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
1072,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
1073,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
1074,NULL,NULL,Grassland,Water,Non_Wetland,NULL,Grassland,Grassland
1075,NULL,NULL,Grassland,Water,Non_Wetland,NULL,Grassland,Cropland
1076,NULL,NULL,Grassland,Water,Non_Wetland,NULL,Grassland,Wetland
1077,NULL,NULL,Grassland,Water,Non_Wetland,NULL,Bareland,Grassland
1078,NULL,NULL,Grassland,Water,Non_Wetland,NULL,Water,Grassland
1079,NULL,NULL,Grassland,Water,Non_Wetland,Shrubland,NULL,Grassland
1080,NULL,NULL,Grassland,Water,Non_Wetland,Shrubland,NULL,Forest
1081,NULL,NULL,Grassland,Water,Non_Wetland,Shrubland,Grassland,Wetland
1082,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,NULL,Grassland
1083,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,NULL,Wetland
1084,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Grassland
1085,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Wetland
1086,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Water
1087,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Forest
1088,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Water,Grassland
1089,NULL,NULL,Grassland,Water,Non_Wetland,Water,Grassland,Wetland
1090,NULL,NULL,Grassland,Water,Non_Wetland,Water,Grassland,Water
1091,NULL,NULL,Grassland,Water,Non_Wetland,Water,Water,Grassland
1092,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
1093,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
1094,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
1095,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
1096,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
1097,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
1098,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Water
1099,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
1100,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Shrubland,NULL
1101,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Shrubland,Grassland
1102,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Shrubland,Cropland
1103,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Shrubland,Wetland
1104,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Shrubland,Bareland
1105,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Shrubland,Built-up
1106,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Shrubland,Water
1107,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Shrubland,Forest
1108,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,NULL
1109,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Grassland
1110,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Cropland
1111,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Wetland
1112,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Bareland
1113,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Built-up
1114,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Water
1115,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Forest
1116,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,NULL
1117,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Grassland
1118,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Cropland
1119,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Wetland
1120,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Bareland
1121,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Built-up
1122,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Water
1123,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Forest
1124,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up,NULL
1125,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up,Grassland
1126,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up,Cropland
1127,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up,Bareland
1128,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up,Built-up
1129,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Water,NULL
1130,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Water,Grassland
1131,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Water,Wetland
1132,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Water,Bareland
1133,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Water,Water
1134,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Water,Forest
1135,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,NULL,NULL
1136,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,NULL,Grassland
1137,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,NULL,Cropland
1138,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,NULL,Wetland
1139,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,NULL,Bareland
1140,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,NULL,Built-up
1141,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,NULL,Water
1142,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,NULL,Forest
1143,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
1144,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
1145,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
1146,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
1147,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
1148,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
1149,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Water
1150,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
1151,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,NULL
1152,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
1153,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
1154,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
1155,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Bareland
1156,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
1157,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Water
1158,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Forest
1159,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Bareland,NULL
1160,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
1161,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Bareland,Cropland
1162,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Bareland,Bareland
1163,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Bareland,Forest
1164,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Built-up,NULL
1165,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
1166,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Water,NULL
1167,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Water,Grassland
1168,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Water,Water
1169,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Water,Forest
1170,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Forest,NULL
1171,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,NULL
1172,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
1173,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Cropland
1174,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Wetland
1175,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Bareland
1176,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Built-up
1177,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Water
1178,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
1179,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,NULL
1180,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
1181,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
1182,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
1183,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
1184,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
1185,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Water
1186,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Forest
1187,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,NULL
1188,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1189,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
1190,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Wetland
1191,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Bareland
1192,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
1193,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Water
1194,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
1195,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,NULL
1196,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
1197,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Cropland
1198,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Wetland
