Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18MWC_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MWC_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MWC_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MWC_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MWC_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MWC_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MWC_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MWC_M_R
92,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
93,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Water
94,Grassland,NULL,Water,Water,Water,NULL,NULL,Grassland
95,Grassland,NULL,Water,Water,Water,NULL,NULL,Wetland
96,Grassland,NULL,Water,Water,Water,NULL,NULL,Water
97,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
98,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
99,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
100,Grassland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
101,Grassland,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
102,Grassland,Wetland,Water,Non_Water,Water,NULL,NULL,Grassland
103,Grassland,Wetland,Water,Water,Water,NULL,NULL,Water
104,Grassland,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
105,Grassland,Bareland,Water,Water,Water,NULL,NULL,Water
106,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
107,Grassland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
108,Grassland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
109,Grassland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
110,Grassland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
111,Grassland,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
112,Grassland,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
113,Grassland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
114,Grassland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
115,Grassland,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
116,Grassland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
117,Grassland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
118,Grassland,Water,Wetland,Water,Wetland,NULL,NULL,Water
119,Grassland,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
120,Grassland,Water,Water,Water,Water,NULL,NULL,Grassland
121,Grassland,Water,Water,Water,Water,NULL,NULL,Water
122,Grassland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
123,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
124,Grassland,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
125,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
126,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
127,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
128,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
129,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
130,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
131,Grassland,Forest,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
132,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,NULL
133,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
134,Grassland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
135,Grassland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Water
136,Grassland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
137,Grassland,Forest,Wetland,Water,Wetland,NULL,NULL,Grassland
138,Grassland,Forest,Wetland,Water,Wetland,NULL,NULL,Water
139,Grassland,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
140,Grassland,Forest,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
141,Grassland,Forest,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
142,Grassland,Forest,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
143,Grassland,Forest,Water,Non_Water,Water,NULL,NULL,Grassland
144,Grassland,Forest,Water,Non_Water,Water,NULL,NULL,Water
145,Grassland,Forest,Water,Water,Water,NULL,NULL,Grassland
146,Grassland,Forest,Water,Water,Water,NULL,NULL,Water
147,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
148,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
149,Grassland,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
150,Cropland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
151,Cropland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
152,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
153,Cropland,NULL,Water,Water,Water,NULL,NULL,Water
154,Cropland,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
155,Cropland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
156,Cropland,Water,Wetland,Water,Wetland,NULL,NULL,Water
157,Cropland,Water,Water,Water,Water,NULL,NULL,Water
158,Cropland,Water,Water,Water,Water,NULL,NULL,Forest
159,Cropland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
160,Cropland,Forest,Wetland,Water,Wetland,NULL,NULL,Water
161,Cropland,Forest,Wetland,Water,Wetland,NULL,NULL,Forest
162,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
163,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
164,Wetland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
165,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
166,Wetland,NULL,Water,Water,Water,NULL,NULL,Water
167,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
168,Wetland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
169,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
170,Wetland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
171,Wetland,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
172,Wetland,Wetland,Water,Non_Water,Water,NULL,NULL,Grassland
173,Wetland,Wetland,Water,Water,Water,NULL,NULL,Water
174,Wetland,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
175,Wetland,Bareland,Water,Water,Water,NULL,NULL,Water
176,Wetland,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Water
177,Wetland,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
178,Wetland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
179,Wetland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
180,Wetland,Water,Wetland,Water,Wetland,NULL,NULL,Water
181,Wetland,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
182,Wetland,Water,Water,Non_Water,Water,NULL,NULL,Grassland
183,Wetland,Water,Water,Non_Water,Water,NULL,NULL,Water
184,Wetland,Water,Water,Water,Water,NULL,NULL,Water
185,Wetland,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
186,Wetland,Forest,Wetland,NULL,Wetland,NULL,NULL,NULL
187,Wetland,Forest,Wetland,NULL,Wetland,NULL,NULL,Wetland
188,Wetland,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
189,Wetland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
190,Wetland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Water
191,Wetland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
192,Wetland,Forest,Wetland,Water,Wetland,NULL,NULL,Water
193,Wetland,Forest,Water,Non_Water,Water,NULL,NULL,Grassland
194,Wetland,Forest,Water,Non_Water,Water,NULL,NULL,Water
195,Bareland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
196,Bareland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
197,Bareland,NULL,Water,Non_Water,Water,NULL,NULL,Water
198,Bareland,NULL,Water,Water,Water,NULL,NULL,Water
199,Bareland,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
200,Bareland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
201,Bareland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Water
202,Bareland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
203,Bareland,Bareland,Wetland,Water,Wetland,NULL,NULL,Grassland
204,Bareland,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
205,Bareland,Bareland,Wetland,Water,Wetland,NULL,NULL,Forest
206,Bareland,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Water
207,Bareland,Bareland,Water,Non_Water,Water,NULL,NULL,Grassland
208,Bareland,Bareland,Water,Non_Water,Water,NULL,NULL,Water
209,Bareland,Bareland,Water,Water,Water,NULL,NULL,Grassland
210,Bareland,Bareland,Water,Water,Water,NULL,NULL,Water
211,Bareland,Bareland,Water,Water,Water,NULL,NULL,Forest
212,Bareland,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Water
213,Bareland,Built-up,Wetland,Water,Wetland,NULL,NULL,Water
214,Bareland,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
215,Bareland,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
216,Bareland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
217,Bareland,Water,Wetland,NULL,Wetland,NULL,NULL,Water
218,Bareland,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
219,Bareland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
220,Bareland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
221,Bareland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
222,Bareland,Water,Wetland,Water,Wetland,NULL,NULL,Water
223,Bareland,Water,Wetland,Water,Wetland,NULL,NULL,Forest
224,Bareland,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
225,Bareland,Water,Bareland,Water,Non_Wetland,NULL,NULL,Water
226,Bareland,Water,Built-up,Non_Water,Non_Wetland,NULL,NULL,Water
227,Bareland,Water,Built-up,Water,Non_Wetland,NULL,NULL,Water
228,Bareland,Water,Water,NULL,Water,NULL,NULL,Water
229,Bareland,Water,Water,Non_Water,Water,NULL,NULL,Water
230,Bareland,Water,Water,Non_Water,Water,NULL,NULL,Forest
231,Bareland,Water,Water,Water,Water,NULL,NULL,Water
232,Bareland,Water,Water,Water,Water,NULL,NULL,Forest
233,Bareland,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
234,Bareland,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
235,Bareland,Forest,Wetland,Water,Wetland,NULL,NULL,Water
236,Water,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
237,Water,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
238,Water,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
239,Water,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
240,Water,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
241,Water,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
242,Water,NULL,Wetland,Water,Wetland,NULL,NULL,Water
243,Water,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
244,Water,NULL,Lichens_and_Mosses,Water,Non_Wetland,NULL,NULL,Grassland
245,Water,NULL,Water,Non_Water,Water,NULL,NULL,Water
246,Water,NULL,Water,Water,Water,NULL,NULL,Grassland
247,Water,NULL,Water,Water,Water,NULL,NULL,Wetland
248,Water,NULL,Water,Water,Water,NULL,NULL,Water
249,Water,NULL,Water,Water,Water,NULL,NULL,Forest
250,Water,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
251,Water,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
252,Water,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
253,Water,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
254,Water,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
255,Water,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Water
256,Water,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
257,Water,Wetland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
258,Water,Wetland,Water,Non_Water,Water,NULL,NULL,Grassland
259,Water,Wetland,Water,Non_Water,Water,NULL,NULL,Water
260,Water,Wetland,Water,Water,Water,NULL,NULL,Water
261,Water,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
262,Water,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
263,Water,Bareland,Wetland,NULL,Wetland,NULL,NULL,Water
264,Water,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
265,Water,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Water
266,Water,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
267,Water,Bareland,Wetland,Water,Wetland,NULL,NULL,Grassland
268,Water,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
269,Water,Bareland,Wetland,Water,Wetland,NULL,NULL,Forest
270,Water,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Water
271,Water,Bareland,Water,NULL,Water,NULL,NULL,Water
272,Water,Bareland,Water,Non_Water,Water,NULL,NULL,Grassland
273,Water,Bareland,Water,Non_Water,Water,NULL,NULL,Water
274,Water,Bareland,Water,Non_Water,Water,NULL,NULL,Forest
275,Water,Bareland,Water,Water,Water,NULL,NULL,Grassland
276,Water,Bareland,Water,Water,Water,NULL,NULL,Water
277,Water,Bareland,Water,Water,Water,NULL,NULL,Forest
278,Water,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Water
279,Water,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
280,Water,Built-up,Wetland,Water,Wetland,NULL,NULL,Water
281,Water,Water,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
282,Water,Water,NULL,NULL,Non_Wetland,NULL,NULL,Water
283,Water,Water,NULL,NULL,Non_Wetland,NULL,NULL,Forest
284,Water,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
285,Water,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
286,Water,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
287,Water,Water,NULL,Water,Non_Wetland,NULL,NULL,Grassland
288,Water,Water,NULL,Water,Non_Wetland,NULL,NULL,Water
289,Water,Water,NULL,Water,Non_Wetland,NULL,NULL,Forest
290,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
291,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
292,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
293,Water,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
294,Water,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
295,Water,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
296,Water,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
297,Water,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
298,Water,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
299,Water,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
300,Water,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Water
301,Water,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
302,Water,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
303,Water,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
304,Water,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
305,Water,Water,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
306,Water,Water,Grassland,Water,Non_Wetland,NULL,NULL,Water
307,Water,Water,Grassland,Water,Non_Wetland,NULL,NULL,Forest
308,Water,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Water
309,Water,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
310,Water,Water,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
311,Water,Water,Cropland,Non_Water,Non_Wetland,NULL,NULL,Water
312,Water,Water,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
313,Water,Water,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
314,Water,Water,Cropland,Water,Non_Wetland,NULL,NULL,Water
315,Water,Water,Cropland,Water,Non_Wetland,NULL,NULL,Forest
316,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
317,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Wetland
318,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Water
319,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
320,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
321,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
322,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
323,Water,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
324,Water,Water,Wetland,Water,Wetland,NULL,NULL,Wetland
325,Water,Water,Wetland,Water,Wetland,NULL,NULL,Water
326,Water,Water,Wetland,Water,Wetland,NULL,NULL,Forest
327,Water,Water,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Water
328,Water,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Water
329,Water,Water,Lichens_and_Mosses,Water,Non_Wetland,NULL,NULL,Water
330,Water,Water,Lichens_and_Mosses,Water,Non_Wetland,NULL,NULL,Forest
331,Water,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
332,Water,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Water
333,Water,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
334,Water,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
335,Water,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
336,Water,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
337,Water,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
338,Water,Water,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
339,Water,Water,Bareland,Water,Non_Wetland,NULL,NULL,Water
340,Water,Water,Bareland,Water,Non_Wetland,NULL,NULL,Forest
341,Water,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Water
342,Water,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
343,Water,Water,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
344,Water,Water,Built-up,Non_Water,Non_Wetland,NULL,NULL,Water
345,Water,Water,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
346,Water,Water,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
347,Water,Water,Built-up,Water,Non_Wetland,NULL,NULL,Water
348,Water,Water,Built-up,Water,Non_Wetland,NULL,NULL,Forest
349,Water,Water,Water,NULL,Water,NULL,NULL,Grassland
350,Water,Water,Water,NULL,Water,NULL,NULL,Water
351,Water,Water,Water,NULL,Water,NULL,NULL,Forest
352,Water,Water,Water,Non_Water,Water,NULL,NULL,Grassland
353,Water,Water,Water,Non_Water,Water,NULL,NULL,Water
354,Water,Water,Water,Non_Water,Water,NULL,NULL,Forest
355,Water,Water,Water,Water,Water,NULL,NULL,Grassland
356,Water,Water,Water,Water,Water,NULL,NULL,Wetland
357,Water,Water,Water,Water,Water,NULL,NULL,Water
358,Water,Water,Water,Water,Water,NULL,NULL,Forest
359,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
360,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
