Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_17MQR_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17MQR_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MQR_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_17MQR_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17MQR_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_17MQR_M_R
121,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
122,NULL,Bareland,Shrubland,NULL,Non_Wetland,Built-up
123,NULL,Bareland,Shrubland,NULL,Non_Wetland,Forest
124,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Grassland
125,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Bareland
126,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Forest
127,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
128,NULL,Bareland,Grassland,NULL,Non_Wetland,Forest
129,NULL,Bareland,Grassland,Water,Non_Wetland,Grassland
130,NULL,Bareland,Grassland,Water,Non_Wetland,Bareland
131,NULL,Bareland,Cropland,NULL,Non_Wetland,Grassland
132,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland
133,NULL,Bareland,Cropland,NULL,Non_Wetland,Forest
134,NULL,Bareland,Cropland,Non_Water,Non_Wetland,Grassland
135,NULL,Bareland,Cropland,Non_Water,Non_Wetland,Bareland
136,NULL,Bareland,Cropland,Non_Water,Non_Wetland,Water
137,NULL,Bareland,Cropland,Water,Non_Wetland,Grassland
138,NULL,Bareland,Cropland,Water,Non_Wetland,Bareland
139,NULL,Bareland,Cropland,Water,Non_Wetland,Water
140,NULL,Bareland,Cropland,Water,Non_Wetland,Forest
141,NULL,Bareland,Wetland,NULL,Wetland,Bareland
142,NULL,Bareland,Wetland,Non_Water,Wetland,Grassland
143,NULL,Bareland,Wetland,Water,Wetland,Bareland
144,NULL,Bareland,Wetland,Water,Wetland,Water
145,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
146,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
147,NULL,Bareland,Bareland,NULL,Non_Wetland,Water
148,NULL,Bareland,Bareland,NULL,Non_Wetland,Forest
149,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Grassland
150,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
151,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Forest
152,NULL,Bareland,Bareland,Water,Non_Wetland,Bareland
153,NULL,Bareland,Bareland,Water,Non_Wetland,Water
154,NULL,Bareland,Built-up,NULL,Non_Wetland,Grassland
155,NULL,Bareland,Water,NULL,Water,Bareland
156,NULL,Bareland,Water,NULL,Water,Water
157,NULL,Bareland,Water,NULL,Water,Forest
158,NULL,Bareland,Water,Non_Water,Water,Bareland
159,NULL,Bareland,Water,Water,Water,Grassland
160,NULL,Bareland,Water,Water,Water,Bareland
161,NULL,Bareland,Water,Water,Water,Water
162,NULL,Bareland,Water,Water,Water,Forest
163,NULL,Bareland,Forest,NULL,Non_Wetland,Grassland
164,NULL,Bareland,Forest,NULL,Non_Wetland,Bareland
165,NULL,Bareland,Forest,NULL,Non_Wetland,Water
166,NULL,Bareland,Forest,NULL,Non_Wetland,Forest
167,NULL,Bareland,Forest,Non_Water,Non_Wetland,Grassland
168,NULL,Bareland,Forest,Non_Water,Non_Wetland,Forest
169,NULL,Bareland,Forest,Water,Non_Wetland,Bareland
170,NULL,Bareland,Forest,Water,Non_Wetland,Forest
171,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
172,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
173,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
174,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
175,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
176,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
177,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
178,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water
179,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
180,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland
181,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Bareland
182,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Built-up
183,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Water
184,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Forest
185,NULL,Built-up,Shrubland,Water,Non_Wetland,Grassland
186,NULL,Built-up,Shrubland,Water,Non_Wetland,Bareland
187,NULL,Built-up,Shrubland,Water,Non_Wetland,Built-up
188,NULL,Built-up,Shrubland,Water,Non_Wetland,Water
189,NULL,Built-up,Shrubland,Water,Non_Wetland,Forest
190,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
191,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
192,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
193,NULL,Built-up,Grassland,NULL,Non_Wetland,Water
194,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
195,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Grassland
196,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Built-up
197,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Forest
198,NULL,Built-up,Grassland,Water,Non_Wetland,Grassland
199,NULL,Built-up,Grassland,Water,Non_Wetland,Bareland
200,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
201,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
202,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
203,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
204,NULL,Built-up,Cropland,NULL,Non_Wetland,Water
205,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
206,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Grassland
207,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Bareland
208,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Built-up
209,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Water
210,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Forest
211,NULL,Built-up,Cropland,Water,Non_Wetland,Grassland
212,NULL,Built-up,Cropland,Water,Non_Wetland,Cropland
213,NULL,Built-up,Cropland,Water,Non_Wetland,Bareland
214,NULL,Built-up,Cropland,Water,Non_Wetland,Water
215,NULL,Built-up,Cropland,Water,Non_Wetland,Forest
216,NULL,Built-up,Wetland,NULL,Wetland,Grassland
217,NULL,Built-up,Wetland,NULL,Wetland,Water
218,NULL,Built-up,Wetland,NULL,Wetland,Forest
219,NULL,Built-up,Wetland,Non_Water,Wetland,Grassland
220,NULL,Built-up,Wetland,Non_Water,Wetland,Water
221,NULL,Built-up,Wetland,Non_Water,Wetland,Forest
222,NULL,Built-up,Wetland,Water,Wetland,Grassland
223,NULL,Built-up,Wetland,Water,Wetland,Bareland
224,NULL,Built-up,Wetland,Water,Wetland,Water
225,NULL,Built-up,Wetland,Water,Wetland,Forest
226,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
227,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
228,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
229,NULL,Built-up,Bareland,NULL,Non_Wetland,Water
230,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
231,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Grassland
232,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Bareland
233,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Built-up
234,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Forest
235,NULL,Built-up,Bareland,Water,Non_Wetland,Grassland
236,NULL,Built-up,Bareland,Water,Non_Wetland,Bareland
237,NULL,Built-up,Bareland,Water,Non_Wetland,Forest
238,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
239,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
240,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
241,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
242,NULL,Built-up,Built-up,NULL,Non_Wetland,Water
243,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
244,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Grassland
245,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Built-up
246,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Water
247,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Forest
248,NULL,Built-up,Built-up,Water,Non_Wetland,Built-up
249,NULL,Built-up,Built-up,Water,Non_Wetland,Forest
250,NULL,Built-up,Water,NULL,Water,Grassland
251,NULL,Built-up,Water,NULL,Water,Bareland
252,NULL,Built-up,Water,NULL,Water,Built-up
253,NULL,Built-up,Water,NULL,Water,Water
254,NULL,Built-up,Water,NULL,Water,Forest
255,NULL,Built-up,Water,Non_Water,Water,Grassland
256,NULL,Built-up,Water,Non_Water,Water,Bareland
257,NULL,Built-up,Water,Non_Water,Water,Water
258,NULL,Built-up,Water,Non_Water,Water,Forest
259,NULL,Built-up,Water,Water,Water,Grassland
260,NULL,Built-up,Water,Water,Water,Bareland
261,NULL,Built-up,Water,Water,Water,Water
262,NULL,Built-up,Water,Water,Water,Forest
263,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
264,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
265,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
266,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland
267,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
268,NULL,Built-up,Forest,NULL,Non_Wetland,Water
269,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
270,NULL,Built-up,Forest,Non_Water,Non_Wetland,Grassland
271,NULL,Built-up,Forest,Non_Water,Non_Wetland,Bareland
272,NULL,Built-up,Forest,Non_Water,Non_Wetland,Built-up
273,NULL,Built-up,Forest,Non_Water,Non_Wetland,Forest
274,NULL,Built-up,Forest,Water,Non_Wetland,Grassland
275,NULL,Built-up,Forest,Water,Non_Wetland,Cropland
276,NULL,Built-up,Forest,Water,Non_Wetland,Bareland
277,NULL,Built-up,Forest,Water,Non_Wetland,Water
278,NULL,Built-up,Forest,Water,Non_Wetland,Forest
279,NULL,Water,NULL,NULL,Non_Wetland,Water
280,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
281,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland
282,NULL,Water,Shrubland,NULL,Non_Wetland,Built-up
283,NULL,Water,Shrubland,NULL,Non_Wetland,Water
284,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
285,NULL,Water,Shrubland,Non_Water,Non_Wetland,Grassland
286,NULL,Water,Shrubland,Non_Water,Non_Wetland,Bareland
287,NULL,Water,Shrubland,Non_Water,Non_Wetland,Forest
288,NULL,Water,Shrubland,Water,Non_Wetland,Grassland
289,NULL,Water,Shrubland,Water,Non_Wetland,Bareland
290,NULL,Water,Shrubland,Water,Non_Wetland,Water
291,NULL,Water,Shrubland,Water,Non_Wetland,Forest
292,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
293,NULL,Water,Grassland,NULL,Non_Wetland,Bareland
294,NULL,Water,Grassland,Non_Water,Non_Wetland,Bareland
295,NULL,Water,Grassland,Water,Non_Wetland,Bareland
296,NULL,Water,Grassland,Water,Non_Wetland,Water
297,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
298,NULL,Water,Cropland,NULL,Non_Wetland,Cropland
299,NULL,Water,Cropland,NULL,Non_Wetland,Bareland
300,NULL,Water,Cropland,NULL,Non_Wetland,Water
301,NULL,Water,Cropland,NULL,Non_Wetland,Forest
302,NULL,Water,Cropland,Non_Water,Non_Wetland,Grassland
303,NULL,Water,Cropland,Non_Water,Non_Wetland,Bareland
304,NULL,Water,Cropland,Non_Water,Non_Wetland,Water
305,NULL,Water,Cropland,Non_Water,Non_Wetland,Forest
306,NULL,Water,Cropland,Water,Non_Wetland,Grassland
307,NULL,Water,Cropland,Water,Non_Wetland,Bareland
308,NULL,Water,Cropland,Water,Non_Wetland,Water
309,NULL,Water,Cropland,Water,Non_Wetland,Forest
310,NULL,Water,Wetland,NULL,Wetland,Bareland
311,NULL,Water,Wetland,NULL,Wetland,Forest
312,NULL,Water,Wetland,Non_Water,Wetland,Water
313,NULL,Water,Wetland,Water,Wetland,Grassland
314,NULL,Water,Wetland,Water,Wetland,Bareland
315,NULL,Water,Wetland,Water,Wetland,Water
316,NULL,Water,Wetland,Water,Wetland,Forest
317,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
318,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
319,NULL,Water,Bareland,NULL,Non_Wetland,Forest
320,NULL,Water,Bareland,Non_Water,Non_Wetland,Bareland
321,NULL,Water,Bareland,Water,Non_Wetland,Grassland
322,NULL,Water,Bareland,Water,Non_Wetland,Bareland
323,NULL,Water,Bareland,Water,Non_Wetland,Water
324,NULL,Water,Built-up,NULL,Non_Wetland,Bareland
325,NULL,Water,Built-up,NULL,Non_Wetland,Built-up
326,NULL,Water,Water,NULL,Water,Grassland
327,NULL,Water,Water,NULL,Water,Bareland
328,NULL,Water,Water,NULL,Water,Water
329,NULL,Water,Water,NULL,Water,Forest
330,NULL,Water,Water,Non_Water,Water,Bareland
331,NULL,Water,Water,Water,Water,Grassland
332,NULL,Water,Water,Water,Water,Bareland
333,NULL,Water,Water,Water,Water,Built-up
334,NULL,Water,Water,Water,Water,Water
335,NULL,Water,Water,Water,Water,Forest
336,NULL,Water,Forest,NULL,Non_Wetland,Grassland
337,NULL,Water,Forest,NULL,Non_Wetland,Bareland
338,NULL,Water,Forest,NULL,Non_Wetland,Built-up
339,NULL,Water,Forest,NULL,Non_Wetland,Water
340,NULL,Water,Forest,NULL,Non_Wetland,Forest
341,NULL,Water,Forest,Non_Water,Non_Wetland,Grassland
342,NULL,Water,Forest,Non_Water,Non_Wetland,Bareland
343,NULL,Water,Forest,Non_Water,Non_Wetland,Forest
344,NULL,Water,Forest,Water,Non_Wetland,Grassland
345,NULL,Water,Forest,Water,Non_Wetland,Bareland
346,NULL,Water,Forest,Water,Non_Wetland,Water
347,NULL,Water,Forest,Water,Non_Wetland,Forest
348,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
349,NULL,Forest,NULL,NULL,Non_Wetland,Forest
350,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
351,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
352,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
353,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
354,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
355,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
356,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
357,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Forest
358,NULL,Forest,Shrubland,Water,Non_Wetland,Bareland
359,NULL,Forest,Shrubland,Water,Non_Wetland,Forest
360,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
361,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
362,NULL,Forest,Grassland,NULL,Non_Wetland,Built-up
363,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
364,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
365,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
366,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland
367,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up
368,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
369,NULL,Forest,Cropland,Non_Water,Non_Wetland,Forest
370,NULL,Forest,Cropland,Water,Non_Wetland,Grassland
371,NULL,Forest,Cropland,Water,Non_Wetland,Forest
372,NULL,Forest,Wetland,Non_Water,Wetland,Bareland
373,NULL,Forest,Wetland,Non_Water,Wetland,Forest
374,NULL,Forest,Wetland,Water,Wetland,Water
375,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
376,NULL,Forest,Bareland,NULL,Non_Wetland,Bareland
377,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
378,NULL,Forest,Bareland,Non_Water,Non_Wetland,Water
379,NULL,Forest,Bareland,Non_Water,Non_Wetland,Forest
380,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
381,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up
382,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
383,NULL,Forest,Water,NULL,Water,Forest
384,NULL,Forest,Water,Non_Water,Water,Forest
385,NULL,Forest,Water,Water,Water,Water
386,NULL,Forest,Water,Water,Water,Forest
387,NULL,Forest,Forest,NULL,Non_Wetland,NULL
388,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
389,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
390,NULL,Forest,Forest,NULL,Non_Wetland,Bareland
391,NULL,Forest,Forest,NULL,Non_Wetland,Built-up
392,NULL,Forest,Forest,NULL,Non_Wetland,Water
393,NULL,Forest,Forest,NULL,Non_Wetland,Forest
394,NULL,Forest,Forest,Non_Water,Non_Wetland,Grassland
395,NULL,Forest,Forest,Non_Water,Non_Wetland,Bareland
396,NULL,Forest,Forest,Non_Water,Non_Wetland,Forest
397,NULL,Forest,Forest,Water,Non_Wetland,Forest
398,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
399,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
400,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
401,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
402,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland
403,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up
404,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
405,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
406,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
407,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
408,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
409,Grassland,NULL,Shrubland,Water,Non_Wetland,Bareland
410,Grassland,NULL,Shrubland,Water,Non_Wetland,Forest
411,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL
412,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
413,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland
414,Grassland,NULL,Grassland,NULL,Non_Wetland,Built-up
415,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest
416,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
417,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
418,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland
419,Grassland,NULL,Cropland,NULL,Non_Wetland,Built-up
420,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
421,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
422,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Bareland
423,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Forest
424,Grassland,NULL,Cropland,Water,Non_Wetland,Grassland
425,Grassland,NULL,Cropland,Water,Non_Wetland,Forest
426,Grassland,NULL,Wetland,NULL,Wetland,Forest
427,Grassland,NULL,Wetland,Water,Wetland,Water
428,Grassland,NULL,Wetland,Water,Wetland,Forest
429,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL
430,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
431,Grassland,NULL,Bareland,NULL,Non_Wetland,Bareland
432,Grassland,NULL,Bareland,NULL,Non_Wetland,Built-up
433,Grassland,NULL,Bareland,NULL,Non_Wetland,Forest
434,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
