Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20NPF_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NPF_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NPF_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NPF_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NPF_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NPF_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NPF_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20NPF_M_R
54,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Wetland
55,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Bareland
56,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Water
57,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Grassland
58,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Wetland
59,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Water
60,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
61,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
62,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
63,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
64,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Wetland
65,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
66,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
67,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Wetland
68,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,NULL
69,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
70,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Wetland
71,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
72,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,Wetland
73,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
74,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
75,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Wetland
76,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Bareland
77,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Grassland
78,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Wetland
79,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Forest
80,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
81,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
82,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
83,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland,Wetland,Grassland
84,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
85,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
86,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Water,Wetland
87,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,Wetland,Grassland
88,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,Wetland,Wetland
89,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,Water,Wetland
90,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest,Wetland,Grassland
91,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Wetland,Grassland
92,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Grassland
93,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Wetland
94,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Water,Wetland
95,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Wetland,Grassland
96,NULL,NULL,Grassland,Water,Non_Wetland,Water,Wetland,Grassland
97,NULL,NULL,Grassland,Water,Non_Wetland,Water,Wetland,Wetland
98,NULL,NULL,Grassland,Water,Non_Wetland,Water,Wetland,Water
99,NULL,NULL,Grassland,Water,Non_Wetland,Water,Wetland,Forest
100,NULL,NULL,Grassland,Water,Non_Wetland,Water,Water,Grassland
101,NULL,NULL,Grassland,Water,Non_Wetland,Forest,Wetland,Grassland
102,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Wetland
103,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
104,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Wetland,Grassland
105,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
106,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,NULL
107,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
108,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Wetland
109,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
110,NULL,NULL,Wetland,NULL,Wetland,Cropland,Wetland,Grassland
111,NULL,NULL,Wetland,NULL,Wetland,Cropland,Wetland,Forest
112,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,NULL
113,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,Grassland
114,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,Wetland
115,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,Forest
116,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,NULL
117,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
118,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Wetland
119,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
120,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
121,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
122,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
123,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Water
124,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
125,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,NULL
126,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Grassland
127,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Wetland
128,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Water
129,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Forest
130,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,NULL
131,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Grassland
132,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Wetland
133,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Forest
134,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
135,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Wetland
136,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Forest
137,NULL,NULL,Wetland,NULL,Wetland,Water,NULL,Grassland
138,NULL,NULL,Wetland,NULL,Wetland,Water,NULL,Wetland
139,NULL,NULL,Wetland,NULL,Wetland,Water,NULL,Forest
140,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Grassland
141,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Wetland
142,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Forest
143,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,NULL
144,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
145,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Wetland
146,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Bareland
147,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Water
148,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
149,NULL,NULL,Wetland,NULL,Wetland,Water,Water,NULL
150,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Grassland
151,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Wetland
152,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Water
153,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Forest
154,NULL,NULL,Wetland,NULL,Wetland,Water,Forest,Grassland
155,NULL,NULL,Wetland,NULL,Wetland,Water,Forest,Wetland
156,NULL,NULL,Wetland,NULL,Wetland,Water,Forest,Forest
157,NULL,NULL,Wetland,Non_Water,Wetland,Shrubland,Wetland,Wetland
158,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
159,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Wetland
160,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Forest
161,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,NULL,Forest
162,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Grassland,Wetland
163,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,NULL
164,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
165,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
166,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
167,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
168,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Wetland
169,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Forest
170,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Forest,Forest
171,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Wetland,Grassland
172,NULL,NULL,Wetland,Non_Water,Wetland,Water,NULL,Wetland
173,NULL,NULL,Wetland,Non_Water,Wetland,Water,NULL,Forest
174,NULL,NULL,Wetland,Non_Water,Wetland,Water,Grassland,Wetland
175,NULL,NULL,Wetland,Non_Water,Wetland,Water,Grassland,Water
176,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
177,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Wetland
178,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Water
179,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Forest
180,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Grassland
181,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Wetland
182,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Water
183,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Forest
184,NULL,NULL,Wetland,Non_Water,Wetland,Water,Forest,Grassland
185,NULL,NULL,Wetland,Non_Water,Wetland,Water,Forest,Forest
186,NULL,NULL,Wetland,Water,Wetland,NULL,Wetland,Wetland
187,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Grassland
188,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Wetland
189,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Forest
190,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Grassland
191,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Wetland
192,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Water
193,NULL,NULL,Wetland,Water,Wetland,Wetland,Grassland,Grassland
194,NULL,NULL,Wetland,Water,Wetland,Wetland,Grassland,Wetland
195,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,NULL
196,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
197,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Wetland
198,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Water
199,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Forest
200,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,NULL
201,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Grassland
202,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Wetland
203,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Forest
204,NULL,NULL,Wetland,Water,Wetland,Bareland,Wetland,Grassland
205,NULL,NULL,Wetland,Water,Wetland,Bareland,Wetland,Wetland
206,NULL,NULL,Wetland,Water,Wetland,Water,NULL,Wetland
207,NULL,NULL,Wetland,Water,Wetland,Water,Grassland,Wetland
208,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Grassland
209,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Wetland
210,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Water
211,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Forest
212,NULL,NULL,Wetland,Water,Wetland,Water,Water,Grassland
213,NULL,NULL,Wetland,Water,Wetland,Water,Water,Wetland
214,NULL,NULL,Wetland,Water,Wetland,Water,Water,Bareland
215,NULL,NULL,Wetland,Water,Wetland,Water,Water,Water
216,NULL,NULL,Wetland,Water,Wetland,Water,Water,Forest
217,NULL,NULL,Wetland,Water,Wetland,Water,Forest,Grassland
218,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,NULL
219,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
220,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Wetland
221,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
222,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Wetland,Grassland
223,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Wetland,Wetland
224,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Water,Wetland
225,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
226,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
227,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Water,Wetland
228,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water,Wetland,Wetland
229,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water,Wetland,Forest
230,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water,Water,Wetland
231,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Wetland,Grassland
232,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Wetland,Wetland
233,NULL,NULL,Bareland,Water,Non_Wetland,Water,Wetland,Wetland
234,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Wetland,Grassland
235,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Wetland,Forest
236,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,Grassland
237,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,Wetland
238,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,Built-up
239,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,Forest
240,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Bareland,Grassland
241,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Bareland,Forest
242,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Wetland,Grassland
243,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Wetland,Wetland
244,NULL,NULL,Built-up,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
245,NULL,NULL,Built-up,Non_Water,Non_Wetland,Water,Wetland,Wetland
246,NULL,NULL,Built-up,Non_Water,Non_Wetland,Water,Water,Wetland
247,NULL,NULL,Built-up,Water,Non_Wetland,Wetland,Wetland,Wetland
248,NULL,NULL,Water,NULL,Water,Grassland,Wetland,Grassland
249,NULL,NULL,Water,NULL,Water,Grassland,Wetland,Wetland
250,NULL,NULL,Water,NULL,Water,Wetland,Grassland,Wetland
251,NULL,NULL,Water,NULL,Water,Wetland,Grassland,Forest
252,NULL,NULL,Water,NULL,Water,Wetland,Wetland,NULL
253,NULL,NULL,Water,NULL,Water,Wetland,Wetland,Grassland
254,NULL,NULL,Water,NULL,Water,Wetland,Wetland,Wetland
255,NULL,NULL,Water,NULL,Water,Wetland,Wetland,Forest
256,NULL,NULL,Water,NULL,Water,Wetland,Water,Grassland
257,NULL,NULL,Water,NULL,Water,Wetland,Water,Wetland
258,NULL,NULL,Water,NULL,Water,Wetland,Water,Forest
259,NULL,NULL,Water,NULL,Water,Wetland,Forest,Wetland
260,NULL,NULL,Water,NULL,Water,Water,NULL,Wetland
261,NULL,NULL,Water,NULL,Water,Water,NULL,Forest
262,NULL,NULL,Water,NULL,Water,Water,Grassland,Grassland
263,NULL,NULL,Water,NULL,Water,Water,Grassland,Wetland
264,NULL,NULL,Water,NULL,Water,Water,Wetland,Grassland
265,NULL,NULL,Water,NULL,Water,Water,Wetland,Wetland
266,NULL,NULL,Water,NULL,Water,Water,Wetland,Water
267,NULL,NULL,Water,NULL,Water,Water,Wetland,Forest
268,NULL,NULL,Water,NULL,Water,Water,Water,Grassland
269,NULL,NULL,Water,NULL,Water,Water,Water,Wetland
270,NULL,NULL,Water,NULL,Water,Water,Water,Water
271,NULL,NULL,Water,NULL,Water,Water,Water,Forest
272,NULL,NULL,Water,Non_Water,Water,Grassland,Wetland,Grassland
273,NULL,NULL,Water,Non_Water,Water,Wetland,Wetland,Grassland
274,NULL,NULL,Water,Non_Water,Water,Wetland,Wetland,Wetland
275,NULL,NULL,Water,Non_Water,Water,Wetland,Wetland,Forest
276,NULL,NULL,Water,Non_Water,Water,Wetland,Water,Grassland
277,NULL,NULL,Water,Non_Water,Water,Wetland,Water,Wetland
278,NULL,NULL,Water,Non_Water,Water,Wetland,Water,Forest
279,NULL,NULL,Water,Non_Water,Water,Water,Grassland,Wetland
280,NULL,NULL,Water,Non_Water,Water,Water,Grassland,Forest
281,NULL,NULL,Water,Non_Water,Water,Water,Wetland,Grassland
282,NULL,NULL,Water,Non_Water,Water,Water,Wetland,Wetland
283,NULL,NULL,Water,Non_Water,Water,Water,Wetland,Water
284,NULL,NULL,Water,Non_Water,Water,Water,Wetland,Forest
285,NULL,NULL,Water,Non_Water,Water,Water,Water,Grassland
286,NULL,NULL,Water,Non_Water,Water,Water,Water,Wetland
287,NULL,NULL,Water,Non_Water,Water,Water,Water,Water
288,NULL,NULL,Water,Non_Water,Water,Water,Water,Forest
289,NULL,NULL,Water,Water,Water,Grassland,Wetland,Grassland
290,NULL,NULL,Water,Water,Water,Grassland,Wetland,Wetland
291,NULL,NULL,Water,Water,Water,Grassland,Wetland,Forest
292,NULL,NULL,Water,Water,Water,Grassland,Water,Grassland
293,NULL,NULL,Water,Water,Water,Wetland,Grassland,Wetland
294,NULL,NULL,Water,Water,Water,Wetland,Wetland,NULL
295,NULL,NULL,Water,Water,Water,Wetland,Wetland,Grassland
296,NULL,NULL,Water,Water,Water,Wetland,Wetland,Wetland
297,NULL,NULL,Water,Water,Water,Wetland,Wetland,Water
298,NULL,NULL,Water,Water,Water,Wetland,Wetland,Forest
299,NULL,NULL,Water,Water,Water,Wetland,Water,Grassland
300,NULL,NULL,Water,Water,Water,Wetland,Water,Wetland
301,NULL,NULL,Water,Water,Water,Wetland,Water,Water
302,NULL,NULL,Water,Water,Water,Wetland,Water,Forest
303,NULL,NULL,Water,Water,Water,Water,NULL,Wetland
304,NULL,NULL,Water,Water,Water,Water,Grassland,Wetland
305,NULL,NULL,Water,Water,Water,Water,Wetland,Grassland
306,NULL,NULL,Water,Water,Water,Water,Wetland,Wetland
307,NULL,NULL,Water,Water,Water,Water,Wetland,Bareland
308,NULL,NULL,Water,Water,Water,Water,Wetland,Water
309,NULL,NULL,Water,Water,Water,Water,Wetland,Forest
310,NULL,NULL,Water,Water,Water,Water,Water,Grassland
311,NULL,NULL,Water,Water,Water,Water,Water,Wetland
312,NULL,NULL,Water,Water,Water,Water,Water,Bareland
313,NULL,NULL,Water,Water,Water,Water,Water,Water
314,NULL,NULL,Water,Water,Water,Water,Water,Forest
315,NULL,NULL,Water,Water,Water,Water,Forest,Water
316,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Grassland
317,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
318,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
319,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Built-up
320,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,NULL
321,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
322,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Wetland
323,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
324,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Water,Grassland
325,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
326,NULL,NULL,Forest,NULL,Non_Wetland,Cropland,Wetland,NULL
327,NULL,NULL,Forest,NULL,Non_Wetland,Cropland,Wetland,Forest
328,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Wetland
329,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,NULL
330,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
331,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
332,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
333,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
334,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Wetland
335,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
336,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Water,Wetland
337,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Water,Forest
338,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
339,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Grassland
340,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Forest
341,NULL,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Grassland
342,NULL,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Wetland
343,NULL,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Forest
344,NULL,NULL,Forest,NULL,Non_Wetland,Water,Forest,Forest
345,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
346,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
347,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
348,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Water,Wetland
349,NULL,NULL,Forest,Non_Water,Non_Wetland,Water,Wetland,Wetland
