Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21NYE_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NYE_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NYE_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NYE_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NYE_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NYE_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NYE_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21NYE_M_R
52,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
53,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
54,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
55,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
56,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
57,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
58,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
59,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
60,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
61,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
62,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
63,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
64,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
65,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
66,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
67,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
68,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
69,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
70,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
71,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
72,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
73,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
74,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Built-up
75,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
76,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
77,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Forest
78,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
79,NULL,NULL,Water,NULL,Water,NULL,NULL,Wetland
80,NULL,NULL,Water,NULL,Water,NULL,NULL,Bareland
81,NULL,NULL,Water,NULL,Water,NULL,NULL,Water
82,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
83,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
84,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
85,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Bareland
86,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Water
87,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Forest
88,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
89,NULL,NULL,Water,Water,Water,NULL,NULL,Wetland
90,NULL,NULL,Water,Water,Water,NULL,NULL,Bareland
91,NULL,NULL,Water,Water,Water,NULL,NULL,Water
92,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
93,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
94,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
95,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
96,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
97,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
98,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
99,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
100,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
101,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
102,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Built-up
103,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
104,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
105,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
106,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
107,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Bareland
108,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
109,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
110,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
111,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
112,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Water
113,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
114,NULL,Cropland,NULL,Water,Non_Wetland,NULL,NULL,Bareland
115,NULL,Cropland,NULL,Water,Non_Wetland,NULL,NULL,Water
116,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
117,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
118,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
119,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
120,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
121,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
122,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
123,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
124,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
125,NULL,Cropland,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
126,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
127,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
128,NULL,Cropland,Water,NULL,Water,NULL,NULL,Grassland
129,NULL,Cropland,Water,NULL,Water,NULL,NULL,Forest
130,NULL,Cropland,Water,Water,Water,NULL,NULL,Grassland
131,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
132,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
133,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
134,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
135,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Bareland
136,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
137,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
138,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Water
139,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
140,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
141,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
142,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
143,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
144,NULL,Wetland,NULL,Water,Non_Wetland,NULL,NULL,Grassland
145,NULL,Wetland,NULL,Water,Non_Wetland,NULL,NULL,Bareland
146,NULL,Wetland,NULL,Water,Non_Wetland,NULL,NULL,Water
147,NULL,Wetland,NULL,Water,Non_Wetland,NULL,NULL,Forest
148,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
149,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
150,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
151,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
152,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
153,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
154,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
155,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
156,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
157,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
158,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
159,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
160,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
161,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
162,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
163,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
164,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
165,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
166,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
167,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
168,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
169,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Water
170,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
171,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
172,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Bareland
173,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Water
174,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
175,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
176,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
177,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
178,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Water
179,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
180,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
181,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
182,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Bareland
183,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
184,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Forest
185,NULL,Wetland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
186,NULL,Wetland,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
187,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
188,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
189,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
190,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
191,NULL,Wetland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
192,NULL,Wetland,Water,NULL,Water,NULL,NULL,Grassland
193,NULL,Wetland,Water,NULL,Water,NULL,NULL,Wetland
194,NULL,Wetland,Water,NULL,Water,NULL,NULL,Bareland
195,NULL,Wetland,Water,NULL,Water,NULL,NULL,Water
196,NULL,Wetland,Water,NULL,Water,NULL,NULL,Forest
197,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Grassland
198,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Wetland
199,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Bareland
200,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Water
201,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Forest
202,NULL,Wetland,Water,Water,Water,NULL,NULL,Grassland
203,NULL,Wetland,Water,Water,Water,NULL,NULL,Wetland
204,NULL,Wetland,Water,Water,Water,NULL,NULL,Bareland
205,NULL,Wetland,Water,Water,Water,NULL,NULL,Built-up
206,NULL,Wetland,Water,Water,Water,NULL,NULL,Water
207,NULL,Wetland,Water,Water,Water,NULL,NULL,Forest
208,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
209,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
210,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Water
211,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
212,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
213,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
214,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
215,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
216,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
217,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Wetland
218,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Bareland
219,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Water
220,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Forest
221,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
222,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
223,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Water
224,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
225,NULL,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
226,NULL,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
227,NULL,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
228,NULL,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
229,NULL,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Grassland
230,NULL,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Bareland
231,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
232,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
233,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
234,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
235,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
236,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
237,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
238,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
239,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
240,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
241,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
242,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
243,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
244,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
245,NULL,Bareland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
246,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
247,NULL,Bareland,Cropland,Water,Non_Wetland,NULL,NULL,Bareland
248,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Grassland
249,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Bareland
250,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Water
251,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Forest
252,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
253,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Water
254,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
255,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Grassland
256,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Bareland
257,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
258,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Forest
259,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
260,NULL,Bareland,Built-up,Water,Non_Wetland,NULL,NULL,Water
261,NULL,Bareland,Water,NULL,Water,NULL,NULL,Grassland
262,NULL,Bareland,Water,NULL,Water,NULL,NULL,Bareland
263,NULL,Bareland,Water,NULL,Water,NULL,NULL,Forest
264,NULL,Bareland,Water,Non_Water,Water,NULL,NULL,Grassland
265,NULL,Bareland,Water,Non_Water,Water,NULL,NULL,Bareland
266,NULL,Bareland,Water,Water,Water,NULL,NULL,Grassland
267,NULL,Bareland,Water,Water,Water,NULL,NULL,Wetland
268,NULL,Bareland,Water,Water,Water,NULL,NULL,Bareland
269,NULL,Bareland,Water,Water,Water,NULL,NULL,Water
270,NULL,Bareland,Water,Water,Water,NULL,NULL,Forest
271,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
272,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
273,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Water
274,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
275,NULL,Bareland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
276,NULL,Bareland,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
277,NULL,Bareland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
278,NULL,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
279,NULL,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Bareland
280,NULL,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Water
281,NULL,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Forest
282,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
283,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
284,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
285,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Water
286,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
287,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
288,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
289,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
290,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
291,NULL,Built-up,NULL,Water,Non_Wetland,NULL,NULL,Grassland
292,NULL,Built-up,NULL,Water,Non_Wetland,NULL,NULL,Bareland
293,NULL,Built-up,NULL,Water,Non_Wetland,NULL,NULL,Water
294,NULL,Built-up,NULL,Water,Non_Wetland,NULL,NULL,Forest
295,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
296,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
297,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
298,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
299,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
300,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
301,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
302,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
303,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Built-up
304,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
305,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
306,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
307,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
308,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Built-up
309,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Water
310,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
311,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
312,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
313,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
314,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Water
315,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
316,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
317,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
318,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
319,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Forest
320,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
321,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
322,NULL,Built-up,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
323,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Grassland
324,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Bareland
325,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Built-up
326,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Water
327,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Forest
328,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,NULL
329,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
330,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
331,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Forest
332,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Grassland
333,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Bareland
334,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Built-up
335,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Water
336,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Forest
337,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
338,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
339,NULL,Built-up,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
340,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
341,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
342,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
343,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Water
