Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21KYA_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KYA_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KYA_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KYA_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KYA_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KYA_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KYA_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21KYA_M_R
1043,NULL,NULL,Water,Water,Water,Water,Water,Water
1044,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
1045,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
1046,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
1047,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
1048,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
1049,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Shrubland,NULL
1050,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Shrubland,Grassland
1051,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Shrubland,Wetland
1052,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Shrubland,Water
1053,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Shrubland,Forest
1054,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,NULL
1055,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Grassland
1056,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Cropland
1057,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
1058,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,NULL
1059,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Grassland
1060,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Wetland
1061,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
1062,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Water,Grassland
1063,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,NULL
1064,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Grassland
1065,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
1066,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,NULL,NULL
1067,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,NULL,Grassland
1068,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,NULL,Wetland
1069,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,NULL,Forest
1070,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Shrubland,NULL
1071,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
1072,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
1073,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Forest
1074,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,NULL
1075,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,Grassland
1076,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,Wetland
1077,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,Forest
1078,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Wetland,NULL
1079,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Wetland,Grassland
1080,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Wetland,Wetland
1081,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Wetland,Forest
1082,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Bareland,NULL
1083,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Bareland,Grassland
1084,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Water,Grassland
1085,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Water,Wetland
1086,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Water,Forest
1087,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Forest,NULL
1088,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Forest,Grassland
1089,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Forest,Wetland
1090,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Forest,Forest
1091,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,NULL
1092,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
1093,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Cropland
1094,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
1095,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,NULL
1096,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Grassland
1097,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Cropland
1098,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Wetland
1099,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Bareland
1100,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Forest
1101,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
1102,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
1103,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Cropland
1104,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Wetland
1105,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Bareland
1106,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
1107,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,NULL
1108,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
1109,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Wetland
1110,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
1111,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
1112,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Built-up
1113,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Water,Wetland
1114,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,NULL
1115,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
1116,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Cropland
1117,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Wetland
1118,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
1119,NULL,NULL,Forest,NULL,Non_Wetland,Cropland,NULL,Grassland
1120,NULL,NULL,Forest,NULL,Non_Wetland,Cropland,NULL,Forest
1121,NULL,NULL,Forest,NULL,Non_Wetland,Cropland,Grassland,Grassland
1122,NULL,NULL,Forest,NULL,Non_Wetland,Cropland,Grassland,Forest
1123,NULL,NULL,Forest,NULL,Non_Wetland,Cropland,Forest,Forest
1124,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,NULL
1125,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Grassland
1126,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
1127,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Shrubland,NULL
1128,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Shrubland,Grassland
1129,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Shrubland,Wetland
1130,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Shrubland,Forest
1131,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,NULL
1132,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
1133,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Wetland
1134,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Bareland
1135,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
1136,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
1137,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
1138,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Wetland
1139,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Bareland
1140,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Water
1141,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
1142,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Water,NULL
1143,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Water,Grassland
1144,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Water,Wetland
1145,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Water,Bareland
1146,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Water,Water
1147,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Water,Forest
1148,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,NULL
1149,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
1150,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Wetland
1151,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
1152,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,NULL,Grassland
1153,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,NULL,Forest
1154,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Shrubland,NULL
1155,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Shrubland,Grassland
1156,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Shrubland,Bareland
1157,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Shrubland,Forest
1158,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,NULL
1159,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
1160,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Wetland
1161,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
1162,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,NULL
1163,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Grassland
1164,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Wetland
1165,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
1166,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,NULL
1167,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
1168,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
1169,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Water,Grassland
1170,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Water,Wetland
1171,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Water,Bareland
1172,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Water,Forest
1173,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,NULL
1174,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Grassland
1175,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Bareland
1176,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
1177,NULL,NULL,Forest,NULL,Non_Wetland,Water,NULL,Grassland
1178,NULL,NULL,Forest,NULL,Non_Wetland,Water,NULL,Bareland
1179,NULL,NULL,Forest,NULL,Non_Wetland,Water,Shrubland,Forest
1180,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Grassland
1181,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Wetland
1182,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Forest
1183,NULL,NULL,Forest,NULL,Non_Wetland,Water,Wetland,NULL
1184,NULL,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Grassland
1185,NULL,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Wetland
1186,NULL,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Water
1187,NULL,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Forest
1188,NULL,NULL,Forest,NULL,Non_Wetland,Water,Water,NULL
1189,NULL,NULL,Forest,NULL,Non_Wetland,Water,Water,Grassland
1190,NULL,NULL,Forest,NULL,Non_Wetland,Water,Water,Wetland
1191,NULL,NULL,Forest,NULL,Non_Wetland,Water,Water,Water
1192,NULL,NULL,Forest,NULL,Non_Wetland,Water,Forest,Forest
1193,NULL,NULL,Forest,NULL,Non_Wetland,Forest,NULL,NULL
1194,NULL,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Grassland
1195,NULL,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Forest
1196,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Shrubland,NULL
1197,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Shrubland,Grassland
1198,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Shrubland,Wetland
1199,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Shrubland,Forest
1200,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,NULL
1201,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
1202,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Wetland
1203,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
1204,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,NULL
1205,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Grassland
1206,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Wetland
1207,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
1208,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,NULL
1209,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
1210,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Cropland
1211,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Wetland
1212,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
1213,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
1214,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,Shrubland,Water
1215,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,Grassland,Grassland
1216,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,Wetland,Grassland
1217,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,Wetland,Wetland
1218,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,Water,Grassland
1219,NULL,NULL,Forest,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
1220,NULL,NULL,Forest,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
1221,NULL,NULL,Forest,Non_Water,Non_Wetland,Shrubland,Wetland,NULL
1222,NULL,NULL,Forest,Non_Water,Non_Wetland,Shrubland,Wetland,Wetland
1223,NULL,NULL,Forest,Non_Water,Non_Wetland,Shrubland,Water,Wetland
1224,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,NULL,NULL
1225,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
1226,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
1227,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
1228,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Forest
1229,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
1230,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
1231,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Forest
1232,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Shrubland,NULL
1233,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Shrubland,Wetland
1234,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Shrubland,Forest
1235,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
1236,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Grassland,Forest
1237,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,NULL
1238,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
1239,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
1240,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Forest
1241,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Water,NULL
1242,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Water,Grassland
1243,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Water,Wetland
1244,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Water,Water
1245,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland,Shrubland,Wetland
1246,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland,Wetland,NULL
1247,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
1248,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland,Wetland,Wetland
1249,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland,Water,NULL
1250,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland,Water,Grassland
1251,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland,Water,Wetland
1252,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland,Water,Forest
1253,NULL,NULL,Forest,Non_Water,Non_Wetland,Water,Shrubland,Water
1254,NULL,NULL,Forest,Non_Water,Non_Wetland,Water,Grassland,Wetland
1255,NULL,NULL,Forest,Non_Water,Non_Wetland,Water,Wetland,Grassland
1256,NULL,NULL,Forest,Non_Water,Non_Wetland,Water,Wetland,Wetland
1257,NULL,NULL,Forest,Non_Water,Non_Wetland,Water,Wetland,Water
1258,NULL,NULL,Forest,Non_Water,Non_Wetland,Water,Wetland,Forest
1259,NULL,NULL,Forest,Non_Water,Non_Wetland,Water,Water,Wetland
1260,NULL,NULL,Forest,Non_Water,Non_Wetland,Water,Water,Forest
1261,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest,Wetland,Forest
1262,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest,Water,Wetland
1263,NULL,NULL,Forest,Water,Non_Wetland,NULL,Shrubland,Grassland
1264,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Wetland,Wetland
1265,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Shrubland,Wetland
1266,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Wetland,NULL
1267,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Wetland,Wetland
1268,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Wetland,Water
1269,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Water,Wetland
1270,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Water,Water
1271,NULL,NULL,Forest,Water,Non_Wetland,Bareland,Wetland,NULL
1272,NULL,NULL,Forest,Water,Non_Wetland,Bareland,Water,Grassland
1273,NULL,NULL,Forest,Water,Non_Wetland,Water,NULL,Wetland
1274,NULL,NULL,Forest,Water,Non_Wetland,Water,Shrubland,Wetland
1275,NULL,NULL,Forest,Water,Non_Wetland,Water,Shrubland,Water
1276,NULL,NULL,Forest,Water,Non_Wetland,Water,Grassland,Wetland
1277,NULL,NULL,Forest,Water,Non_Wetland,Water,Wetland,Wetland
1278,NULL,NULL,Forest,Water,Non_Wetland,Water,Wetland,Water
1279,NULL,NULL,Forest,Water,Non_Wetland,Water,Water,Wetland
1280,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
1281,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1282,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
1283,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Shrubland,NULL
1284,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Shrubland,Grassland
1285,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Shrubland,Forest
1286,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Grassland,NULL
1287,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
1288,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Grassland,Cropland
1289,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Grassland,Water
1290,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
1291,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Wetland,Grassland
1292,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Bareland,Grassland
1293,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Built-up,Grassland
1294,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Built-up,Forest
1295,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Forest,NULL
1296,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
1297,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Forest,Forest
1298,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
1299,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
1300,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
1301,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
1302,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
1303,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
1304,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
1305,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
1306,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
1307,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
1308,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
1309,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
1310,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
1311,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
1312,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
1313,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
1314,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
1315,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
1316,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
1317,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
1318,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
1319,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
1320,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
1321,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
1322,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
1323,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
1324,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
1325,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
1326,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
1327,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
1328,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
1329,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
1330,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Water,Forest
1331,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
1332,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
1333,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
1334,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
1335,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
1336,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
1337,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
1338,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
1339,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
1340,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
1341,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
1342,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
1343,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
1344,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
1345,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
1346,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
1347,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland,Water,Water
1348,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
1349,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
1350,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
1351,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
1352,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
1353,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
1354,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
1355,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
1356,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
1357,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
1358,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
1359,NULL,Cropland,NULL,NULL,Non_Wetland,Water,Wetland,Water
1360,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,NULL,NULL
1361,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
1362,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,NULL,Forest
1363,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
1364,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
1365,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
1366,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
1367,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
1368,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
1369,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
1370,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,Forest,NULL
1371,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
1372,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
1373,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,Forest,Forest
