Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21KUR_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KUR_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KUR_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KUR_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KUR_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KUR_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KUR_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21KUR_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
30,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
33,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
34,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
36,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
38,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
39,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
41,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
42,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
43,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
44,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
45,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
46,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
47,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Wetland
48,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Wetland
49,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Wetland
50,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,NULL
51,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
52,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Wetland
53,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
54,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Wetland
55,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
56,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
57,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
58,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
59,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
60,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
61,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
62,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
63,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
64,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
65,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
66,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
67,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,NULL
68,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
69,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Wetland
70,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Forest
71,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Wetland
72,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
73,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
74,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
75,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
76,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Wetland
77,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
78,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
79,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,NULL
80,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Bareland
81,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
82,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Wetland
83,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
84,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Wetland
85,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Wetland
86,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
87,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Cropland
88,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Wetland
89,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Forest
90,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
91,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
92,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
93,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
94,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
95,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
96,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
97,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
98,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
99,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
100,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Wetland
101,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
102,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
103,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
104,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
105,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
106,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
107,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
108,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
109,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
110,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
111,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
112,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
113,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
114,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
115,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
116,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
117,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
118,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
119,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
120,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
121,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
122,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
123,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
124,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
125,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
126,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
127,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
128,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
129,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Wetland
130,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
131,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
132,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
133,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
134,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
135,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
136,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
137,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
138,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,NULL
139,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
140,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Wetland
141,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
142,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Wetland
143,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
144,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Cropland
145,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Wetland
146,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
147,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
148,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
149,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
150,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
151,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
152,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
153,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
154,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
155,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
156,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
157,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
158,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,NULL
159,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
160,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Wetland
161,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Forest
162,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Shrubland,Wetland
163,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,NULL
164,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
165,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
166,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
167,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Grassland
168,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Wetland
169,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Forest
170,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
171,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
172,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,NULL,Grassland
173,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
174,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,NULL,Grassland
175,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,NULL,Wetland
176,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Grassland
177,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Wetland
178,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
179,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
180,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
181,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Wetland
182,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
183,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
184,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
185,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
186,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,NULL,NULL
187,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,NULL,Grassland
188,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,NULL,Wetland
189,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,NULL,Forest
190,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
191,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
192,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,NULL
193,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
194,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
195,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Forest
196,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,NULL
197,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
198,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Cropland
199,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Wetland
200,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
201,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
202,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
203,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Forest
204,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
205,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
206,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Wetland
207,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
208,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
209,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Wetland
210,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Forest
211,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
212,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Wetland
213,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
214,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Wetland
215,NULL,NULL,Grassland,NULL,Non_Wetland,Water,NULL,Wetland
216,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Shrubland,Wetland
217,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
218,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Wetland
219,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Forest
220,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Forest
221,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
222,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
223,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
224,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
225,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
226,NULL,NULL,Grassland,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
227,NULL,NULL,Grassland,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
228,NULL,NULL,Grassland,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
229,NULL,NULL,Grassland,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
230,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,NULL,NULL
231,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
232,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,NULL,Wetland
233,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,NULL,Forest
234,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
235,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
236,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,NULL,Grassland
237,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,NULL,Wetland
238,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,NULL,Forest
239,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Shrubland,Wetland
240,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
241,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
242,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,NULL,Wetland
243,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,NULL,Forest
244,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,Grassland,Wetland
245,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,Grassland,Forest
246,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,Water,Wetland
247,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest,NULL,Wetland
248,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Wetland
249,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
250,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
251,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
252,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
253,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
254,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
255,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Water
256,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
257,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,NULL,NULL
258,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,NULL,Grassland
259,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,NULL,Wetland
260,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,NULL,Forest
261,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
262,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,NULL
263,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
264,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
265,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Forest
266,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
267,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,NULL
268,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
269,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Cropland
270,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Wetland
271,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Bareland
272,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Built-up
273,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
274,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
275,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
276,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,NULL
277,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
278,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
279,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Wetland
280,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Bareland
281,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
282,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Water
283,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
284,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
285,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Grassland
286,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Wetland
287,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,NULL,NULL
288,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,NULL,Grassland
289,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,NULL,Cropland
290,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,NULL,Wetland
291,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,NULL,Forest
292,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,NULL
293,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
294,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Wetland
295,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Forest
296,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,NULL
297,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
298,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Bareland
299,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Built-up
300,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Forest
301,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,NULL
302,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
303,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Bareland
304,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Built-up
305,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
306,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,NULL
307,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Grassland
308,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Wetland
309,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Built-up
310,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Forest
311,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Grassland
312,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Cropland
313,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Wetland
314,NULL,NULL,Cropland,NULL,Non_Wetland,Water,NULL,Grassland
315,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Grassland
316,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Wetland
317,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Bareland
318,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Wetland,Bareland
319,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,NULL,NULL
320,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,NULL,Grassland
321,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,NULL,Wetland
