Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22NEF_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NEF_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NEF_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NEF_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NEF_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NEF_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NEF_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22NEF_M_R
68,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Wetland
69,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Wetland
70,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Water
71,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Wetland
72,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Bareland
73,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Water
74,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
75,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
76,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
77,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
78,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
79,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
80,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
81,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
82,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
83,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
84,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
85,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
86,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
87,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
88,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
89,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
90,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
91,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
92,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
93,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
94,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Bareland
95,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Water
96,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
97,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
98,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
99,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
100,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
101,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
102,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
103,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Wetland
104,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
105,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
106,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Wetland
107,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Bareland
108,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
109,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
110,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
111,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Wetland
112,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Bareland
113,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
114,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
115,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
116,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
117,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Wetland
118,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Bareland
119,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Built-up
120,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
121,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Grassland
122,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Cropland
123,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Wetland
124,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Bareland
125,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Built-up
126,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Forest
127,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
128,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Bareland
129,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Built-up
130,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Forest
131,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Grassland
132,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Forest
133,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Water,Wetland
134,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
135,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Wetland
136,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Bareland
137,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Built-up
138,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Forest
139,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
140,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
141,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Bareland
142,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Built-up
143,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
144,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
145,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Wetland
146,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
147,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
148,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Cropland
149,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
150,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Bareland
151,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
152,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
153,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
154,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Cropland
155,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
156,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Bareland
157,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Built-up
158,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Water
159,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
160,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
161,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Wetland
162,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Bareland
163,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Built-up
164,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
165,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Built-up,Grassland
166,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Built-up,Built-up
167,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Built-up,Forest
168,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
169,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Wetland
170,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Bareland
171,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
172,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
173,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Wetland
174,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Bareland
175,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
176,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
177,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
178,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
179,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
180,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
181,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
182,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
183,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
184,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Cropland
185,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Wetland
186,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Bareland
187,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Built-up
188,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
189,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
190,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
191,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
192,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
193,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Cropland
194,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Bareland
195,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Forest
196,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
197,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Wetland
198,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
199,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Bareland
200,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Built-up
201,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
202,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
203,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
204,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Wetland,Grassland
205,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Wetland,Wetland
206,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Wetland,Forest
207,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
208,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
209,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Bareland
210,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
211,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
212,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Wetland
213,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
214,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Wetland
215,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Bareland
216,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Water
217,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Grassland
218,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
219,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Grassland
220,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Forest
221,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
222,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Bareland
223,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
224,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
225,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
226,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
227,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Grassland
228,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Wetland
229,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Forest,Wetland
230,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,NULL,Grassland
231,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,NULL,Cropland
232,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,NULL,Bareland
233,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,Grassland,Grassland
234,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,Grassland,Wetland
235,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,Grassland,Bareland
236,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,Wetland,Grassland
237,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,Wetland,Cropland
238,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,Wetland,Wetland
239,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,Wetland,Bareland
240,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,Wetland,Forest
241,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,Bareland,Grassland
242,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,Bareland,Bareland
243,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,Built-up,Grassland
244,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,Water,Grassland
245,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,Water,Wetland
246,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,Forest,Grassland
247,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,Forest,Wetland
248,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Grassland
249,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Shrubland,Wetland
250,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
251,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
252,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Forest
253,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
254,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Cropland
255,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
256,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Bareland
257,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Built-up
258,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
259,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Bareland,Grassland
260,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Bareland,Wetland
261,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Bareland,Bareland
262,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Bareland,Built-up
263,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Grassland
264,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Wetland
265,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Water
266,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Forest
267,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Forest,Grassland
268,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Forest,Wetland
269,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
270,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Cropland
271,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Wetland
272,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Bareland
273,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
274,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Built-up,Grassland
275,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Grassland
276,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Built-up,Wetland,Grassland
277,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Built-up,Wetland,Wetland
278,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Built-up,Forest,Grassland
279,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Grassland
280,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Wetland
281,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Bareland
282,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Water,Wetland
283,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Water,Bareland
284,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
285,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
286,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Water
287,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Wetland
288,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland,NULL,Grassland
289,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland,Grassland,Grassland
290,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland,Grassland,Wetland
291,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland,Wetland,Grassland
292,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland,Wetland,Cropland
293,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland,Wetland,Wetland
294,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland,Wetland,Bareland
295,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland,Bareland,Grassland
296,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland,Bareland,Wetland
297,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland,Bareland,Bareland
298,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland,Water,Wetland
299,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland,Forest,Wetland
300,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,NULL,Grassland
301,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Shrubland,Grassland
302,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
303,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Wetland
304,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
305,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Cropland
306,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Wetland
307,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Water
308,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Bareland,Grassland
309,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Grassland
310,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Cropland
311,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Wetland
312,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Water
313,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Forest
314,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Forest,Grassland
315,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Forest,Wetland
316,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Wetland
317,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Bareland
