Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20MKB_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MKB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MKB_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MKB_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MKB_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MKB_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MKB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20MKB_M_R
33,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
41,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
44,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
45,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
46,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
47,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Forest
48,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
49,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
51,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
52,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
53,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
54,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Forest
55,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
56,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Forest
57,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
58,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
59,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
60,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Forest
61,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
62,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Grassland
63,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Forest
64,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Grassland
65,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Forest,Grassland
66,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
67,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Grassland
68,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
69,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
70,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
71,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
72,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
73,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
74,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
75,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
76,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
77,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
78,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
79,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
80,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
81,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
82,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
83,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
84,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
85,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
86,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
87,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
88,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
89,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Built-up,Grassland
90,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
91,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
92,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
93,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
94,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
95,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
96,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
97,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
98,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
99,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
100,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
101,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
102,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Bareland
103,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Forest
104,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
105,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
106,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
107,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
108,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
109,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
110,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
111,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
112,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
113,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Wetland
114,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
115,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Grassland
116,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
117,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Forest
118,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
119,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
120,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
121,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
122,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
123,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
124,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
125,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
126,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Grassland
127,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Forest
128,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
129,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Water
130,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Built-up,Built-up,Grassland
131,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Grassland
132,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Grassland
133,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Forest
134,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
135,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
136,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Grassland
137,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Water
138,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Grassland
139,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Forest
140,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Water
141,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Bareland,Grassland
142,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Water
143,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
144,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Grassland
145,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
146,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
147,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
148,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
149,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
150,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
151,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
152,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Forest
153,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Grassland
154,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
155,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
156,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
157,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Wetland
158,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
159,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
160,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Wetland
161,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
162,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Grassland
163,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
164,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
165,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
166,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
167,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
168,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Forest
169,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
170,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Grassland
171,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
172,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Forest
173,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Grassland
174,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Wetland
175,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Forest
176,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Forest,Grassland
177,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Forest,Forest
178,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Forest
179,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
180,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Wetland,Forest
181,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
182,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
183,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
184,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
185,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
186,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Water,Grassland
187,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Water,Forest
188,NULL,NULL,Grassland,Non_Water,Non_Wetland,Built-up,Grassland,Grassland
189,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,Wetland,Grassland
190,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Grassland,Grassland
191,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Grassland
192,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland,Forest
193,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
194,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
195,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
196,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
197,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
198,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
199,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
200,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
201,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Forest
202,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Grassland
203,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
204,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
205,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Forest
206,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Wetland,Forest
207,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Forest,Forest
208,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
209,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Water,Grassland
210,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,Forest
211,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,NULL
212,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
213,NULL,NULL,Wetland,NULL,Wetland,NULL,Forest,Forest
214,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
215,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
216,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
217,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Grassland
218,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
219,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,Forest
220,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
221,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
222,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
223,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
224,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
225,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Water
226,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
227,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Grassland
228,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Wetland
229,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Forest
230,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Forest
231,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Forest
232,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
233,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Forest
234,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Forest
235,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,NULL
236,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
237,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Wetland
238,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
239,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Grassland
240,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Wetland
241,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Water
242,NULL,NULL,Wetland,NULL,Wetland,Forest,NULL,Forest
243,NULL,NULL,Wetland,NULL,Wetland,Forest,Grassland,Forest
244,NULL,NULL,Wetland,NULL,Wetland,Forest,Wetland,Forest
245,NULL,NULL,Wetland,NULL,Wetland,Forest,Forest,Forest
246,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Wetland,Forest
247,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
248,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Forest
249,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Grassland
250,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
251,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
252,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
253,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
254,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Wetland
255,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Water
256,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Forest
257,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Wetland,Grassland
258,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Water,Wetland
259,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Water,Water
260,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
261,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Wetland
262,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Water
263,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Grassland
264,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Wetland
265,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Water
266,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Grassland
267,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Wetland
268,NULL,NULL,Wetland,Water,Wetland,Wetland,Grassland,Grassland
269,NULL,NULL,Wetland,Water,Wetland,Wetland,Grassland,Wetland
270,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
271,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Wetland
272,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Water
273,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Forest
274,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Grassland
275,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Wetland
276,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Water
277,NULL,NULL,Wetland,Water,Wetland,Bareland,Water,Water
278,NULL,NULL,Wetland,Water,Wetland,Water,Grassland,Wetland
279,NULL,NULL,Wetland,Water,Wetland,Water,Grassland,Water
280,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Grassland
281,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Wetland
282,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Water
283,NULL,NULL,Wetland,Water,Wetland,Water,Water,Grassland
284,NULL,NULL,Wetland,Water,Wetland,Water,Water,Wetland
285,NULL,NULL,Wetland,Water,Wetland,Water,Water,Bareland
286,NULL,NULL,Wetland,Water,Wetland,Water,Water,Water
287,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,Grassland,Forest
288,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest,Grassland,Forest
289,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest,Wetland,Forest
290,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest,Forest,Forest
291,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Grassland,Grassland
292,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Grassland,Forest
293,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Wetland,Forest
294,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
295,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
296,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Grassland
297,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Forest
298,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,Forest
299,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,NULL,Forest
300,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Grassland
301,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Forest
302,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,NULL
303,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
304,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Wetland
305,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
306,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Forest,Grassland
307,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Forest,Forest
308,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,Grassland
309,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Grassland,Grassland
310,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Grassland,Forest
311,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Wetland,Grassland
312,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Wetland,Wetland
313,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Wetland,Forest
314,NULL,NULL,Bareland,NULL,Non_Wetland,Forest,NULL,Forest
315,NULL,NULL,Bareland,NULL,Non_Wetland,Forest,Grassland,Forest
316,NULL,NULL,Bareland,NULL,Non_Wetland,Forest,Forest,Forest
317,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,Water,Forest
318,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
319,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
320,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland,Water,Grassland
321,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland,Water,Forest
322,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
323,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
324,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
325,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Water,Grassland
326,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Water,Forest
327,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
328,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland,Water,Water
329,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water,Wetland,Grassland
330,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water,Wetland,Water
331,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water,Water,Wetland
