Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21NUJ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NUJ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NUJ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NUJ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NUJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NUJ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21NUJ_M_R
184,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,Cropland
185,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,Wetland
186,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,Bareland
187,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,Built-up
188,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,Forest
189,NULL,Bareland,Built-up,Non_Water,Non_Wetland,NULL,Grassland
190,NULL,Bareland,Water,NULL,Water,NULL,Forest
191,NULL,Bareland,Water,Non_Water,Water,NULL,Water
192,NULL,Bareland,Water,Non_Water,Water,NULL,Forest
193,NULL,Bareland,Water,Water,Water,NULL,Wetland
194,NULL,Bareland,Water,Water,Water,NULL,Water
195,NULL,Bareland,Water,Water,Water,NULL,Forest
196,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,Grassland
197,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,Wetland
198,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,Built-up
199,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,Forest
200,NULL,Bareland,Forest,Non_Water,Non_Wetland,NULL,Water
201,NULL,Bareland,Forest,Non_Water,Non_Wetland,NULL,Forest
202,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,Grassland
203,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,Cropland
204,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,Wetland
205,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,Bareland
206,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,Built-up
207,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL,Grassland
208,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL,Built-up
209,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Grassland
210,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Cropland
211,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Wetland
212,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Bareland
213,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Built-up
214,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Water
215,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Forest
216,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,Grassland
217,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,Cropland
218,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,Wetland
219,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,Bareland
220,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,Built-up
221,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,Water
222,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,Forest
223,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,Grassland
224,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,Wetland
225,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,Built-up
226,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,Water
227,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,Forest
228,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Grassland
229,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Wetland
230,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Bareland
231,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Built-up
232,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Forest
233,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,Grassland
234,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,Forest
235,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,Grassland
236,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,Bareland
237,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,Built-up
238,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,Forest
239,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Grassland
240,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Cropland
241,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Wetland
242,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Bareland
243,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Built-up
244,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Water
245,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Forest
246,NULL,Built-up,Cropland,Non_Water,Non_Wetland,NULL,Grassland
247,NULL,Built-up,Cropland,Non_Water,Non_Wetland,NULL,Cropland
248,NULL,Built-up,Cropland,Non_Water,Non_Wetland,NULL,Wetland
249,NULL,Built-up,Cropland,Non_Water,Non_Wetland,NULL,Built-up
250,NULL,Built-up,Cropland,Non_Water,Non_Wetland,NULL,Forest
251,NULL,Built-up,Cropland,Water,Non_Wetland,NULL,Grassland
252,NULL,Built-up,Cropland,Water,Non_Wetland,NULL,Cropland
253,NULL,Built-up,Cropland,Water,Non_Wetland,NULL,Forest
254,NULL,Built-up,Wetland,NULL,Wetland,NULL,Grassland
255,NULL,Built-up,Wetland,NULL,Wetland,NULL,Wetland
256,NULL,Built-up,Wetland,NULL,Wetland,NULL,Bareland
257,NULL,Built-up,Wetland,NULL,Wetland,NULL,Built-up
258,NULL,Built-up,Wetland,NULL,Wetland,NULL,Water
259,NULL,Built-up,Wetland,NULL,Wetland,NULL,Forest
260,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,Grassland
261,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,Wetland
262,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,Water
263,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,Forest
264,NULL,Built-up,Wetland,Water,Wetland,NULL,Grassland
265,NULL,Built-up,Wetland,Water,Wetland,NULL,Wetland
266,NULL,Built-up,Wetland,Water,Wetland,NULL,Built-up
267,NULL,Built-up,Wetland,Water,Wetland,NULL,Water
268,NULL,Built-up,Wetland,Water,Wetland,NULL,Forest
269,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,Grassland
270,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,Forest
271,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,Grassland
272,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,Cropland
273,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,Wetland
274,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,Bareland
275,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,Built-up
276,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,Water
277,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,Forest
278,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,Grassland
279,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,Cropland
280,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,Wetland
281,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,Bareland
282,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,Built-up
283,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,Forest
284,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,Grassland
285,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,Wetland
286,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,Bareland
287,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,Built-up
288,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,Water
289,NULL,Built-up,Water,NULL,Water,NULL,Wetland
290,NULL,Built-up,Water,NULL,Water,NULL,Forest
291,NULL,Built-up,Water,Non_Water,Water,NULL,Water
292,NULL,Built-up,Water,Non_Water,Water,NULL,Forest
293,NULL,Built-up,Water,Water,Water,NULL,Bareland
294,NULL,Built-up,Water,Water,Water,NULL,Water
295,NULL,Built-up,Water,Water,Water,NULL,Forest
296,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Grassland
297,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Cropland
298,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Wetland
299,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Bareland
300,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Built-up
301,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Forest
302,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,Grassland
303,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,Wetland
304,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,Built-up
305,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,Forest
306,NULL,Built-up,Forest,Water,Non_Wetland,NULL,Grassland
307,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,Wetland
308,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,Built-up
309,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,Water
310,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,Forest
311,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,Wetland
312,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,Water
313,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,Forest
314,NULL,Water,Cropland,NULL,Non_Wetland,NULL,Wetland
315,NULL,Water,Cropland,NULL,Non_Wetland,NULL,Built-up
316,NULL,Water,Cropland,NULL,Non_Wetland,NULL,Forest
317,NULL,Water,Cropland,Non_Water,Non_Wetland,NULL,Grassland
318,NULL,Water,Cropland,Non_Water,Non_Wetland,NULL,Wetland
319,NULL,Water,Wetland,NULL,Wetland,NULL,Grassland
320,NULL,Water,Wetland,NULL,Wetland,NULL,Wetland
321,NULL,Water,Wetland,NULL,Wetland,NULL,Water
322,NULL,Water,Wetland,NULL,Wetland,NULL,Forest
323,NULL,Water,Wetland,Non_Water,Wetland,NULL,Wetland
324,NULL,Water,Wetland,Non_Water,Wetland,NULL,Water
325,NULL,Water,Wetland,Non_Water,Wetland,NULL,Forest
326,NULL,Water,Wetland,Water,Wetland,NULL,Water
327,NULL,Water,Wetland,Water,Wetland,NULL,Forest
328,NULL,Water,Built-up,NULL,Non_Wetland,NULL,Forest
329,NULL,Water,Built-up,Non_Water,Non_Wetland,NULL,Wetland
330,NULL,Water,Water,NULL,Water,NULL,Grassland
331,NULL,Water,Water,NULL,Water,NULL,Wetland
332,NULL,Water,Water,NULL,Water,NULL,Forest
333,NULL,Water,Water,Non_Water,Water,NULL,Wetland
334,NULL,Water,Water,Non_Water,Water,NULL,Water
335,NULL,Water,Water,Water,Water,NULL,Wetland
336,NULL,Water,Water,Water,Water,NULL,Water
337,NULL,Water,Water,Water,Water,NULL,Forest
338,NULL,Water,Forest,NULL,Non_Wetland,NULL,Grassland
339,NULL,Water,Forest,NULL,Non_Wetland,NULL,Wetland
340,NULL,Water,Forest,NULL,Non_Wetland,NULL,Water
341,NULL,Water,Forest,NULL,Non_Wetland,NULL,Forest
342,NULL,Water,Forest,Non_Water,Non_Wetland,NULL,Wetland
343,NULL,Water,Forest,Non_Water,Non_Wetland,NULL,Forest
344,NULL,Water,Forest,Water,Non_Wetland,NULL,Water
345,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Grassland
346,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Wetland
347,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Built-up
348,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Water
349,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Forest
350,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,Grassland
351,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,Grassland
352,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,Wetland
353,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,Forest
354,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Grassland
355,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Wetland
356,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Built-up
357,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Forest
358,NULL,Forest,Cropland,Non_Water,Non_Wetland,NULL,Wetland
359,NULL,Forest,Cropland,Non_Water,Non_Wetland,NULL,Forest
360,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL
361,NULL,Forest,Wetland,NULL,Wetland,NULL,Grassland
362,NULL,Forest,Wetland,NULL,Wetland,NULL,Cropland
363,NULL,Forest,Wetland,NULL,Wetland,NULL,Wetland
364,NULL,Forest,Wetland,NULL,Wetland,NULL,Water
365,NULL,Forest,Wetland,NULL,Wetland,NULL,Forest
366,NULL,Forest,Wetland,Non_Water,Wetland,NULL,Wetland
367,NULL,Forest,Wetland,Non_Water,Wetland,NULL,Forest
368,NULL,Forest,Wetland,Water,Wetland,NULL,Grassland
369,NULL,Forest,Wetland,Water,Wetland,NULL,Wetland
370,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,Forest
371,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,Grassland
372,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,Wetland
373,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,Built-up
374,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,Forest
375,NULL,Forest,Water,NULL,Water,NULL,Forest
376,NULL,Forest,Water,Water,Water,NULL,Wetland
377,NULL,Forest,Water,Water,Water,NULL,Water
378,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Grassland
379,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Wetland
380,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Built-up
381,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Water
382,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Forest
383,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL,Forest
