Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20MPC_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MPC_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MPC_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MPC_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MPC_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MPC_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MPC_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20MPC_M_R
101,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Grassland
102,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Water,Grassland
103,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Grassland,Grassland
104,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Grassland
105,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Water,Wetland
106,NULL,NULL,Grassland,Water,Non_Wetland,Water,Grassland,Grassland
107,NULL,NULL,Grassland,Water,Non_Wetland,Water,Wetland,Grassland
108,NULL,NULL,Grassland,Water,Non_Wetland,Water,Water,Grassland
109,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland,Forest
110,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,Forest
111,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Grassland
112,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
113,NULL,NULL,Wetland,NULL,Wetland,NULL,Bareland,Forest
114,NULL,NULL,Wetland,NULL,Wetland,NULL,Water,Forest
115,NULL,NULL,Wetland,NULL,Wetland,NULL,Forest,Forest
116,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
117,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
118,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
119,NULL,NULL,Wetland,NULL,Wetland,Grassland,Bareland,Grassland
120,NULL,NULL,Wetland,NULL,Wetland,Grassland,Bareland,Forest
121,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Forest
122,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Grassland
123,NULL,NULL,Wetland,NULL,Wetland,Wetland,Shrubland,Grassland
124,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
125,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
126,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
127,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
128,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
129,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Water
130,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
131,NULL,NULL,Wetland,NULL,Wetland,Wetland,Bareland,Forest
132,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Grassland
133,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Wetland
134,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Water
135,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Forest
136,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Grassland
137,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Forest
138,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
139,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Forest
140,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Forest
141,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
142,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Wetland
143,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
144,NULL,NULL,Wetland,NULL,Wetland,Water,Bareland,Forest
145,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Grassland
146,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Wetland
147,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Water
148,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Forest
149,NULL,NULL,Wetland,NULL,Wetland,Water,Forest,Grassland
150,NULL,NULL,Wetland,NULL,Wetland,Forest,Grassland,Forest
151,NULL,NULL,Wetland,NULL,Wetland,Forest,Wetland,Forest
152,NULL,NULL,Wetland,NULL,Wetland,Forest,Forest,Forest
153,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
154,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Water
155,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Forest
156,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Wetland,Grassland
157,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Grassland
158,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Grassland
159,NULL,NULL,Wetland,Water,Wetland,Wetland,Grassland,Grassland
160,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
161,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Wetland
162,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Water
163,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Forest
164,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Grassland
165,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Wetland
166,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Forest
167,NULL,NULL,Wetland,Water,Wetland,Wetland,Forest,Grassland
168,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Grassland
169,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Wetland
170,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Water
171,NULL,NULL,Wetland,Water,Wetland,Water,Water,Grassland
172,NULL,NULL,Wetland,Water,Wetland,Water,Water,Wetland
173,NULL,NULL,Wetland,Water,Wetland,Water,Water,Water
174,NULL,NULL,Wetland,Water,Wetland,Water,Water,Forest
175,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Wetland,Forest
176,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
177,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Grassland
178,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Forest
179,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Bareland,Forest
180,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
181,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Grassland
182,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Forest
183,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
184,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Wetland
185,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
186,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Bareland,Grassland
187,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Water,Grassland
188,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Water,Forest
189,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Forest,NULL
190,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Forest,Grassland
191,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Forest,Forest
192,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Wetland,Grassland
193,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Wetland,Grassland
194,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Water,Grassland
195,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Water,Forest
196,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Grassland,Grassland
197,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Wetland,Grassland
198,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Wetland,Wetland
199,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Water,Grassland
200,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Water,Wetland
201,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Forest,Grassland
202,NULL,NULL,Bareland,Water,Non_Wetland,Water,Grassland,Grassland
203,NULL,NULL,Bareland,Water,Non_Wetland,Water,Wetland,Grassland
204,NULL,NULL,Bareland,Water,Non_Wetland,Water,Wetland,Wetland
205,NULL,NULL,Bareland,Water,Non_Wetland,Water,Water,Grassland
206,NULL,NULL,Bareland,Water,Non_Wetland,Water,Water,Wetland
207,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Wetland,Forest
208,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Wetland,Grassland
209,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
210,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,Grassland
211,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,Forest
212,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Water,Grassland
213,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Grassland,Grassland
214,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Wetland,Grassland
215,NULL,NULL,Built-up,Water,Non_Wetland,Wetland,Wetland,Grassland
216,NULL,NULL,Built-up,Water,Non_Wetland,Wetland,Water,Wetland
217,NULL,NULL,Built-up,Water,Non_Wetland,Water,Wetland,Grassland
218,NULL,NULL,Built-up,Water,Non_Wetland,Water,Water,Grassland
219,NULL,NULL,Built-up,Water,Non_Wetland,Water,Water,Wetland
220,NULL,NULL,Water,NULL,Water,Wetland,Water,Wetland
221,NULL,NULL,Water,NULL,Water,Water,Water,Grassland
222,NULL,NULL,Water,NULL,Water,Water,Water,Water
223,NULL,NULL,Water,Water,Water,Wetland,Wetland,Grassland
224,NULL,NULL,Water,Water,Water,Wetland,Wetland,Wetland
225,NULL,NULL,Water,Water,Water,Wetland,Wetland,Forest
226,NULL,NULL,Water,Water,Water,Wetland,Water,Grassland
227,NULL,NULL,Water,Water,Water,Wetland,Water,Wetland
228,NULL,NULL,Water,Water,Water,Wetland,Water,Water
229,NULL,NULL,Water,Water,Water,Water,Wetland,Grassland
230,NULL,NULL,Water,Water,Water,Water,Wetland,Wetland
231,NULL,NULL,Water,Water,Water,Water,Wetland,Water
232,NULL,NULL,Water,Water,Water,Water,Water,Grassland
233,NULL,NULL,Water,Water,Water,Water,Water,Wetland
234,NULL,NULL,Water,Water,Water,Water,Water,Water
235,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
236,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
237,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Grassland
238,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
239,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Water,Forest
240,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
241,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
242,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
243,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
244,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
245,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
246,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
247,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
248,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
249,NULL,NULL,Forest,NULL,Non_Wetland,Cropland,Wetland,Forest
250,NULL,NULL,Forest,NULL,Non_Wetland,Cropland,Bareland,Grassland
251,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
252,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
253,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
254,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
255,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Wetland
256,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
257,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Bareland,Forest
258,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Water,Grassland
259,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
260,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
261,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
262,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Grassland
263,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
264,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
265,NULL,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Grassland
266,NULL,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Wetland
267,NULL,NULL,Forest,NULL,Non_Wetland,Water,Bareland,Forest
268,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
269,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
270,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Bareland,Forest
271,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Water,Forest
272,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
273,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
274,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
275,NULL,NULL,Forest,Non_Water,Non_Wetland,Water,Wetland,Grassland
276,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Grassland,Grassland
277,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Grassland,Grassland
278,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Wetland,Grassland
279,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Wetland,Wetland
280,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Water,Grassland
281,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Water,Wetland
282,NULL,NULL,Forest,Water,Non_Wetland,Water,Grassland,Grassland
283,NULL,NULL,Forest,Water,Non_Wetland,Water,Wetland,Grassland
284,NULL,NULL,Forest,Water,Non_Wetland,Water,Wetland,Wetland
285,NULL,NULL,Forest,Water,Non_Wetland,Water,Water,Grassland
286,NULL,NULL,Forest,Water,Non_Wetland,Water,Water,Wetland
287,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
288,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
289,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
290,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland,Water,Forest
291,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,Wetland,Forest
292,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
293,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
294,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
295,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
296,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
297,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
298,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
299,NULL,Wetland,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
300,NULL,Wetland,Shrubland,Water,Non_Wetland,Water,Forest,Grassland
301,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
302,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
303,NULL,Wetland,Grassland,NULL,Non_Wetland,Water,Water,Wetland
304,NULL,Wetland,Grassland,Water,Non_Wetland,Wetland,Water,Wetland
305,NULL,Wetland,Wetland,NULL,Wetland,NULL,Wetland,Forest
306,NULL,Wetland,Wetland,NULL,Wetland,Grassland,Wetland,Forest
307,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
308,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
309,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Forest
310,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Water,Grassland
311,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Water,Wetland
312,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Water,Forest
313,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Forest,Forest
314,NULL,Wetland,Wetland,NULL,Wetland,Water,Wetland,Grassland
315,NULL,Wetland,Wetland,NULL,Wetland,Water,Wetland,Wetland
316,NULL,Wetland,Wetland,NULL,Wetland,Water,Wetland,Forest
317,NULL,Wetland,Wetland,NULL,Wetland,Water,Water,Grassland
318,NULL,Wetland,Wetland,NULL,Wetland,Water,Water,Wetland
319,NULL,Wetland,Wetland,NULL,Wetland,Water,Water,Forest
320,NULL,Wetland,Wetland,NULL,Wetland,Forest,Wetland,Forest
321,NULL,Wetland,Wetland,NULL,Wetland,Forest,Forest,Forest
322,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,Wetland,Forest
323,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
324,NULL,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Grassland
325,NULL,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Wetland
326,NULL,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Forest
327,NULL,Wetland,Wetland,Water,Wetland,Wetland,Water,Grassland
328,NULL,Wetland,Wetland,Water,Wetland,Water,Wetland,Grassland
329,NULL,Wetland,Wetland,Water,Wetland,Water,Water,Grassland
330,NULL,Wetland,Wetland,Water,Wetland,Water,Water,Wetland
331,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL,Wetland,Forest
332,NULL,Wetland,Bareland,NULL,Non_Wetland,Grassland,Wetland,Forest
333,NULL,Wetland,Bareland,NULL,Non_Wetland,Wetland,Grassland,Grassland
334,NULL,Wetland,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
335,NULL,Wetland,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
336,NULL,Wetland,Bareland,NULL,Non_Wetland,Wetland,Water,Grassland
337,NULL,Wetland,Bareland,NULL,Non_Wetland,Wetland,Forest,Forest
338,NULL,Wetland,Bareland,NULL,Non_Wetland,Water,Wetland,Grassland
339,NULL,Wetland,Bareland,Non_Water,Non_Wetland,NULL,Wetland,Forest
340,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Water,Water,Grassland
341,NULL,Wetland,Built-up,NULL,Non_Wetland,Grassland,Wetland,Grassland
342,NULL,Wetland,Water,NULL,Water,Wetland,Wetland,Grassland
