Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19MGQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MGQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MGQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MGQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MGQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MGQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MGQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19MGQ_M_R
18,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
19,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
20,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Forest
21,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
22,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
23,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Forest
24,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
25,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Water
26,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
27,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
28,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
29,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
30,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
31,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
32,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
33,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
34,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
35,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
36,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
37,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
38,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
39,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
40,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
41,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
42,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
43,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
44,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
45,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
46,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
47,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
48,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
49,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
50,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
51,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
52,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
53,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Water
54,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Grassland
55,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
56,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Bareland,Grassland
57,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
58,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
59,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
60,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
61,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
62,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
63,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Wetland
64,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
65,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
66,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Wetland
67,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
68,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
69,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Grassland
70,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
71,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Built-up
72,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
73,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
74,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
75,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
76,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
77,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
78,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Grassland
79,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Forest
80,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,Forest
81,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
82,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
83,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
84,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Built-up
85,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
86,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
87,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Forest
88,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
89,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
90,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Grassland
91,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
92,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
93,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
94,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Built-up
95,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
96,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Forest
97,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Grassland
98,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
99,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
100,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
101,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
102,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Bareland,Forest
103,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Water,Forest
104,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
105,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Bareland,Forest
106,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,Wetland,Grassland
107,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,Bareland,Grassland
108,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Grassland
109,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Wetland,Grassland
110,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Bareland,Grassland
111,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Water,Grassland
112,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Grassland,Grassland
113,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Grassland
114,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Forest,Grassland
115,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Wetland,Grassland
116,NULL,NULL,Grassland,Water,Non_Wetland,Water,Wetland,Grassland
117,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
118,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
119,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
120,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
121,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
122,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
123,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
124,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Bareland
125,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
126,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Grassland
127,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
128,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Forest
129,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Wetland,Grassland
130,NULL,NULL,Cropland,Water,Non_Wetland,Wetland,Wetland,Grassland
131,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,Forest
132,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
133,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
134,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
135,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
136,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
137,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
138,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
139,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
140,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
141,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
142,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Grassland
143,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Forest
144,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
145,NULL,NULL,Wetland,NULL,Wetland,Forest,Wetland,Forest
146,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
147,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
148,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Wetland
149,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Water
150,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Grassland
151,NULL,NULL,Wetland,Water,Wetland,Wetland,Grassland,Grassland
152,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
153,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Forest
154,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Grassland
155,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Water
156,NULL,NULL,Wetland,Water,Wetland,Wetland,Forest,Grassland
157,NULL,NULL,Wetland,Water,Wetland,Bareland,Water,Water
158,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Grassland
159,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Water
160,NULL,NULL,Wetland,Water,Wetland,Water,Water,Grassland
161,NULL,NULL,Wetland,Water,Wetland,Water,Water,Wetland
162,NULL,NULL,Wetland,Water,Wetland,Water,Water,Water
163,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Grassland,Forest
164,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
165,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
166,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Grassland
167,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Forest
168,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Bareland,Grassland
169,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,Bareland
170,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,Forest
171,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
172,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
173,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Wetland,Water
174,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
175,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
176,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Water
177,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
178,NULL,NULL,Bareland,Water,Non_Wetland,Grassland,Grassland,Grassland
179,NULL,NULL,Bareland,Water,Non_Wetland,Grassland,Wetland,Grassland
180,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Wetland,Grassland
181,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Wetland,Forest
182,NULL,NULL,Bareland,Water,Non_Wetland,Water,Wetland,Grassland
183,NULL,NULL,Bareland,Water,Non_Wetland,Water,Water,Water
184,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
185,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Built-up
186,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
187,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Wetland,Grassland
188,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
189,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Built-up,Grassland
190,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Forest,Grassland
191,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Forest,Bareland
192,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Forest,Forest
193,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Grassland,Grassland
194,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,Grassland
195,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
196,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Bareland
197,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Forest
198,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
199,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Built-up
200,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Forest
201,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Forest,Grassland
202,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Grassland
203,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Built-up
204,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Water,Grassland
205,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
206,NULL,NULL,Built-up,Non_Water,Non_Wetland,Water,Wetland,Grassland
207,NULL,NULL,Built-up,Water,Non_Wetland,Grassland,Grassland,Grassland
208,NULL,NULL,Built-up,Water,Non_Wetland,Grassland,Wetland,Grassland
209,NULL,NULL,Built-up,Water,Non_Wetland,Grassland,Wetland,Forest
210,NULL,NULL,Built-up,Water,Non_Wetland,Grassland,Water,Grassland
211,NULL,NULL,Built-up,Water,Non_Wetland,Wetland,Wetland,Grassland
212,NULL,NULL,Built-up,Water,Non_Wetland,Wetland,Bareland,Grassland
213,NULL,NULL,Built-up,Water,Non_Wetland,Wetland,Water,Grassland
214,NULL,NULL,Built-up,Water,Non_Wetland,Bareland,Wetland,Grassland
215,NULL,NULL,Built-up,Water,Non_Wetland,Water,Wetland,Grassland
216,NULL,NULL,Water,NULL,Water,Grassland,Grassland,Grassland
217,NULL,NULL,Water,NULL,Water,Grassland,Wetland,Grassland
218,NULL,NULL,Water,NULL,Water,Grassland,Bareland,Grassland
219,NULL,NULL,Water,NULL,Water,Grassland,Forest,Bareland
220,NULL,NULL,Water,NULL,Water,Wetland,Grassland,Grassland
221,NULL,NULL,Water,NULL,Water,Wetland,Wetland,Grassland
222,NULL,NULL,Water,NULL,Water,Wetland,Wetland,Forest
223,NULL,NULL,Water,NULL,Water,Bareland,Grassland,Grassland
224,NULL,NULL,Water,NULL,Water,Bareland,Wetland,Grassland
225,NULL,NULL,Water,NULL,Water,Bareland,Bareland,Grassland
226,NULL,NULL,Water,NULL,Water,Water,Grassland,Grassland
227,NULL,NULL,Water,NULL,Water,Water,Wetland,Grassland
228,NULL,NULL,Water,NULL,Water,Water,Water,Grassland
229,NULL,NULL,Water,Non_Water,Water,Bareland,Wetland,Grassland
230,NULL,NULL,Water,Non_Water,Water,Water,Bareland,Grassland
231,NULL,NULL,Water,Water,Water,Grassland,Grassland,Grassland
232,NULL,NULL,Water,Water,Water,Grassland,Wetland,Grassland
233,NULL,NULL,Water,Water,Water,Grassland,Bareland,Grassland
234,NULL,NULL,Water,Water,Water,Wetland,Wetland,Grassland
235,NULL,NULL,Water,Water,Water,Wetland,Wetland,Water
236,NULL,NULL,Water,Water,Water,Wetland,Bareland,Grassland
237,NULL,NULL,Water,Water,Water,Wetland,Water,Grassland
238,NULL,NULL,Water,Water,Water,Bareland,Wetland,Grassland
239,NULL,NULL,Water,Water,Water,Bareland,Bareland,Grassland
240,NULL,NULL,Water,Water,Water,Water,Grassland,Grassland
241,NULL,NULL,Water,Water,Water,Water,Wetland,Grassland
242,NULL,NULL,Water,Water,Water,Water,Wetland,Water
243,NULL,NULL,Water,Water,Water,Water,Bareland,Grassland
244,NULL,NULL,Water,Water,Water,Water,Water,Grassland
245,NULL,NULL,Water,Water,Water,Water,Water,Water
246,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
247,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
248,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
249,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Grassland
250,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
251,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Built-up
252,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
253,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
254,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
255,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
256,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
257,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Built-up,Grassland
258,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Water,Forest
259,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
260,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
261,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
262,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
263,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
264,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
265,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Bareland,Forest
266,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
267,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
268,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
269,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Bareland
270,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
271,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
272,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
273,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
274,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Grassland
275,NULL,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Grassland
276,NULL,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Water
277,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
278,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
279,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
280,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
281,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
282,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Forest
283,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
284,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Forest
285,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Forest,Grassland
286,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Forest,Forest
287,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
288,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Forest
289,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Grassland,Grassland
290,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Wetland,Grassland
291,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Grassland,Grassland
292,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Wetland,Grassland
293,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Wetland,Water
294,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Wetland,Forest
295,NULL,NULL,Forest,Water,Non_Wetland,Bareland,Wetland,Grassland
296,NULL,NULL,Forest,Water,Non_Wetland,Water,Wetland,Grassland
297,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
298,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
299,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
300,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
301,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
302,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
303,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
304,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
305,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
306,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
307,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
308,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
309,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
310,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
311,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
312,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
313,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
314,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
315,NULL,Cropland,Shrubland,Water,Non_Wetland,Water,Wetland,Water
316,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
317,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
318,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
319,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
320,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
321,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
322,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Bareland,Built-up
323,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
324,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
325,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Built-up,Forest
326,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
327,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Forest,Built-up
328,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
329,NULL,Cropland,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
330,NULL,Cropland,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
331,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
332,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
