Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18NTF_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NTF_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NTF_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NTF_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NTF_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18NTF_M_R
123,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
124,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
125,NULL,Cropland,Grassland,NULL,Non_Wetland,Water
126,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
127,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Forest
128,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
129,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
130,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
131,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
132,NULL,Cropland,Bareland,NULL,Non_Wetland,Water
133,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
134,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
135,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
136,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
137,NULL,Cropland,Built-up,NULL,Non_Wetland,Water
138,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
139,NULL,Cropland,Water,NULL,Water,Water
140,NULL,Cropland,Water,NULL,Water,Forest
141,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
142,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
143,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
144,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland
145,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up
146,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
147,NULL,Cropland,Forest,Water,Non_Wetland,Grassland
148,NULL,Bareland,NULL,NULL,Non_Wetland,Grassland
149,NULL,Bareland,NULL,NULL,Non_Wetland,Bareland
150,NULL,Bareland,NULL,NULL,Non_Wetland,Water
151,NULL,Bareland,NULL,NULL,Non_Wetland,Forest
152,NULL,Bareland,NULL,Non_Water,Non_Wetland,Grassland
153,NULL,Bareland,NULL,Non_Water,Non_Wetland,Bareland
154,NULL,Bareland,NULL,Non_Water,Non_Wetland,Water
155,NULL,Bareland,NULL,Non_Water,Non_Wetland,Forest
156,NULL,Bareland,NULL,Water,Non_Wetland,Grassland
157,NULL,Bareland,NULL,Water,Non_Wetland,Water
158,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
159,NULL,Bareland,Shrubland,NULL,Non_Wetland,Cropland
160,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
161,NULL,Bareland,Shrubland,NULL,Non_Wetland,Built-up
162,NULL,Bareland,Shrubland,NULL,Non_Wetland,Water
163,NULL,Bareland,Shrubland,NULL,Non_Wetland,Forest
164,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Grassland
165,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Bareland
166,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Water
167,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Forest
168,NULL,Bareland,Shrubland,Water,Non_Wetland,Grassland
169,NULL,Bareland,Shrubland,Water,Non_Wetland,Bareland
170,NULL,Bareland,Shrubland,Water,Non_Wetland,Water
171,NULL,Bareland,Shrubland,Water,Non_Wetland,Forest
172,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
173,NULL,Bareland,Grassland,NULL,Non_Wetland,Cropland
174,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
175,NULL,Bareland,Grassland,NULL,Non_Wetland,Built-up
176,NULL,Bareland,Grassland,NULL,Non_Wetland,Water
177,NULL,Bareland,Grassland,NULL,Non_Wetland,Forest
178,NULL,Bareland,Grassland,Non_Water,Non_Wetland,Grassland
179,NULL,Bareland,Grassland,Non_Water,Non_Wetland,Bareland
180,NULL,Bareland,Grassland,Non_Water,Non_Wetland,Water
181,NULL,Bareland,Grassland,Non_Water,Non_Wetland,Forest
182,NULL,Bareland,Grassland,Water,Non_Wetland,Grassland
183,NULL,Bareland,Grassland,Water,Non_Wetland,Bareland
184,NULL,Bareland,Grassland,Water,Non_Wetland,Water
185,NULL,Bareland,Grassland,Water,Non_Wetland,Forest
186,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland
187,NULL,Bareland,Cropland,Non_Water,Non_Wetland,Grassland
188,NULL,Bareland,Cropland,Water,Non_Wetland,Grassland
189,NULL,Bareland,Cropland,Water,Non_Wetland,Water
190,NULL,Bareland,Cropland,Water,Non_Wetland,Forest
191,NULL,Bareland,Wetland,NULL,Wetland,Bareland
192,NULL,Bareland,Wetland,NULL,Wetland,Water
193,NULL,Bareland,Wetland,NULL,Wetland,Forest
194,NULL,Bareland,Wetland,Non_Water,Wetland,Grassland
195,NULL,Bareland,Wetland,Non_Water,Wetland,Bareland
196,NULL,Bareland,Wetland,Non_Water,Wetland,Water
197,NULL,Bareland,Wetland,Non_Water,Wetland,Forest
198,NULL,Bareland,Wetland,Water,Wetland,Grassland
199,NULL,Bareland,Wetland,Water,Wetland,Bareland
200,NULL,Bareland,Wetland,Water,Wetland,Water
201,NULL,Bareland,Wetland,Water,Wetland,Forest
202,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
203,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
204,NULL,Bareland,Bareland,NULL,Non_Wetland,Built-up
205,NULL,Bareland,Bareland,NULL,Non_Wetland,Water
206,NULL,Bareland,Bareland,NULL,Non_Wetland,Forest
207,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Grassland
208,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
209,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Water
210,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Forest
211,NULL,Bareland,Bareland,Water,Non_Wetland,Grassland
212,NULL,Bareland,Bareland,Water,Non_Wetland,Bareland
213,NULL,Bareland,Bareland,Water,Non_Wetland,Water
214,NULL,Bareland,Built-up,NULL,Non_Wetland,Grassland
215,NULL,Bareland,Built-up,NULL,Non_Wetland,Cropland
216,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
217,NULL,Bareland,Built-up,NULL,Non_Wetland,Built-up
218,NULL,Bareland,Built-up,NULL,Non_Wetland,Water
219,NULL,Bareland,Built-up,NULL,Non_Wetland,Forest
220,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Grassland
221,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Bareland
222,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Water
223,NULL,Bareland,Built-up,Water,Non_Wetland,Built-up
224,NULL,Bareland,Built-up,Water,Non_Wetland,Water
225,NULL,Bareland,Water,NULL,Water,Grassland
226,NULL,Bareland,Water,NULL,Water,Bareland
227,NULL,Bareland,Water,NULL,Water,Water
228,NULL,Bareland,Water,NULL,Water,Forest
229,NULL,Bareland,Water,Non_Water,Water,Grassland
230,NULL,Bareland,Water,Non_Water,Water,Bareland
231,NULL,Bareland,Water,Non_Water,Water,Water
232,NULL,Bareland,Water,Non_Water,Water,Forest
233,NULL,Bareland,Water,Water,Water,Grassland
234,NULL,Bareland,Water,Water,Water,Bareland
235,NULL,Bareland,Water,Water,Water,Water
236,NULL,Bareland,Water,Water,Water,Forest
237,NULL,Bareland,Forest,NULL,Non_Wetland,Grassland
238,NULL,Bareland,Forest,NULL,Non_Wetland,Cropland
239,NULL,Bareland,Forest,NULL,Non_Wetland,Bareland
240,NULL,Bareland,Forest,NULL,Non_Wetland,Built-up
241,NULL,Bareland,Forest,NULL,Non_Wetland,Water
242,NULL,Bareland,Forest,NULL,Non_Wetland,Forest
243,NULL,Bareland,Forest,Non_Water,Non_Wetland,Grassland
244,NULL,Bareland,Forest,Non_Water,Non_Wetland,Bareland
245,NULL,Bareland,Forest,Non_Water,Non_Wetland,Water
246,NULL,Bareland,Forest,Non_Water,Non_Wetland,Forest
247,NULL,Bareland,Forest,Water,Non_Wetland,Grassland
248,NULL,Bareland,Forest,Water,Non_Wetland,Bareland
249,NULL,Bareland,Forest,Water,Non_Wetland,Water
250,NULL,Bareland,Forest,Water,Non_Wetland,Forest
251,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
252,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
253,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
254,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
255,NULL,Built-up,NULL,NULL,Non_Wetland,Water
256,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
257,NULL,Built-up,NULL,Non_Water,Non_Wetland,Bareland
258,NULL,Built-up,NULL,Water,Non_Wetland,Forest
259,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
260,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
261,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
262,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
263,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
264,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water
265,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
266,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland
267,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Built-up
268,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Water
269,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Forest
270,NULL,Built-up,Shrubland,Water,Non_Wetland,Grassland
271,NULL,Built-up,Shrubland,Water,Non_Wetland,Forest
272,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
273,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
274,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
275,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
276,NULL,Built-up,Grassland,NULL,Non_Wetland,Water
277,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
278,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Bareland
279,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Water
280,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Forest
281,NULL,Built-up,Grassland,Water,Non_Wetland,Built-up
282,NULL,Built-up,Grassland,Water,Non_Wetland,Forest
283,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
284,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
285,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
286,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
287,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
288,NULL,Built-up,Wetland,NULL,Wetland,Grassland
289,NULL,Built-up,Wetland,NULL,Wetland,Built-up
290,NULL,Built-up,Wetland,NULL,Wetland,Forest
291,NULL,Built-up,Wetland,Non_Water,Wetland,Forest
292,NULL,Built-up,Wetland,Water,Wetland,Grassland
293,NULL,Built-up,Wetland,Water,Wetland,Built-up
294,NULL,Built-up,Wetland,Water,Wetland,Water
295,NULL,Built-up,Wetland,Water,Wetland,Forest
296,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
297,NULL,Built-up,Bareland,NULL,Non_Wetland,Cropland
298,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
299,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
300,NULL,Built-up,Bareland,NULL,Non_Wetland,Water
301,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
302,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Bareland
303,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Forest
304,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
305,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
306,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
307,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
308,NULL,Built-up,Built-up,NULL,Non_Wetland,Water
309,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
310,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Grassland
311,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Bareland
312,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Built-up
313,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Water
314,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Forest
315,NULL,Built-up,Built-up,Water,Non_Wetland,Grassland
316,NULL,Built-up,Built-up,Water,Non_Wetland,Built-up
317,NULL,Built-up,Built-up,Water,Non_Wetland,Forest
318,NULL,Built-up,Water,NULL,Water,Grassland
319,NULL,Built-up,Water,NULL,Water,Bareland
320,NULL,Built-up,Water,NULL,Water,Built-up
321,NULL,Built-up,Water,NULL,Water,Water
322,NULL,Built-up,Water,NULL,Water,Forest
323,NULL,Built-up,Water,Non_Water,Water,Grassland
324,NULL,Built-up,Water,Non_Water,Water,Bareland
325,NULL,Built-up,Water,Non_Water,Water,Water
326,NULL,Built-up,Water,Water,Water,Grassland
327,NULL,Built-up,Water,Water,Water,Bareland
328,NULL,Built-up,Water,Water,Water,Built-up
329,NULL,Built-up,Water,Water,Water,Water
330,NULL,Built-up,Water,Water,Water,Forest
331,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
332,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
333,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
334,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland
335,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
336,NULL,Built-up,Forest,NULL,Non_Wetland,Water
337,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
338,NULL,Built-up,Forest,Non_Water,Non_Wetland,Grassland
339,NULL,Built-up,Forest,Non_Water,Non_Wetland,Bareland
340,NULL,Built-up,Forest,Non_Water,Non_Wetland,Built-up
341,NULL,Built-up,Forest,Non_Water,Non_Wetland,Water
342,NULL,Built-up,Forest,Non_Water,Non_Wetland,Forest
343,NULL,Built-up,Forest,Water,Non_Wetland,Grassland
344,NULL,Built-up,Forest,Water,Non_Wetland,Bareland
345,NULL,Built-up,Forest,Water,Non_Wetland,Water
346,NULL,Built-up,Forest,Water,Non_Wetland,Forest
347,NULL,Water,NULL,NULL,Non_Wetland,Grassland
348,NULL,Water,NULL,NULL,Non_Wetland,Bareland
349,NULL,Water,NULL,NULL,Non_Wetland,Water
350,NULL,Water,NULL,NULL,Non_Wetland,Forest
351,NULL,Water,NULL,Non_Water,Non_Wetland,Bareland
352,NULL,Water,NULL,Non_Water,Non_Wetland,Forest
353,NULL,Water,NULL,Water,Non_Wetland,Water
354,NULL,Water,NULL,Water,Non_Wetland,Forest
355,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
356,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland
357,NULL,Water,Shrubland,NULL,Non_Wetland,Built-up
358,NULL,Water,Shrubland,NULL,Non_Wetland,Water
359,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
360,NULL,Water,Shrubland,Non_Water,Non_Wetland,Bareland
361,NULL,Water,Shrubland,Non_Water,Non_Wetland,Water
362,NULL,Water,Shrubland,Non_Water,Non_Wetland,Forest
363,NULL,Water,Shrubland,Water,Non_Wetland,Grassland
364,NULL,Water,Shrubland,Water,Non_Wetland,Bareland
365,NULL,Water,Shrubland,Water,Non_Wetland,Water
366,NULL,Water,Shrubland,Water,Non_Wetland,Forest
367,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
368,NULL,Water,Grassland,NULL,Non_Wetland,Bareland
369,NULL,Water,Grassland,NULL,Non_Wetland,Water
370,NULL,Water,Grassland,NULL,Non_Wetland,Forest
371,NULL,Water,Grassland,Non_Water,Non_Wetland,Grassland
372,NULL,Water,Grassland,Non_Water,Non_Wetland,Bareland
373,NULL,Water,Grassland,Non_Water,Non_Wetland,Water
374,NULL,Water,Grassland,Non_Water,Non_Wetland,Forest
375,NULL,Water,Grassland,Water,Non_Wetland,Water
376,NULL,Water,Grassland,Water,Non_Wetland,Forest
377,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
378,NULL,Water,Cropland,NULL,Non_Wetland,Water
379,NULL,Water,Cropland,NULL,Non_Wetland,Forest
380,NULL,Water,Cropland,Non_Water,Non_Wetland,Forest
381,NULL,Water,Cropland,Water,Non_Wetland,Water
382,NULL,Water,Cropland,Water,Non_Wetland,Forest
383,NULL,Water,Wetland,NULL,Wetland,Grassland
384,NULL,Water,Wetland,NULL,Wetland,Bareland
385,NULL,Water,Wetland,NULL,Wetland,Forest
386,NULL,Water,Wetland,Non_Water,Wetland,Grassland
387,NULL,Water,Wetland,Non_Water,Wetland,Bareland
388,NULL,Water,Wetland,Non_Water,Wetland,Forest
389,NULL,Water,Wetland,Water,Wetland,Grassland
390,NULL,Water,Wetland,Water,Wetland,Bareland
391,NULL,Water,Wetland,Water,Wetland,Water
392,NULL,Water,Wetland,Water,Wetland,Forest
393,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
394,NULL,Water,Bareland,NULL,Non_Wetland,Water
395,NULL,Water,Bareland,NULL,Non_Wetland,Forest
396,NULL,Water,Bareland,Non_Water,Non_Wetland,Bareland
397,NULL,Water,Bareland,Non_Water,Non_Wetland,Water
398,NULL,Water,Bareland,Water,Non_Wetland,Grassland
399,NULL,Water,Bareland,Water,Non_Wetland,Bareland
400,NULL,Water,Bareland,Water,Non_Wetland,Forest
401,NULL,Water,Built-up,NULL,Non_Wetland,Bareland
402,NULL,Water,Built-up,NULL,Non_Wetland,Built-up
403,NULL,Water,Built-up,NULL,Non_Wetland,Water
404,NULL,Water,Built-up,NULL,Non_Wetland,Forest
405,NULL,Water,Built-up,Non_Water,Non_Wetland,Bareland
406,NULL,Water,Built-up,Water,Non_Wetland,Forest
407,NULL,Water,Water,NULL,Water,Grassland
408,NULL,Water,Water,NULL,Water,Bareland
409,NULL,Water,Water,NULL,Water,Water
410,NULL,Water,Water,NULL,Water,Forest
411,NULL,Water,Water,Non_Water,Water,Grassland
412,NULL,Water,Water,Non_Water,Water,Bareland
413,NULL,Water,Water,Non_Water,Water,Water
414,NULL,Water,Water,Non_Water,Water,Forest
415,NULL,Water,Water,Water,Water,Grassland
416,NULL,Water,Water,Water,Water,Bareland
417,NULL,Water,Water,Water,Water,Water
418,NULL,Water,Water,Water,Water,Forest
419,NULL,Water,Forest,NULL,Non_Wetland,Grassland
420,NULL,Water,Forest,NULL,Non_Wetland,Bareland
421,NULL,Water,Forest,NULL,Non_Wetland,Water
422,NULL,Water,Forest,NULL,Non_Wetland,Forest
423,NULL,Water,Forest,Non_Water,Non_Wetland,Grassland
424,NULL,Water,Forest,Non_Water,Non_Wetland,Bareland
425,NULL,Water,Forest,Non_Water,Non_Wetland,Water
426,NULL,Water,Forest,Non_Water,Non_Wetland,Forest
427,NULL,Water,Forest,Water,Non_Wetland,Grassland
428,NULL,Water,Forest,Water,Non_Wetland,Bareland
429,NULL,Water,Forest,Water,Non_Wetland,Water
430,NULL,Water,Forest,Water,Non_Wetland,Forest
431,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
432,NULL,Forest,NULL,NULL,Non_Wetland,Bareland
433,NULL,Forest,NULL,NULL,Non_Wetland,Forest
434,NULL,Forest,NULL,Non_Water,Non_Wetland,Grassland
435,NULL,Forest,NULL,Non_Water,Non_Wetland,Bareland
436,NULL,Forest,NULL,Non_Water,Non_Wetland,Water
437,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
438,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
