Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22LBR_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LBR_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LBR_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LBR_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LBR_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LBR_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LBR_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22LBR_M_R
73,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
74,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
75,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
76,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Forest
77,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
78,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
79,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
80,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Forest
81,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
82,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Forest
83,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
84,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
85,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
86,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Built-up
87,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
88,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
89,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
90,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
91,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
92,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
93,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
94,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
95,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,NULL
96,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
97,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
98,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
99,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
100,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
101,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
102,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
103,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
104,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
105,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
106,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
107,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
108,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Wetland
109,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Grassland
110,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Forest
111,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Grassland
112,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Forest
113,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
114,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,Forest
115,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
116,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Grassland
117,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Grassland
118,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
119,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
120,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
121,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Forest
122,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
123,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Bareland,Forest
124,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Forest,Forest
125,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
126,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Forest
127,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
128,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
129,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
130,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
131,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
132,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
133,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
134,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Grassland
135,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Bareland,Grassland
136,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Bareland,Forest
137,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Forest,Grassland
138,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Forest,Forest
139,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
140,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Shrubland,Forest
141,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
142,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
143,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,NULL
144,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
145,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
146,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Grassland
147,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Forest
148,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
149,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
150,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
151,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Bareland,Forest
152,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
153,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
154,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
155,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
156,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
157,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Bareland,Forest
158,NULL,NULL,Wetland,NULL,Wetland,Shrubland,NULL,Grassland
159,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Wetland,NULL
160,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Wetland,Grassland
161,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Wetland,Forest
162,NULL,NULL,Wetland,NULL,Wetland,Grassland,NULL,NULL
163,NULL,NULL,Wetland,NULL,Wetland,Grassland,NULL,Grassland
164,NULL,NULL,Wetland,NULL,Wetland,Grassland,NULL,Forest
165,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,NULL
166,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
167,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
168,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,NULL
169,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
170,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
171,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,NULL
172,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,Grassland
173,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,Forest
174,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,NULL
175,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
176,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
177,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
178,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
179,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
180,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Forest
181,NULL,NULL,Wetland,Non_Water,Wetland,Shrubland,Water,Forest
182,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,NULL
183,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
184,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
185,NULL,NULL,Wetland,Water,Wetland,Shrubland,Wetland,Grassland
186,NULL,NULL,Wetland,Water,Wetland,Grassland,Grassland,Grassland
187,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Grassland
188,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Grassland
189,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
190,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Bareland
191,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Grassland
192,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Forest
193,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Grassland
194,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Water
195,NULL,NULL,Wetland,Water,Wetland,Water,Water,Grassland
196,NULL,NULL,Water,NULL,Water,Grassland,Wetland,Wetland
197,NULL,NULL,Water,NULL,Water,Wetland,Grassland,Forest
198,NULL,NULL,Water,Non_Water,Water,Wetland,Wetland,Forest
199,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,NULL,Forest
200,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
201,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Forest
202,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,NULL
203,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,Grassland
204,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,Forest
205,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Wetland,NULL
206,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Wetland,Grassland
207,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Wetland,Forest
208,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Bareland,NULL
209,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Bareland,Grassland
210,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Bareland,Forest
211,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Forest,Grassland
212,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Forest,Forest
213,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,NULL
214,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
215,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
216,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Grassland
217,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Forest
218,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
219,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
220,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
221,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,NULL
222,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
223,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Wetland
224,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
225,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
226,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
227,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
228,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
229,NULL,NULL,Forest,NULL,Non_Wetland,Cropland,Shrubland,Grassland
230,NULL,NULL,Forest,NULL,Non_Wetland,Cropland,Shrubland,Forest
231,NULL,NULL,Forest,NULL,Non_Wetland,Cropland,Grassland,Grassland
232,NULL,NULL,Forest,NULL,Non_Wetland,Cropland,Grassland,Forest
233,NULL,NULL,Forest,NULL,Non_Wetland,Cropland,Bareland,Grassland
234,NULL,NULL,Forest,NULL,Non_Wetland,Cropland,Bareland,Forest
235,NULL,NULL,Forest,NULL,Non_Wetland,Cropland,Forest,Grassland
236,NULL,NULL,Forest,NULL,Non_Wetland,Cropland,Forest,Forest
237,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,NULL
238,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Grassland
239,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Shrubland,NULL
240,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Shrubland,Grassland
241,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Shrubland,Forest
242,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,NULL
243,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
244,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
245,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
246,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
247,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Wetland
248,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
249,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Bareland,NULL
250,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Bareland,Grassland
251,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Bareland,Forest
252,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,NULL
253,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
254,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
255,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Shrubland,Forest
256,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
257,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
258,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
259,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
260,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Grassland
261,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
262,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Grassland
263,NULL,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Wetland
264,NULL,NULL,Forest,NULL,Non_Wetland,Water,Bareland,Grassland
265,NULL,NULL,Forest,NULL,Non_Wetland,Water,Bareland,Forest
266,NULL,NULL,Forest,NULL,Non_Wetland,Water,Forest,Grassland
267,NULL,NULL,Forest,NULL,Non_Wetland,Water,Forest,Forest
268,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Shrubland,Forest
269,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
270,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Bareland,Forest
271,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
272,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
273,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
274,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Wetland,Forest
275,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
276,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
277,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
278,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
279,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Built-up,Grassland
280,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Built-up,Forest
281,NULL,Cropland,Grassland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
282,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
283,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Forest
284,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
285,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
286,NULL,Cropland,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
287,NULL,Cropland,Grassland,NULL,Non_Wetland,Wetland,Built-up,Grassland
288,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Built-up,Grassland
289,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Built-up,Cropland
290,NULL,Cropland,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
291,NULL,Cropland,Cropland,NULL,Non_Wetland,Wetland,Built-up,Grassland
292,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,Built-up,Grassland
293,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,Built-up,Built-up
294,NULL,Wetland,Wetland,NULL,Wetland,Water,Water,Grassland
295,NULL,Wetland,Wetland,Water,Wetland,Wetland,Water,Grassland
296,NULL,Bareland,Wetland,Water,Wetland,Wetland,Wetland,Grassland
297,NULL,Bareland,Wetland,Water,Wetland,Wetland,Water,Bareland
298,NULL,Bareland,Wetland,Water,Wetland,Water,Wetland,Water
299,NULL,Bareland,Wetland,Water,Wetland,Water,Water,Water
300,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
301,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
302,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
303,NULL,Water,NULL,Water,Non_Wetland,Water,Wetland,Grassland
304,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
305,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
306,NULL,Water,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
307,NULL,Water,Shrubland,Water,Non_Wetland,Wetland,Wetland,Wetland
308,NULL,Water,Grassland,NULL,Non_Wetland,Wetland,Water,Grassland
309,NULL,Water,Cropland,Water,Non_Wetland,Water,Wetland,Grassland
310,NULL,Water,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
311,NULL,Water,Wetland,NULL,Wetland,Wetland,Wetland,Forest
312,NULL,Water,Wetland,NULL,Wetland,Wetland,Water,Grassland
313,NULL,Water,Wetland,NULL,Wetland,Wetland,Water,Forest
314,NULL,Water,Wetland,NULL,Wetland,Water,Water,Grassland
315,NULL,Water,Wetland,Non_Water,Wetland,Grassland,Water,Grassland
316,NULL,Water,Wetland,Water,Wetland,Grassland,Water,Grassland
317,NULL,Water,Wetland,Water,Wetland,Wetland,Wetland,Grassland
318,NULL,Water,Wetland,Water,Wetland,Wetland,Wetland,Wetland
319,NULL,Water,Wetland,Water,Wetland,Wetland,Wetland,Water
320,NULL,Water,Wetland,Water,Wetland,Wetland,Water,Grassland
321,NULL,Water,Wetland,Water,Wetland,Wetland,Water,Wetland
322,NULL,Water,Wetland,Water,Wetland,Wetland,Water,Bareland
323,NULL,Water,Wetland,Water,Wetland,Wetland,Water,Water
324,NULL,Water,Wetland,Water,Wetland,Wetland,Water,Forest
325,NULL,Water,Wetland,Water,Wetland,Water,Wetland,Grassland
326,NULL,Water,Wetland,Water,Wetland,Water,Wetland,Water
327,NULL,Water,Wetland,Water,Wetland,Water,Water,Grassland
328,NULL,Water,Wetland,Water,Wetland,Water,Water,Wetland
329,NULL,Water,Wetland,Water,Wetland,Water,Water,Water
330,NULL,Water,Forest,Non_Water,Non_Wetland,Water,Wetland,Grassland
