Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20MQS_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MQS_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MQS_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MQS_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MQS_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MQS_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MQS_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20MQS_M_R
98,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
99,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
100,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
101,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
102,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
103,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
104,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
105,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
106,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Grassland
107,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
108,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Grassland
109,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,NULL,Grassland
110,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
111,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Forest
112,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
113,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Forest
114,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Grassland
115,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Forest
116,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Forest,Grassland
117,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Forest,Bareland
118,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
119,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
120,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Bareland
121,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Grassland
122,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Grassland
123,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
124,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Bareland
125,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Bareland
126,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
127,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Bareland
128,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
129,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
130,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
131,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
132,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Wetland
133,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Bareland
134,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
135,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
136,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,NULL
137,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
138,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Bareland
139,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
140,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
141,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
142,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,NULL
143,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
144,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
145,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
146,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
147,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,NULL
148,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
149,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Wetland
150,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
151,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,NULL
152,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
153,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
154,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Grassland
155,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,Grassland
156,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,NULL
157,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
158,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
159,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
160,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Bareland
161,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
162,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Bareland
163,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Built-up
164,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
165,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
166,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Forest
167,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
168,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
169,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
170,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Water
171,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Forest
172,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Grassland
173,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Water,Grassland
174,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Forest,Grassland
175,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
176,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
177,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
178,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
179,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Water,Grassland
180,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Forest,Grassland
181,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
182,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
183,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
184,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Forest,Forest
185,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
186,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,NULL,Grassland
187,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Grassland
188,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Wetland
189,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Wetland,Grassland
190,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Wetland,Forest
191,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Water,Grassland
192,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Forest,Grassland
193,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,NULL,Grassland
194,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Grassland,Grassland
195,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Grassland
196,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Forest
197,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Forest,Grassland
198,NULL,NULL,Grassland,Water,Non_Wetland,Water,Wetland,Grassland
199,NULL,NULL,Grassland,Water,Non_Wetland,Water,Water,Grassland
200,NULL,NULL,Grassland,Water,Non_Wetland,Water,Water,Forest
201,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
202,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Bareland
203,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,NULL
204,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
205,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Bareland
206,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
207,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
208,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
209,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
210,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
211,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
212,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
213,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
214,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Forest
215,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Grassland
216,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Forest,Grassland
217,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Forest,Forest
218,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
219,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Bareland
220,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Forest
221,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
222,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Bareland
223,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Built-up
224,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
225,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Grassland
226,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
227,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Grassland
228,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Bareland
229,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Grassland
230,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Wetland
231,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Forest
232,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Forest
233,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
234,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
235,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Water,Grassland
236,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Grassland,Grassland
237,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
238,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
239,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Wetland
240,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
241,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,NULL
242,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
243,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
244,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Grassland
245,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Forest
246,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,NULL
247,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Grassland
248,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
249,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,NULL
250,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
251,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Wetland
252,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
253,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
254,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
255,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
256,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,NULL
257,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Grassland
258,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Forest
259,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Bareland
260,NULL,NULL,Wetland,NULL,Wetland,Bareland,Water,Forest
261,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Grassland
262,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Forest
263,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
264,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Grassland
265,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Forest
266,NULL,NULL,Wetland,NULL,Wetland,Forest,Grassland,Forest
267,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
268,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Forest
269,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Forest
270,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Forest,Forest
271,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
272,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
273,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Grassland
274,NULL,NULL,Wetland,Water,Wetland,Grassland,NULL,Grassland
275,NULL,NULL,Wetland,Water,Wetland,Grassland,NULL,Wetland
276,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Grassland
277,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Wetland
278,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Bareland
279,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Forest
280,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Grassland
281,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Wetland
282,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Water
283,NULL,NULL,Wetland,Water,Wetland,Wetland,NULL,Grassland
284,NULL,NULL,Wetland,Water,Wetland,Wetland,NULL,Wetland
285,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
286,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Wetland
287,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Bareland
288,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Forest
289,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Grassland
290,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Forest
291,NULL,NULL,Wetland,Water,Wetland,Bareland,NULL,Grassland
292,NULL,NULL,Wetland,Water,Wetland,Bareland,NULL,Wetland
293,NULL,NULL,Wetland,Water,Wetland,Bareland,Wetland,Grassland
294,NULL,NULL,Wetland,Water,Wetland,Bareland,Wetland,Wetland
295,NULL,NULL,Wetland,Water,Wetland,Bareland,Water,Grassland
296,NULL,NULL,Wetland,Water,Wetland,Water,NULL,Grassland
297,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Grassland
298,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Wetland
299,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Bareland
300,NULL,NULL,Wetland,Water,Wetland,Water,Water,Grassland
301,NULL,NULL,Wetland,Water,Wetland,Water,Water,Wetland
302,NULL,NULL,Wetland,Water,Wetland,Water,Water,Bareland
303,NULL,NULL,Wetland,Water,Wetland,Water,Water,Water
304,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Grassland,Grassland
305,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Grassland,Built-up
306,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Forest,Grassland
307,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland,Grassland,Grassland
308,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland,Forest,Grassland
309,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Wetland,Forest
310,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,NULL
311,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
312,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
313,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,NULL
314,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Grassland
315,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Forest
316,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Water,Grassland
317,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,NULL
318,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,Grassland
319,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,Forest
320,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,NULL
321,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Grassland
322,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Forest
323,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,NULL
324,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
325,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
326,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Forest,NULL
327,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Forest,Grassland
328,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Forest,Forest
329,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,Grassland
