Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22MBS_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MBS_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MBS_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MBS_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MBS_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MBS_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MBS_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22MBS_M_R
24,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
25,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
26,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
27,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
28,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
29,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
36,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
37,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
38,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Grassland
39,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Grassland
40,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
41,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
42,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
43,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
44,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
45,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
46,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
47,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
48,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
49,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
50,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
51,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
52,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
53,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
54,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
55,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
56,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
57,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
58,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
59,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
60,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
61,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Forest
62,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
63,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Forest
64,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
65,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
66,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
67,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
68,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
69,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
70,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
71,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
72,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,NULL
73,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
74,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
75,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
76,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
77,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
78,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
79,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
80,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
81,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
82,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
83,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
84,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
85,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
86,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Grassland
87,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Forest
88,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Grassland
89,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Grassland
90,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
91,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,Forest
92,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
93,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
94,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
95,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
96,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
97,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Bareland
98,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Grassland
99,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Bareland
100,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
101,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Grassland
102,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
103,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Forest
104,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Bareland,Forest
105,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Forest,Forest
106,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
107,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Forest
108,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
109,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
110,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
111,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
112,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
113,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
114,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
115,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
116,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Bareland,Grassland
117,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Bareland,Forest
118,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
119,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
120,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
121,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Grassland
122,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Forest
123,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
124,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
125,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
126,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
127,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
128,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
129,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Wetland,Grassland
130,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Wetland,Forest
131,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
132,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
133,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
134,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Grassland
135,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
136,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
137,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
138,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
139,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Bareland
140,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Water
141,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
142,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Grassland
143,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Bareland
144,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Forest
145,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Grassland
146,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
147,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Bareland
148,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Water
149,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
150,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Grassland
151,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Bareland
152,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Water
153,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Forest
154,NULL,NULL,Wetland,NULL,Wetland,Water,Forest,Grassland
155,NULL,NULL,Wetland,Non_Water,Wetland,Shrubland,Wetland,Grassland
156,NULL,NULL,Wetland,Non_Water,Wetland,Shrubland,Wetland,Forest
157,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
158,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Forest
159,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
160,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
161,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Bareland
162,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
163,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
164,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
165,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Forest
166,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Water
167,NULL,NULL,Wetland,Water,Wetland,Shrubland,Wetland,Grassland
168,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Grassland
169,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Bareland
170,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Forest
171,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Grassland
172,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Bareland
173,NULL,NULL,Wetland,Water,Wetland,Grassland,Forest,Grassland
174,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
175,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Wetland
176,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Bareland
177,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Water
178,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Forest
179,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Grassland
180,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Wetland
181,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Bareland
182,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Water
183,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Forest
184,NULL,NULL,Wetland,Water,Wetland,Wetland,Forest,Water
185,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Grassland
186,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Wetland
187,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Bareland
188,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Water
189,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Forest
190,NULL,NULL,Wetland,Water,Wetland,Water,Water,Grassland
191,NULL,NULL,Wetland,Water,Wetland,Water,Water,Bareland
192,NULL,NULL,Wetland,Water,Wetland,Water,Water,Water
193,NULL,NULL,Wetland,Water,Wetland,Water,Water,Forest
194,NULL,NULL,Wetland,Water,Wetland,Water,Forest,Bareland
195,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,Grassland
196,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,Bareland
197,NULL,NULL,Built-up,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
198,NULL,NULL,Built-up,Water,Non_Wetland,Wetland,Wetland,Grassland
199,NULL,NULL,Built-up,Water,Non_Wetland,Wetland,Wetland,Bareland
200,NULL,NULL,Water,NULL,Water,Water,Wetland,Grassland
201,NULL,NULL,Water,NULL,Water,Water,Water,Grassland
202,NULL,NULL,Water,Water,Water,Wetland,Wetland,Grassland
203,NULL,NULL,Water,Water,Water,Wetland,Wetland,Forest
204,NULL,NULL,Water,Water,Water,Water,Wetland,Grassland
205,NULL,NULL,Water,Water,Water,Water,Water,Grassland
206,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Forest
207,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,Forest
208,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Wetland,Forest
209,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Bareland,Grassland
210,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Bareland,Forest
211,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Forest,Forest
212,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
213,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,NULL
214,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Grassland
215,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Forest
216,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
217,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
218,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Wetland
219,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
220,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
221,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Wetland
222,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
223,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
224,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
225,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,NULL
226,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
227,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
228,NULL,NULL,Forest,NULL,Non_Wetland,Cropland,Shrubland,Grassland
229,NULL,NULL,Forest,NULL,Non_Wetland,Cropland,Grassland,Grassland
230,NULL,NULL,Forest,NULL,Non_Wetland,Cropland,Bareland,Grassland
231,NULL,NULL,Forest,NULL,Non_Wetland,Cropland,Bareland,Forest
232,NULL,NULL,Forest,NULL,Non_Wetland,Cropland,Forest,Grassland
233,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,NULL
234,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Grassland
235,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
236,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Shrubland,NULL
237,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Shrubland,Grassland
238,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Shrubland,Forest
239,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,NULL
240,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
241,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
242,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
243,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Wetland
244,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
245,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Bareland,Grassland
246,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Bareland,Forest
247,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,NULL
248,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
249,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
250,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Shrubland,Grassland
251,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Shrubland,Forest
252,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
253,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,NULL
254,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
255,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
256,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Grassland
257,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
258,NULL,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Grassland
259,NULL,NULL,Forest,NULL,Non_Wetland,Water,Bareland,NULL
260,NULL,NULL,Forest,NULL,Non_Wetland,Water,Bareland,Grassland
261,NULL,NULL,Forest,NULL,Non_Wetland,Water,Bareland,Forest
262,NULL,NULL,Forest,NULL,Non_Wetland,Water,Water,Grassland
263,NULL,NULL,Forest,NULL,Non_Wetland,Water,Water,Forest
264,NULL,NULL,Forest,NULL,Non_Wetland,Water,Forest,Grassland
265,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Shrubland,Forest
266,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
267,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Bareland,Forest
268,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
269,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Forest
270,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
271,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Forest
272,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Water,Grassland
273,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Wetland,Grassland
274,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Wetland,Grassland
275,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Wetland,Forest
276,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Water,Grassland
277,NULL,NULL,Forest,Water,Non_Wetland,Water,Wetland,Grassland
278,NULL,NULL,Forest,Water,Non_Wetland,Water,Water,Grassland
279,NULL,NULL,Forest,Water,Non_Wetland,Water,Water,Forest
280,NULL,Cropland,Wetland,Water,Wetland,Wetland,Water,Water
281,NULL,Wetland,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
282,NULL,Wetland,NULL,NULL,Non_Wetland,Water,Wetland,Forest
283,NULL,Wetland,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
284,NULL,Wetland,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
285,NULL,Wetland,NULL,Water,Non_Wetland,Water,Wetland,Grassland
286,NULL,Wetland,NULL,Water,Non_Wetland,Water,Wetland,Forest
287,NULL,Wetland,NULL,Water,Non_Wetland,Water,Water,Grassland
288,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
289,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
290,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
291,NULL,Wetland,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
292,NULL,Wetland,Shrubland,NULL,Non_Wetland,Water,Water,Water
293,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
294,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
295,NULL,Wetland,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
296,NULL,Wetland,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
297,NULL,Wetland,Shrubland,Water,Non_Wetland,Wetland,Water,Grassland
298,NULL,Wetland,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
299,NULL,Wetland,Shrubland,Water,Non_Wetland,Water,Wetland,Water
300,NULL,Wetland,Shrubland,Water,Non_Wetland,Water,Water,Grassland
301,NULL,Wetland,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
302,NULL,Wetland,Wetland,NULL,Wetland,Grassland,Wetland,Forest
303,NULL,Wetland,Wetland,NULL,Wetland,Grassland,Water,Grassland
304,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
305,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Bareland
306,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Water
307,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Forest
308,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Water,Grassland
309,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Water,Wetland
310,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Water,Forest
311,NULL,Wetland,Wetland,NULL,Wetland,Water,Wetland,Grassland
312,NULL,Wetland,Wetland,NULL,Wetland,Water,Wetland,Forest
313,NULL,Wetland,Wetland,NULL,Wetland,Water,Water,Grassland
314,NULL,Wetland,Wetland,NULL,Wetland,Water,Water,Bareland
315,NULL,Wetland,Wetland,NULL,Wetland,Water,Water,Forest
316,NULL,Wetland,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
317,NULL,Wetland,Wetland,Non_Water,Wetland,Grassland,Wetland,Forest
318,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
319,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,Water
320,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
321,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
322,NULL,Wetland,Wetland,Water,Wetland,Grassland,Wetland,Grassland
323,NULL,Wetland,Wetland,Water,Wetland,Grassland,Wetland,Bareland
324,NULL,Wetland,Wetland,Water,Wetland,Grassland,Wetland,Forest
325,NULL,Wetland,Wetland,Water,Wetland,Grassland,Water,Grassland
326,NULL,Wetland,Wetland,Water,Wetland,Grassland,Water,Bareland
327,NULL,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Grassland
328,NULL,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Wetland
329,NULL,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Bareland
330,NULL,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Water
331,NULL,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Forest
332,NULL,Wetland,Wetland,Water,Wetland,Wetland,Water,Grassland
333,NULL,Wetland,Wetland,Water,Wetland,Wetland,Water,Bareland
334,NULL,Wetland,Wetland,Water,Wetland,Wetland,Water,Water
335,NULL,Wetland,Wetland,Water,Wetland,Water,Wetland,Grassland
336,NULL,Wetland,Wetland,Water,Wetland,Water,Wetland,Bareland
