Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21LUK_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LUK_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LUK_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LUK_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LUK_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LUK_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LUK_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21LUK_M_R
101,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
102,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
103,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
104,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
105,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
106,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
107,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
108,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
109,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
110,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
111,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
112,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
113,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
114,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
115,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
116,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
117,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
118,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
119,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
120,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
121,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
122,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Water
123,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
124,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
125,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Bareland
126,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
127,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
128,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
129,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
130,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
131,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Built-up
132,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Forest
133,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
134,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
135,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
136,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
137,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
138,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Grassland
139,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
140,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
141,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,Grassland
142,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
143,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
144,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,NULL
145,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
146,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
147,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
148,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
149,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Bareland,Grassland
150,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
151,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
152,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Wetland
153,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Forest
154,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
155,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Wetland
156,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
157,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Forest
158,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Grassland
159,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Grassland
160,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Bareland
161,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Water
162,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Forest
163,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Grassland,Water
164,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
165,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
166,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
167,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
168,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
169,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
170,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Cropland
171,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
172,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
173,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
174,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
175,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
176,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Grassland
177,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Forest
178,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
179,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
180,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
181,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Forest
182,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
183,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Built-up
184,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
185,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
186,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Forest
187,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
188,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Bareland
189,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Built-up
190,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
191,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Grassland
192,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
193,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
194,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
195,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
196,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
197,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
198,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
199,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Grassland,Forest
200,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
201,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Bareland,Forest
202,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Bareland,Grassland
203,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Bareland,Bareland
204,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Bareland,Water
205,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Bareland,Forest
206,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
207,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
208,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
209,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
210,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Bareland
211,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
212,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
213,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
214,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
215,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
216,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Cropland
217,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Bareland
218,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
219,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Grassland
220,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Forest
221,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
222,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
223,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Grassland
224,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Cropland
225,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Grassland
226,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Cropland
227,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Forest
228,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
229,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Forest
230,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Forest,Forest
231,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
232,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Bareland
233,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Forest
234,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
235,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Cropland
236,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Bareland
237,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Built-up
238,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
239,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Grassland
240,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Forest
241,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
242,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Bareland
243,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Built-up
244,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
245,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Built-up,Grassland
246,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Built-up,Bareland
247,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Built-up,Forest
248,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Grassland
249,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Bareland
250,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Forest
251,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Grassland
252,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Forest
253,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Grassland
254,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Bareland
255,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Built-up
256,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Forest,Grassland
257,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Forest,Bareland
258,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Grassland
259,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Grassland
260,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Forest
261,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Forest,Forest
262,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
263,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
264,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
265,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Wetland,Bareland
266,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
267,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
268,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,Forest
269,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Bareland,Grassland
270,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Bareland,Bareland
271,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Bareland,Forest
272,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,Forest
273,NULL,NULL,Wetland,NULL,Wetland,NULL,Forest,Forest
274,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
275,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
276,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
277,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Wetland
278,NULL,NULL,Wetland,NULL,Wetland,Grassland,Bareland,Grassland
279,NULL,NULL,Wetland,NULL,Wetland,Grassland,Bareland,Forest
280,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Grassland
281,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Grassland
282,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
283,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Grassland
284,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Forest
285,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
286,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Water
287,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Forest
288,NULL,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Grassland
289,NULL,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Wetland
290,NULL,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Bareland
291,NULL,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Water
292,NULL,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Forest
293,NULL,NULL,Wetland,NULL,Wetland,Bareland,Forest,Forest
294,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Grassland
295,NULL,NULL,Wetland,NULL,Wetland,Forest,Grassland,Forest
296,NULL,NULL,Wetland,NULL,Wetland,Forest,Bareland,Forest
297,NULL,NULL,Wetland,NULL,Wetland,Forest,Forest,Forest
298,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Wetland,Grassland
299,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Wetland,Forest
300,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Bareland,Grassland
301,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Bareland,Bareland
302,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Bareland,Water
303,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Bareland,Forest
304,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Forest,Forest
305,NULL,NULL,Wetland,Water,Wetland,Grassland,Grassland,Forest
306,NULL,NULL,Wetland,Water,Wetland,Bareland,Bareland,Grassland
307,NULL,NULL,Wetland,Water,Wetland,Bareland,Bareland,Bareland
308,NULL,NULL,Wetland,Water,Wetland,Bareland,Bareland,Water
309,NULL,NULL,Wetland,Water,Wetland,Bareland,Bareland,Forest
310,NULL,NULL,Wetland,Water,Wetland,Bareland,Water,Grassland
311,NULL,NULL,Wetland,Water,Wetland,Water,Grassland,Water
312,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,NULL,Grassland
313,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Grassland,Grassland
314,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Grassland,Cropland
315,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Grassland,Bareland
316,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Grassland,Forest
317,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Bareland,Grassland
318,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Bareland,Built-up
319,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Bareland,Forest
320,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Built-up,Grassland
321,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Forest,Grassland
322,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Forest,Forest
323,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland,Grassland,Grassland
