Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18LWR_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LWR_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LWR_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LWR_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LWR_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18LWR_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18LWR_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18LWR_M_R
29,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
30,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
31,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
32,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
33,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
34,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
35,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
36,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
37,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
38,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
39,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
40,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
41,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
42,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Cropland
43,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
44,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
45,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
46,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
47,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
48,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
49,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
50,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
51,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
52,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
53,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
54,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
55,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
56,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
57,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
58,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
59,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
60,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
61,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
62,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,NULL
63,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
64,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
65,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
66,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
67,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
68,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Cropland
69,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
70,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
71,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
72,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
73,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
74,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
75,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Bareland
76,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Water
77,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,NULL,NULL,Water
78,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
79,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
80,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
81,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
82,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
83,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
84,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
85,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
86,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
87,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
88,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Cropland
89,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Wetland
90,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
91,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Forest
92,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
93,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
94,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Wetland
95,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
96,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
97,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
98,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
99,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
100,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Water
101,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
102,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
103,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
104,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Built-up
105,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Water
106,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
107,NULL,NULL,Water,NULL,Water,NULL,NULL,Bareland
108,NULL,NULL,Water,NULL,Water,NULL,NULL,Water
109,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
110,NULL,NULL,Water,Non_Water,Water,NULL,NULL,NULL
111,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
112,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
113,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Bareland
114,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Water
115,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Forest
116,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
117,NULL,NULL,Water,Water,Water,NULL,NULL,Cropland
118,NULL,NULL,Water,Water,Water,NULL,NULL,Wetland
119,NULL,NULL,Water,Water,Water,NULL,NULL,Bareland
120,NULL,NULL,Water,Water,Water,NULL,NULL,Water
121,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
122,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
123,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
124,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
125,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
126,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
127,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
128,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
129,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
130,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
131,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
132,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
133,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
134,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
135,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
136,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
137,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
138,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Cropland
139,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
140,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
141,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
142,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
143,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
144,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
145,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
146,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
147,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
148,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
149,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
150,NULL,Cropland,NULL,Water,Non_Wetland,NULL,NULL,Grassland
151,NULL,Cropland,NULL,Water,Non_Wetland,NULL,NULL,Water
152,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
153,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
154,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
155,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
156,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
157,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
158,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
159,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
160,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
161,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
162,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
163,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
164,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
165,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
166,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
167,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
168,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
169,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
170,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
171,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
172,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
173,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
174,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
175,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
176,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
177,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
178,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
179,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Water
180,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Forest
181,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
182,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
183,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
184,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
185,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
186,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
187,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
188,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Cropland
189,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Forest
190,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
191,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
192,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
193,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
194,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Grassland
195,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Wetland
196,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Water
197,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
198,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
199,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
200,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
201,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
202,NULL,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
203,NULL,Cropland,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
204,NULL,Cropland,Bareland,Water,Non_Wetland,NULL,NULL,Water
205,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
206,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
207,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Wetland
208,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
209,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
210,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Water
211,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
212,NULL,Cropland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
213,NULL,Cropland,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
214,NULL,Cropland,Built-up,Water,Non_Wetland,NULL,NULL,Cropland
215,NULL,Cropland,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
216,NULL,Cropland,Built-up,Water,Non_Wetland,NULL,NULL,Forest
217,NULL,Cropland,Water,NULL,Water,NULL,NULL,Grassland
218,NULL,Cropland,Water,NULL,Water,NULL,NULL,Cropland
219,NULL,Cropland,Water,NULL,Water,NULL,NULL,Bareland
220,NULL,Cropland,Water,NULL,Water,NULL,NULL,Built-up
221,NULL,Cropland,Water,NULL,Water,NULL,NULL,Water
222,NULL,Cropland,Water,Non_Water,Water,NULL,NULL,Grassland
223,NULL,Cropland,Water,Non_Water,Water,NULL,NULL,Bareland
224,NULL,Cropland,Water,Non_Water,Water,NULL,NULL,Water
225,NULL,Cropland,Water,Non_Water,Water,NULL,NULL,Forest
226,NULL,Cropland,Water,Water,Water,NULL,NULL,Grassland
227,NULL,Cropland,Water,Water,Water,NULL,NULL,Water
228,NULL,Cropland,Water,Water,Water,NULL,NULL,Forest
229,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
230,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
231,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
232,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
233,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
234,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
235,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Water
236,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
237,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
238,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
239,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
240,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
241,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
242,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Wetland
243,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Water
244,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Forest
245,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
246,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Water
247,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
248,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
249,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
250,NULL,Wetland,NULL,Water,Non_Wetland,NULL,NULL,Grassland
251,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
252,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
253,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
254,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
255,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
256,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Water
257,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
258,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
259,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
260,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
261,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
262,NULL,Wetland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
263,NULL,Wetland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
264,NULL,Wetland,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
265,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,NULL
266,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
267,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
268,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,NULL
269,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
270,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
271,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Water
272,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
273,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
274,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
275,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
276,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Forest
277,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
278,NULL,Wetland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
279,NULL,Wetland,Bareland,Water,Non_Wetland,NULL,NULL,Water
280,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
281,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
282,NULL,Wetland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
283,NULL,Wetland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
284,NULL,Wetland,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
285,NULL,Wetland,Built-up,Water,Non_Wetland,NULL,NULL,Water
286,NULL,Wetland,Water,NULL,Water,NULL,NULL,Grassland
287,NULL,Wetland,Water,NULL,Water,NULL,NULL,Water
288,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Grassland
289,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Forest
290,NULL,Wetland,Water,Water,Water,NULL,NULL,Grassland
291,NULL,Wetland,Water,Water,Water,NULL,NULL,Wetland
292,NULL,Wetland,Water,Water,Water,NULL,NULL,Water
293,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
294,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
295,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
296,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Water
297,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
298,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
299,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
300,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
301,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
302,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
303,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Wetland
304,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Water
305,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
306,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
307,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
308,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
309,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
310,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
311,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
312,NULL,Bareland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
313,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Forest
314,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
315,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
316,NULL,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
317,NULL,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Water
318,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
319,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
320,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
321,NULL,Bareland,Built-up,Water,Non_Wetland,NULL,NULL,Water
322,NULL,Bareland,Water,NULL,Water,NULL,NULL,Water
323,NULL,Bareland,Water,Non_Water,Water,NULL,NULL,Water
324,NULL,Bareland,Water,Non_Water,Water,NULL,NULL,Forest
325,NULL,Bareland,Water,Water,Water,NULL,NULL,Bareland
326,NULL,Bareland,Water,Water,Water,NULL,NULL,Water
327,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
328,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
329,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
330,NULL,Bareland,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
331,NULL,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Water
332,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
333,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
334,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
335,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
336,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Water
337,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
338,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
339,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
340,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
