Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23KMR_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KMR_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KMR_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KMR_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KMR_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KMR_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KMR_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23KMR_M_R
44,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
45,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
46,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
47,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
48,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
49,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Cropland
51,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
52,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
53,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
54,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Bareland
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
62,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
63,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
64,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
65,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
66,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
67,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Bareland
68,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
69,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,Grassland
70,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,Cropland
71,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
72,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Cropland
73,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
74,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Cropland
75,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
76,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
77,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
78,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Cropland
79,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
80,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
81,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
82,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
83,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
84,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
85,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
86,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
87,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
88,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
89,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
90,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
91,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
92,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
93,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
94,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
95,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
96,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
97,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
98,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Cropland
99,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
100,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
101,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
102,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
103,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
104,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
105,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
106,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
107,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
108,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Grassland
109,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
110,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
111,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Wetland
112,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
113,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
114,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
115,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
116,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Bareland
117,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
118,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
119,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Bareland
120,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
121,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
122,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
123,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
124,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
125,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
126,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
127,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
128,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
129,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Cropland
130,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Forest
131,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
132,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
133,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
134,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
135,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Cropland
136,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Cropland
137,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,NULL,Cropland
138,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
139,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Wetland
140,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Forest
141,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
142,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
143,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
144,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
145,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
146,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Cropland
147,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
148,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Cropland
149,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Grassland
150,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
151,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
152,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
153,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
154,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
155,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
156,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
157,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
158,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
159,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
160,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
161,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
162,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
163,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
164,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
165,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
166,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
167,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
168,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Cropland
169,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
170,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
171,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
172,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Cropland
173,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
174,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
175,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
176,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
177,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Cropland
178,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Bareland
179,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Built-up
180,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Forest
181,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
182,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Built-up
183,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
184,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Cropland
185,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
186,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
187,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
188,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Wetland
189,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
190,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
191,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
192,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
193,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
194,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
195,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
196,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
197,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
198,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
199,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
200,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
201,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
202,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
203,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
204,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
205,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
206,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
207,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
208,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
209,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
210,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
211,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
212,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
213,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
214,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
215,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
216,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
217,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
218,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
219,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
220,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
221,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
222,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
223,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Cropland
224,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
225,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
226,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
227,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
228,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Cropland
229,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Built-up
230,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
231,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
232,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Cropland
233,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
234,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
235,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
236,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Wetland
237,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
238,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
239,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
240,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Bareland
241,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Grassland
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Cropland
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Cropland
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Cropland
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Cropland
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Built-up,Grassland
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Wetland
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Wetland
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Cropland
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Bareland
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Built-up
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Bareland
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Grassland
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Cropland
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Built-up
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Forest
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Cropland
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Bareland
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Built-up
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Cropland
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Built-up
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,NULL
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Cropland
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Bareland
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Forest,Grassland
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Grassland
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Cropland
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Wetland
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Bareland
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Cropland
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Wetland
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Bareland
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Cropland
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Bareland
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
323,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
