Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20LQQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LQQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LQQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LQQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LQQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LQQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LQQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20LQQ_M_R
32,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
38,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
40,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
41,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
42,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Built-up
44,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
45,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
46,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
47,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
48,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
49,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
51,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
52,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
53,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
54,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
55,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
56,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
57,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
58,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
59,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
60,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
61,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
62,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
63,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
64,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
65,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Forest
66,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
67,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
68,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Forest
69,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
70,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
71,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
72,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
73,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
74,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
75,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
76,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
77,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
78,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
79,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
80,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
81,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
82,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
83,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
84,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
85,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
86,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
87,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
88,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
89,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Built-up
90,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
91,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
92,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
93,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
94,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Built-up
95,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
96,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
97,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Bareland
98,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
99,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
100,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Bareland
101,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
102,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
103,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
104,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
105,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
106,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
107,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
108,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
109,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
110,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
111,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
112,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
113,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
114,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
115,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
116,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
117,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
118,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Built-up
119,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
120,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
121,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Built-up
122,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Forest
123,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
124,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
125,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
126,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
127,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Forest
128,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
129,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Bareland
130,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
131,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
132,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Forest,Grassland
133,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
134,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Water,Grassland
135,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
136,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
137,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,NULL,Bareland
138,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Grassland
139,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Water
140,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,NULL,Grassland
141,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
142,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
143,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
144,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Forest
145,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Forest,Grassland
146,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
147,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
148,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Forest
149,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
150,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
151,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
152,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Wetland
153,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Bareland
154,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
155,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
156,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
157,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
158,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
159,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Built-up
160,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
161,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
162,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Grassland
163,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
164,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Built-up
165,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
166,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
167,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
168,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Shrubland,Forest
169,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,NULL
170,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
171,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
172,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
173,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
174,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
175,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Bareland
176,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Built-up
177,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
178,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
179,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
180,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
181,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Grassland
182,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Water,Grassland
183,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
184,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
185,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
186,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Forest
187,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Grassland
188,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
189,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
190,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Forest
191,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
192,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
193,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
194,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
195,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Water,Grassland
196,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Wetland,Grassland
197,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Forest
198,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland,Forest
199,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
200,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
201,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
202,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
203,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
204,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
205,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Bareland
206,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
207,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
208,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
209,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
210,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
211,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Bareland
212,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Built-up
213,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
214,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Grassland
215,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Forest
216,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Water,Grassland
217,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
218,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
219,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Bareland,Grassland
220,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
221,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
222,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Forest
223,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
224,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
225,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Bareland
226,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Built-up
227,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
228,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Grassland
229,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
230,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Built-up
231,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
232,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Built-up,Grassland
233,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Built-up,Built-up
234,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Built-up,Forest
235,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Grassland
236,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Grassland
237,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Forest
238,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Bareland,Grassland
239,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Bareland,Forest
240,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Grassland
241,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Forest
242,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Forest,Grassland
243,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Grassland
244,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Forest
245,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
246,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
247,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Grassland,Grassland
248,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
249,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
250,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
251,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Grassland
252,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Forest
253,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Water
254,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Wetland
255,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Grassland
256,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Water
257,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Grassland
258,NULL,NULL,Wetland,Water,Wetland,Bareland,Wetland,Grassland
259,NULL,NULL,Wetland,Water,Wetland,Bareland,Water,Grassland
260,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Grassland
261,NULL,NULL,Wetland,Water,Wetland,Water,Water,Grassland
262,NULL,NULL,Wetland,Water,Wetland,Water,Water,Water
263,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Grassland,Grassland
264,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Grassland,Forest
265,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland,Grassland,Grassland
266,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland,Grassland,Forest
267,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland,Bareland,Forest
268,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
269,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,NULL
270,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
271,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
272,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Grassland
273,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Bareland,Grassland
274,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Water,Bareland
275,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,NULL
276,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,Grassland
277,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Grassland
278,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,Grassland
279,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,Forest
280,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Water,Grassland
281,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
282,NULL,NULL,Bareland,Water,Non_Wetland,Grassland,Grassland,Grassland
283,NULL,NULL,Bareland,Water,Non_Wetland,Bareland,Grassland,Water
284,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,Grassland
285,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,Bareland
286,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,Built-up
287,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,Forest
288,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Shrubland,Grassland
289,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
290,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Bareland
291,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Built-up
292,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
293,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Wetland,Grassland
294,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
295,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Bareland
296,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Built-up
297,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Forest
298,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Built-up,Grassland
299,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Built-up,Bareland
300,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Built-up,Built-up
301,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Built-up,Forest
302,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Forest,Grassland
303,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland,NULL,Grassland
304,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland,Bareland,Grassland
305,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland,Bareland,Bareland
306,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland,Built-up,Grassland
307,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland,Built-up,Bareland
308,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland,Built-up,Built-up
309,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Grassland,Grassland
310,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,Grassland
311,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,Grassland
312,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,Bareland
313,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,Built-up
314,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
315,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Bareland
316,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Built-up
317,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Forest
318,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Wetland,Grassland
319,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
320,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Bareland
321,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Built-up
