Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21LYG_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LYG_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LYG_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LYG_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LYG_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LYG_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LYG_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21LYG_M_R
49,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
51,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
52,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
53,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
54,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
55,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
56,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
57,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
58,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
59,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
60,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
61,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
62,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
63,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
64,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
65,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
66,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
67,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
68,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Built-up
69,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
70,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
71,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
72,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
73,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
74,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Cropland
75,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
76,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Built-up
77,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
78,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
79,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
80,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
81,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
82,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
83,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
84,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
85,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
86,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
87,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
88,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
89,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
90,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
91,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
92,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
93,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
94,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Grassland
95,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
96,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
97,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Forest
98,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
99,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Bareland
100,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
101,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
102,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
103,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
104,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
105,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
106,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
107,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
108,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
109,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
110,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
111,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
112,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
113,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
114,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
115,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
116,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
117,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
118,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
119,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
120,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
121,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
122,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
123,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
124,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
125,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Built-up
126,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
127,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
128,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Cropland
129,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
130,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
131,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
132,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Cropland
133,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Built-up
134,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
135,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
136,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
137,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
138,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
139,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Built-up
140,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
141,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,NULL
142,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
143,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
144,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Bareland
145,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Built-up
146,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,NULL
147,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
148,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
149,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
150,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Forest
151,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Cropland
152,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
153,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Cropland
154,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Forest
155,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
156,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Cropland
157,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
158,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
159,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
160,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
161,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
162,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
163,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
164,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
165,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
166,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
167,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Cropland
168,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
169,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
170,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
171,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
172,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Cropland
173,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
174,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
175,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
176,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
177,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Bareland
178,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Built-up
179,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
180,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
181,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Cropland
182,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
183,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
184,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Cropland
185,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Built-up
186,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Forest
187,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
188,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Cropland
189,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Built-up
190,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
191,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Grassland
192,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Cropland
193,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Forest
194,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
195,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Cropland
196,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
197,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
198,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Cropland
199,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
200,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Cropland
201,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Bareland
202,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
203,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
204,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Forest,Grassland
205,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Forest,Bareland
206,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Grassland
207,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
208,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
209,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
210,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Cropland
211,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
212,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,NULL
213,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
214,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Cropland
215,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
216,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Grassland
217,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
218,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
219,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
220,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
221,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
222,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
223,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Water
224,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
225,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
226,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Grassland
227,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
228,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
229,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
230,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Cropland
231,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
232,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
233,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
234,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Bareland
235,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
236,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
237,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
238,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
239,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Cropland
240,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
241,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
242,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Cropland
243,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
244,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Grassland
245,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Cropland
246,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Bareland
247,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Forest
248,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Grassland
249,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Cropland
250,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Forest
251,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
252,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Forest
253,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
254,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
255,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
256,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Cropland
257,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
258,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Cropland
259,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
260,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
261,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
262,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
263,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
264,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Forest
265,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Grassland
266,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
267,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
268,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
269,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
270,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Grassland
271,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
272,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Cropland
273,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Bareland
274,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Built-up
275,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
276,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,NULL
277,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
278,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
279,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Bareland
280,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
281,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
282,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
283,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Cropland
284,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
285,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
286,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Cropland
287,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Built-up
288,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
289,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Grassland
290,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Cropland
291,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Built-up
292,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Forest
293,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Water,Grassland
294,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
295,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Cropland
296,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Bareland
297,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
298,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Grassland
299,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Cropland
300,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Bareland
301,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Forest
302,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,NULL
303,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Grassland
304,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Cropland
305,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Bareland
306,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Forest
307,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Wetland,Bareland
308,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Bareland,Grassland
309,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Bareland,Cropland
310,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Built-up,Grassland
311,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Built-up,Cropland
312,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Forest,Grassland
313,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Forest,Cropland
314,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Forest,Bareland
315,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Forest,Forest
316,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,NULL,Grassland
317,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
318,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Forest
319,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
320,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Cropland
321,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Bareland
322,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Built-up
323,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Forest
