Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21LWF_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LWF_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LWF_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LWF_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LWF_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LWF_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LWF_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21LWF_M_R
44,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
45,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
46,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
47,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
48,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
49,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Cropland
51,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
52,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
53,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
54,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Built-up
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
62,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
63,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
64,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
65,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
66,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Forest
67,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
68,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
69,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
70,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Grassland
71,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
72,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Cropland
73,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
74,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
75,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Cropland
76,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
77,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
78,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
79,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
80,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
81,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Cropland
82,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
83,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
84,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
85,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
86,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Water
87,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
88,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
89,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
90,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
91,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
92,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
93,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
94,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
95,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
96,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
97,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
98,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
99,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
100,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
101,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
102,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
103,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
104,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
105,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
106,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
107,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Bareland
108,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
109,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
110,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
111,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
112,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
113,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
114,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
115,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Cropland
116,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
117,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Built-up
118,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
119,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
120,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
121,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
122,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Cropland
123,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
124,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
125,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
126,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Forest
127,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
128,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
129,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
130,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
131,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
132,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
133,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
134,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
135,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
136,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
137,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
138,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,NULL
139,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,NULL
140,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
141,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Grassland
142,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
143,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Wetland
144,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
145,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
146,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
147,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
148,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
149,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
150,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
151,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
152,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
153,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
154,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
155,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
156,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
157,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
158,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
159,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
160,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
161,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
162,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
163,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
164,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
165,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
166,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
167,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
168,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
169,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
170,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
171,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
172,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
173,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
174,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
175,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
176,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
177,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
178,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
179,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
180,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
181,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
182,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Forest
183,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
184,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
185,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
186,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
187,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
188,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
189,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
190,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
191,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
192,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
193,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
194,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
195,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
196,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
197,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
198,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
199,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
200,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
201,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
202,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
203,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
204,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
205,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
206,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
207,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
208,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
209,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
210,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Cropland
211,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
212,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
213,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Cropland
214,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
215,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
216,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
217,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
218,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
219,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Built-up
220,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
221,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,NULL
222,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
223,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
224,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
225,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
226,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Cropland
227,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,NULL
228,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
229,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
230,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
231,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Grassland
232,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Forest
233,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
234,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Bareland
235,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Forest
236,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
237,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Cropland
238,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Forest
239,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
240,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
241,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Cropland
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Built-up
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Cropland
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,NULL
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Cropland
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Cropland
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,NULL
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Cropland
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Bareland
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Cropland
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Bareland
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Cropland
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,NULL
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Cropland
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Bareland
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Built-up
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Grassland
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Forest
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Shrubland,Bareland
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Cropland
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Cropland
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Bareland
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Grassland
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Shrubland,Forest
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Bareland
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Wetland
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Wetland
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Grassland
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Cropland
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Forest
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Cropland
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
321,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
322,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
