Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22KCV_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KCV_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KCV_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KCV_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KCV_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KCV_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KCV_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22KCV_M_R
44,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
45,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
46,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
47,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
48,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
49,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
50,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
51,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
52,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
53,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
54,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Built-up
55,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
56,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
57,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
58,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
59,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
60,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
61,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
62,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
63,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
64,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
65,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
66,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Cropland
67,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
68,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
69,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
70,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
71,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
72,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
73,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
74,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
75,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
76,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
77,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
78,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
79,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
80,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
81,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
82,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Forest
83,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
84,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
85,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
86,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
87,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
88,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Cropland
89,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
90,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Grassland
91,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Cropland
92,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
93,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
94,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Built-up
95,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
96,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland,Grassland
97,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland,Forest
98,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Grassland
99,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
100,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Grassland
101,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
102,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
103,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
104,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
105,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
106,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Cropland
107,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
108,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Grassland
109,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Grassland
110,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,NULL,Grassland
111,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
112,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
113,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
114,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
115,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
116,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
117,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
118,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
119,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
120,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
121,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
122,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Grassland
123,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
124,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
125,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,Grassland,Grassland
126,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,Grassland,Forest
127,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,Wetland,Grassland
128,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
129,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
130,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
131,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
132,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
133,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
134,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Grassland
135,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Cropland
136,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Bareland
137,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Built-up
138,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Forest
139,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland,Grassland
140,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland,Forest
141,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Grassland
142,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Cropland
143,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Bareland
144,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Built-up
145,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Forest
146,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up,Grassland
147,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up,Cropland
148,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up,Bareland
149,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up,Built-up
150,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up,Forest
151,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Water,Grassland
152,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Water,Bareland
153,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Forest,Grassland
154,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,NULL,Grassland
155,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
156,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Forest
157,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
158,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Cropland
159,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Built-up
160,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
161,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
162,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
163,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
164,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
165,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
166,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Grassland
167,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Cropland
168,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Forest
169,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
170,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Cropland
171,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Grassland
172,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Cropland
173,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Forest
174,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Grassland
175,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Cropland
176,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Forest
177,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Bareland,Cropland
178,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Built-up,Cropland
179,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,NULL,Grassland
180,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,NULL,Forest
181,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
182,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Grassland
183,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Water
184,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Bareland,Grassland
185,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Forest,Grassland
186,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
187,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Bareland
188,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
189,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Cropland
190,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,NULL,Grassland
191,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,NULL,Cropland
192,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,NULL,Built-up
193,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,NULL,Forest
194,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Grassland
195,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Cropland
196,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Built-up
197,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Bareland,Grassland
198,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Grassland
199,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Cropland
200,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Bareland
201,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Built-up
202,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Forest
203,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,NULL,Grassland
204,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,NULL,Cropland
205,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,NULL,Bareland
206,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,NULL,Forest
207,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Grassland
208,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Cropland
209,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Forest
210,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Wetland,Grassland
211,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Forest,Forest
212,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
213,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
214,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Grassland,Grassland
215,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Grassland,Forest
216,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Wetland,Grassland
217,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Wetland,Water
218,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
219,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
220,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland,NULL,Grassland
221,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
222,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
223,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
224,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
225,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
226,NULL,NULL,Wetland,NULL,Wetland,Forest,NULL,Grassland
227,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
228,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Wetland,Water
229,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Wetland,Forest
230,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
231,NULL,NULL,Wetland,Water,Wetland,NULL,Wetland,Wetland
232,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
233,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,Wetland,Grassland
234,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
235,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
236,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
237,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
238,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
239,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Grassland,Grassland
240,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Grassland,Cropland
241,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Grassland,Built-up
242,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Grassland,Forest
243,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Bareland,Grassland
244,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Bareland,Cropland
245,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Bareland,Bareland
246,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Bareland,Built-up
247,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Bareland,Forest
248,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Built-up,Grassland
249,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Built-up,Cropland
250,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Built-up,Bareland
251,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Built-up,Built-up
252,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Built-up,Forest
253,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Water,Built-up
254,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Forest,Built-up
255,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,Grassland
256,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,Cropland
257,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,Built-up
258,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,Forest
259,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
260,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Cropland
261,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Built-up
262,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
263,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Built-up,Grassland
264,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Built-up,Cropland
265,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Built-up,Built-up
266,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Built-up,Forest
267,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland,NULL,Cropland
268,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland,Built-up,Cropland
269,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland,Built-up,Built-up
270,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,Bareland
271,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,Built-up
272,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
273,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Built-up
274,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Water,Bareland
275,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Water,Built-up
276,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Water,Water
277,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Water,Forest
278,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,NULL,Grassland
279,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,NULL,Cropland
280,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,NULL,Built-up
281,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Grassland,Grassland
282,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Grassland,Forest
283,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Bareland,Grassland
284,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Bareland,Built-up
285,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Grassland
286,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Cropland
287,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Bareland
288,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Built-up
289,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Forest
290,NULL,NULL,Built-up,NULL,Non_Wetland,Forest,Grassland,Forest
291,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
292,NULL,NULL,Water,NULL,Water,NULL,Built-up,Cropland
293,NULL,NULL,Water,NULL,Water,NULL,Water,Grassland
294,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
295,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Bareland
296,NULL,NULL,Water,Non_Water,Water,NULL,Wetland,Grassland
297,NULL,NULL,Water,Non_Water,Water,NULL,Wetland,Wetland
298,NULL,NULL,Water,Non_Water,Water,NULL,Wetland,Water
299,NULL,NULL,Water,Non_Water,Water,Grassland,NULL,Grassland
300,NULL,NULL,Water,Non_Water,Water,Wetland,NULL,Grassland
301,NULL,NULL,Water,Non_Water,Water,Wetland,Wetland,Grassland
302,NULL,NULL,Water,Water,Water,NULL,Water,Grassland
303,NULL,NULL,Water,Water,Water,NULL,Water,Water
304,NULL,NULL,Water,Water,Water,Water,Wetland,Water
305,NULL,NULL,Water,Water,Water,Water,Water,Water
306,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
307,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
308,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
309,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Grassland
310,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
311,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Grassland
312,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
313,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Bareland,Grassland
314,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Bareland,Forest
315,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Built-up,Cropland
316,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Built-up,Forest
317,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Water,Grassland
318,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Grassland
319,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Cropland
320,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
321,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,NULL,Grassland
322,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,Grassland
323,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Wetland,Grassland
324,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
325,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
326,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
327,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
328,NULL,NULL,Forest,NULL,Non_Wetland,Cropland,NULL,Grassland
