Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21LVD_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LVD_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LVD_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LVD_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LVD_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LVD_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LVD_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21LVD_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Cropland
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
41,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
42,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
44,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
45,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
46,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
47,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
48,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
49,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
50,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
51,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
52,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
53,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
54,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Cropland
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
70,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
71,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
72,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
73,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
74,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Wetland
75,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
76,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Wetland
77,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Forest
78,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Forest
79,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
80,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
81,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
82,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
83,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Cropland
84,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
85,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
86,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
87,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
88,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
89,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
90,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Cropland
91,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
92,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
93,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
94,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
95,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Cropland
96,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
97,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Water
98,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
99,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,NULL
100,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
101,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
102,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
103,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
104,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
105,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Cropland
106,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
107,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
108,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
109,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
110,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
111,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
112,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
113,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
114,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
115,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
116,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
117,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
118,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
119,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
121,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
123,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Cropland
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Bareland
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Water
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
137,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
138,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Forest
139,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
140,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
141,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
142,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
143,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
144,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
145,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
146,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
147,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Grassland
148,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
149,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
150,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
151,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
152,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
153,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Wetland
154,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
155,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
156,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,NULL
157,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
158,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Wetland
159,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Forest
160,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
161,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
162,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
163,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
164,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
165,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
166,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Wetland,Grassland
167,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Forest,Forest
168,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
169,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Forest
170,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,NULL
171,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
172,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
173,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
174,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,NULL
175,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
176,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
177,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
178,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Grassland
179,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Forest
180,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Forest,Forest
181,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
182,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
183,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
184,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
185,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
186,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
187,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
188,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
189,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
190,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
191,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
192,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
193,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
194,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
195,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
196,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
197,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
198,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
199,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
200,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
201,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
202,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
203,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
204,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
205,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
206,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
207,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
208,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
209,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
210,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
211,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
212,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
213,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
214,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
215,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
216,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
217,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Bareland
218,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
219,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
220,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
221,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
222,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Cropland
223,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
224,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Built-up
225,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
226,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
227,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
228,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
229,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,NULL
230,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
231,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Grassland
232,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Forest
233,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
234,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
235,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
236,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
237,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
238,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
239,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
240,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
241,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Bareland
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Built-up
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Water
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Cropland
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Cropland
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Wetland
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,NULL
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Forest
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,NULL
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Wetland
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Bareland
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Grassland
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Forest
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Forest
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Forest
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Cropland
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Cropland
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Cropland
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Bareland
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Built-up
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Water
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Cropland
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Bareland
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Built-up
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,NULL
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Cropland
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Built-up
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Water
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
