Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21NTJ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NTJ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NTJ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NTJ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NTJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NTJ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21NTJ_M_R
187,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Grassland
188,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Wetland
189,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Bareland
190,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Built-up
191,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Water
192,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Forest
193,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,Grassland
194,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,Forest
195,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,Grassland
196,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Grassland
197,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Wetland
198,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Bareland
199,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Built-up
200,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Water
201,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Forest
202,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Grassland
203,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Wetland
204,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Bareland
205,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Built-up
206,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Water
207,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Forest
208,NULL,Built-up,Cropland,Non_Water,Non_Wetland,NULL,Grassland
209,NULL,Built-up,Cropland,Non_Water,Non_Wetland,NULL,Bareland
210,NULL,Built-up,Cropland,Non_Water,Non_Wetland,NULL,Forest
211,NULL,Built-up,Wetland,NULL,Wetland,NULL,Grassland
212,NULL,Built-up,Wetland,NULL,Wetland,NULL,Wetland
213,NULL,Built-up,Wetland,NULL,Wetland,NULL,Bareland
214,NULL,Built-up,Wetland,NULL,Wetland,NULL,Water
215,NULL,Built-up,Wetland,NULL,Wetland,NULL,Forest
216,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,Wetland
217,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,Water
218,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,Forest
219,NULL,Built-up,Wetland,Water,Wetland,NULL,Grassland
220,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,Grassland
221,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,Forest
222,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,Grassland
223,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,Wetland
224,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,Built-up
225,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,Water
226,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,Forest
227,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,Built-up
228,NULL,Built-up,Water,NULL,Water,NULL,Grassland
229,NULL,Built-up,Water,NULL,Water,NULL,Bareland
230,NULL,Built-up,Water,NULL,Water,NULL,Water
231,NULL,Built-up,Water,Non_Water,Water,NULL,Grassland
232,NULL,Built-up,Water,Non_Water,Water,NULL,Forest
233,NULL,Built-up,Water,Water,Water,NULL,Bareland
234,NULL,Built-up,Water,Water,Water,NULL,Water
235,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Grassland
236,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Wetland
237,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Bareland
238,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Built-up
239,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Water
240,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Forest
241,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,Grassland
242,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,Wetland
243,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,Forest
244,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,Grassland
245,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,Wetland
246,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,Bareland
247,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,Water
248,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,Water
249,NULL,Water,Shrubland,Water,Non_Wetland,NULL,Water
250,NULL,Water,Shrubland,Water,Non_Wetland,NULL,Forest
251,NULL,Water,Grassland,Non_Water,Non_Wetland,NULL,Bareland
252,NULL,Water,Grassland,Water,Non_Wetland,NULL,Grassland
253,NULL,Water,Cropland,NULL,Non_Wetland,NULL,Grassland
254,NULL,Water,Cropland,NULL,Non_Wetland,NULL,Bareland
255,NULL,Water,Cropland,Non_Water,Non_Wetland,NULL,Water
256,NULL,Water,Wetland,NULL,Wetland,NULL,Grassland
257,NULL,Water,Wetland,NULL,Wetland,NULL,Wetland
258,NULL,Water,Wetland,NULL,Wetland,NULL,Water
259,NULL,Water,Wetland,NULL,Wetland,NULL,Forest
260,NULL,Water,Wetland,Non_Water,Wetland,NULL,Wetland
261,NULL,Water,Wetland,Non_Water,Wetland,NULL,Water
262,NULL,Water,Wetland,Non_Water,Wetland,NULL,Forest
263,NULL,Water,Wetland,Water,Wetland,NULL,Wetland
264,NULL,Water,Wetland,Water,Wetland,NULL,Water
265,NULL,Water,Water,NULL,Water,NULL,Wetland
266,NULL,Water,Water,NULL,Water,NULL,Water
267,NULL,Water,Water,NULL,Water,NULL,Forest
268,NULL,Water,Water,Non_Water,Water,NULL,Water
269,NULL,Water,Water,Non_Water,Water,NULL,Forest
270,NULL,Water,Water,Water,Water,NULL,Grassland
271,NULL,Water,Water,Water,Water,NULL,Wetland
272,NULL,Water,Water,Water,Water,NULL,Bareland
273,NULL,Water,Water,Water,Water,NULL,Water
274,NULL,Water,Water,Water,Water,NULL,Forest
275,NULL,Water,Forest,NULL,Non_Wetland,NULL,Grassland
276,NULL,Water,Forest,NULL,Non_Wetland,NULL,Wetland
277,NULL,Water,Forest,NULL,Non_Wetland,NULL,Bareland
278,NULL,Water,Forest,NULL,Non_Wetland,NULL,Water
279,NULL,Water,Forest,NULL,Non_Wetland,NULL,Forest
280,NULL,Water,Forest,Non_Water,Non_Wetland,NULL,Grassland
281,NULL,Water,Forest,Non_Water,Non_Wetland,NULL,Wetland
282,NULL,Water,Forest,Non_Water,Non_Wetland,NULL,Water
283,NULL,Water,Forest,Non_Water,Non_Wetland,NULL,Forest
284,NULL,Water,Forest,Water,Non_Wetland,NULL,Wetland
285,NULL,Water,Forest,Water,Non_Wetland,NULL,Water
286,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Grassland
287,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Wetland
288,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Forest
289,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,Wetland
290,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,Forest
291,NULL,Forest,Shrubland,Water,Non_Wetland,NULL,Water
292,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,Grassland
293,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,Wetland
294,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,Built-up
295,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,Forest
296,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Grassland
297,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Wetland
298,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Built-up
299,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Forest
300,NULL,Forest,Cropland,Non_Water,Non_Wetland,NULL,Grassland
301,NULL,Forest,Cropland,Non_Water,Non_Wetland,NULL,Wetland
302,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL
303,NULL,Forest,Wetland,NULL,Wetland,NULL,Grassland
304,NULL,Forest,Wetland,NULL,Wetland,NULL,Cropland
305,NULL,Forest,Wetland,NULL,Wetland,NULL,Wetland
306,NULL,Forest,Wetland,NULL,Wetland,NULL,Bareland
307,NULL,Forest,Wetland,NULL,Wetland,NULL,Water
308,NULL,Forest,Wetland,NULL,Wetland,NULL,Forest
309,NULL,Forest,Wetland,Non_Water,Wetland,NULL,Water
310,NULL,Forest,Wetland,Water,Wetland,NULL,Grassland
311,NULL,Forest,Wetland,Water,Wetland,NULL,Wetland
312,NULL,Forest,Water,NULL,Water,NULL,Wetland
313,NULL,Forest,Water,Water,Water,NULL,Wetland
314,NULL,Forest,Water,Water,Water,NULL,Water
315,NULL,Forest,Water,Water,Water,NULL,Forest
316,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Grassland
317,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Wetland
318,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Bareland
319,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Built-up
320,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Water
321,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Forest
322,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL,Grassland
323,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL,Wetland
324,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL,Forest
325,NULL,Forest,Forest,Water,Non_Wetland,NULL,Water
326,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Grassland
327,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Wetland
328,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Water
329,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Forest
330,Grassland,NULL,NULL,Water,Non_Wetland,NULL,Wetland
331,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland
332,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Cropland
333,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland
334,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Water
335,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest
336,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland
337,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Cropland
338,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland
339,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Water
340,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,Grassland
341,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,Wetland
342,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,Water
343,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland
344,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland
345,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,Forest
346,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland
347,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Cropland
348,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland
349,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Forest
350,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,Grassland
351,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,Wetland
352,Grassland,NULL,Cropland,Water,Non_Wetland,NULL,Grassland
353,Grassland,NULL,Cropland,Water,Non_Wetland,NULL,Wetland
354,Grassland,NULL,Wetland,NULL,Wetland,NULL,Grassland
355,Grassland,NULL,Wetland,NULL,Wetland,NULL,Cropland
356,Grassland,NULL,Wetland,NULL,Wetland,NULL,Wetland
357,Grassland,NULL,Wetland,NULL,Wetland,NULL,Water
358,Grassland,NULL,Wetland,NULL,Wetland,NULL,Forest
359,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,Grassland
360,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,Wetland
361,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,Water
362,Grassland,NULL,Wetland,Water,Wetland,NULL,Grassland
363,Grassland,NULL,Wetland,Water,Wetland,NULL,Cropland
364,Grassland,NULL,Wetland,Water,Wetland,NULL,Wetland
365,Grassland,NULL,Wetland,Water,Wetland,NULL,Water
366,Grassland,NULL,Water,NULL,Water,NULL,Grassland
367,Grassland,NULL,Water,NULL,Water,NULL,Wetland
368,Grassland,NULL,Water,NULL,Water,NULL,Water
369,Grassland,NULL,Water,Non_Water,Water,NULL,Wetland
370,Grassland,NULL,Water,Non_Water,Water,NULL,Water
371,Grassland,NULL,Water,Water,Water,NULL,Grassland
372,Grassland,NULL,Water,Water,Water,NULL,Wetland
373,Grassland,NULL,Water,Water,Water,NULL,Water
374,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Grassland
375,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Cropland
376,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Wetland
377,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Water
378,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Forest
379,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,Grassland
380,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,Wetland
381,Grassland,NULL,Forest,Water,Non_Wetland,NULL,Grassland
382,Grassland,NULL,Forest,Water,Non_Wetland,NULL,Wetland
383,Grassland,Cropland,Wetland,NULL,Wetland,NULL,Grassland
384,Grassland,Cropland,Wetland,NULL,Wetland,NULL,Cropland
385,Grassland,Cropland,Wetland,NULL,Wetland,NULL,Wetland
386,Grassland,Cropland,Wetland,NULL,Wetland,NULL,Water
387,Grassland,Cropland,Wetland,NULL,Wetland,NULL,Forest
388,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,Wetland
