Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20NLG_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NLG_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NLG_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NLG_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NLG_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NLG_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NLG_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20NLG_M_R
26,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Bareland
27,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
28,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
29,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
30,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
31,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
32,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
33,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
34,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
35,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
36,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
37,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
38,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
39,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Grassland
40,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
41,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Grassland
42,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
43,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
44,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
45,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
46,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
47,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
48,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
49,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
50,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
51,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
52,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
53,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Grassland
54,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
55,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
56,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Forest,Grassland
57,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Forest,Forest
58,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
59,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
60,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
61,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
62,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Bareland
63,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
64,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
65,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Wetland
66,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
67,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Forest
68,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
69,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Bareland
70,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
71,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
72,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
73,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
74,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
75,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Wetland
76,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,NULL
77,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
78,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
79,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
80,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Forest
81,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Forest
82,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
83,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
84,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
85,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
86,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
87,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
88,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
89,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
90,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,NULL
91,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
92,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Wetland
93,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Grassland
94,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,NULL
95,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
96,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Wetland
97,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
98,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
99,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
100,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
101,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,NULL
102,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Grassland
103,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Wetland
104,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Forest
105,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Grassland
106,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Wetland
107,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
108,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
109,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Grassland
110,NULL,NULL,Wetland,NULL,Wetland,Water,Forest,NULL
111,NULL,NULL,Wetland,NULL,Wetland,Water,Forest,Grassland
112,NULL,NULL,Wetland,NULL,Wetland,Water,Forest,Wetland
113,NULL,NULL,Wetland,NULL,Wetland,Water,Forest,Forest
114,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
115,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
116,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Forest,Grassland
117,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Forest,Wetland
118,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
119,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Wetland
120,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Wetland
121,NULL,NULL,Wetland,Non_Water,Wetland,Water,Forest,Grassland
122,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
123,NULL,NULL,Wetland,Water,Wetland,Wetland,Forest,Grassland
124,NULL,NULL,Wetland,Water,Wetland,Wetland,Forest,Wetland
125,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Grassland
126,NULL,NULL,Wetland,Water,Wetland,Water,Water,Grassland
127,NULL,NULL,Wetland,Water,Wetland,Water,Water,Forest
128,NULL,NULL,Wetland,Water,Wetland,Water,Forest,Wetland
129,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Grassland,Grassland
130,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
131,NULL,NULL,Water,NULL,Water,Shrubland,Grassland,Forest
132,NULL,NULL,Water,NULL,Water,Grassland,NULL,Forest
133,NULL,NULL,Water,NULL,Water,Grassland,Grassland,NULL
134,NULL,NULL,Water,NULL,Water,Grassland,Grassland,Grassland
135,NULL,NULL,Water,NULL,Water,Grassland,Grassland,Bareland
136,NULL,NULL,Water,NULL,Water,Grassland,Grassland,Forest
137,NULL,NULL,Water,NULL,Water,Grassland,Forest,Grassland
138,NULL,NULL,Water,NULL,Water,Grassland,Forest,Forest
139,NULL,NULL,Water,NULL,Water,Wetland,Forest,Grassland
140,NULL,NULL,Water,NULL,Water,Water,Wetland,Grassland
141,NULL,NULL,Water,NULL,Water,Water,Forest,Grassland
142,NULL,NULL,Water,NULL,Water,Water,Forest,Wetland
143,NULL,NULL,Water,NULL,Water,Forest,Grassland,Grassland
144,NULL,NULL,Water,NULL,Water,Forest,Grassland,Forest
145,NULL,NULL,Water,Non_Water,Water,Wetland,Forest,Grassland
146,NULL,NULL,Water,Non_Water,Water,Water,Wetland,Wetland
147,NULL,NULL,Water,Water,Water,Wetland,Wetland,Grassland
148,NULL,NULL,Water,Water,Water,Water,Wetland,Wetland
149,NULL,NULL,Water,Water,Water,Water,Water,Grassland
150,NULL,NULL,Water,Water,Water,Water,Water,Wetland
151,NULL,NULL,Water,Water,Water,Water,Water,Water
152,NULL,NULL,Water,Water,Water,Water,Forest,Grassland
153,NULL,NULL,Water,Water,Water,Water,Forest,Wetland
154,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
155,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
156,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
157,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Forest,Grassland
158,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Forest,Forest
159,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
160,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
161,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Grassland
162,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
163,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Bareland
164,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
165,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
166,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Wetland
167,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
168,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
169,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,NULL
170,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
171,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
172,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Grassland
173,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
174,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
175,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
176,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
177,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
178,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,NULL
179,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
180,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
181,NULL,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Grassland
182,NULL,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Wetland
183,NULL,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Forest
184,NULL,NULL,Forest,NULL,Non_Wetland,Water,Forest,Grassland
185,NULL,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Grassland
186,NULL,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Forest
187,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
188,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
189,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Bareland,Forest
190,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
191,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
192,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,NULL
193,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Forest,Forest
194,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
195,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
196,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
197,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
198,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
199,NULL,Wetland,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
200,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
201,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
202,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
203,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
204,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Forest,Grassland
205,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
206,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
207,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
208,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
209,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
210,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
211,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Bareland
212,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
213,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
214,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
215,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
216,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
217,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Wetland,Bareland
218,NULL,Built-up,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
219,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
220,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
221,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
222,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
223,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland,NULL,Bareland
224,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
225,NULL,Water,Shrubland,Water,Non_Wetland,Wetland,Water,Water
226,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
227,NULL,Water,Wetland,NULL,Wetland,Water,Water,Forest
228,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Forest
229,NULL,Water,Wetland,Water,Wetland,Wetland,Wetland,Grassland
230,NULL,Water,Water,Water,Water,NULL,NULL,Water
231,NULL,Water,Water,Water,Water,Water,Water,Water
232,NULL,Water,Water,Water,Water,Water,Water,Forest
233,NULL,Water,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
234,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
235,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
236,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
237,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
238,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
239,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
240,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
241,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
242,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
243,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
244,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
245,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
246,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
247,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Bareland
248,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
249,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
250,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
251,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
252,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
253,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
254,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
255,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
256,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
257,NULL,Forest,Grassland,NULL,Non_Wetland,Shrubland,Forest,Grassland
258,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
259,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
260,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
261,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
262,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
263,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland,NULL,Forest
264,NULL,Forest,Grassland,NULL,Non_Wetland,Forest,NULL,Forest
265,NULL,Forest,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
266,NULL,Forest,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
267,NULL,Forest,Wetland,NULL,Wetland,Grassland,Wetland,Wetland
268,NULL,Forest,Wetland,NULL,Wetland,Grassland,Wetland,Forest
269,NULL,Forest,Wetland,NULL,Wetland,Grassland,Water,Forest
270,NULL,Forest,Wetland,NULL,Wetland,Grassland,Forest,Forest
271,NULL,Forest,Wetland,NULL,Wetland,Water,Forest,Grassland
272,NULL,Forest,Water,NULL,Water,Grassland,Water,Forest
273,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
274,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
275,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,Grassland
276,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Grassland,Grassland
277,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Forest,Grassland
278,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Forest,Forest
279,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
280,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Shrubland,Grassland
281,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
282,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
283,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
284,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
285,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Water,Forest
286,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
287,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
288,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
289,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
290,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
291,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
292,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
293,NULL,Forest,Forest,NULL,Non_Wetland,Water,Forest,Forest
294,NULL,Forest,Forest,NULL,Non_Wetland,Forest,NULL,Forest
295,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Bareland,Forest
296,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
297,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
298,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
299,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
300,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
301,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
302,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
303,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
304,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
305,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
306,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
307,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
308,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
309,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
310,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
311,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
312,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
313,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
314,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
315,Grassland,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Wetland
316,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Grassland
317,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Forest
318,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
319,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Wetland
320,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
321,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Forest,Grassland
322,Grassland,NULL,Wetland,NULL,Wetland,Water,Wetland,Wetland
323,Grassland,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
324,Grassland,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Wetland
325,Grassland,NULL,Wetland,Water,Wetland,Water,Wetland,Wetland
326,Grassland,NULL,Water,NULL,Water,Water,Wetland,Wetland
327,Grassland,NULL,Water,Water,Water,Water,Wetland,Wetland
328,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Grassland
329,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
330,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
331,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
332,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
333,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
334,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
335,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
336,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
