Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_17MRU_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17MRU_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MRU_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_17MRU_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17MRU_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_17MRU_M_R
123,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
124,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland
125,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up
126,NULL,Cropland,Forest,NULL,Non_Wetland,Water
127,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
128,NULL,Cropland,Forest,Non_Water,Non_Wetland,Grassland
129,NULL,Cropland,Forest,Non_Water,Non_Wetland,Bareland
130,NULL,Cropland,Forest,Non_Water,Non_Wetland,Forest
131,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL
132,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
133,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
134,NULL,Wetland,Wetland,Water,Wetland,Water
135,NULL,Wetland,Water,NULL,Water,Forest
136,NULL,Wetland,Forest,Non_Water,Non_Wetland,Water
137,NULL,Bareland,NULL,NULL,Non_Wetland,Grassland
138,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL
139,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
140,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
141,NULL,Bareland,Shrubland,NULL,Non_Wetland,Water
142,NULL,Bareland,Shrubland,NULL,Non_Wetland,Forest
143,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Grassland
144,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Bareland
145,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Water
146,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Forest
147,NULL,Bareland,Shrubland,Water,Non_Wetland,Grassland
148,NULL,Bareland,Shrubland,Water,Non_Wetland,Water
149,NULL,Bareland,Shrubland,Water,Non_Wetland,Forest
150,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL
151,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
152,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
153,NULL,Bareland,Grassland,NULL,Non_Wetland,Water
154,NULL,Bareland,Grassland,NULL,Non_Wetland,Forest
155,NULL,Bareland,Grassland,Non_Water,Non_Wetland,Bareland
156,NULL,Bareland,Grassland,Non_Water,Non_Wetland,Water
157,NULL,Bareland,Grassland,Water,Non_Wetland,Water
158,NULL,Bareland,Cropland,NULL,Non_Wetland,Grassland
159,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland
160,NULL,Bareland,Cropland,NULL,Non_Wetland,Built-up
161,NULL,Bareland,Cropland,NULL,Non_Wetland,Water
162,NULL,Bareland,Cropland,NULL,Non_Wetland,Forest
163,NULL,Bareland,Cropland,Non_Water,Non_Wetland,Grassland
164,NULL,Bareland,Cropland,Non_Water,Non_Wetland,Bareland
165,NULL,Bareland,Cropland,Non_Water,Non_Wetland,Water
166,NULL,Bareland,Cropland,Non_Water,Non_Wetland,Forest
167,NULL,Bareland,Cropland,Water,Non_Wetland,Grassland
168,NULL,Bareland,Cropland,Water,Non_Wetland,Water
169,NULL,Bareland,Cropland,Water,Non_Wetland,Forest
170,NULL,Bareland,Wetland,NULL,Wetland,Grassland
171,NULL,Bareland,Wetland,NULL,Wetland,Water
172,NULL,Bareland,Wetland,NULL,Wetland,Forest
173,NULL,Bareland,Wetland,Non_Water,Wetland,Grassland
174,NULL,Bareland,Wetland,Non_Water,Wetland,Water
175,NULL,Bareland,Wetland,Non_Water,Wetland,Forest
176,NULL,Bareland,Wetland,Water,Wetland,Grassland
177,NULL,Bareland,Wetland,Water,Wetland,Bareland
178,NULL,Bareland,Wetland,Water,Wetland,Water
179,NULL,Bareland,Wetland,Water,Wetland,Forest
180,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
181,NULL,Bareland,Bareland,NULL,Non_Wetland,Cropland
182,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
183,NULL,Bareland,Bareland,NULL,Non_Wetland,Water
184,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Grassland
185,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
186,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Water
187,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Forest
188,NULL,Bareland,Bareland,Water,Non_Wetland,Bareland
189,NULL,Bareland,Bareland,Water,Non_Wetland,Water
190,NULL,Bareland,Bareland,Water,Non_Wetland,Forest
191,NULL,Bareland,Built-up,NULL,Non_Wetland,Grassland
192,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
193,NULL,Bareland,Built-up,NULL,Non_Wetland,Built-up
194,NULL,Bareland,Built-up,NULL,Non_Wetland,Forest
195,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Grassland
196,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Built-up
197,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Forest
198,NULL,Bareland,Built-up,Water,Non_Wetland,Water
199,NULL,Bareland,Built-up,Water,Non_Wetland,Forest
200,NULL,Bareland,Water,NULL,Water,Grassland
201,NULL,Bareland,Water,NULL,Water,Bareland
202,NULL,Bareland,Water,NULL,Water,Water
203,NULL,Bareland,Water,NULL,Water,Forest
204,NULL,Bareland,Water,Non_Water,Water,Grassland
205,NULL,Bareland,Water,Non_Water,Water,Bareland
206,NULL,Bareland,Water,Non_Water,Water,Water
207,NULL,Bareland,Water,Non_Water,Water,Forest
208,NULL,Bareland,Water,Water,Water,Grassland
209,NULL,Bareland,Water,Water,Water,Water
210,NULL,Bareland,Water,Water,Water,Forest
211,NULL,Bareland,Forest,NULL,Non_Wetland,NULL
212,NULL,Bareland,Forest,NULL,Non_Wetland,Grassland
213,NULL,Bareland,Forest,NULL,Non_Wetland,Cropland
214,NULL,Bareland,Forest,NULL,Non_Wetland,Bareland
215,NULL,Bareland,Forest,NULL,Non_Wetland,Built-up
216,NULL,Bareland,Forest,NULL,Non_Wetland,Water
217,NULL,Bareland,Forest,NULL,Non_Wetland,Forest
218,NULL,Bareland,Forest,Non_Water,Non_Wetland,Cropland
219,NULL,Bareland,Forest,Non_Water,Non_Wetland,Bareland
220,NULL,Bareland,Forest,Non_Water,Non_Wetland,Water
221,NULL,Bareland,Forest,Non_Water,Non_Wetland,Forest
222,NULL,Bareland,Forest,Water,Non_Wetland,Grassland
223,NULL,Bareland,Forest,Water,Non_Wetland,Cropland
224,NULL,Bareland,Forest,Water,Non_Wetland,Bareland
225,NULL,Bareland,Forest,Water,Non_Wetland,Water
226,NULL,Bareland,Forest,Water,Non_Wetland,Forest
227,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
228,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
229,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
230,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
231,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
232,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
233,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
234,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
235,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
236,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water
237,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
238,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland
239,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Built-up
240,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Water
241,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Forest
242,NULL,Built-up,Shrubland,Water,Non_Wetland,Grassland
243,NULL,Built-up,Shrubland,Water,Non_Wetland,Bareland
244,NULL,Built-up,Shrubland,Water,Non_Wetland,Built-up
245,NULL,Built-up,Shrubland,Water,Non_Wetland,Forest
246,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
247,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
248,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
249,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
250,NULL,Built-up,Grassland,NULL,Non_Wetland,Water
251,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
252,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Grassland
253,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Bareland
254,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Water
255,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Forest
256,NULL,Built-up,Grassland,Water,Non_Wetland,Forest
257,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
258,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
259,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
260,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
261,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
262,NULL,Built-up,Cropland,NULL,Non_Wetland,Water
263,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
264,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Grassland
265,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Bareland
266,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Built-up
267,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Forest
268,NULL,Built-up,Cropland,Water,Non_Wetland,Grassland
269,NULL,Built-up,Cropland,Water,Non_Wetland,Built-up
270,NULL,Built-up,Cropland,Water,Non_Wetland,Forest
271,NULL,Built-up,Wetland,NULL,Wetland,Grassland
272,NULL,Built-up,Wetland,NULL,Wetland,Water
273,NULL,Built-up,Wetland,NULL,Wetland,Forest
274,NULL,Built-up,Wetland,Non_Water,Wetland,Grassland
275,NULL,Built-up,Wetland,Non_Water,Wetland,Bareland
276,NULL,Built-up,Wetland,Non_Water,Wetland,Water
277,NULL,Built-up,Wetland,Non_Water,Wetland,Forest
278,NULL,Built-up,Wetland,Water,Wetland,Grassland
279,NULL,Built-up,Wetland,Water,Wetland,Bareland
280,NULL,Built-up,Wetland,Water,Wetland,Built-up
281,NULL,Built-up,Wetland,Water,Wetland,Water
282,NULL,Built-up,Wetland,Water,Wetland,Forest
283,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL
284,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
285,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
286,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
287,NULL,Built-up,Bareland,NULL,Non_Wetland,Water
288,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
289,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Grassland
290,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Bareland
291,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Built-up
292,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Water
293,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Forest
294,NULL,Built-up,Bareland,Water,Non_Wetland,Grassland
295,NULL,Built-up,Bareland,Water,Non_Wetland,Bareland
296,NULL,Built-up,Bareland,Water,Non_Wetland,Water
297,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
298,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
299,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
300,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
301,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
302,NULL,Built-up,Built-up,NULL,Non_Wetland,Water
303,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
304,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Grassland
305,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Bareland
306,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Built-up
307,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Water
308,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Forest
309,NULL,Built-up,Built-up,Water,Non_Wetland,Grassland
310,NULL,Built-up,Built-up,Water,Non_Wetland,Bareland
311,NULL,Built-up,Built-up,Water,Non_Wetland,Built-up
312,NULL,Built-up,Built-up,Water,Non_Wetland,Water
313,NULL,Built-up,Built-up,Water,Non_Wetland,Forest
314,NULL,Built-up,Water,NULL,Water,Grassland
315,NULL,Built-up,Water,NULL,Water,Bareland
316,NULL,Built-up,Water,NULL,Water,Built-up
317,NULL,Built-up,Water,NULL,Water,Water
318,NULL,Built-up,Water,NULL,Water,Forest
319,NULL,Built-up,Water,Non_Water,Water,Grassland
320,NULL,Built-up,Water,Non_Water,Water,Bareland
321,NULL,Built-up,Water,Non_Water,Water,Water
322,NULL,Built-up,Water,Non_Water,Water,Forest
323,NULL,Built-up,Water,Water,Water,Bareland
324,NULL,Built-up,Water,Water,Water,Built-up
325,NULL,Built-up,Water,Water,Water,Water
326,NULL,Built-up,Water,Water,Water,Forest
327,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
328,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
329,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
330,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland
331,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
332,NULL,Built-up,Forest,NULL,Non_Wetland,Water
333,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
334,NULL,Built-up,Forest,Non_Water,Non_Wetland,Grassland
335,NULL,Built-up,Forest,Non_Water,Non_Wetland,Built-up
336,NULL,Built-up,Forest,Non_Water,Non_Wetland,Water
337,NULL,Built-up,Forest,Non_Water,Non_Wetland,Forest
338,NULL,Built-up,Forest,Water,Non_Wetland,Grassland
339,NULL,Built-up,Forest,Water,Non_Wetland,Built-up
340,NULL,Built-up,Forest,Water,Non_Wetland,Water
341,NULL,Built-up,Forest,Water,Non_Wetland,Forest
342,NULL,Water,NULL,NULL,Non_Wetland,Bareland
343,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
344,NULL,Water,Shrubland,NULL,Non_Wetland,Cropland
345,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland
346,NULL,Water,Shrubland,NULL,Non_Wetland,Water
347,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
348,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL
349,NULL,Water,Shrubland,Non_Water,Non_Wetland,Grassland
350,NULL,Water,Shrubland,Non_Water,Non_Wetland,Water
351,NULL,Water,Shrubland,Non_Water,Non_Wetland,Forest
352,NULL,Water,Shrubland,Water,Non_Wetland,Grassland
353,NULL,Water,Shrubland,Water,Non_Wetland,Bareland
354,NULL,Water,Shrubland,Water,Non_Wetland,Water
355,NULL,Water,Shrubland,Water,Non_Wetland,Forest
356,NULL,Water,Grassland,NULL,Non_Wetland,Bareland
357,NULL,Water,Grassland,NULL,Non_Wetland,Forest
358,NULL,Water,Grassland,Water,Non_Wetland,Bareland
359,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
360,NULL,Water,Cropland,NULL,Non_Wetland,Bareland
361,NULL,Water,Cropland,NULL,Non_Wetland,Water
362,NULL,Water,Cropland,NULL,Non_Wetland,Forest
363,NULL,Water,Cropland,Non_Water,Non_Wetland,Grassland
364,NULL,Water,Cropland,Non_Water,Non_Wetland,Water
365,NULL,Water,Cropland,Non_Water,Non_Wetland,Forest
366,NULL,Water,Cropland,Water,Non_Wetland,Water
367,NULL,Water,Wetland,NULL,Wetland,Grassland
368,NULL,Water,Wetland,NULL,Wetland,Water
369,NULL,Water,Wetland,NULL,Wetland,Forest
370,NULL,Water,Wetland,Non_Water,Wetland,Grassland
371,NULL,Water,Wetland,Non_Water,Wetland,Water
372,NULL,Water,Wetland,Water,Wetland,Grassland
373,NULL,Water,Wetland,Water,Wetland,Bareland
374,NULL,Water,Wetland,Water,Wetland,Built-up
375,NULL,Water,Wetland,Water,Wetland,Water
376,NULL,Water,Wetland,Water,Wetland,Forest
377,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
378,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
379,NULL,Water,Bareland,NULL,Non_Wetland,Water
380,NULL,Water,Bareland,NULL,Non_Wetland,Forest
381,NULL,Water,Bareland,Water,Non_Wetland,Forest
382,NULL,Water,Built-up,NULL,Non_Wetland,Grassland
383,NULL,Water,Built-up,NULL,Non_Wetland,Bareland
384,NULL,Water,Built-up,NULL,Non_Wetland,Built-up
385,NULL,Water,Built-up,NULL,Non_Wetland,Forest
386,NULL,Water,Built-up,Non_Water,Non_Wetland,Forest
387,NULL,Water,Built-up,Water,Non_Wetland,Grassland
388,NULL,Water,Built-up,Water,Non_Wetland,Built-up
389,NULL,Water,Built-up,Water,Non_Wetland,Water
390,NULL,Water,Built-up,Water,Non_Wetland,Forest
391,NULL,Water,Water,NULL,Water,Grassland
392,NULL,Water,Water,NULL,Water,Bareland
393,NULL,Water,Water,NULL,Water,Water
394,NULL,Water,Water,NULL,Water,Forest
395,NULL,Water,Water,Non_Water,Water,Grassland
396,NULL,Water,Water,Non_Water,Water,Bareland
397,NULL,Water,Water,Non_Water,Water,Water
398,NULL,Water,Water,Non_Water,Water,Forest
399,NULL,Water,Water,Water,Water,Grassland
400,NULL,Water,Water,Water,Water,Water
401,NULL,Water,Water,Water,Water,Forest
402,NULL,Water,Forest,NULL,Non_Wetland,NULL
403,NULL,Water,Forest,NULL,Non_Wetland,Grassland
404,NULL,Water,Forest,NULL,Non_Wetland,Cropland
405,NULL,Water,Forest,NULL,Non_Wetland,Bareland
406,NULL,Water,Forest,NULL,Non_Wetland,Built-up
407,NULL,Water,Forest,NULL,Non_Wetland,Water
408,NULL,Water,Forest,NULL,Non_Wetland,Forest
409,NULL,Water,Forest,Non_Water,Non_Wetland,Grassland
410,NULL,Water,Forest,Non_Water,Non_Wetland,Bareland
411,NULL,Water,Forest,Non_Water,Non_Wetland,Water
412,NULL,Water,Forest,Non_Water,Non_Wetland,Forest
413,NULL,Water,Forest,Water,Non_Wetland,Grassland
414,NULL,Water,Forest,Water,Non_Wetland,Bareland
415,NULL,Water,Forest,Water,Non_Wetland,Water
416,NULL,Water,Forest,Water,Non_Wetland,Forest
417,NULL,Forest,NULL,NULL,Non_Wetland,NULL
418,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
419,NULL,Forest,NULL,NULL,Non_Wetland,Forest
420,NULL,Forest,NULL,Non_Water,Non_Wetland,Forest
421,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
422,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
423,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
424,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
425,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
426,NULL,Forest,Shrubland,NULL,Non_Wetland,Water
427,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
428,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL
429,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
430,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Water
431,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Forest
432,NULL,Forest,Shrubland,Water,Non_Wetland,Grassland
433,NULL,Forest,Shrubland,Water,Non_Wetland,Water
434,NULL,Forest,Shrubland,Water,Non_Wetland,Forest
435,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
436,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
437,NULL,Forest,Grassland,NULL,Non_Wetland,Built-up
