Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21KYB_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KYB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KYB_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KYB_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KYB_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KYB_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KYB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21KYB_M_R
878,NULL,NULL,Cropland,Water,Non_Wetland,Water,Grassland,Water
879,NULL,NULL,Cropland,Water,Non_Wetland,Water,Water,Water
880,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
881,NULL,NULL,Wetland,NULL,Wetland,NULL,Shrubland,Forest
882,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,Grassland
883,NULL,NULL,Wetland,NULL,Wetland,NULL,Forest,Grassland
884,NULL,NULL,Wetland,NULL,Wetland,NULL,Forest,Wetland
885,NULL,NULL,Wetland,NULL,Wetland,NULL,Forest,Forest
886,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Grassland,Wetland
887,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Grassland,Forest
888,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,NULL
889,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
890,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Wetland
891,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
892,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
893,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Wetland
894,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
895,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Grassland
896,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Wetland
897,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
898,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,NULL
899,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,Grassland
900,NULL,NULL,Wetland,NULL,Wetland,Wetland,Shrubland,Wetland
901,NULL,NULL,Wetland,NULL,Wetland,Wetland,Shrubland,Forest
902,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
903,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Wetland
904,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
905,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
906,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
907,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
908,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
909,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,NULL
910,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Wetland
911,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Forest
912,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,NULL
913,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Grassland
914,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Wetland
915,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Forest
916,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Wetland
917,NULL,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Grassland
918,NULL,NULL,Wetland,NULL,Wetland,Bareland,Water,Wetland
919,NULL,NULL,Wetland,NULL,Wetland,Water,Shrubland,Water
920,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Grassland
921,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Wetland
922,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Grassland
923,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Wetland
924,NULL,NULL,Wetland,NULL,Wetland,Forest,NULL,Forest
925,NULL,NULL,Wetland,NULL,Wetland,Forest,Grassland,Forest
926,NULL,NULL,Wetland,NULL,Wetland,Forest,Wetland,Grassland
927,NULL,NULL,Wetland,NULL,Wetland,Forest,Wetland,Forest
928,NULL,NULL,Wetland,NULL,Wetland,Forest,Water,Forest
929,NULL,NULL,Wetland,NULL,Wetland,Forest,Forest,Forest
930,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
931,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Grassland,Forest
932,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Forest,Forest
933,NULL,NULL,Wetland,Non_Water,Wetland,Shrubland,Grassland,Wetland
934,NULL,NULL,Wetland,Non_Water,Wetland,Shrubland,Grassland,Forest
935,NULL,NULL,Wetland,Non_Water,Wetland,Shrubland,Wetland,Forest
936,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,NULL,Grassland
937,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Grassland,NULL
938,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Grassland,Grassland
939,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Grassland,Wetland
940,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Grassland,Bareland
941,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Grassland,Water
942,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Grassland,Forest
943,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
944,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Wetland
945,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Grassland
946,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Wetland
947,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,NULL,Forest
948,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Shrubland,Wetland
949,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Shrubland,Forest
950,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Grassland,Wetland
951,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,NULL
952,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
953,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
954,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
955,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Bareland,Grassland
956,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Wetland
957,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Water
958,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Forest,Wetland
959,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Forest,Forest
960,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,NULL,Bareland
961,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Wetland,NULL
962,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Wetland,Wetland
963,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Bareland,Wetland
964,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Water,Wetland
965,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Wetland
966,NULL,NULL,Wetland,Non_Water,Wetland,Water,Bareland,Wetland
967,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Wetland
968,NULL,NULL,Wetland,Non_Water,Wetland,Forest,Wetland,Forest
969,NULL,NULL,Wetland,Non_Water,Wetland,Forest,Forest,Forest
970,NULL,NULL,Wetland,Water,Wetland,Grassland,Grassland,Wetland
971,NULL,NULL,Wetland,Water,Wetland,Grassland,Grassland,Bareland
972,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Wetland
973,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Wetland
974,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Bareland
975,NULL,NULL,Wetland,Water,Wetland,Wetland,Shrubland,Water
976,NULL,NULL,Wetland,Water,Wetland,Wetland,Grassland,Wetland
977,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Wetland
978,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Forest
979,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Wetland
980,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Water
981,NULL,NULL,Wetland,Water,Wetland,Wetland,Forest,Forest
982,NULL,NULL,Wetland,Water,Wetland,Bareland,Water,Water
983,NULL,NULL,Wetland,Water,Wetland,Water,NULL,Water
984,NULL,NULL,Wetland,Water,Wetland,Water,NULL,Forest
985,NULL,NULL,Wetland,Water,Wetland,Water,Shrubland,Water
986,NULL,NULL,Wetland,Water,Wetland,Water,Grassland,Bareland
987,NULL,NULL,Wetland,Water,Wetland,Water,Grassland,Water
988,NULL,NULL,Wetland,Water,Wetland,Water,Bareland,Wetland
989,NULL,NULL,Wetland,Water,Wetland,Water,Water,Wetland
990,NULL,NULL,Wetland,Water,Wetland,Water,Water,Water
991,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Grassland,Grassland
992,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
993,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Water
994,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
995,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Wetland
996,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
997,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Shrubland,NULL
998,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Wetland
999,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,NULL
1000,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
1001,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Wetland
1002,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
1003,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1004,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,Bareland
1005,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,Water
1006,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Wetland,Wetland
1007,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Bareland,Bareland
1008,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Water,Water
1009,NULL,NULL,Bareland,NULL,Non_Wetland,Forest,Grassland,Forest
1010,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland,Grassland,Bareland
1011,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,NULL
1012,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Water,Wetland
1013,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
1014,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland,Water,Wetland
1015,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water,Water,Water
1016,NULL,NULL,Bareland,Water,Non_Wetland,Grassland,Grassland,Water
1017,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
1018,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
1019,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
1020,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
1021,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
1022,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Shrubland,Grassland
1023,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Shrubland,Built-up
1024,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Grassland,NULL
1025,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Grassland,Grassland
1026,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Grassland,Bareland
1027,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Grassland,Built-up
1028,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Grassland,Forest
1029,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Bareland,NULL
1030,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Bareland,Grassland
1031,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Bareland,Bareland
1032,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Bareland,Built-up
1033,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Bareland,Water
1034,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Bareland,Forest
1035,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Built-up,Grassland
1036,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Built-up,Cropland
1037,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Built-up,Bareland
1038,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Built-up,Built-up
1039,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Built-up,Forest
1040,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Water,Grassland
1041,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Water,Built-up
1042,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Forest,Bareland
1043,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Forest,Built-up
1044,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,NULL,Grassland
1045,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,NULL,Forest
1046,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,Grassland,Grassland
1047,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,Grassland,Forest
1048,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,Bareland,Grassland
1049,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,Built-up,Grassland
1050,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,Built-up,Built-up
1051,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,Built-up,Forest
1052,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,NULL
1053,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,Grassland
1054,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,Bareland
1055,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,Built-up
1056,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,Forest
1057,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Shrubland,NULL
1058,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Shrubland,Grassland
1059,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Shrubland,Bareland
1060,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Shrubland,Built-up
1061,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Shrubland,Forest
1062,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,NULL
1063,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
1064,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Cropland
1065,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Wetland
1066,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Bareland
1067,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Built-up
1068,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Water
1069,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
1070,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Wetland,Grassland
1071,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,NULL
1072,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
1073,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Bareland
1074,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Built-up
1075,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Forest
1076,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Built-up,Grassland
1077,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Built-up,Cropland
1078,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Built-up,Bareland
1079,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Built-up,Built-up
1080,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Built-up,Forest
1081,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Forest,Grassland
1082,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,NULL,Grassland
1083,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,NULL,Wetland
1084,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Shrubland,Forest
1085,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Grassland,Grassland
1086,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,NULL
1087,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Bareland,Grassland
1088,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,NULL
1089,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,Grassland
1090,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,Bareland
1091,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,Built-up
1092,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Shrubland,NULL
1093,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Shrubland,Grassland
1094,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Shrubland,Bareland
1095,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Shrubland,Built-up
1096,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Shrubland,Forest
1097,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,NULL
1098,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
1099,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Cropland
1100,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Bareland
1101,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Built-up
1102,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Forest
1103,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,NULL
1104,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
1105,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Cropland
1106,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Bareland
1107,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Built-up
1108,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Water
1109,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Forest
1110,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Built-up,Grassland
1111,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Built-up,Cropland
1112,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Built-up,Bareland
1113,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Built-up,Built-up
1114,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Water,Grassland
1115,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Water,Bareland
1116,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Forest,Grassland
1117,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Forest,Bareland
1118,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Forest,Forest
1119,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,NULL,Grassland
1120,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Shrubland,Grassland
1121,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Grassland,Grassland
1122,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Grassland,Built-up
1123,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Bareland,Grassland
1124,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,NULL
1125,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Grassland
1126,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Cropland
1127,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Bareland
1128,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Built-up
1129,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Forest
1130,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Shrubland,Grassland
1131,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Shrubland,Bareland
1132,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Bareland,Grassland
1133,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Bareland,Bareland
1134,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Bareland,Water
1135,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Water,Water
1136,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Water,Forest
1137,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Forest,Bareland
1138,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
1139,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,Grassland,Grassland
1140,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland,NULL,Grassland
1141,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
1142,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland,Grassland,Bareland
1143,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland,Grassland,Built-up
1144,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
1145,NULL,NULL,Built-up,Non_Water,Non_Wetland,Wetland,NULL,Grassland
1146,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
1147,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland,Water,Grassland
1148,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland,Water,Bareland
1149,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland,Water,Built-up
1150,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Water
1151,NULL,NULL,Built-up,Water,Non_Wetland,Grassland,NULL,Bareland
1152,NULL,NULL,Built-up,Water,Non_Wetland,Grassland,Grassland,Grassland
1153,NULL,NULL,Built-up,Water,Non_Wetland,Grassland,Water,Bareland
1154,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
1155,NULL,NULL,Water,NULL,Water,NULL,NULL,Water
1156,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
1157,NULL,NULL,Water,NULL,Water,NULL,Shrubland,Grassland
1158,NULL,NULL,Water,NULL,Water,NULL,Shrubland,Forest
1159,NULL,NULL,Water,NULL,Water,NULL,Grassland,Grassland
1160,NULL,NULL,Water,NULL,Water,NULL,Grassland,Water
1161,NULL,NULL,Water,NULL,Water,NULL,Water,Grassland
1162,NULL,NULL,Water,NULL,Water,NULL,Water,Forest
1163,NULL,NULL,Water,NULL,Water,NULL,Forest,Grassland
1164,NULL,NULL,Water,NULL,Water,NULL,Forest,Forest
1165,NULL,NULL,Water,NULL,Water,Shrubland,NULL,Grassland
1166,NULL,NULL,Water,NULL,Water,Shrubland,Shrubland,Grassland
1167,NULL,NULL,Water,NULL,Water,Shrubland,Grassland,Grassland
1168,NULL,NULL,Water,NULL,Water,Grassland,NULL,Grassland
1169,NULL,NULL,Water,NULL,Water,Grassland,Shrubland,Grassland
1170,NULL,NULL,Water,NULL,Water,Grassland,Shrubland,Forest
1171,NULL,NULL,Water,NULL,Water,Grassland,Grassland,Grassland
1172,NULL,NULL,Water,NULL,Water,Grassland,Grassland,Wetland
1173,NULL,NULL,Water,NULL,Water,Grassland,Grassland,Bareland
1174,NULL,NULL,Water,NULL,Water,Grassland,Grassland,Water
1175,NULL,NULL,Water,NULL,Water,Grassland,Wetland,Wetland
1176,NULL,NULL,Water,NULL,Water,Grassland,Water,Grassland
1177,NULL,NULL,Water,NULL,Water,Grassland,Water,Wetland
1178,NULL,NULL,Water,NULL,Water,Cropland,NULL,Water
1179,NULL,NULL,Water,NULL,Water,Wetland,NULL,Grassland
1180,NULL,NULL,Water,NULL,Water,Wetland,Grassland,Wetland
1181,NULL,NULL,Water,NULL,Water,Wetland,Wetland,Wetland
1182,NULL,NULL,Water,NULL,Water,Bareland,NULL,Water
1183,NULL,NULL,Water,NULL,Water,Bareland,Grassland,Grassland
1184,NULL,NULL,Water,NULL,Water,Bareland,Grassland,Bareland
1185,NULL,NULL,Water,NULL,Water,Bareland,Bareland,Grassland
1186,NULL,NULL,Water,NULL,Water,Bareland,Bareland,Bareland
1187,NULL,NULL,Water,NULL,Water,Built-up,Built-up,Bareland
1188,NULL,NULL,Water,NULL,Water,Water,NULL,Grassland
1189,NULL,NULL,Water,NULL,Water,Water,NULL,Water
1190,NULL,NULL,Water,NULL,Water,Water,NULL,Forest
1191,NULL,NULL,Water,NULL,Water,Water,Grassland,Grassland
1192,NULL,NULL,Water,NULL,Water,Water,Grassland,Bareland
1193,NULL,NULL,Water,NULL,Water,Water,Grassland,Water
1194,NULL,NULL,Water,NULL,Water,Water,Water,Wetland
1195,NULL,NULL,Water,NULL,Water,Water,Water,Water
1196,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
1197,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Water
1198,NULL,NULL,Water,Non_Water,Water,NULL,Grassland,Water
1199,NULL,NULL,Water,Non_Water,Water,NULL,Water,Grassland
1200,NULL,NULL,Water,Non_Water,Water,Shrubland,Grassland,Grassland
1201,NULL,NULL,Water,Non_Water,Water,Grassland,NULL,Grassland
1202,NULL,NULL,Water,Non_Water,Water,Grassland,Shrubland,Forest
1203,NULL,NULL,Water,Non_Water,Water,Grassland,Grassland,Grassland
1204,NULL,NULL,Water,Non_Water,Water,Grassland,Grassland,Forest
1205,NULL,NULL,Water,Non_Water,Water,Grassland,Wetland,Wetland
1206,NULL,NULL,Water,Non_Water,Water,Grassland,Bareland,Wetland
1207,NULL,NULL,Water,Non_Water,Water,Grassland,Water,Grassland
1208,NULL,NULL,Water,Non_Water,Water,Grassland,Water,Wetland
1209,NULL,NULL,Water,Non_Water,Water,Wetland,NULL,Water
1210,NULL,NULL,Water,Non_Water,Water,Wetland,NULL,Forest
1211,NULL,NULL,Water,Non_Water,Water,Wetland,Shrubland,Grassland
1212,NULL,NULL,Water,Non_Water,Water,Wetland,Shrubland,Forest
1213,NULL,NULL,Water,Non_Water,Water,Wetland,Grassland,Wetland
1214,NULL,NULL,Water,Non_Water,Water,Wetland,Wetland,Wetland
1215,NULL,NULL,Water,Non_Water,Water,Wetland,Wetland,Water
1216,NULL,NULL,Water,Non_Water,Water,Wetland,Water,Wetland
1217,NULL,NULL,Water,Non_Water,Water,Wetland,Water,Water
1218,NULL,NULL,Water,Non_Water,Water,Bareland,Grassland,Water
1219,NULL,NULL,Water,Non_Water,Water,Bareland,Bareland,Wetland
1220,NULL,NULL,Water,Non_Water,Water,Bareland,Water,Wetland
1221,NULL,NULL,Water,Non_Water,Water,Water,NULL,Wetland
1222,NULL,NULL,Water,Non_Water,Water,Water,Grassland,Wetland
1223,NULL,NULL,Water,Non_Water,Water,Water,Bareland,Wetland
1224,NULL,NULL,Water,Non_Water,Water,Water,Water,Wetland
