Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20LKM_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LKM_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LKM_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LKM_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LKM_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LKM_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LKM_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20LKM_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
32,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
34,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Forest
36,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
37,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
39,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
43,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
44,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
45,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
46,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
47,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
48,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
49,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
50,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
51,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
52,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
53,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Forest
54,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
55,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
56,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
57,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
58,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,NULL
59,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
60,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Wetland
61,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Forest
62,NULL,NULL,NULL,Water,Non_Wetland,Wetland,NULL,Wetland
63,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
64,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
65,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
66,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
67,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
68,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
69,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
70,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
71,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
72,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
73,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
74,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
75,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
76,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
77,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
78,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
79,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
80,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
81,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
82,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
83,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
84,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
85,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
86,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
87,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
88,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
89,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
90,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
91,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
92,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
93,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
94,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
95,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
96,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
97,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
98,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
99,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
100,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Wetland
101,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
102,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
103,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
104,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
105,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
106,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
107,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Wetland
108,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Grassland
109,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Wetland
110,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
111,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
112,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,NULL
113,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
114,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Cropland
115,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
116,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
117,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
118,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
119,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,NULL,Grassland
120,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,NULL,Grassland
121,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
122,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
123,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
124,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
125,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
126,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
127,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
128,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
129,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Forest
130,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
131,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Forest,Grassland
132,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,NULL
133,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
134,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Wetland
135,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
136,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
137,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
138,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
139,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
140,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
141,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,NULL
142,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
143,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Wetland
144,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
145,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
146,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
147,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
148,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Forest
149,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
150,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
151,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,NULL
152,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
153,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Wetland
154,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Forest
155,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
156,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,NULL
157,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
158,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Cropland
159,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Wetland
160,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
161,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,NULL
162,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
163,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Wetland
164,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
165,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Grassland
166,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Built-up,Grassland
167,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,NULL
168,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
169,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Wetland
170,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
171,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
172,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
173,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
174,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Shrubland,Grassland
175,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Forest
176,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Grassland
177,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Forest
178,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
179,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Forest,Grassland
180,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Wetland
181,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Forest,Grassland
182,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Forest
183,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
184,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
185,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
186,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
187,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
188,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
189,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
190,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,NULL,Wetland
191,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,NULL,Forest
192,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
193,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
194,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
195,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,NULL,Grassland
196,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,NULL,Wetland
197,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,NULL,Forest
198,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
199,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
200,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,NULL
201,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
202,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
203,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
204,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,NULL
205,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
206,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Cropland
207,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
208,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
209,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
210,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
211,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,NULL,Grassland
212,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,NULL,Wetland
213,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,NULL,Grassland
214,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Grassland
215,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,NULL,Grassland
216,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
217,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
218,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
219,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
220,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
221,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
222,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
223,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
224,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
225,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
226,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
227,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
228,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
229,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
230,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
231,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
232,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
233,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
234,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Built-up
235,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
236,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Water,Forest
237,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
238,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Cropland
239,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
240,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,NULL,Grassland
241,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,NULL,Wetland
242,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,NULL,Forest
243,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
244,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
245,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Cropland
246,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Forest
247,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Grassland
248,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Forest,Grassland
249,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Forest,Forest
250,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
251,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
252,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,NULL
253,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
254,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
255,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Wetland
256,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
257,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
258,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland,NULL,Grassland
259,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland,NULL,Forest
260,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
261,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
262,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Forest
263,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
264,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
265,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
266,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Built-up
267,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
268,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
269,NULL,NULL,Wetland,NULL,Wetland,Grassland,NULL,Grassland
270,NULL,NULL,Wetland,NULL,Wetland,Grassland,NULL,Wetland
271,NULL,NULL,Wetland,NULL,Wetland,Grassland,NULL,Forest
272,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
273,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
274,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,NULL
275,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
276,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Wetland
277,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
278,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Forest
279,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
280,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,NULL
281,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,Grassland
282,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,Wetland
283,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,Forest
284,NULL,NULL,Wetland,NULL,Wetland,Wetland,Shrubland,Grassland
285,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
286,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Wetland
287,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
288,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
289,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
290,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
291,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
292,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Forest
293,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,NULL
294,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Forest
295,NULL,NULL,Wetland,NULL,Wetland,Water,NULL,Grassland
296,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
297,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Wetland
298,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Water
299,NULL,NULL,Wetland,NULL,Wetland,Forest,NULL,Forest
300,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,NULL
301,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
302,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
303,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
304,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
305,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Built-up
306,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
307,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
308,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,NULL,Grassland
309,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,NULL,Wetland
310,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,NULL,Forest
311,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
312,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Wetland
313,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Forest
314,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,NULL,NULL
315,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,NULL,Grassland
316,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,NULL,Wetland
317,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,NULL,Water
318,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,NULL,Forest
319,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Grassland,Grassland
320,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Grassland,Wetland
321,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Grassland,Forest
322,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,NULL
323,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
324,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
325,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
326,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Forest,Wetland
327,NULL,NULL,Wetland,Non_Water,Wetland,Water,NULL,Grassland
328,NULL,NULL,Wetland,Non_Water,Wetland,Water,NULL,Wetland
329,NULL,NULL,Wetland,Non_Water,Wetland,Water,NULL,Forest
