Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22NBM_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NBM_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NBM_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NBM_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NBM_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NBM_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NBM_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22NBM_M_R
31,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
32,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
33,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
34,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
35,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
36,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
37,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Wetland
38,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
39,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
40,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
41,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
42,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
43,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
44,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
45,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
46,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
47,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
48,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
49,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
50,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
51,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
52,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
53,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
54,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
55,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
56,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
57,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
58,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
59,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
60,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
61,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Wetland
62,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
63,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Wetland
64,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
65,NULL,Cropland,Water,Water,Water,NULL,NULL,Wetland
66,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
67,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
68,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
69,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
70,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Wetland
71,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
72,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
73,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
74,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
75,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
76,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
77,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
78,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
79,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
80,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
81,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
82,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
83,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
84,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
85,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
86,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
87,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
88,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
89,NULL,Bareland,Water,Water,Water,NULL,NULL,Water
90,NULL,Bareland,Water,Water,Water,NULL,NULL,Forest
91,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
92,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
93,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
94,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
95,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
96,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
97,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
98,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
99,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
100,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
101,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
102,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
103,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
104,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
105,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
106,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
107,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
108,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
109,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
110,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
111,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
112,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Grassland
113,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Wetland
114,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Built-up
115,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Forest
116,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Water
117,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
118,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Wetland
119,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
120,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
121,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
122,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
123,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Wetland
124,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
125,NULL,Built-up,Water,Water,Water,NULL,NULL,Grassland
126,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,NULL
127,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
128,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
129,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
130,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
131,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
132,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
133,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
134,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Wetland
135,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
136,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
137,NULL,Water,Water,Water,Water,NULL,NULL,Grassland
138,NULL,Water,Water,Water,Water,NULL,NULL,Wetland
139,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
140,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
141,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
142,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
143,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
144,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
145,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
146,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
147,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
148,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
149,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
150,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
151,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
152,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
153,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
154,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
155,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
156,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Wetland
157,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
158,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
159,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Water
160,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
161,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
162,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
163,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
164,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
165,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
166,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
167,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
168,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
169,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
170,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
171,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
172,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
173,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
174,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
175,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
176,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
177,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
178,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
179,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
180,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
181,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
182,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
183,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
184,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
185,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
186,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
187,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
188,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
189,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
190,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
191,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
192,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
193,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
194,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
195,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Wetland
196,Grassland,NULL,Water,NULL,Water,NULL,NULL,Wetland
197,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
198,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
199,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
200,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
201,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
202,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
203,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
204,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
205,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
206,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
207,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
208,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
209,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
210,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
211,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
212,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
213,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
214,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
215,Grassland,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
216,Grassland,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
217,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
218,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
219,Grassland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
220,Grassland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Wetland
221,Grassland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
222,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
223,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
224,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
225,Grassland,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
226,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
227,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
228,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
229,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
230,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
231,Grassland,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
232,Grassland,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
233,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
234,Grassland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
235,Grassland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
236,Grassland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Water
237,Grassland,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
238,Grassland,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
239,Grassland,Wetland,Wetland,Water,Wetland,NULL,NULL,Forest
240,Grassland,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
241,Grassland,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Water
242,Grassland,Wetland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
243,Grassland,Wetland,Bareland,Water,Non_Wetland,NULL,NULL,Forest
244,Grassland,Wetland,Water,Water,NULL,NULL,NULL,Water
245,Grassland,Wetland,Water,Water,NULL,NULL,NULL,Forest
246,Grassland,Wetland,Water,Water,Water,NULL,NULL,Water
247,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
248,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
249,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
250,Grassland,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
251,Grassland,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Forest
252,Grassland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
253,Grassland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
254,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
255,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
256,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
257,Grassland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
258,Grassland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
259,Grassland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
260,Grassland,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
261,Grassland,Built-up,Wetland,NULL,Wetland,NULL,NULL,Forest
262,Grassland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
263,Grassland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
264,Grassland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
265,Grassland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
266,Grassland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
267,Grassland,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
268,Grassland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
269,Grassland,Water,Wetland,NULL,Wetland,NULL,NULL,Wetland
270,Grassland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
271,Grassland,Water,Wetland,Water,Wetland,NULL,NULL,Wetland
272,Grassland,Water,Wetland,Water,Wetland,NULL,NULL,Water
273,Grassland,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
274,Grassland,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Water
275,Grassland,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Wetland
276,Grassland,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
277,Grassland,Water,Bareland,Water,Non_Wetland,NULL,NULL,Wetland
278,Grassland,Water,Bareland,Water,Non_Wetland,NULL,NULL,Water
279,Grassland,Water,Water,Non_Water,NULL,NULL,NULL,Water
280,Grassland,Water,Water,Water,NULL,NULL,NULL,Wetland
281,Grassland,Water,Water,Water,NULL,NULL,NULL,Water
282,Grassland,Water,Water,Water,Water,NULL,NULL,Wetland
283,Grassland,Water,Water,Water,Water,NULL,NULL,Water
284,Grassland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
285,Grassland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
286,Grassland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
287,Grassland,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
288,Grassland,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
289,Grassland,Water,Forest,Water,Non_Wetland,NULL,NULL,Wetland
290,Grassland,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
291,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
292,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
293,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
294,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
295,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
296,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
297,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
298,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
299,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
300,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
301,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
302,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Wetland
303,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
304,Grassland,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
305,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
306,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
307,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
308,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
309,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
310,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
311,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
312,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
313,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
314,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
315,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
316,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
317,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
318,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
319,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
320,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
321,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
322,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
323,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
324,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
325,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
326,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
327,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
328,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
329,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
330,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
331,Cropland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
332,Cropland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
333,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
334,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
335,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
