Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21KXA_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KXA_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KXA_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KXA_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KXA_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KXA_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KXA_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21KXA_M_R
48,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
49,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
50,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
51,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
52,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
53,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
54,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
55,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
56,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
57,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Wetland
58,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
59,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
60,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
61,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Forest
62,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,NULL
63,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
64,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Wetland
65,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
66,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
67,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
68,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Forest
69,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Wetland
70,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Wetland
71,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
72,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
73,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Wetland
74,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
75,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Wetland
76,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
77,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
78,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
79,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
80,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
81,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
82,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Forest
83,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
84,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
85,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Forest
86,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
87,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
88,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
89,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Wetland
90,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Grassland
91,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Wetland
92,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Wetland
93,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Grassland
94,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Wetland
95,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
96,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Wetland
97,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Grassland
98,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Wetland
99,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Wetland
100,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Wetland
101,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
102,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
103,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
104,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Wetland
105,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
106,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
107,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
108,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
109,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
110,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
111,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
112,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
113,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
114,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
115,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
116,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
117,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
118,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
119,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
120,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
121,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
122,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
123,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
124,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
125,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
126,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
127,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
128,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Forest
129,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
130,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Wetland
131,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
132,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
133,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
134,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
135,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
136,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
137,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
138,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
139,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
140,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
141,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
142,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
143,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
144,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
145,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
146,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
147,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
148,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
149,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
150,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Wetland
151,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
152,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
153,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Wetland
154,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
155,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
156,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Wetland
157,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
158,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
159,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
160,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
161,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Bareland
162,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
163,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
164,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
165,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
166,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
167,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
168,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Wetland
169,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Forest
170,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
171,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Wetland
172,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
173,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
174,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
175,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Wetland
176,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
177,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
178,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
179,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Wetland
180,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
181,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
182,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Shrubland,Grassland
183,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Shrubland,Wetland
184,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Shrubland,Forest
185,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,NULL
186,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
187,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Wetland
188,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Bareland
189,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
190,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
191,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Wetland
192,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
193,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,NULL
194,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Grassland
195,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Wetland
196,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Wetland
197,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
198,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,NULL
199,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
200,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Wetland
201,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
202,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Wetland
203,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
204,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
205,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
206,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
207,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
208,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Shrubland,Wetland
209,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Shrubland,Forest
210,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,NULL
211,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
212,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
213,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Bareland
214,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
215,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
216,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
217,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
218,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Shrubland,Forest
219,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,NULL
220,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
221,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
222,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Forest
223,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
224,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
225,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
226,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Grassland
227,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Wetland
228,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Grassland
229,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Wetland
230,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Bareland
231,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Forest
232,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Grassland
233,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Wetland
234,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Forest
235,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Water,Grassland
236,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Water,Wetland
237,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
238,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Wetland
239,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Forest
240,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
241,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Wetland
242,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Forest
243,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Wetland
244,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
245,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Wetland
246,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Forest
247,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
248,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Wetland
249,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Grassland
250,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Wetland
251,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Grassland,Grassland
252,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Grassland,Wetland
253,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
254,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Wetland
255,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Grassland
256,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Wetland
257,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Forest
258,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
259,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
260,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
261,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Forest
262,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Forest,Forest
263,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
264,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Forest
265,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
266,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
267,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Wetland
268,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
269,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
270,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Shrubland,Wetland
271,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
272,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Wetland
273,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
274,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
275,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
276,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
277,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Shrubland,Grassland
278,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Shrubland,Wetland
279,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Shrubland,Bareland
280,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Shrubland,Forest
281,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,NULL
282,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Grassland
283,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Forest
284,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Forest,Forest
285,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
286,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
287,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
288,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
289,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,NULL
290,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
291,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
292,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Forest
293,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
294,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
295,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Wetland,Forest
296,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Forest,Grassland
297,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Forest,Wetland
298,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Forest,Forest
299,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,NULL
300,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
301,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Cropland
302,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Wetland
303,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Bareland
304,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
305,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,NULL
306,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
307,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
308,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Forest
309,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,NULL
310,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
311,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
312,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Wetland
313,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Bareland
314,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
315,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Water
316,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
317,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,NULL
318,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
319,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Wetland
320,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Bareland
321,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
