Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21NWG_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NWG_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NWG_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NWG_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NWG_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NWG_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NWG_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21NWG_M_R
113,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Wetland
114,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Forest
115,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
116,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
117,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
118,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Wetland
119,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Water
120,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
121,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
122,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Wetland
123,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
124,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Water
125,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
126,NULL,Cropland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
127,NULL,Cropland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Cropland
128,NULL,Cropland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Wetland
129,NULL,Cropland,Water,NULL,Water,NULL,NULL,Wetland
130,NULL,Cropland,Water,Water,Water,NULL,NULL,Wetland
131,NULL,Cropland,Water,Water,Water,NULL,NULL,Water
132,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
133,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
134,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
135,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
136,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Water
137,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
138,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
139,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
140,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
141,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Built-up
142,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
143,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
144,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Cropland
145,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Wetland
146,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Forest
147,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
148,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
149,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
150,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
151,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
152,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
153,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
154,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,NULL
155,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
156,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
157,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Bareland
158,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
159,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
160,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
161,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Water
162,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
163,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
164,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
165,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Forest
166,NULL,Wetland,Water,NULL,Water,NULL,NULL,Wetland
167,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Water
168,NULL,Wetland,Water,Water,Water,NULL,NULL,Wetland
169,NULL,Wetland,Water,Water,Water,NULL,NULL,Water
170,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
171,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
172,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
173,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
174,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
175,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Wetland
176,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Wetland
177,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Wetland
178,NULL,Bareland,Water,Water,Water,NULL,NULL,Wetland
179,NULL,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Wetland
180,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
181,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
182,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
183,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
184,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
185,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
186,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
187,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
188,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
189,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
190,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
191,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
192,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
193,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
194,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
195,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
196,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
197,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
198,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
199,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
200,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
201,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
202,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
203,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
204,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
205,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Built-up
206,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
207,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
208,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
209,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
210,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
211,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Water
212,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
213,NULL,Built-up,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
214,NULL,Built-up,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
215,NULL,Built-up,Cropland,Non_Water,Non_Wetland,NULL,NULL,Built-up
216,NULL,Built-up,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
217,NULL,Built-up,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
218,NULL,Built-up,Cropland,Water,Non_Wetland,NULL,NULL,Cropland
219,NULL,Built-up,Cropland,Water,Non_Wetland,NULL,NULL,Wetland
220,NULL,Built-up,Cropland,Water,Non_Wetland,NULL,NULL,Built-up
221,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Grassland
222,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Cropland
223,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Wetland
224,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Built-up
225,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Forest
226,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
227,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
228,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
229,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
230,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Wetland
231,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
232,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
233,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Water
234,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
235,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
236,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Cropland
237,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Wetland
238,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
239,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Built-up
240,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Water
241,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
242,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
243,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Wetland
244,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Built-up
245,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Water
246,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Forest
247,NULL,Built-up,Water,NULL,Water,NULL,NULL,Grassland
248,NULL,Built-up,Water,NULL,Water,NULL,NULL,Wetland
249,NULL,Built-up,Water,NULL,Water,NULL,NULL,Forest
250,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
251,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
252,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
253,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
254,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
255,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Water
256,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
257,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
258,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
259,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
260,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Built-up
261,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
262,NULL,Built-up,Forest,Water,Non_Wetland,NULL,NULL,Grassland
263,NULL,Built-up,Forest,Water,Non_Wetland,NULL,NULL,Cropland
264,NULL,Built-up,Forest,Water,Non_Wetland,NULL,NULL,Wetland
265,NULL,Built-up,Forest,Water,Non_Wetland,NULL,NULL,Built-up
266,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
267,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
268,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
269,NULL,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
270,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
271,NULL,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Wetland
272,NULL,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
273,NULL,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Water
274,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
275,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
276,NULL,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
277,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
278,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
279,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
280,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
281,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
282,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
283,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
284,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
285,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
286,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
287,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,NULL
288,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
289,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Wetland
290,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Bareland
291,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
292,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
293,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Water
294,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Wetland
295,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
296,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
297,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
298,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
299,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
300,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
301,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
302,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
303,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
304,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
305,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
306,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
307,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
308,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
309,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
310,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
311,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
312,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
313,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
314,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
315,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
316,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Cropland
317,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
318,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
319,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
320,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
321,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
322,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
323,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
324,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Water
325,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
326,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
327,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
328,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Wetland
329,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
330,Grassland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
331,Grassland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Cropland
332,Grassland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Wetland
333,Grassland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Water
334,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
335,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
336,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Cropland
