Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19KFR_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KFR_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KFR_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KFR_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KFR_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19KFR_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19KFR_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19KFR_M_R
62,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
63,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
64,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
65,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
66,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
67,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
68,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
69,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Water
70,NULL,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Water
71,NULL,Water,Water,Water,Water,NULL,NULL,Water
72,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
73,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
74,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
75,Grassland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
76,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
77,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
78,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
79,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
80,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
81,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
82,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
83,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
84,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
85,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
86,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
87,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Water
88,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
89,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
90,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
91,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
92,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
93,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
94,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
95,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
96,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
97,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
98,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
99,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
100,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Water
101,Grassland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
102,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
103,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
104,Grassland,NULL,Water,NULL,Water,NULL,NULL,Grassland
105,Grassland,NULL,Water,Water,Water,NULL,NULL,Grassland
106,Grassland,NULL,Water,Water,Water,NULL,NULL,Water
107,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
108,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
109,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
110,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
111,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
112,Grassland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
113,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
114,Grassland,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
115,Grassland,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
116,Grassland,Wetland,NULL,Water,Non_Wetland,NULL,NULL,Grassland
117,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
118,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
119,Grassland,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
120,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
121,Grassland,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
122,Grassland,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
123,Grassland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Water
124,Grassland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
125,Grassland,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
126,Grassland,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
127,Grassland,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
128,Grassland,Wetland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
129,Grassland,Wetland,Water,Water,Water,NULL,NULL,Water
130,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
131,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
132,Grassland,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
133,Grassland,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
134,Grassland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
135,Grassland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
136,Grassland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
137,Grassland,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
138,Grassland,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
139,Grassland,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
140,Grassland,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
141,Grassland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
142,Grassland,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
143,Grassland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Grassland
144,Grassland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Bareland
145,Grassland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Water
146,Grassland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
147,Grassland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
148,Grassland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Water
149,Grassland,Bareland,Wetland,Water,Wetland,NULL,NULL,Bareland
150,Grassland,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
151,Grassland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
152,Grassland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
153,Grassland,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
154,Grassland,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
155,Grassland,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
156,Grassland,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
157,Grassland,Bareland,Water,Water,Water,NULL,NULL,Bareland
158,Grassland,Bareland,Water,Water,Water,NULL,NULL,Water
159,Grassland,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
160,Grassland,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
161,Grassland,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
162,Grassland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
163,Grassland,Water,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
164,Grassland,Water,NULL,NULL,Non_Wetland,NULL,NULL,Water
165,Grassland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
166,Grassland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
167,Grassland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
168,Grassland,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
169,Grassland,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
170,Grassland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
171,Grassland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
172,Grassland,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
173,Grassland,Water,Wetland,NULL,Wetland,NULL,NULL,Water
174,Grassland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
175,Grassland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
176,Grassland,Water,Wetland,Water,Wetland,NULL,NULL,Water
177,Grassland,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Water
178,Grassland,Water,Water,NULL,Water,NULL,NULL,Water
179,Grassland,Water,Water,Water,Water,NULL,NULL,Bareland
180,Grassland,Water,Water,Water,Water,NULL,NULL,Water
181,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
182,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
183,Grassland,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
184,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
185,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
186,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
187,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
188,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
189,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
190,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
191,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
192,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
193,Cropland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
194,Cropland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
195,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
196,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
197,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
198,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
199,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
200,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
201,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
202,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
203,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
204,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
205,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
206,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
207,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Water
208,Cropland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
209,Cropland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
210,Cropland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
211,Cropland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
212,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
213,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
214,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
215,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
216,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
217,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
218,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
219,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
220,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
221,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
222,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
223,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
224,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
225,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
226,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
227,Cropland,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
228,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
229,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
230,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
231,Cropland,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
232,Cropland,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
233,Cropland,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
234,Cropland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
235,Cropland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
236,Cropland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
237,Cropland,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
238,Cropland,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
239,Cropland,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
240,Cropland,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
241,Cropland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
242,Cropland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
243,Cropland,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
244,Cropland,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
245,Cropland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Grassland
246,Cropland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Bareland
247,Cropland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
248,Cropland,Bareland,Wetland,Water,Wetland,NULL,NULL,Bareland
249,Cropland,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
250,Cropland,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
251,Cropland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
252,Cropland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
253,Cropland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Water
254,Cropland,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
255,Cropland,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
256,Cropland,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
257,Cropland,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
258,Cropland,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
259,Cropland,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
260,Cropland,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
261,Cropland,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
262,Cropland,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
263,Cropland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
264,Cropland,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
265,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
266,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
267,Cropland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
268,Cropland,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
269,Wetland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
270,Wetland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
271,Wetland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Water
272,Wetland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
273,Wetland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
274,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
275,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
276,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
277,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
278,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
279,Wetland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
280,Wetland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
281,Wetland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
282,Wetland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
283,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
284,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
285,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
286,Wetland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
287,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
288,Wetland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
289,Wetland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
290,Wetland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Water
291,Wetland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
292,Wetland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
293,Wetland,NULL,Water,Non_Water,Water,NULL,NULL,Water
294,Wetland,NULL,Water,Water,Water,NULL,NULL,Grassland
295,Wetland,NULL,Water,Water,Water,NULL,NULL,Water
296,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
297,Wetland,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
298,Wetland,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Water
299,Wetland,Wetland,NULL,Water,Non_Wetland,NULL,NULL,Grassland
300,Wetland,Wetland,NULL,Water,Non_Wetland,NULL,NULL,Bareland
301,Wetland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
302,Wetland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
303,Wetland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
304,Wetland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
305,Wetland,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
306,Wetland,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
307,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
308,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Water
309,Wetland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Water
310,Wetland,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
311,Wetland,Wetland,Wetland,Water,Wetland,NULL,NULL,Bareland
312,Wetland,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
313,Wetland,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
314,Wetland,Wetland,Water,NULL,Water,NULL,NULL,Grassland
315,Wetland,Wetland,Water,NULL,Water,NULL,NULL,Water
316,Wetland,Wetland,Water,Non_Water,Water,NULL,NULL,Water
317,Wetland,Wetland,Water,Water,Water,NULL,NULL,Grassland
318,Wetland,Wetland,Water,Water,Water,NULL,NULL,Water
319,Wetland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
320,Wetland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Water
321,Wetland,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
322,Wetland,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Water
323,Wetland,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
324,Wetland,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
325,Wetland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
326,Wetland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
327,Wetland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
328,Wetland,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
329,Wetland,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
330,Wetland,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
