Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19MBS_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MBS_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MBS_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MBS_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MBS_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MBS_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MBS_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19MBS_M_R
50,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
51,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Water
52,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
53,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
54,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Water
55,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
56,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
57,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
58,NULL,Wetland,Water,NULL,Water,NULL,NULL,Grassland
59,NULL,Wetland,Water,NULL,Water,NULL,NULL,Forest
60,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Grassland
61,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Wetland
62,NULL,Wetland,Water,Water,Water,NULL,NULL,Grassland
63,NULL,Wetland,Water,Water,Water,NULL,NULL,Wetland
64,NULL,Wetland,Water,Water,Water,NULL,NULL,Water
65,NULL,Wetland,Water,Water,Water,NULL,NULL,Forest
66,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
67,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
68,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
69,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
70,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
71,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
72,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Water
73,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
74,NULL,Water,Water,NULL,Water,NULL,NULL,Forest
75,NULL,Water,Water,Water,Water,NULL,NULL,Water
76,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
77,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
78,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
79,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
80,NULL,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
81,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
82,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
83,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
84,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
85,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
86,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
87,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
88,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
89,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
90,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
91,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
92,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
93,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
94,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
95,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
96,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
97,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
98,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
99,Grassland,NULL,Water,Water,Water,NULL,NULL,Grassland
100,Grassland,NULL,Water,Water,Water,NULL,NULL,Water
101,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
102,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
103,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
104,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
105,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
106,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
107,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
108,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
109,Grassland,Forest,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
110,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
111,Grassland,Forest,Water,Water,Water,NULL,NULL,Grassland
112,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
113,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
114,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
115,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
116,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
117,Cropland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
118,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
119,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
120,Cropland,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
121,Cropland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
122,Cropland,Water,Wetland,Water,Wetland,NULL,NULL,Water
123,Cropland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Water
124,Wetland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
125,Wetland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
126,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
127,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
128,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
129,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
130,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
131,Wetland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
132,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
133,Wetland,NULL,Water,Non_Water,Water,NULL,NULL,Forest
134,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
135,Wetland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
136,Wetland,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
137,Wetland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
138,Wetland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
139,Wetland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
140,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
141,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
142,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
143,Wetland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
144,Wetland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
145,Wetland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Water
146,Wetland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
147,Wetland,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
148,Wetland,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
149,Wetland,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
150,Wetland,Wetland,Wetland,Water,Wetland,NULL,NULL,Forest
151,Wetland,Wetland,Water,NULL,Water,NULL,NULL,Grassland
152,Wetland,Wetland,Water,Non_Water,Water,NULL,NULL,Grassland
153,Wetland,Wetland,Water,Non_Water,Water,NULL,NULL,Wetland
154,Wetland,Wetland,Water,Water,Water,NULL,NULL,Grassland
155,Wetland,Wetland,Water,Water,Water,NULL,NULL,Wetland
156,Wetland,Wetland,Water,Water,Water,NULL,NULL,Water
157,Wetland,Wetland,Water,Water,Water,NULL,NULL,Forest
158,Wetland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
159,Wetland,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
160,Wetland,Water,Water,NULL,Water,NULL,NULL,Grassland
161,Wetland,Water,Water,NULL,Water,NULL,NULL,Forest
162,Wetland,Water,Water,Water,Water,NULL,NULL,Grassland
163,Wetland,Water,Water,Water,Water,NULL,NULL,Water
164,Wetland,Water,Water,Water,Water,NULL,NULL,Forest
165,Bareland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
166,Bareland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Water
167,Bareland,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
168,Bareland,Bareland,Water,Water,Water,NULL,NULL,Water
169,Bareland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
170,Bareland,Water,Wetland,NULL,Wetland,NULL,NULL,Water
171,Bareland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
172,Bareland,Water,Wetland,Water,Wetland,NULL,NULL,Water
173,Bareland,Water,Wetland,Water,Wetland,NULL,NULL,Forest
174,Bareland,Water,Water,Non_Water,Water,NULL,NULL,Water
175,Bareland,Water,Water,Water,Water,NULL,NULL,Water
176,Bareland,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
177,Bareland,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
178,Water,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
179,Water,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
180,Water,NULL,Water,Water,Water,NULL,NULL,Grassland
181,Water,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
182,Water,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
183,Water,Wetland,Wetland,NULL,Wetland,NULL,NULL,Water
184,Water,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
185,Water,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
186,Water,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Water
187,Water,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
188,Water,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
189,Water,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
190,Water,Wetland,Water,NULL,Water,NULL,NULL,Forest
191,Water,Wetland,Water,Water,Water,NULL,NULL,Grassland
192,Water,Wetland,Water,Water,Water,NULL,NULL,Water
193,Water,Wetland,Water,Water,Water,NULL,NULL,Forest
194,Water,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Water
195,Water,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
196,Water,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
197,Water,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
198,Water,Bareland,Water,Water,Water,NULL,NULL,Water
199,Water,Water,NULL,NULL,Non_Wetland,NULL,NULL,Water
200,Water,Water,NULL,NULL,Non_Wetland,NULL,NULL,Forest
201,Water,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
202,Water,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
203,Water,Water,NULL,Water,Non_Wetland,NULL,NULL,Water
204,Water,Water,NULL,Water,Non_Wetland,NULL,NULL,Forest
205,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
206,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
207,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
208,Water,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
209,Water,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
210,Water,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
211,Water,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
212,Water,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
213,Water,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Water
214,Water,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
215,Water,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
216,Water,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
217,Water,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
218,Water,Water,Grassland,Water,Non_Wetland,NULL,NULL,Water
219,Water,Water,Grassland,Water,Non_Wetland,NULL,NULL,Forest
220,Water,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Water
221,Water,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
222,Water,Water,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
223,Water,Water,Cropland,Non_Water,Non_Wetland,NULL,NULL,Water
224,Water,Water,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
225,Water,Water,Cropland,Water,Non_Wetland,NULL,NULL,Water
226,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
227,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Water
228,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
229,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
230,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
231,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
232,Water,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
233,Water,Water,Wetland,Water,Wetland,NULL,NULL,Water
234,Water,Water,Wetland,Water,Wetland,NULL,NULL,Forest
235,Water,Water,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Water
236,Water,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Forest
237,Water,Water,Lichens_and_Mosses,Water,Non_Wetland,NULL,NULL,Water
238,Water,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Water
239,Water,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
240,Water,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
241,Water,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
242,Water,Water,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
243,Water,Water,Bareland,Water,Non_Wetland,NULL,NULL,Water
244,Water,Water,Bareland,Water,Non_Wetland,NULL,NULL,Forest
245,Water,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Water
246,Water,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
247,Water,Water,Built-up,Non_Water,Non_Wetland,NULL,NULL,Water
248,Water,Water,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
249,Water,Water,Built-up,Water,Non_Wetland,NULL,NULL,Water
250,Water,Water,Built-up,Water,Non_Wetland,NULL,NULL,Forest
251,Water,Water,Water,NULL,Water,NULL,NULL,Grassland
252,Water,Water,Water,NULL,Water,NULL,NULL,Water
253,Water,Water,Water,NULL,Water,NULL,NULL,Forest
254,Water,Water,Water,Non_Water,Water,NULL,NULL,Grassland
255,Water,Water,Water,Non_Water,Water,NULL,NULL,Water
256,Water,Water,Water,Non_Water,Water,NULL,NULL,Forest
257,Water,Water,Water,Water,Water,NULL,NULL,Grassland
258,Water,Water,Water,Water,Water,NULL,NULL,Water
259,Water,Water,Water,Water,Water,NULL,NULL,Forest
260,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
261,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
262,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
263,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
264,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
265,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
266,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Grassland
267,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
268,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
269,Water,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
270,Water,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
271,Water,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Water
272,Water,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
273,Water,Forest,Wetland,Water,Wetland,NULL,NULL,Forest
274,Water,Forest,Water,Water,Water,NULL,NULL,Grassland
275,Water,Forest,Water,Water,Water,NULL,NULL,Water
276,Water,Forest,Water,Water,Water,NULL,NULL,Forest
277,Water,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
278,Water,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
279,Water,Forest,Forest,Water,Non_Wetland,NULL,NULL,Forest
280,Forest,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
281,Forest,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
282,Forest,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
283,Forest,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
284,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
285,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
286,Forest,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
287,Forest,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
288,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
289,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
290,Forest,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
291,Forest,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
292,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
293,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
294,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
295,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
296,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
297,Forest,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
298,Forest,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
299,Forest,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
300,Forest,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
301,Forest,NULL,Wetland,Water,Wetland,NULL,NULL,Water
302,Forest,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
303,Forest,NULL,Water,NULL,Water,NULL,NULL,Grassland
304,Forest,NULL,Water,NULL,Water,NULL,NULL,Water
305,Forest,NULL,Water,NULL,Water,NULL,NULL,Forest
306,Forest,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
307,Forest,NULL,Water,Non_Water,Water,NULL,NULL,Water
308,Forest,NULL,Water,Water,Water,NULL,NULL,Grassland
309,Forest,NULL,Water,Water,Water,NULL,NULL,Water
310,Forest,NULL,Water,Water,Water,NULL,NULL,Forest
311,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
312,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
313,Forest,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
314,Forest,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
315,Forest,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
316,Forest,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
317,Forest,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
318,Forest,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
319,Forest,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
320,Forest,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
321,Forest,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
322,Forest,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
323,Forest,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
324,Forest,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
325,Forest,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
326,Forest,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
327,Forest,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
328,Forest,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
329,Forest,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
330,Forest,Wetland,Wetland,NULL,Wetland,NULL,NULL,NULL
331,Forest,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
332,Forest,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
333,Forest,Wetland,Wetland,NULL,Wetland,NULL,NULL,Water
334,Forest,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
335,Forest,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
336,Forest,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
337,Forest,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Water
338,Forest,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
339,Forest,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
340,Forest,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
341,Forest,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
342,Forest,Wetland,Wetland,Water,Wetland,NULL,NULL,Forest
343,Forest,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
344,Forest,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
345,Forest,Wetland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
346,Forest,Wetland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
347,Forest,Wetland,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
348,Forest,Wetland,Built-up,NULL,Non_Wetland,NULL,NULL,Wetland
349,Forest,Wetland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
350,Forest,Wetland,Water,NULL,Water,NULL,NULL,Grassland
351,Forest,Wetland,Water,NULL,Water,NULL,NULL,Forest
352,Forest,Wetland,Water,Non_Water,Water,NULL,NULL,Grassland
353,Forest,Wetland,Water,Non_Water,Water,NULL,NULL,Wetland
354,Forest,Wetland,Water,Non_Water,Water,NULL,NULL,Water
355,Forest,Wetland,Water,Non_Water,Water,NULL,NULL,Forest
356,Forest,Wetland,Water,Water,Water,NULL,NULL,Grassland
357,Forest,Wetland,Water,Water,Water,NULL,NULL,Wetland
