Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19MDM_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MDM_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MDM_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MDM_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MDM_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MDM_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MDM_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19MDM_M_R
32,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Grassland,Forest
33,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
34,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
35,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
36,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Forest
37,NULL,NULL,Water,NULL,Water,Water,Grassland,Grassland
38,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
39,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
40,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
41,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
42,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
43,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
44,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
45,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
46,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
47,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
48,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
49,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
50,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
51,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
52,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
53,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
54,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
55,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
56,NULL,NULL,Forest,Non_Water,Non_Wetland,Water,Wetland,Water
57,NULL,Bareland,Water,Water,Water,Water,Water,Water
58,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
59,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,Bareland,Forest
60,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
61,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
62,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
63,NULL,Water,Cropland,NULL,Non_Wetland,Grassland,Bareland,Water
64,NULL,Water,Cropland,Water,Non_Wetland,Water,Wetland,Water
65,NULL,Water,Wetland,Water,Wetland,Water,Water,Water
66,NULL,Water,Bareland,NULL,Non_Wetland,Grassland,Wetland,Forest
67,NULL,Water,Bareland,Water,Non_Wetland,Bareland,Wetland,Grassland
68,NULL,Water,Built-up,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
69,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
70,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
71,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
72,NULL,Forest,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
73,NULL,Forest,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
74,NULL,Forest,NULL,NULL,Non_Wetland,Forest,Forest,Forest
75,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
76,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
77,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
78,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
79,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
80,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Forest,Forest
81,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
82,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
83,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
84,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
85,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
86,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
87,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
88,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
89,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
90,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
91,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
92,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
93,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
94,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
95,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
96,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
97,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
98,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
99,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
100,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
101,Grassland,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
102,Grassland,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
103,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
104,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
105,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
106,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
107,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
108,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
109,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
110,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
111,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
112,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
113,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
114,Grassland,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Grassland
115,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
116,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
117,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Bareland,Grassland
118,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
119,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
120,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
121,Grassland,NULL,Bareland,Water,Non_Wetland,Grassland,Grassland,Grassland
122,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
123,Grassland,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Forest
124,Grassland,NULL,Water,NULL,Water,Grassland,Grassland,Grassland
125,Grassland,NULL,Water,NULL,Water,Grassland,Water,Grassland
126,Grassland,NULL,Water,Water,Water,Wetland,Wetland,Water
127,Grassland,NULL,Water,Water,Water,Water,Wetland,Water
128,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
129,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
130,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
131,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
132,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
133,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
134,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
135,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Water,Forest
136,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
137,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
138,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
139,Grassland,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Grassland
140,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
141,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
142,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
143,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Forest
144,Grassland,NULL,Forest,Water,Non_Wetland,Grassland,Bareland,Grassland
145,Grassland,NULL,Forest,Water,Non_Wetland,Grassland,Water,Water
146,Grassland,NULL,Forest,Water,Non_Wetland,Water,Water,Grassland
147,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
148,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
149,Grassland,Built-up,Built-up,NULL,Non_Wetland,Grassland,Bareland,Forest
150,Grassland,Water,Wetland,Non_Water,Wetland,Grassland,Forest,Grassland
151,Grassland,Water,Forest,NULL,Non_Wetland,Bareland,Grassland,Water
152,Grassland,Water,Forest,NULL,Non_Wetland,Water,Water,Water
153,Grassland,Water,Forest,Water,Non_Wetland,Grassland,Water,Grassland
154,Grassland,Water,Forest,Water,Non_Wetland,Water,Water,Grassland
155,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
156,Grassland,Forest,NULL,NULL,Non_Wetland,Forest,Forest,Forest
157,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
158,Grassland,Forest,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
159,Grassland,Forest,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
160,Grassland,Forest,Wetland,Water,Wetland,Grassland,Wetland,Grassland
161,Grassland,Forest,Wetland,Water,Wetland,Wetland,Wetland,Water
162,Grassland,Forest,Wetland,Water,Wetland,Water,Wetland,Water
163,Grassland,Forest,Water,Water,Water,Wetland,Wetland,Water
164,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
165,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
166,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
167,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
168,Grassland,Forest,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
169,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
170,Cropland,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
171,Cropland,NULL,Grassland,NULL,Non_Wetland,Water,Water,Grassland
172,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
173,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
174,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
175,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
176,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
177,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
178,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
179,Cropland,Water,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
180,Cropland,Water,NULL,Water,Non_Wetland,Water,Water,Water
181,Cropland,Water,Cropland,Water,Non_Wetland,Grassland,Water,Water
182,Cropland,Water,Wetland,NULL,Wetland,Water,Water,Grassland
183,Cropland,Water,Wetland,Water,Wetland,Water,Wetland,Water
184,Cropland,Water,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
185,Cropland,Water,Bareland,NULL,Non_Wetland,Grassland,Water,Water
186,Cropland,Water,Bareland,Water,Non_Wetland,Water,Water,Water
187,Cropland,Water,Forest,NULL,Non_Wetland,Grassland,Wetland,Water
188,Cropland,Water,Forest,NULL,Non_Wetland,Grassland,Water,Grassland
189,Cropland,Water,Forest,NULL,Non_Wetland,Water,Grassland,Grassland
190,Cropland,Water,Forest,Non_Water,Non_Wetland,Water,Water,Forest
191,Cropland,Water,Forest,Water,Non_Wetland,Water,Water,Grassland
192,Cropland,Water,Forest,Water,Non_Wetland,Water,Water,Bareland
193,Cropland,Water,Forest,Water,Non_Wetland,Water,Water,Water
194,Cropland,Forest,Cropland,Non_Water,Non_Wetland,Water,Bareland,Grassland
195,Cropland,Forest,Wetland,NULL,Wetland,Grassland,Wetland,Forest
196,Cropland,Forest,Water,Water,Water,Water,Water,Grassland
197,Bareland,Bareland,NULL,Non_Water,Non_Wetland,Water,Water,Water
198,Bareland,Bareland,NULL,Water,Non_Wetland,Water,Water,Water
199,Bareland,Bareland,Cropland,Non_Water,Non_Wetland,Water,Wetland,Water
200,Bareland,Bareland,Cropland,Non_Water,Non_Wetland,Water,Water,Water
201,Bareland,Bareland,Cropland,Water,Non_Wetland,Bareland,Water,Water
202,Bareland,Bareland,Cropland,Water,Non_Wetland,Water,Water,Water
203,Bareland,Bareland,Wetland,Non_Water,Wetland,Water,Water,Bareland
204,Bareland,Bareland,Wetland,Non_Water,Wetland,Water,Water,Water
205,Bareland,Bareland,Wetland,Water,Wetland,Bareland,Water,Water
206,Bareland,Bareland,Wetland,Water,Wetland,Water,Wetland,Bareland
207,Bareland,Bareland,Wetland,Water,Wetland,Water,Water,Bareland
208,Bareland,Bareland,Wetland,Water,Wetland,Water,Water,Water
209,Bareland,Bareland,Bareland,Non_Water,Non_Wetland,Water,Water,Water
210,Bareland,Bareland,Bareland,Water,Non_Wetland,Bareland,Water,Water
211,Bareland,Bareland,Bareland,Water,Non_Wetland,Water,Water,Bareland
212,Bareland,Bareland,Bareland,Water,Non_Wetland,Water,Water,Water
213,Bareland,Bareland,Built-up,Non_Water,Non_Wetland,Water,Water,Water
214,Bareland,Bareland,Water,Non_Water,Water,Water,Wetland,Water
215,Bareland,Bareland,Water,Non_Water,Water,Water,Water,Water
216,Bareland,Bareland,Water,Water,Water,Bareland,Water,Water
217,Bareland,Bareland,Water,Water,Water,Water,Water,Bareland
218,Bareland,Bareland,Water,Water,Water,Water,Water,Water
219,Bareland,Bareland,Forest,Water,Non_Wetland,Water,Water,Water
220,Bareland,Water,NULL,Non_Water,Non_Wetland,Water,Water,Water
221,Bareland,Water,NULL,Water,Non_Wetland,Water,Water,Bareland
222,Bareland,Water,NULL,Water,Non_Wetland,Water,Water,Water
223,Bareland,Water,Grassland,Water,Non_Wetland,Water,Water,Water
224,Bareland,Water,Cropland,Non_Water,Non_Wetland,Water,Wetland,Water
225,Bareland,Water,Cropland,Non_Water,Non_Wetland,Water,Water,Water
226,Bareland,Water,Wetland,Non_Water,Wetland,Bareland,Wetland,Water
227,Bareland,Water,Wetland,Non_Water,Wetland,Water,Wetland,Water
228,Bareland,Water,Wetland,Non_Water,Wetland,Water,Water,Bareland
229,Bareland,Water,Wetland,Non_Water,Wetland,Water,Water,Water
230,Bareland,Water,Wetland,Non_Water,Wetland,Water,Water,Forest
231,Bareland,Water,Wetland,Water,Wetland,Bareland,Water,Water
232,Bareland,Water,Wetland,Water,Wetland,Water,Wetland,Grassland
233,Bareland,Water,Wetland,Water,Wetland,Water,Wetland,Water
234,Bareland,Water,Wetland,Water,Wetland,Water,Water,Bareland
235,Bareland,Water,Wetland,Water,Wetland,Water,Water,Water
236,Bareland,Water,Bareland,Water,Non_Wetland,Water,Water,Bareland
237,Bareland,Water,Bareland,Water,Non_Wetland,Water,Water,Water
238,Bareland,Water,Water,NULL,Water,Water,Water,Forest
239,Bareland,Water,Water,Non_Water,Water,Water,Water,Water
240,Bareland,Water,Water,Water,Water,Water,Wetland,Water
241,Bareland,Water,Water,Water,Water,Water,Water,Bareland
242,Bareland,Water,Water,Water,Water,Water,Water,Water
243,Bareland,Water,Water,Water,Water,Water,Water,Forest
244,Bareland,Water,Forest,NULL,Non_Wetland,Water,Water,Forest
245,Bareland,Water,Forest,Water,Non_Wetland,Water,Water,Water
246,Bareland,Forest,NULL,Water,Non_Wetland,Water,Water,Bareland
247,Bareland,Forest,Cropland,Non_Water,Non_Wetland,Bareland,Water,Water
248,Bareland,Forest,Wetland,Water,Wetland,Bareland,Water,Water
249,Bareland,Forest,Wetland,Water,Wetland,Water,Water,Water
250,Water,NULL,NULL,NULL,Non_Wetland,Water,Water,Water
251,Water,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Forest
252,Water,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
253,Water,Bareland,Wetland,Water,Wetland,Water,Water,Water
254,Water,Bareland,Water,Water,Water,Water,Water,Water
255,Water,Water,NULL,NULL,Non_Wetland,Bareland,Water,Water
256,Water,Water,NULL,NULL,Non_Wetland,Water,Grassland,Water
257,Water,Water,NULL,NULL,Non_Wetland,Water,Grassland,Forest
258,Water,Water,NULL,NULL,Non_Wetland,Water,Wetland,Water
259,Water,Water,NULL,NULL,Non_Wetland,Water,Wetland,Forest
260,Water,Water,NULL,NULL,Non_Wetland,Water,Water,Water
261,Water,Water,NULL,NULL,Non_Wetland,Water,Water,Forest
262,Water,Water,NULL,NULL,Non_Wetland,Water,Forest,Water
263,Water,Water,NULL,Non_Water,Non_Wetland,Water,Grassland,Water
264,Water,Water,NULL,Non_Water,Non_Wetland,Water,Wetland,Forest
265,Water,Water,NULL,Non_Water,Non_Wetland,Water,Water,Grassland
266,Water,Water,NULL,Non_Water,Non_Wetland,Water,Water,Water
267,Water,Water,NULL,Non_Water,Non_Wetland,Water,Water,Forest
268,Water,Water,NULL,Water,Non_Wetland,Grassland,Water,Grassland
269,Water,Water,NULL,Water,Non_Wetland,Grassland,Water,Water
270,Water,Water,NULL,Water,Non_Wetland,Water,Wetland,Water
271,Water,Water,NULL,Water,Non_Wetland,Water,Wetland,Forest
272,Water,Water,NULL,Water,Non_Wetland,Water,Water,Water
273,Water,Water,NULL,Water,Non_Wetland,Water,Water,Forest
274,Water,Water,Shrubland,NULL,Non_Wetland,Wetland,Water,Forest
275,Water,Water,Shrubland,Water,Non_Wetland,Water,Water,Water
276,Water,Water,Grassland,NULL,Non_Wetland,Water,Wetland,Forest
277,Water,Water,Grassland,NULL,Non_Wetland,Water,Water,Water
278,Water,Water,Grassland,NULL,Non_Wetland,Water,Water,Forest
279,Water,Water,Grassland,NULL,Non_Wetland,Water,Forest,Forest
280,Water,Water,Grassland,Non_Water,Non_Wetland,Water,Water,Water
281,Water,Water,Grassland,Non_Water,Non_Wetland,Water,Water,Forest
282,Water,Water,Grassland,Water,Non_Wetland,Water,Wetland,Forest
283,Water,Water,Grassland,Water,Non_Wetland,Water,Bareland,Grassland
284,Water,Water,Grassland,Water,Non_Wetland,Water,Water,Grassland
285,Water,Water,Grassland,Water,Non_Wetland,Water,Water,Bareland
286,Water,Water,Grassland,Water,Non_Wetland,Water,Water,Water
287,Water,Water,Grassland,Water,Non_Wetland,Water,Water,Forest
288,Water,Water,Cropland,NULL,Non_Wetland,Water,Grassland,Forest
289,Water,Water,Cropland,NULL,Non_Wetland,Water,Wetland,Forest
290,Water,Water,Cropland,NULL,Non_Wetland,Water,Bareland,Water
291,Water,Water,Cropland,NULL,Non_Wetland,Water,Water,Water
292,Water,Water,Cropland,NULL,Non_Wetland,Water,Water,Forest
293,Water,Water,Cropland,Water,Non_Wetland,Water,Wetland,Forest
294,Water,Water,Cropland,Water,Non_Wetland,Water,Water,Water
295,Water,Water,Cropland,Water,Non_Wetland,Water,Water,Forest
296,Water,Water,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
297,Water,Water,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
298,Water,Water,Wetland,NULL,Wetland,Grassland,Wetland,Water
299,Water,Water,Wetland,NULL,Wetland,Grassland,Wetland,Forest
300,Water,Water,Wetland,NULL,Wetland,Grassland,Water,Forest
301,Water,Water,Wetland,NULL,Wetland,Water,Grassland,Water
302,Water,Water,Wetland,NULL,Wetland,Water,Wetland,Water
303,Water,Water,Wetland,NULL,Wetland,Water,Wetland,Forest
304,Water,Water,Wetland,NULL,Wetland,Water,Water,Grassland
305,Water,Water,Wetland,NULL,Wetland,Water,Water,Bareland
306,Water,Water,Wetland,NULL,Wetland,Water,Water,Water
307,Water,Water,Wetland,NULL,Wetland,Water,Water,Forest
308,Water,Water,Wetland,NULL,Wetland,Water,Forest,Grassland
309,Water,Water,Wetland,NULL,Wetland,Water,Forest,Water
310,Water,Water,Wetland,NULL,Wetland,Water,Forest,Forest
311,Water,Water,Wetland,Non_Water,Wetland,Grassland,Wetland,Water
312,Water,Water,Wetland,Non_Water,Wetland,Bareland,Water,Water
313,Water,Water,Wetland,Non_Water,Wetland,Bareland,Water,Forest
314,Water,Water,Wetland,Non_Water,Wetland,Water,Grassland,Water
315,Water,Water,Wetland,Non_Water,Wetland,Water,Wetland,Water
316,Water,Water,Wetland,Non_Water,Wetland,Water,Wetland,Forest
317,Water,Water,Wetland,Non_Water,Wetland,Water,Water,Grassland
318,Water,Water,Wetland,Non_Water,Wetland,Water,Water,Water
319,Water,Water,Wetland,Non_Water,Wetland,Water,Water,Forest
320,Water,Water,Wetland,Non_Water,Wetland,Water,Forest,Water
321,Water,Water,Wetland,Water,Wetland,NULL,Wetland,Water
322,Water,Water,Wetland,Water,Wetland,NULL,Water,Water
323,Water,Water,Wetland,Water,Wetland,NULL,Water,Forest
324,Water,Water,Wetland,Water,Wetland,Grassland,Water,Water
325,Water,Water,Wetland,Water,Wetland,Bareland,Water,Water
326,Water,Water,Wetland,Water,Wetland,Water,Wetland,Water
327,Water,Water,Wetland,Water,Wetland,Water,Wetland,Forest
328,Water,Water,Wetland,Water,Wetland,Water,Water,Grassland
329,Water,Water,Wetland,Water,Wetland,Water,Water,Bareland
330,Water,Water,Wetland,Water,Wetland,Water,Water,Water
331,Water,Water,Wetland,Water,Wetland,Water,Water,Forest
332,Water,Water,Wetland,Water,Wetland,Water,Forest,Water
333,Water,Water,Wetland,Water,Wetland,Water,Forest,Forest
334,Water,Water,Lichens_and_Mosses,Water,Non_Wetland,Water,Water,Water
335,Water,Water,Bareland,NULL,Non_Wetland,Bareland,Wetland,Forest
336,Water,Water,Bareland,NULL,Non_Wetland,Water,Grassland,Grassland
337,Water,Water,Bareland,NULL,Non_Wetland,Water,Grassland,Water
338,Water,Water,Bareland,NULL,Non_Wetland,Water,Wetland,Water
339,Water,Water,Bareland,NULL,Non_Wetland,Water,Wetland,Forest
340,Water,Water,Bareland,NULL,Non_Wetland,Water,Water,Water
341,Water,Water,Bareland,NULL,Non_Wetland,Water,Water,Forest
342,Water,Water,Bareland,NULL,Non_Wetland,Water,Forest,Forest
343,Water,Water,Bareland,Non_Water,Non_Wetland,Water,Wetland,Water
344,Water,Water,Bareland,Non_Water,Non_Wetland,Water,Wetland,Forest
345,Water,Water,Bareland,Non_Water,Non_Wetland,Water,Water,Grassland
346,Water,Water,Bareland,Non_Water,Non_Wetland,Water,Water,Water
347,Water,Water,Bareland,Non_Water,Non_Wetland,Water,Water,Forest
348,Water,Water,Bareland,Water,Non_Wetland,Bareland,Water,Water
349,Water,Water,Bareland,Water,Non_Wetland,Bareland,Water,Forest
350,Water,Water,Bareland,Water,Non_Wetland,Water,Wetland,Water
351,Water,Water,Bareland,Water,Non_Wetland,Water,Water,Bareland
352,Water,Water,Bareland,Water,Non_Wetland,Water,Water,Water
353,Water,Water,Bareland,Water,Non_Wetland,Water,Water,Forest
