Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18MTU_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MTU_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MTU_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MTU_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MTU_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MTU_M_R
119,NULL,Cropland,Forest,Non_Water,Non_Wetland,Forest
120,NULL,Cropland,Forest,Water,Non_Wetland,Grassland
121,NULL,Cropland,Forest,Water,Non_Wetland,Cropland
122,NULL,Cropland,Forest,Water,Non_Wetland,Water
123,NULL,Cropland,Forest,Water,Non_Wetland,Forest
124,NULL,Wetland,Shrubland,NULL,Non_Wetland,Cropland
125,NULL,Wetland,Shrubland,NULL,Non_Wetland,Forest
126,NULL,Wetland,Shrubland,Water,Non_Wetland,Grassland
127,NULL,Wetland,Shrubland,Water,Non_Wetland,Cropland
128,NULL,Wetland,Water,Water,Water,Grassland
129,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
130,NULL,Wetland,Forest,NULL,Non_Wetland,Cropland
131,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
132,NULL,Wetland,Forest,Water,Non_Wetland,Grassland
133,NULL,Bareland,NULL,NULL,Non_Wetland,Bareland
134,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
135,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
136,NULL,Bareland,Shrubland,NULL,Non_Wetland,Built-up
137,NULL,Bareland,Shrubland,NULL,Non_Wetland,Forest
138,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
139,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
140,NULL,Bareland,Grassland,NULL,Non_Wetland,Built-up
141,NULL,Bareland,Grassland,NULL,Non_Wetland,Forest
142,NULL,Bareland,Grassland,Non_Water,Non_Wetland,Grassland
143,NULL,Bareland,Cropland,NULL,Non_Wetland,Grassland
144,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland
145,NULL,Bareland,Cropland,NULL,Non_Wetland,Forest
146,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
147,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
148,NULL,Bareland,Bareland,NULL,Non_Wetland,Built-up
149,NULL,Bareland,Bareland,NULL,Non_Wetland,Forest
150,NULL,Bareland,Built-up,NULL,Non_Wetland,Grassland
151,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
152,NULL,Bareland,Built-up,NULL,Non_Wetland,Built-up
153,NULL,Bareland,Built-up,NULL,Non_Wetland,Forest
154,NULL,Bareland,Forest,NULL,Non_Wetland,Grassland
155,NULL,Bareland,Forest,NULL,Non_Wetland,Bareland
156,NULL,Bareland,Forest,NULL,Non_Wetland,Built-up
157,NULL,Bareland,Forest,NULL,Non_Wetland,Forest
158,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
159,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
160,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
161,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
162,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
163,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water
164,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
165,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland
166,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Built-up
167,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Water
168,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Forest
169,NULL,Built-up,Shrubland,Water,Non_Wetland,Grassland
170,NULL,Built-up,Shrubland,Water,Non_Wetland,Bareland
171,NULL,Built-up,Shrubland,Water,Non_Wetland,Water
172,NULL,Built-up,Shrubland,Water,Non_Wetland,Forest
173,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
174,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
175,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
176,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
177,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
178,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
179,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Grassland
180,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Forest
181,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
182,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
183,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
184,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
185,NULL,Built-up,Cropland,NULL,Non_Wetland,Water
186,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
187,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Grassland
188,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Cropland
189,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Forest
190,NULL,Built-up,Cropland,Water,Non_Wetland,Grassland
191,NULL,Built-up,Cropland,Water,Non_Wetland,Bareland
192,NULL,Built-up,Cropland,Water,Non_Wetland,Water
193,NULL,Built-up,Cropland,Water,Non_Wetland,Forest
194,NULL,Built-up,Wetland,NULL,Wetland,Forest
195,NULL,Built-up,Wetland,Non_Water,Wetland,Forest
196,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
197,NULL,Built-up,Bareland,NULL,Non_Wetland,Cropland
198,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
199,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
200,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
201,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Grassland
202,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Bareland
203,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Built-up
204,NULL,Built-up,Bareland,Water,Non_Wetland,Grassland
205,NULL,Built-up,Bareland,Water,Non_Wetland,Bareland
206,NULL,Built-up,Bareland,Water,Non_Wetland,Water
207,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
208,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
209,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
210,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
211,NULL,Built-up,Built-up,NULL,Non_Wetland,Water
212,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
213,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Grassland
214,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Bareland
215,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Built-up
216,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Forest
217,NULL,Built-up,Water,NULL,Water,Grassland
218,NULL,Built-up,Water,NULL,Water,Built-up
219,NULL,Built-up,Water,NULL,Water,Forest
220,NULL,Built-up,Water,Non_Water,Water,Forest
221,NULL,Built-up,Water,Water,Water,Grassland
222,NULL,Built-up,Water,Water,Water,Bareland
223,NULL,Built-up,Water,Water,Water,Water
224,NULL,Built-up,Water,Water,Water,Forest
225,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
226,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
227,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
228,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland
229,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
230,NULL,Built-up,Forest,NULL,Non_Wetland,Water
231,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
232,NULL,Built-up,Forest,Non_Water,Non_Wetland,Grassland
233,NULL,Built-up,Forest,Non_Water,Non_Wetland,Cropland
234,NULL,Built-up,Forest,Non_Water,Non_Wetland,Water
235,NULL,Built-up,Forest,Non_Water,Non_Wetland,Forest
236,NULL,Built-up,Forest,Water,Non_Wetland,Grassland
237,NULL,Built-up,Forest,Water,Non_Wetland,Water
238,NULL,Built-up,Forest,Water,Non_Wetland,Forest
239,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
240,NULL,Water,Shrubland,NULL,Non_Wetland,Cropland
241,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland
242,NULL,Water,Shrubland,NULL,Non_Wetland,Water
243,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
244,NULL,Water,Shrubland,Non_Water,Non_Wetland,Grassland
245,NULL,Water,Shrubland,Non_Water,Non_Wetland,Bareland
246,NULL,Water,Shrubland,Non_Water,Non_Wetland,Water
247,NULL,Water,Shrubland,Non_Water,Non_Wetland,Forest
248,NULL,Water,Shrubland,Water,Non_Wetland,Grassland
249,NULL,Water,Shrubland,Water,Non_Wetland,Bareland
250,NULL,Water,Shrubland,Water,Non_Wetland,Water
251,NULL,Water,Shrubland,Water,Non_Wetland,Forest
252,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
253,NULL,Water,Grassland,NULL,Non_Wetland,Bareland
254,NULL,Water,Grassland,NULL,Non_Wetland,Water
255,NULL,Water,Grassland,Non_Water,Non_Wetland,Grassland
256,NULL,Water,Grassland,Non_Water,Non_Wetland,Water
257,NULL,Water,Grassland,Water,Non_Wetland,Grassland
258,NULL,Water,Grassland,Water,Non_Wetland,Water
259,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
260,NULL,Water,Cropland,NULL,Non_Wetland,Bareland
261,NULL,Water,Cropland,NULL,Non_Wetland,Forest
262,NULL,Water,Cropland,Non_Water,Non_Wetland,Grassland
263,NULL,Water,Cropland,Non_Water,Non_Wetland,Forest
264,NULL,Water,Cropland,Water,Non_Wetland,Water
265,NULL,Water,Wetland,Non_Water,Wetland,Forest
266,NULL,Water,Wetland,Water,Wetland,Grassland
267,NULL,Water,Wetland,Water,Wetland,Water
268,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
269,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
270,NULL,Water,Bareland,NULL,Non_Wetland,Water
271,NULL,Water,Bareland,Non_Water,Non_Wetland,Grassland
272,NULL,Water,Bareland,Water,Non_Wetland,Bareland
273,NULL,Water,Bareland,Water,Non_Wetland,Water
274,NULL,Water,Water,NULL,Water,Grassland
275,NULL,Water,Water,NULL,Water,Bareland
276,NULL,Water,Water,NULL,Water,Water
277,NULL,Water,Water,NULL,Water,Forest
278,NULL,Water,Water,Non_Water,Water,Grassland
279,NULL,Water,Water,Non_Water,Water,Water
280,NULL,Water,Water,Non_Water,Water,Forest
281,NULL,Water,Water,Water,Water,Grassland
282,NULL,Water,Water,Water,Water,Bareland
283,NULL,Water,Water,Water,Water,Water
284,NULL,Water,Water,Water,Water,Forest
285,NULL,Water,Forest,NULL,Non_Wetland,Grassland
286,NULL,Water,Forest,NULL,Non_Wetland,Cropland
287,NULL,Water,Forest,NULL,Non_Wetland,Water
288,NULL,Water,Forest,NULL,Non_Wetland,Forest
289,NULL,Water,Forest,Non_Water,Non_Wetland,Grassland
290,NULL,Water,Forest,Non_Water,Non_Wetland,Forest
291,NULL,Water,Forest,Water,Non_Wetland,Grassland
292,NULL,Forest,NULL,NULL,Non_Wetland,NULL
293,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
294,NULL,Forest,NULL,NULL,Non_Wetland,Forest
295,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
296,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
297,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
298,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
299,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
300,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
301,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Forest
302,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
303,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
304,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland
305,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland
306,NULL,Forest,Grassland,NULL,Non_Wetland,Built-up
307,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
308,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
309,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up
310,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
311,NULL,Forest,Wetland,NULL,Wetland,Forest
312,NULL,Forest,Wetland,Non_Water,Wetland,Forest
313,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
314,NULL,Forest,Bareland,NULL,Non_Wetland,Bareland
315,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
316,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
317,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
318,NULL,Forest,Water,NULL,Water,Forest
319,NULL,Forest,Forest,NULL,Non_Wetland,NULL
320,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
321,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
322,NULL,Forest,Forest,NULL,Non_Wetland,Bareland
323,NULL,Forest,Forest,NULL,Non_Wetland,Built-up
324,NULL,Forest,Forest,NULL,Non_Wetland,Water
325,NULL,Forest,Forest,NULL,Non_Wetland,Forest
326,NULL,Forest,Forest,Non_Water,Non_Wetland,Grassland
327,NULL,Forest,Forest,Non_Water,Non_Wetland,Forest
328,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
329,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
330,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
331,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
332,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
333,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland
334,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up
335,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
336,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
337,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
338,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland
339,Grassland,NULL,Shrubland,Water,Non_Wetland,Cropland
340,Grassland,NULL,Shrubland,Water,Non_Wetland,Bareland
341,Grassland,NULL,Shrubland,Water,Non_Wetland,Forest
342,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL
343,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
344,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland
345,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland
346,Grassland,NULL,Grassland,NULL,Non_Wetland,Built-up
347,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest
348,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Forest
349,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
350,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland
351,Grassland,NULL,Cropland,NULL,Non_Wetland,Built-up
352,Grassland,NULL,Cropland,NULL,Non_Wetland,Water
353,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
354,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
355,Grassland,NULL,Cropland,Water,Non_Wetland,Grassland
356,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland
357,Grassland,NULL,Wetland,Non_Water,Wetland,Forest
358,Grassland,NULL,Wetland,Water,Wetland,Grassland
359,Grassland,NULL,Wetland,Water,Wetland,Cropland
360,Grassland,NULL,Wetland,Water,Wetland,Bareland
361,Grassland,NULL,Wetland,Water,Wetland,Water
362,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
363,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
364,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland
365,Grassland,NULL,Built-up,NULL,Non_Wetland,Forest
366,Grassland,NULL,Water,Non_Water,Water,Grassland
367,Grassland,NULL,Water,Non_Water,Water,Water
368,Grassland,NULL,Water,Non_Water,Water,Forest
369,Grassland,NULL,Water,Water,Water,Grassland
370,Grassland,NULL,Water,Water,Water,Cropland
371,Grassland,NULL,Water,Water,Water,Water
372,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
373,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
374,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland
375,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland
376,Grassland,NULL,Forest,NULL,Non_Wetland,Built-up
377,Grassland,NULL,Forest,NULL,Non_Wetland,Water
378,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
379,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland
380,Grassland,NULL,Forest,Non_Water,Non_Wetland,Cropland
381,Grassland,NULL,Forest,Non_Water,Non_Wetland,Forest
382,Grassland,NULL,Forest,Water,Non_Wetland,Grassland
383,Grassland,NULL,Forest,Water,Non_Wetland,Cropland
384,Grassland,NULL,Forest,Water,Non_Wetland,Forest
385,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
386,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
387,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland
388,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland
389,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Built-up
390,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest
391,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
392,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Water
393,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Forest
394,Grassland,Cropland,Shrubland,Water,Non_Wetland,Grassland
395,Grassland,Cropland,Shrubland,Water,Non_Wetland,Wetland
396,Grassland,Cropland,Shrubland,Water,Non_Wetland,Water
397,Grassland,Cropland,Shrubland,Water,Non_Wetland,Forest
398,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland
399,Grassland,Cropland,Grassland,NULL,Non_Wetland,Cropland
400,Grassland,Cropland,Grassland,NULL,Non_Wetland,Bareland
401,Grassland,Cropland,Grassland,NULL,Non_Wetland,Built-up
402,Grassland,Cropland,Grassland,NULL,Non_Wetland,Forest
403,Grassland,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
404,Grassland,Cropland,Grassland,Non_Water,Non_Wetland,Bareland
405,Grassland,Cropland,Grassland,Non_Water,Non_Wetland,Forest
406,Grassland,Cropland,Grassland,Water,Non_Wetland,Water
407,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland
408,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland
409,Grassland,Cropland,Cropland,NULL,Non_Wetland,Bareland
410,Grassland,Cropland,Cropland,NULL,Non_Wetland,Built-up
411,Grassland,Cropland,Cropland,NULL,Non_Wetland,Water
412,Grassland,Cropland,Cropland,NULL,Non_Wetland,Forest
413,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
414,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Bareland
415,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Water
416,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Forest
417,Grassland,Cropland,Cropland,Water,Non_Wetland,Grassland
418,Grassland,Cropland,Bareland,NULL,Non_Wetland,Grassland
419,Grassland,Cropland,Bareland,NULL,Non_Wetland,Forest
420,Grassland,Cropland,Bareland,Non_Water,Non_Wetland,Grassland
421,Grassland,Cropland,Bareland,Water,Non_Wetland,Grassland
422,Grassland,Cropland,Bareland,Water,Non_Wetland,Water
423,Grassland,Cropland,Built-up,NULL,Non_Wetland,Grassland
424,Grassland,Cropland,Built-up,NULL,Non_Wetland,Cropland
425,Grassland,Cropland,Built-up,NULL,Non_Wetland,Built-up
426,Grassland,Cropland,Water,NULL,Water,Grassland
427,Grassland,Cropland,Water,NULL,Water,Forest
