Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23MMT_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MMT_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MMT_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MMT_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MMT_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MMT_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MMT_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23MMT_M_R
34,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
35,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
36,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
38,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
40,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
41,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Wetland
44,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
45,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
46,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
47,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
48,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
49,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
50,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
51,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
52,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
53,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
54,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
55,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
56,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Built-up
57,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
58,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
59,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Bareland
60,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
61,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
62,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
63,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
64,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
65,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Bareland
66,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
67,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
68,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
69,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
70,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
71,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
72,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
73,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
74,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
75,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
76,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Grassland
77,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
78,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
79,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
80,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Bareland
81,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
82,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
83,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Wetland
84,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
85,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
86,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Grassland
87,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Grassland
88,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
89,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
90,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
91,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
92,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
93,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
94,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
95,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
96,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
97,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
98,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
99,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
100,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
101,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
102,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
103,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
104,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
105,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
106,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
107,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
108,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
109,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
110,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
111,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
112,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Bareland
113,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
114,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
115,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
116,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
117,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Grassland
118,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Wetland
119,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
120,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
121,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
122,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
123,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
124,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
125,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Built-up
126,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
127,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
128,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Cropland
129,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
130,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
131,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
132,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Built-up,Grassland
133,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Built-up,Forest
134,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
135,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
136,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Wetland
137,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
138,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
139,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
140,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
141,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
142,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Built-up
143,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
144,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
145,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
146,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
147,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
148,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Wetland
149,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
150,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
151,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
152,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
153,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
154,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
155,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Forest
156,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
157,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
158,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Bareland
159,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
160,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Shrubland,Grassland
161,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
162,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
163,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
164,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Bareland
165,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Forest
166,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
167,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Bareland
168,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
169,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
170,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Grassland
171,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
172,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
173,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Wetland
174,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
175,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Forest
176,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
177,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
178,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
179,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
180,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
181,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
182,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Forest,Grassland
183,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
184,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
185,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
186,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Forest,Grassland
187,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
188,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Bareland
189,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
190,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Forest
191,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Built-up,Grassland
192,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Built-up,Built-up,Grassland
193,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Bareland
194,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
195,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
196,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
197,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Grassland
198,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Grassland
199,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Wetland
200,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Grassland
201,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Built-up,Grassland
202,NULL,NULL,Shrubland,Water,Non_Wetland,Built-up,Shrubland,Grassland
203,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
204,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Wetland
205,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
206,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Wetland
207,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
208,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,NULL
209,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Grassland
210,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Wetland
211,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
212,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Grassland
213,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Wetland
214,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Forest
215,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
216,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
217,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Forest
218,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
219,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Wetland,Forest
220,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
221,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Bareland,Built-up
222,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Bareland,Forest
223,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Built-up,Forest
224,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Forest,Grassland
225,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Forest,Forest
226,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
227,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Wetland
228,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
229,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
230,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Forest
231,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
232,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
233,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
234,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Wetland
235,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Bareland
236,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
237,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
238,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
239,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Wetland
240,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
241,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
242,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Built-up
243,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
244,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
245,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Built-up
246,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Forest
247,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Grassland
248,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,NULL
249,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
250,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Wetland
251,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Bareland
252,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Built-up
253,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
254,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Grassland
255,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Grassland
256,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Wetland
257,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Wetland,Grassland
258,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Forest,Grassland
259,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
260,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Wetland
261,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
262,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Shrubland,Built-up
263,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Shrubland,Forest
264,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,NULL
265,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
266,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Wetland
267,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Bareland
268,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Built-up
269,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Water
270,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
271,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
272,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Cropland
273,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Wetland
274,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Bareland
275,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Built-up
276,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
277,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Grassland
278,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Built-up
279,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Forest
280,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Built-up,Grassland
281,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,Grassland
282,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,Wetland
283,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
284,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Wetland
285,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Bareland
286,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Built-up
287,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
288,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
289,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Bareland
290,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Built-up
291,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Forest
292,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
293,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Shrubland,Bareland
294,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Shrubland,Built-up
295,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Shrubland,Forest
296,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
297,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Wetland
298,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Bareland
299,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Built-up
300,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
301,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
302,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Wetland
303,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Bareland
304,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Built-up
305,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Forest
306,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
307,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Bareland
308,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Built-up
309,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
310,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Grassland
311,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Bareland
312,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Built-up
313,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Forest
314,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
315,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Bareland
316,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Built-up
317,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
318,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,NULL,Grassland
319,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
