Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19LEL_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LEL_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LEL_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LEL_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LEL_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LEL_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LEL_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19LEL_M_R
111,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Forest
112,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Bareland,Forest
113,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
114,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Bareland
115,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Built-up
116,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Water
117,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
118,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Grassland
119,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Forest
120,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
121,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Cropland
122,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Bareland
123,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Built-up
124,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
125,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Built-up,Grassland
126,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Built-up,Built-up
127,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Water,Grassland
128,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Grassland
129,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Grassland
130,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Bareland,Grassland
131,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Bareland,Forest
132,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Grassland
133,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Grassland
134,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Bareland
135,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Water
136,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Forest
137,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Wetland,Grassland
138,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Bareland,Grassland
139,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Bareland,Bareland
140,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Bareland,Forest
141,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Water,Water
142,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Grassland
143,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Forest
144,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
145,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
146,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
147,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
148,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Bareland,Forest
149,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Water,Grassland
150,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Water,Water
151,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Water,Forest
152,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
153,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
154,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,Water
155,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Water,Grassland
156,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Water,Water
157,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Grassland,Grassland
158,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Grassland,Forest
159,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Bareland,Grassland
160,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Bareland,Water
161,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Bareland,Forest
162,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Water,Grassland
163,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Water,Forest
164,NULL,NULL,Cropland,Water,Non_Wetland,Wetland,Grassland,Grassland
165,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Grassland,Grassland
166,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Grassland,Forest
167,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Wetland,Grassland
168,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Wetland,Water
169,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Water,Grassland
170,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Water,Water
171,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Water,Forest
172,NULL,NULL,Cropland,Water,Non_Wetland,Water,Water,Grassland
173,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,Forest
174,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
175,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
176,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Water
177,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
178,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
179,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
180,NULL,NULL,Wetland,NULL,Wetland,Grassland,Bareland,Grassland
181,NULL,NULL,Wetland,NULL,Wetland,Grassland,Bareland,Forest
182,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Water
183,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Forest
184,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
185,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
186,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
187,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Grassland
188,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Forest
189,NULL,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Grassland
190,NULL,NULL,Wetland,NULL,Wetland,Bareland,Water,Water
191,NULL,NULL,Wetland,NULL,Wetland,Forest,Grassland,Forest
192,NULL,NULL,Wetland,NULL,Wetland,Forest,Forest,Forest
193,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Grassland,Grassland
194,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Forest
195,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Grassland,Grassland
196,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Water,Water
197,NULL,NULL,Wetland,Water,Wetland,Grassland,Grassland,Grassland
198,NULL,NULL,Wetland,Water,Wetland,Grassland,Bareland,Grassland
199,NULL,NULL,Wetland,Water,Wetland,Bareland,Grassland,Grassland
200,NULL,NULL,Wetland,Water,Wetland,Bareland,Grassland,Water
201,NULL,NULL,Wetland,Water,Wetland,Bareland,Wetland,Water
202,NULL,NULL,Wetland,Water,Wetland,Bareland,Bareland,Water
203,NULL,NULL,Wetland,Water,Wetland,Bareland,Water,Water
204,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Water
205,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Forest
206,NULL,NULL,Wetland,Water,Wetland,Water,Bareland,Water
207,NULL,NULL,Wetland,Water,Wetland,Water,Water,Grassland
208,NULL,NULL,Wetland,Water,Wetland,Water,Water,Water
209,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
210,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
211,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Grassland
212,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Bareland,Grassland
213,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Bareland,Forest
214,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Water,Grassland
215,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Water,Forest
216,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Grassland
217,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Forest
218,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,Grassland
219,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,Forest
220,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Wetland,Grassland
221,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Wetland,Forest
222,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Bareland,Grassland
223,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Water,Forest
224,NULL,NULL,Bareland,NULL,Non_Wetland,Forest,Grassland,Forest
225,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland,Water,Forest
226,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
227,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
228,NULL,NULL,Bareland,Water,Non_Wetland,Grassland,Grassland,Grassland
229,NULL,NULL,Bareland,Water,Non_Wetland,Grassland,Water,Grassland
230,NULL,NULL,Bareland,Water,Non_Wetland,Water,Water,Grassland
231,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
232,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Bareland
233,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Built-up
234,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
235,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Wetland,Grassland
236,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Wetland,Forest
237,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
238,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Built-up
239,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Forest
240,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Built-up,Forest
241,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Water,Grassland
242,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Water,Built-up
243,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
244,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Bareland
245,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Built-up
246,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Forest
247,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Wetland,Grassland
248,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
249,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Bareland
250,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Built-up
251,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Forest
252,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Built-up,Grassland
253,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Forest,Forest
254,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Grassland,Grassland
255,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Wetland,Grassland
256,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Bareland,Grassland
257,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Bareland,Forest
258,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Grassland
259,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Grassland,Grassland
260,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Grassland,Forest
261,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Wetland,Forest
262,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Bareland,Grassland
263,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Water,Water
264,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland,Water,Grassland
265,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
266,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland,Grassland,Forest
267,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland,Water,Grassland
268,NULL,NULL,Built-up,Water,Non_Wetland,Grassland,Water,Grassland
269,NULL,NULL,Built-up,Water,Non_Wetland,Bareland,Grassland,Grassland
270,NULL,NULL,Built-up,Water,Non_Wetland,Bareland,Grassland,Water
271,NULL,NULL,Built-up,Water,Non_Wetland,Bareland,Wetland,Grassland
272,NULL,NULL,Built-up,Water,Non_Wetland,Bareland,Water,Forest
273,NULL,NULL,Built-up,Water,Non_Wetland,Water,Grassland,Grassland
274,NULL,NULL,Built-up,Water,Non_Wetland,Water,Water,Grassland
275,NULL,NULL,Water,NULL,Water,Grassland,Grassland,Grassland
276,NULL,NULL,Water,NULL,Water,Grassland,Grassland,Water
277,NULL,NULL,Water,NULL,Water,Grassland,Grassland,Forest
278,NULL,NULL,Water,NULL,Water,Grassland,Wetland,Water
279,NULL,NULL,Water,NULL,Water,Grassland,Bareland,Grassland
280,NULL,NULL,Water,NULL,Water,Grassland,Bareland,Forest
281,NULL,NULL,Water,NULL,Water,Grassland,Water,Grassland
282,NULL,NULL,Water,NULL,Water,Grassland,Water,Water
283,NULL,NULL,Water,NULL,Water,Grassland,Water,Forest
284,NULL,NULL,Water,NULL,Water,Bareland,Grassland,Grassland
285,NULL,NULL,Water,NULL,Water,Bareland,Grassland,Forest
286,NULL,NULL,Water,NULL,Water,Bareland,Wetland,Forest
287,NULL,NULL,Water,NULL,Water,Bareland,Bareland,Grassland
288,NULL,NULL,Water,NULL,Water,Bareland,Bareland,Forest
289,NULL,NULL,Water,NULL,Water,Bareland,Water,Water
290,NULL,NULL,Water,NULL,Water,Bareland,Forest,Grassland
291,NULL,NULL,Water,NULL,Water,Water,Grassland,Grassland
292,NULL,NULL,Water,NULL,Water,Water,Grassland,Bareland
293,NULL,NULL,Water,NULL,Water,Water,Wetland,Grassland
294,NULL,NULL,Water,NULL,Water,Water,Wetland,Water
295,NULL,NULL,Water,NULL,Water,Water,Water,Grassland
296,NULL,NULL,Water,NULL,Water,Water,Water,Water
297,NULL,NULL,Water,Non_Water,Water,Grassland,Grassland,Grassland
298,NULL,NULL,Water,Non_Water,Water,Grassland,Water,Water
299,NULL,NULL,Water,Non_Water,Water,Bareland,Water,Water
300,NULL,NULL,Water,Non_Water,Water,Water,Water,Grassland
301,NULL,NULL,Water,Water,Water,Grassland,Bareland,Grassland
302,NULL,NULL,Water,Water,Water,Grassland,Water,Grassland
303,NULL,NULL,Water,Water,Water,Bareland,Grassland,Forest
304,NULL,NULL,Water,Water,Water,Bareland,Wetland,Water
305,NULL,NULL,Water,Water,Water,Bareland,Bareland,Water
306,NULL,NULL,Water,Water,Water,Bareland,Water,Grassland
307,NULL,NULL,Water,Water,Water,Bareland,Water,Water
308,NULL,NULL,Water,Water,Water,Water,Grassland,Grassland
309,NULL,NULL,Water,Water,Water,Water,Water,Grassland
310,NULL,NULL,Water,Water,Water,Water,Water,Bareland
311,NULL,NULL,Water,Water,Water,Water,Water,Water
312,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Grassland
313,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
314,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Grassland
315,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
316,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Bareland,Forest
317,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
318,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
319,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Cropland
320,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Bareland
321,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Built-up
322,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
323,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
324,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
325,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
326,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Built-up
327,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Water
328,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
329,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Built-up,Forest
330,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Water,Grassland
331,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Water,Forest
332,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
333,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
334,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
335,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
336,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
337,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Bareland,Forest
338,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
