Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18MUS_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MUS_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MUS_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MUS_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MUS_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MUS_M_R
224,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
225,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
226,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
227,NULL,Built-up,Cropland,NULL,Non_Wetland,Water
228,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
229,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Grassland
230,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Cropland
231,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Built-up
232,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Forest
233,NULL,Built-up,Cropland,Water,Non_Wetland,Bareland
234,NULL,Built-up,Cropland,Water,Non_Wetland,Built-up
235,NULL,Built-up,Cropland,Water,Non_Wetland,Water
236,NULL,Built-up,Cropland,Water,Non_Wetland,Forest
237,NULL,Built-up,Wetland,NULL,Wetland,Forest
238,NULL,Built-up,Wetland,Non_Water,Wetland,Forest
239,NULL,Built-up,Wetland,Water,Wetland,Water
240,NULL,Built-up,Wetland,Water,Wetland,Forest
241,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
242,NULL,Built-up,Bareland,NULL,Non_Wetland,Cropland
243,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
244,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
245,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
246,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Grassland
247,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Bareland
248,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Forest
249,NULL,Built-up,Bareland,Water,Non_Wetland,Bareland
250,NULL,Built-up,Bareland,Water,Non_Wetland,Water
251,NULL,Built-up,Bareland,Water,Non_Wetland,Forest
252,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
253,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
254,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
255,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
256,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
257,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Grassland
258,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Bareland
259,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Built-up
260,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Forest
261,NULL,Built-up,Built-up,Water,Non_Wetland,Forest
262,NULL,Built-up,Water,NULL,Water,Water
263,NULL,Built-up,Water,NULL,Water,Forest
264,NULL,Built-up,Water,Non_Water,Water,Forest
265,NULL,Built-up,Water,Water,Water,Water
266,NULL,Built-up,Water,Water,Water,Forest
267,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
268,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
269,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
270,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland
271,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
272,NULL,Built-up,Forest,NULL,Non_Wetland,Water
273,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
274,NULL,Built-up,Forest,Non_Water,Non_Wetland,Grassland
275,NULL,Built-up,Forest,Non_Water,Non_Wetland,Cropland
276,NULL,Built-up,Forest,Non_Water,Non_Wetland,Bareland
277,NULL,Built-up,Forest,Non_Water,Non_Wetland,Built-up
278,NULL,Built-up,Forest,Non_Water,Non_Wetland,Water
279,NULL,Built-up,Forest,Non_Water,Non_Wetland,Forest
280,NULL,Built-up,Forest,Water,Non_Wetland,Bareland
281,NULL,Built-up,Forest,Water,Non_Wetland,Forest
282,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
283,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland
284,NULL,Water,Shrubland,NULL,Non_Wetland,Water
285,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
286,NULL,Water,Shrubland,Non_Water,Non_Wetland,Grassland
287,NULL,Water,Shrubland,Non_Water,Non_Wetland,Cropland
288,NULL,Water,Shrubland,Non_Water,Non_Wetland,Bareland
289,NULL,Water,Shrubland,Non_Water,Non_Wetland,Water
290,NULL,Water,Shrubland,Non_Water,Non_Wetland,Forest
291,NULL,Water,Shrubland,Water,Non_Wetland,Grassland
292,NULL,Water,Shrubland,Water,Non_Wetland,Bareland
293,NULL,Water,Shrubland,Water,Non_Wetland,Water
294,NULL,Water,Shrubland,Water,Non_Wetland,Forest
295,NULL,Water,Grassland,Non_Water,Non_Wetland,Grassland
296,NULL,Water,Grassland,Non_Water,Non_Wetland,Bareland
297,NULL,Water,Grassland,Water,Non_Wetland,Grassland
298,NULL,Water,Grassland,Water,Non_Wetland,Water
299,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
300,NULL,Water,Cropland,NULL,Non_Wetland,Cropland
301,NULL,Water,Cropland,NULL,Non_Wetland,Bareland
302,NULL,Water,Cropland,NULL,Non_Wetland,Water
303,NULL,Water,Cropland,NULL,Non_Wetland,Forest
304,NULL,Water,Cropland,Non_Water,Non_Wetland,Grassland
305,NULL,Water,Cropland,Non_Water,Non_Wetland,Bareland
306,NULL,Water,Cropland,Non_Water,Non_Wetland,Water
307,NULL,Water,Cropland,Non_Water,Non_Wetland,Forest
308,NULL,Water,Cropland,Water,Non_Wetland,Grassland
309,NULL,Water,Cropland,Water,Non_Wetland,Bareland
310,NULL,Water,Cropland,Water,Non_Wetland,Water
311,NULL,Water,Cropland,Water,Non_Wetland,Forest
312,NULL,Water,Wetland,Non_Water,Wetland,Grassland
313,NULL,Water,Wetland,Non_Water,Wetland,Bareland
314,NULL,Water,Wetland,Non_Water,Wetland,Water
315,NULL,Water,Wetland,Non_Water,Wetland,Forest
316,NULL,Water,Wetland,Water,Wetland,Bareland
317,NULL,Water,Wetland,Water,Wetland,Water
318,NULL,Water,Wetland,Water,Wetland,Forest
319,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
320,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
321,NULL,Water,Bareland,NULL,Non_Wetland,Water
322,NULL,Water,Bareland,NULL,Non_Wetland,Forest
323,NULL,Water,Bareland,Non_Water,Non_Wetland,Grassland
324,NULL,Water,Bareland,Non_Water,Non_Wetland,Bareland
325,NULL,Water,Bareland,Non_Water,Non_Wetland,Water
326,NULL,Water,Bareland,Non_Water,Non_Wetland,Forest
327,NULL,Water,Bareland,Water,Non_Wetland,Grassland
328,NULL,Water,Bareland,Water,Non_Wetland,Bareland
329,NULL,Water,Bareland,Water,Non_Wetland,Water
330,NULL,Water,Bareland,Water,Non_Wetland,Forest
331,NULL,Water,Built-up,Water,Non_Wetland,Grassland
332,NULL,Water,Built-up,Water,Non_Wetland,Water
333,NULL,Water,Water,NULL,Water,Grassland
334,NULL,Water,Water,NULL,Water,Bareland
335,NULL,Water,Water,NULL,Water,Water
336,NULL,Water,Water,NULL,Water,Forest
337,NULL,Water,Water,Non_Water,Water,Grassland
338,NULL,Water,Water,Non_Water,Water,Bareland
339,NULL,Water,Water,Non_Water,Water,Water
340,NULL,Water,Water,Non_Water,Water,Forest
341,NULL,Water,Water,Water,Water,Bareland
342,NULL,Water,Water,Water,Water,Water
343,NULL,Water,Water,Water,Water,Forest
344,NULL,Water,Forest,NULL,Non_Wetland,Grassland
345,NULL,Water,Forest,NULL,Non_Wetland,Bareland
346,NULL,Water,Forest,NULL,Non_Wetland,Water
347,NULL,Water,Forest,NULL,Non_Wetland,Forest
348,NULL,Water,Forest,Non_Water,Non_Wetland,Grassland
349,NULL,Water,Forest,Non_Water,Non_Wetland,Bareland
350,NULL,Water,Forest,Non_Water,Non_Wetland,Water
351,NULL,Water,Forest,Non_Water,Non_Wetland,Forest
352,NULL,Water,Forest,Water,Non_Wetland,Grassland
353,NULL,Water,Forest,Water,Non_Wetland,Bareland
354,NULL,Water,Forest,Water,Non_Wetland,Water
355,NULL,Water,Forest,Water,Non_Wetland,Forest
356,NULL,Forest,NULL,NULL,Non_Wetland,Forest
357,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
358,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
359,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
360,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
361,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
362,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
363,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Forest
364,NULL,Forest,Shrubland,Water,Non_Wetland,Bareland
365,NULL,Forest,Shrubland,Water,Non_Wetland,Forest
366,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
367,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland
368,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
369,NULL,Forest,Grassland,Non_Water,Non_Wetland,Grassland
370,NULL,Forest,Grassland,Non_Water,Non_Wetland,Forest
371,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
372,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
373,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland
374,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up
375,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
376,NULL,Forest,Cropland,Non_Water,Non_Wetland,Grassland
377,NULL,Forest,Cropland,Non_Water,Non_Wetland,Bareland
378,NULL,Forest,Cropland,Non_Water,Non_Wetland,Built-up
379,NULL,Forest,Cropland,Non_Water,Non_Wetland,Forest
380,NULL,Forest,Cropland,Water,Non_Wetland,Bareland
381,NULL,Forest,Cropland,Water,Non_Wetland,Forest
382,NULL,Forest,Wetland,NULL,Wetland,Forest
383,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
384,NULL,Forest,Bareland,NULL,Non_Wetland,Bareland
385,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
386,NULL,Forest,Bareland,Non_Water,Non_Wetland,Grassland
387,NULL,Forest,Bareland,Non_Water,Non_Wetland,Bareland
388,NULL,Forest,Bareland,Non_Water,Non_Wetland,Water
389,NULL,Forest,Bareland,Non_Water,Non_Wetland,Forest
390,NULL,Forest,Bareland,Water,Non_Wetland,Grassland
391,NULL,Forest,Bareland,Water,Non_Wetland,Water
392,NULL,Forest,Bareland,Water,Non_Wetland,Forest
393,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
394,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up
395,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
396,NULL,Forest,Built-up,Non_Water,Non_Wetland,Grassland
397,NULL,Forest,Built-up,Non_Water,Non_Wetland,Bareland
398,NULL,Forest,Water,Non_Water,Water,Forest
399,NULL,Forest,Water,Water,Water,Water
400,NULL,Forest,Water,Water,Water,Forest
401,NULL,Forest,Forest,NULL,Non_Wetland,NULL
402,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
403,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
404,NULL,Forest,Forest,NULL,Non_Wetland,Bareland
405,NULL,Forest,Forest,NULL,Non_Wetland,Built-up
406,NULL,Forest,Forest,NULL,Non_Wetland,Forest
407,NULL,Forest,Forest,Non_Water,Non_Wetland,Grassland
408,NULL,Forest,Forest,Non_Water,Non_Wetland,Bareland
409,NULL,Forest,Forest,Non_Water,Non_Wetland,Built-up
410,NULL,Forest,Forest,Non_Water,Non_Wetland,Forest
411,NULL,Forest,Forest,Water,Non_Wetland,Grassland
412,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
413,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
414,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
415,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland
416,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up
417,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
418,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
419,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
420,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland
421,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest
422,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
423,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland
424,Grassland,NULL,Cropland,NULL,Non_Wetland,Built-up
425,Grassland,NULL,Cropland,NULL,Non_Wetland,Water
426,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
427,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
428,Grassland,NULL,Cropland,Water,Non_Wetland,Grassland
429,Grassland,NULL,Wetland,NULL,Wetland,Grassland
430,Grassland,NULL,Wetland,Non_Water,Wetland,Forest
431,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
432,Grassland,NULL,Bareland,NULL,Non_Wetland,Bareland
