Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19LDK_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LDK_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LDK_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LDK_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LDK_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LDK_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LDK_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19LDK_M_R
54,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
55,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
56,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Water
57,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
58,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
59,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
60,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
61,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
62,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Water,Forest
63,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
64,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
65,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
66,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
67,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
68,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Built-up
69,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
70,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Water,Grassland
71,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Grassland
72,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Grassland
73,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Forest
74,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Bareland,Grassland
75,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Bareland,Forest
76,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Water,Grassland
77,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Forest,Grassland
78,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Forest
79,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Forest,Forest
80,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
81,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
82,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
83,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Forest,Forest
84,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
85,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
86,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,Forest
87,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water,Forest,Grassland
88,NULL,NULL,Cropland,Water,Non_Wetland,Water,Grassland,Bareland
89,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
90,NULL,NULL,Wetland,NULL,Wetland,Forest,Grassland,Forest
91,NULL,NULL,Wetland,NULL,Wetland,Forest,Wetland,Forest
92,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Wetland,Forest
93,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Grassland
94,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Water,Forest
95,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Water
96,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Bareland
97,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Grassland
98,NULL,NULL,Wetland,Water,Wetland,Water,Grassland,Water
99,NULL,NULL,Wetland,Water,Wetland,Water,Water,Grassland
100,NULL,NULL,Wetland,Water,Wetland,Water,Water,Water
101,NULL,NULL,Wetland,Water,Wetland,Water,Forest,Water
102,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
103,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
104,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Bareland,Grassland
105,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Water,Grassland
106,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,Forest
107,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,Grassland
108,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water,Grassland,Bareland
109,NULL,NULL,Bareland,Water,Non_Wetland,Bareland,Forest,Forest
110,NULL,NULL,Bareland,Water,Non_Wetland,Water,Grassland,Water
111,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
112,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
113,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Wetland,Forest
114,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
115,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Built-up
116,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Forest
117,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Water,Forest
118,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
119,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
120,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Bareland,Forest
121,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
122,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
123,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland,Water,Grassland
124,NULL,NULL,Water,NULL,Water,Grassland,Grassland,Grassland
125,NULL,NULL,Water,NULL,Water,Grassland,Grassland,Forest
126,NULL,NULL,Water,NULL,Water,Grassland,Bareland,Grassland
127,NULL,NULL,Water,NULL,Water,Grassland,Water,Grassland
128,NULL,NULL,Water,NULL,Water,Grassland,Water,Forest
129,NULL,NULL,Water,NULL,Water,Bareland,Grassland,Grassland
130,NULL,NULL,Water,NULL,Water,Bareland,Grassland,Forest
131,NULL,NULL,Water,NULL,Water,Bareland,Wetland,Grassland
132,NULL,NULL,Water,NULL,Water,Bareland,Water,Grassland
133,NULL,NULL,Water,NULL,Water,Bareland,Water,Forest
134,NULL,NULL,Water,NULL,Water,Bareland,Forest,Grassland
135,NULL,NULL,Water,NULL,Water,Water,Grassland,Grassland
136,NULL,NULL,Water,NULL,Water,Water,Grassland,Bareland
137,NULL,NULL,Water,NULL,Water,Water,Water,Bareland
138,NULL,NULL,Water,NULL,Water,Water,Water,Forest
139,NULL,NULL,Water,Non_Water,Water,Grassland,Grassland,Grassland
140,NULL,NULL,Water,Non_Water,Water,Bareland,Grassland,Grassland
141,NULL,NULL,Water,Non_Water,Water,Bareland,Wetland,Grassland
142,NULL,NULL,Water,Non_Water,Water,Water,Water,Water
143,NULL,NULL,Water,Water,Water,Grassland,Grassland,Bareland
144,NULL,NULL,Water,Water,Water,Grassland,Water,Forest
145,NULL,NULL,Water,Water,Water,Bareland,Grassland,Water
146,NULL,NULL,Water,Water,Water,Bareland,Wetland,Grassland
147,NULL,NULL,Water,Water,Water,Bareland,Wetland,Water
148,NULL,NULL,Water,Water,Water,Bareland,Water,Water
149,NULL,NULL,Water,Water,Water,Water,Grassland,Water
150,NULL,NULL,Water,Water,Water,Water,Wetland,Grassland
151,NULL,NULL,Water,Water,Water,Water,Wetland,Water
152,NULL,NULL,Water,Water,Water,Water,Water,Grassland
153,NULL,NULL,Water,Water,Water,Water,Water,Water
154,NULL,NULL,Water,Water,Water,Water,Water,Forest
155,NULL,NULL,Water,Water,Water,Water,Forest,Grassland
156,NULL,NULL,Water,Water,Water,Water,Forest,Water
157,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
158,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
159,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
160,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Grassland
161,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Forest
162,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
163,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Cropland
164,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
165,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
166,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
167,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
168,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
169,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Water,Grassland
170,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Water,Forest
171,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
172,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
173,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
174,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
175,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
176,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
177,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Grassland
178,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
179,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
180,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Grassland
181,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
182,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Grassland
183,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Forest
184,NULL,NULL,Forest,NULL,Non_Wetland,Water,Bareland,Grassland
185,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
186,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
187,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
188,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
189,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
190,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
191,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Forest
192,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Forest,Grassland
193,NULL,NULL,Forest,Non_Water,Non_Wetland,Water,Grassland,Bareland
194,NULL,NULL,Forest,Non_Water,Non_Wetland,Water,Grassland,Forest
195,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Grassland,Grassland
196,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Grassland,Forest
197,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Forest,Grassland
198,NULL,NULL,Forest,Water,Non_Wetland,Bareland,Water,Grassland
199,NULL,NULL,Forest,Water,Non_Wetland,Water,Water,Forest
200,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
201,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
202,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
203,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
204,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
205,NULL,Cropland,Cropland,NULL,Non_Wetland,Water,Grassland,Forest
206,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
207,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
208,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
209,NULL,Bareland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
210,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
211,NULL,Bareland,Cropland,Water,Non_Wetland,Grassland,Grassland,Grassland
212,NULL,Bareland,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
213,NULL,Bareland,Wetland,NULL,Wetland,Water,Water,Water
214,NULL,Bareland,Wetland,Water,Wetland,Water,Water,Water
215,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
216,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Grassland,Grassland,Bareland
217,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Water,Grassland,Bareland
218,NULL,Bareland,Water,NULL,Water,Water,Grassland,Grassland
219,NULL,Bareland,Water,NULL,Water,Water,Water,Forest
220,NULL,Bareland,Water,Water,Water,Water,Water,Water
221,NULL,Bareland,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
222,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
223,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
224,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
225,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
226,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
227,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
228,NULL,Built-up,NULL,NULL,Non_Wetland,Water,Grassland,Forest
229,NULL,Built-up,NULL,NULL,Non_Wetland,Water,Bareland,Grassland
230,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
231,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
232,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
233,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
234,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
235,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
236,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
237,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
238,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Bareland,Built-up
239,NULL,Built-up,Cropland,NULL,Non_Wetland,Water,Grassland,Grassland
240,NULL,Built-up,Wetland,NULL,Wetland,Water,Grassland,Grassland
241,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
242,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
243,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Bareland,Forest
244,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
245,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
246,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Bareland,Built-up
247,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Bareland,Forest
248,NULL,Built-up,Built-up,NULL,Non_Wetland,Water,Grassland,Grassland
249,NULL,Built-up,Water,NULL,Water,Grassland,Grassland,Grassland
250,NULL,Built-up,Water,NULL,Water,Bareland,Grassland,Forest
251,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
252,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
253,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
254,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
255,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
256,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
257,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
258,NULL,Built-up,Forest,NULL,Non_Wetland,Water,Grassland,Forest
259,NULL,Water,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
260,NULL,Water,NULL,NULL,Non_Wetland,Water,Bareland,Grassland
261,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
262,NULL,Water,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
263,NULL,Water,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
264,NULL,Water,Grassland,Non_Water,Non_Wetland,Water,Grassland,Grassland
265,NULL,Water,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
266,NULL,Water,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
267,NULL,Water,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
268,NULL,Water,Cropland,NULL,Non_Wetland,Grassland,Water,Forest
269,NULL,Water,Cropland,NULL,Non_Wetland,Water,Bareland,Forest
270,NULL,Water,Cropland,Non_Water,Non_Wetland,Water,Grassland,Grassland
271,NULL,Water,Cropland,Water,Non_Wetland,Grassland,Water,Grassland
272,NULL,Water,Cropland,Water,Non_Wetland,Bareland,Grassland,Water
273,NULL,Water,Cropland,Water,Non_Wetland,Water,Water,Water
274,NULL,Water,Wetland,NULL,Wetland,Grassland,Grassland,Forest
275,NULL,Water,Wetland,NULL,Wetland,Bareland,Water,Grassland
276,NULL,Water,Wetland,Non_Water,Wetland,Water,Water,Water
277,NULL,Water,Wetland,Water,Wetland,Water,Water,Water
278,NULL,Water,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
279,NULL,Water,Bareland,NULL,Non_Wetland,Grassland,Bareland,Forest
280,NULL,Water,Bareland,NULL,Non_Wetland,Grassland,Water,Forest
281,NULL,Water,Bareland,NULL,Non_Wetland,Bareland,Water,Forest
282,NULL,Water,Bareland,NULL,Non_Wetland,Water,Water,Forest
283,NULL,Water,Bareland,Water,Non_Wetland,Bareland,Water,Grassland
284,NULL,Water,Bareland,Water,Non_Wetland,Water,Grassland,Grassland
285,NULL,Water,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
286,NULL,Water,Built-up,NULL,Non_Wetland,Grassland,Water,Grassland
287,NULL,Water,Built-up,NULL,Non_Wetland,Water,Bareland,Grassland
288,NULL,Water,Built-up,Non_Water,Non_Wetland,Water,Water,Grassland
289,NULL,Water,Water,NULL,Water,Grassland,Grassland,Forest
290,NULL,Water,Water,NULL,Water,Bareland,Grassland,Water
291,NULL,Water,Water,Non_Water,Water,Water,Forest,Grassland
292,NULL,Water,Water,Water,Water,Water,Water,Bareland
293,NULL,Water,Water,Water,Water,Water,Water,Water
294,NULL,Water,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
295,NULL,Water,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
296,NULL,Water,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
297,NULL,Water,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
298,NULL,Water,Forest,NULL,Non_Wetland,Grassland,Water,Forest
299,NULL,Water,Forest,NULL,Non_Wetland,Water,Bareland,Forest
300,NULL,Water,Forest,Non_Water,Non_Wetland,Bareland,Water,Forest
301,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
302,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
303,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
304,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
305,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
306,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
307,NULL,Forest,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
308,NULL,Forest,NULL,NULL,Non_Wetland,Forest,Forest,Forest
309,NULL,Forest,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Forest
310,NULL,Forest,NULL,Non_Water,Non_Wetland,Water,Grassland,Bareland
311,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
312,NULL,Forest,Grassland,Non_Water,Non_Wetland,Grassland,Water,Grassland
313,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
314,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
315,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
316,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
317,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
318,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Water,Grassland
319,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
320,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
321,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
322,NULL,Forest,Cropland,NULL,Non_Wetland,Forest,Grassland,Forest
323,NULL,Forest,Cropland,Water,Non_Wetland,Water,Grassland,Grassland
324,NULL,Forest,Wetland,NULL,Wetland,Forest,Forest,Forest
325,NULL,Forest,Wetland,Water,Wetland,Water,Grassland,Forest
326,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
327,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland,Grassland,Forest
328,NULL,Forest,Water,NULL,Water,Grassland,Grassland,Forest
329,NULL,Forest,Water,NULL,Water,Bareland,Grassland,Grassland
330,NULL,Forest,Water,NULL,Water,Bareland,Grassland,Forest
331,NULL,Forest,Water,Water,Water,Water,Wetland,Grassland
332,NULL,Forest,Water,Water,Water,Water,Water,Bareland
333,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
334,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
335,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
336,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
337,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
338,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
339,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Water,Grassland
340,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Water,Forest
341,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
