Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21MZV_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MZV_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MZV_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MZV_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MZV_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MZV_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MZV_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MZV_M_R
51,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Water,NULL
52,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Forest,NULL
53,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,NULL
54,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Forest,NULL
55,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Water,NULL
56,NULL,NULL,Bareland,NULL,Non_Wetland,Forest,Forest,NULL
57,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Water,NULL
58,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Forest,NULL
59,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,NULL
60,NULL,NULL,Water,NULL,Water,Wetland,Forest,NULL
61,NULL,NULL,Water,NULL,Water,Bareland,Grassland,NULL
62,NULL,NULL,Water,NULL,Water,Water,Water,NULL
63,NULL,NULL,Water,NULL,Water,Water,Forest,NULL
64,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,NULL
65,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,NULL
66,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
67,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,NULL
68,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,NULL
69,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,NULL
70,NULL,NULL,Forest,NULL,Non_Wetland,Cropland,Forest,NULL
71,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
72,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,NULL
73,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,NULL
74,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,NULL
75,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,NULL
76,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,NULL
77,NULL,NULL,Forest,NULL,Non_Wetland,Water,Forest,NULL
78,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,NULL
79,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,NULL
80,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,NULL
81,NULL,Water,Wetland,NULL,Wetland,Grassland,Wetland,NULL
82,NULL,Water,Wetland,NULL,Wetland,Grassland,Water,NULL
83,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
84,NULL,Forest,NULL,NULL,Non_Wetland,Forest,Forest,NULL
85,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
86,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Forest,NULL
87,NULL,Forest,Grassland,NULL,Non_Wetland,Forest,Forest,NULL
88,NULL,Forest,Wetland,NULL,Wetland,Grassland,Forest,NULL
89,NULL,Forest,Wetland,NULL,Wetland,Forest,Forest,NULL
90,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,Forest,NULL
91,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland,Forest,NULL
92,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Forest,NULL
93,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,NULL
94,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Forest,NULL
95,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Water,NULL
96,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
97,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
98,Grassland,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
99,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
100,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
101,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,NULL
102,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,NULL
103,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,NULL
104,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland,Wetland,NULL
105,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland,Forest,NULL
106,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,NULL
107,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,NULL
108,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,NULL
109,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,NULL
110,Grassland,NULL,Wetland,NULL,Wetland,NULL,Wetland,NULL
111,Grassland,NULL,Wetland,NULL,Wetland,NULL,Forest,NULL
112,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Water,NULL
113,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Forest,NULL
114,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Forest,NULL
115,Grassland,NULL,Wetland,NULL,Wetland,Forest,Forest,NULL
116,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,NULL
117,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,NULL
118,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland,Forest,NULL
119,Grassland,NULL,Bareland,NULL,Non_Wetland,Forest,Forest,NULL
120,Grassland,NULL,Water,NULL,Water,Forest,Water,NULL
121,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,NULL
122,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
123,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,NULL
124,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,NULL
125,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland,Forest,NULL
126,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,NULL
127,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,NULL
128,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,NULL
129,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Forest,NULL
130,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
131,Grassland,Forest,NULL,NULL,Non_Wetland,Forest,Forest,NULL
132,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
133,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland,Forest,NULL
134,Grassland,Forest,Grassland,NULL,Non_Wetland,Forest,Forest,NULL
135,Grassland,Forest,Wetland,NULL,Wetland,Grassland,Forest,NULL
136,Grassland,Forest,Wetland,NULL,Wetland,Forest,Forest,NULL
137,Grassland,Forest,Bareland,NULL,Non_Wetland,Grassland,Forest,NULL
138,Grassland,Forest,Bareland,NULL,Non_Wetland,Forest,Forest,NULL
139,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,Forest,NULL
140,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,NULL
141,Grassland,Forest,Forest,NULL,Non_Wetland,Forest,Forest,NULL
142,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
143,Cropland,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
144,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
145,Cropland,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
146,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
147,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
148,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
149,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,NULL
150,Cropland,NULL,Wetland,NULL,Wetland,Forest,Wetland,NULL
151,Cropland,NULL,Bareland,NULL,Non_Wetland,Forest,Forest,NULL
152,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,NULL
153,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,NULL
154,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland,Forest,NULL
155,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,NULL
156,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,NULL
157,Cropland,NULL,Forest,NULL,Non_Wetland,Water,Forest,NULL
158,Cropland,NULL,Forest,NULL,Non_Wetland,Forest,Forest,NULL
159,Cropland,Forest,NULL,NULL,Non_Wetland,Forest,Forest,NULL
160,Cropland,Forest,Grassland,NULL,Non_Wetland,Forest,Forest,NULL
161,Cropland,Forest,Cropland,NULL,Non_Wetland,Forest,Forest,NULL
162,Cropland,Forest,Bareland,NULL,Non_Wetland,Forest,Forest,NULL
163,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,Forest,NULL
164,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,NULL
165,Cropland,Forest,Forest,NULL,Non_Wetland,Forest,Forest,NULL
166,Wetland,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,NULL
167,Wetland,NULL,NULL,NULL,Non_Wetland,NULL,Water,NULL
168,Wetland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
169,Wetland,NULL,NULL,NULL,Non_Wetland,Grassland,Water,NULL
170,Wetland,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
171,Wetland,NULL,NULL,NULL,Non_Wetland,Wetland,Water,NULL
172,Wetland,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
173,Wetland,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
174,Wetland,NULL,NULL,NULL,Non_Wetland,Water,Wetland,NULL
175,Wetland,NULL,NULL,NULL,Non_Wetland,Water,Water,NULL
176,Wetland,NULL,NULL,NULL,Non_Wetland,Water,Forest,NULL
177,Wetland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,NULL
178,Wetland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
179,Wetland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
180,Wetland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,NULL
181,Wetland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
182,Wetland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,NULL
183,Wetland,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,NULL
184,Wetland,NULL,Shrubland,NULL,Non_Wetland,Water,Water,NULL
185,Wetland,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,NULL
186,Wetland,NULL,Shrubland,NULL,Non_Wetland,Forest,Water,NULL
187,Wetland,NULL,Wetland,NULL,Wetland,NULL,Wetland,NULL
188,Wetland,NULL,Wetland,NULL,Wetland,NULL,Water,NULL
189,Wetland,NULL,Wetland,NULL,Wetland,Grassland,Grassland,NULL
190,Wetland,NULL,Wetland,NULL,Wetland,Grassland,Water,NULL
191,Wetland,NULL,Wetland,NULL,Wetland,Grassland,Forest,NULL
192,Wetland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
193,Wetland,NULL,Wetland,NULL,Wetland,Wetland,Water,NULL
194,Wetland,NULL,Wetland,NULL,Wetland,Wetland,Forest,NULL
195,Wetland,NULL,Wetland,NULL,Wetland,Bareland,Wetland,NULL
196,Wetland,NULL,Wetland,NULL,Wetland,Bareland,Water,NULL
197,Wetland,NULL,Wetland,NULL,Wetland,Water,Wetland,NULL
198,Wetland,NULL,Wetland,NULL,Wetland,Water,Water,NULL
199,Wetland,NULL,Wetland,NULL,Wetland,Forest,Water,NULL
200,Wetland,NULL,Wetland,NULL,Wetland,Forest,Forest,NULL
201,Wetland,NULL,Bareland,NULL,Non_Wetland,Grassland,Water,NULL
202,Wetland,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,NULL
203,Wetland,NULL,Bareland,NULL,Non_Wetland,Wetland,Water,NULL
204,Wetland,NULL,Bareland,NULL,Non_Wetland,Wetland,Forest,NULL
205,Wetland,NULL,Bareland,NULL,Non_Wetland,Water,Water,NULL
206,Wetland,NULL,Bareland,NULL,Non_Wetland,Water,Forest,NULL
207,Wetland,NULL,Bareland,NULL,Non_Wetland,Forest,Water,NULL
208,Wetland,NULL,Built-up,NULL,Non_Wetland,Water,Water,NULL
209,Wetland,NULL,Water,NULL,Water,NULL,Water,NULL
210,Wetland,NULL,Water,NULL,Water,Grassland,Water,NULL
211,Wetland,NULL,Water,NULL,Water,Wetland,Water,NULL
212,Wetland,NULL,Water,NULL,Water,Water,Wetland,NULL
213,Wetland,NULL,Water,NULL,Water,Water,Water,NULL
214,Wetland,NULL,Water,NULL,Water,Water,Forest,NULL
215,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,Water,NULL
216,Wetland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,NULL
217,Wetland,NULL,Forest,NULL,Non_Wetland,Wetland,Water,NULL
218,Wetland,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,NULL
219,Wetland,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,NULL
220,Wetland,NULL,Forest,NULL,Non_Wetland,Water,Grassland,NULL
221,Wetland,NULL,Forest,NULL,Non_Wetland,Water,Wetland,NULL
222,Wetland,NULL,Forest,NULL,Non_Wetland,Water,Water,NULL
223,Wetland,Water,Wetland,NULL,Wetland,Grassland,Water,NULL
224,Wetland,Water,Wetland,NULL,Wetland,Grassland,Forest,NULL
225,Wetland,Water,Wetland,NULL,Wetland,Water,Water,NULL
226,Wetland,Water,Bareland,NULL,Non_Wetland,Grassland,Forest,NULL
227,Wetland,Forest,Wetland,NULL,Wetland,Grassland,Forest,NULL
228,Bareland,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
229,Bareland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,NULL
230,Bareland,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,NULL
231,Bareland,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,NULL
232,Bareland,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,NULL
233,Bareland,NULL,Wetland,NULL,Wetland,Water,Wetland,NULL
234,Bareland,NULL,Wetland,NULL,Wetland,Water,Water,NULL
235,Bareland,NULL,Bareland,NULL,Non_Wetland,Water,Water,NULL
236,Bareland,NULL,Water,NULL,Water,Bareland,Water,NULL
237,Bareland,NULL,Water,NULL,Water,Water,Water,NULL
238,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,NULL
239,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,Forest,NULL
240,Bareland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,NULL
241,Bareland,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,NULL
242,Bareland,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,NULL
243,Bareland,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,NULL
244,Bareland,NULL,Forest,NULL,Non_Wetland,Forest,Forest,NULL
245,Bareland,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,NULL
246,Bareland,Forest,Forest,NULL,Non_Wetland,Forest,Forest,NULL
247,Water,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,NULL
248,Water,NULL,NULL,NULL,Non_Wetland,NULL,Water,NULL
249,Water,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
250,Water,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
251,Water,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
252,Water,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
253,Water,NULL,NULL,NULL,Non_Wetland,Wetland,Water,NULL
254,Water,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
255,Water,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
256,Water,NULL,NULL,NULL,Non_Wetland,Bareland,Water,NULL
257,Water,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
258,Water,NULL,NULL,NULL,Non_Wetland,Water,Grassland,NULL
259,Water,NULL,NULL,NULL,Non_Wetland,Water,Wetland,NULL
260,Water,NULL,NULL,NULL,Non_Wetland,Water,Water,NULL
261,Water,NULL,NULL,NULL,Non_Wetland,Water,Forest,NULL
262,Water,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,NULL
263,Water,NULL,NULL,NULL,Non_Wetland,Forest,Water,NULL
264,Water,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
265,Water,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
266,Water,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,NULL
267,Water,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
268,Water,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,NULL
269,Water,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
270,Water,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
271,Water,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,NULL
272,Water,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
273,Water,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,NULL
274,Water,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,NULL
275,Water,NULL,Shrubland,NULL,Non_Wetland,Water,Water,NULL
276,Water,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,NULL
277,Water,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,NULL
278,Water,NULL,Shrubland,NULL,Non_Wetland,Forest,Water,NULL
279,Water,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,NULL
280,Water,NULL,Grassland,NULL,Non_Wetland,NULL,Water,NULL
281,Water,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,NULL
282,Water,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,NULL
283,Water,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,NULL
284,Water,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,NULL
285,Water,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,NULL
286,Water,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,NULL
287,Water,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,NULL
288,Water,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,NULL
289,Water,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,NULL
290,Water,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,NULL
291,Water,NULL,Grassland,NULL,Non_Wetland,Water,Water,NULL
292,Water,NULL,Grassland,NULL,Non_Wetland,Water,Forest,NULL
293,Water,NULL,Grassland,NULL,Non_Wetland,Forest,Wetland,NULL
294,Water,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,NULL
295,Water,NULL,Wetland,NULL,Wetland,NULL,Wetland,NULL
296,Water,NULL,Wetland,NULL,Wetland,NULL,Water,NULL
297,Water,NULL,Wetland,NULL,Wetland,NULL,Forest,NULL
298,Water,NULL,Wetland,NULL,Wetland,Grassland,Grassland,NULL
299,Water,NULL,Wetland,NULL,Wetland,Grassland,Wetland,NULL
300,Water,NULL,Wetland,NULL,Wetland,Grassland,Water,NULL
301,Water,NULL,Wetland,NULL,Wetland,Grassland,Forest,NULL
302,Water,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
303,Water,NULL,Wetland,NULL,Wetland,Wetland,Water,NULL
304,Water,NULL,Wetland,NULL,Wetland,Wetland,Forest,NULL
305,Water,NULL,Wetland,NULL,Wetland,Bareland,Wetland,NULL
306,Water,NULL,Wetland,NULL,Wetland,Bareland,Water,NULL
307,Water,NULL,Wetland,NULL,Wetland,Bareland,Forest,NULL
308,Water,NULL,Wetland,NULL,Wetland,Water,Wetland,NULL
309,Water,NULL,Wetland,NULL,Wetland,Water,Water,NULL
310,Water,NULL,Wetland,NULL,Wetland,Water,Forest,NULL
311,Water,NULL,Wetland,NULL,Wetland,Forest,Wetland,NULL
312,Water,NULL,Wetland,NULL,Wetland,Forest,Water,NULL
313,Water,NULL,Wetland,NULL,Wetland,Forest,Forest,NULL
314,Water,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water,Water,NULL
315,Water,NULL,Bareland,NULL,Non_Wetland,NULL,Wetland,NULL
316,Water,NULL,Bareland,NULL,Non_Wetland,NULL,Water,NULL
317,Water,NULL,Bareland,NULL,Non_Wetland,NULL,Forest,NULL
318,Water,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,NULL
319,Water,NULL,Bareland,NULL,Non_Wetland,Grassland,Water,NULL
320,Water,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,NULL
321,Water,NULL,Bareland,NULL,Non_Wetland,Wetland,Water,NULL
322,Water,NULL,Bareland,NULL,Non_Wetland,Wetland,Forest,NULL
323,Water,NULL,Bareland,NULL,Non_Wetland,Bareland,Water,NULL
324,Water,NULL,Bareland,NULL,Non_Wetland,Water,Grassland,NULL
325,Water,NULL,Bareland,NULL,Non_Wetland,Water,Wetland,NULL
326,Water,NULL,Bareland,NULL,Non_Wetland,Water,Water,NULL
327,Water,NULL,Bareland,NULL,Non_Wetland,Water,Forest,NULL
328,Water,NULL,Bareland,NULL,Non_Wetland,Forest,Wetland,NULL
329,Water,NULL,Bareland,NULL,Non_Wetland,Forest,Water,NULL
330,Water,NULL,Bareland,NULL,Non_Wetland,Forest,Forest,NULL
331,Water,NULL,Built-up,NULL,Non_Wetland,NULL,Wetland,NULL
332,Water,NULL,Built-up,NULL,Non_Wetland,Wetland,Water,NULL
333,Water,NULL,Built-up,NULL,Non_Wetland,Water,Wetland,NULL
334,Water,NULL,Built-up,NULL,Non_Wetland,Water,Water,NULL
335,Water,NULL,Built-up,NULL,Non_Wetland,Water,Forest,NULL
336,Water,NULL,Water,NULL,Water,NULL,Wetland,NULL
337,Water,NULL,Water,NULL,Water,NULL,Water,NULL
338,Water,NULL,Water,NULL,Water,NULL,Forest,NULL
339,Water,NULL,Water,NULL,Water,Grassland,Water,NULL
340,Water,NULL,Water,NULL,Water,Wetland,Wetland,NULL
341,Water,NULL,Water,NULL,Water,Wetland,Water,NULL
342,Water,NULL,Water,NULL,Water,Bareland,Grassland,NULL
343,Water,NULL,Water,NULL,Water,Bareland,Water,NULL
344,Water,NULL,Water,NULL,Water,Water,Grassland,NULL
345,Water,NULL,Water,NULL,Water,Water,Wetland,NULL
346,Water,NULL,Water,NULL,Water,Water,Water,NULL
347,Water,NULL,Water,NULL,Water,Water,Forest,NULL
348,Water,NULL,Water,NULL,Water,Forest,Wetland,NULL
