Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21LUJ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LUJ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LUJ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LUJ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LUJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LUJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LUJ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21LUJ_M_R
24,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
25,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
26,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
27,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
28,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
29,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
32,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
36,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
39,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
42,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
43,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
44,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
45,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
46,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
47,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
48,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
49,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
51,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Built-up
52,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
53,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
54,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
55,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
56,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Built-up
57,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
58,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Wetland
59,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
60,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
61,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Grassland
62,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
63,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Wetland
64,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Forest
65,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Grassland
66,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
67,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
68,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
69,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
70,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
71,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
72,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
73,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
74,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
75,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Bareland
76,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
77,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
78,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
79,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
80,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
81,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
82,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
83,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
84,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
85,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
86,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
87,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
88,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
89,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
90,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
91,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
92,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
93,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
94,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
95,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
96,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
97,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
98,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
99,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
100,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Built-up
101,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
102,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
103,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
104,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
105,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Built-up
106,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
107,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
108,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
109,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
110,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
111,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
112,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
113,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Bareland
114,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
115,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
116,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
117,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
118,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
119,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
120,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
121,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
122,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
123,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
124,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
125,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
126,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
127,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
128,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
129,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
130,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
131,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
132,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Built-up
133,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
134,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
135,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Bareland
136,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Built-up
137,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
138,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
139,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
140,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Bareland
141,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
142,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
143,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Grassland
144,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
145,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
146,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Grassland
147,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Forest
148,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Grassland
149,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Grassland
150,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
151,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
152,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,Grassland
153,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,Forest
154,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
155,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
156,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
157,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
158,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
159,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
160,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
161,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Forest
162,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Grassland
163,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
164,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Bareland
165,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
166,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
167,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
168,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
169,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
170,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
171,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
172,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
173,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
174,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
175,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
176,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Built-up
177,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
178,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
179,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
180,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
181,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
182,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Grassland,Forest
183,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Grassland
184,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Forest
185,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,NULL,Grassland
186,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
187,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Forest
188,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
189,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Cropland
190,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Bareland
191,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
192,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Forest
193,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,NULL
194,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
195,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
196,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Bareland
197,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
198,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
199,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
200,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
201,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
202,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Cropland
203,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Bareland
204,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Built-up
205,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
206,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Grassland
207,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Bareland
208,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Built-up
209,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Forest
210,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Water,Grassland
211,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
212,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
213,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Cropland
214,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Bareland
215,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Grassland
216,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Cropland
217,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Bareland
218,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Forest
219,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Bareland,Grassland
220,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Bareland,Bareland
221,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Bareland,Built-up
222,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Built-up,Grassland
223,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
224,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Forest
225,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Forest,Grassland
226,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
227,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Bareland
228,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Built-up
229,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
230,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Cropland
231,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Bareland
232,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Built-up
233,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
234,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Grassland
235,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Bareland
236,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
237,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Cropland
238,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Bareland
239,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Built-up
240,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
241,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Built-up,Grassland
242,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Built-up,Bareland
243,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Built-up,Built-up
244,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Grassland
245,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Built-up
246,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Forest
247,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Grassland
248,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Built-up
249,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Forest
250,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Bareland,Grassland
251,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Bareland,Built-up
252,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Bareland,Forest
253,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Grassland
254,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Cropland
255,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Bareland
256,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Built-up
257,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Forest,Grassland
258,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Grassland
259,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Forest
260,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Bareland,Grassland
261,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Grassland
262,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Forest
263,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
264,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
265,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
266,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
267,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,Forest
268,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
269,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
270,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
271,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
272,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Grassland
273,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Grassland
274,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
275,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
276,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
277,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Grassland
278,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Grassland
279,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Water
280,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Forest
281,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
282,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Grassland
283,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Forest
284,NULL,NULL,Wetland,NULL,Wetland,Forest,Grassland,Forest
285,NULL,NULL,Wetland,NULL,Wetland,Forest,Forest,Forest
286,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Grassland,Grassland
287,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Bareland,Grassland
288,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland,Grassland,Grassland
289,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland,Bareland,Grassland
290,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
291,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
292,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,Grassland
293,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,Grassland
294,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,Grassland
295,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,Bareland
296,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
297,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Bareland
298,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Built-up
299,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
300,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Wetland,Bareland
301,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
302,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Cropland
303,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Bareland
304,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Built-up
305,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Forest
306,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Built-up,Grassland
307,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Built-up,Bareland
308,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Built-up,Built-up
309,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Built-up,Forest
310,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland,Grassland,Built-up
311,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,Grassland
312,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
313,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Bareland
314,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Built-up
315,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Forest
316,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
317,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Bareland
318,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Built-up
319,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Forest
320,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Built-up,Grassland
321,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Built-up,Bareland
322,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Built-up,Built-up
