Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21NTB_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NTB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NTB_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NTB_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NTB_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NTB_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NTB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21NTB_M_R
88,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
89,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
90,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
91,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
92,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
93,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
94,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
95,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
96,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
97,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Forest,Forest
98,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,NULL
99,NULL,NULL,Wetland,NULL,Wetland,Grassland,Shrubland,Grassland
100,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
101,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Wetland
102,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
103,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
104,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Wetland
105,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
106,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Grassland
107,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
108,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,NULL
109,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
110,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Wetland
111,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
112,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
113,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
114,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
115,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Water
116,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
117,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Grassland
118,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Water
119,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Forest
120,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Grassland
121,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Wetland
122,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Wetland
123,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Water
124,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Water
125,NULL,NULL,Wetland,NULL,Wetland,Forest,Grassland,Forest
126,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Wetland,Grassland
127,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Wetland,Forest
128,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Grassland,Grassland
129,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
130,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Wetland
131,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Forest
132,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Grassland,Grassland
133,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Grassland,Wetland
134,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
135,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
136,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Bareland
137,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
138,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
139,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Wetland
140,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Water
141,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Forest
142,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
143,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Wetland
144,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Water
145,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Grassland
146,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Wetland
147,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Water
148,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Grassland
149,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Wetland
150,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
151,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Wetland
152,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Water
153,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Forest
154,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Grassland
155,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Water
156,NULL,NULL,Wetland,Water,Wetland,Water,Grassland,Bareland
157,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Water
158,NULL,NULL,Wetland,Water,Wetland,Water,Water,Wetland
159,NULL,NULL,Wetland,Water,Wetland,Water,Water,Water
160,NULL,NULL,Wetland,Water,Wetland,Water,Forest,Bareland
161,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Shrubland,Grassland
162,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
163,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
164,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Built-up
165,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Forest
166,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
167,NULL,NULL,Water,NULL,Water,Grassland,Grassland,Forest
168,NULL,NULL,Water,NULL,Water,Wetland,Wetland,Grassland
169,NULL,NULL,Water,NULL,Water,Wetland,Wetland,Wetland
170,NULL,NULL,Water,NULL,Water,Wetland,Wetland,Water
171,NULL,NULL,Water,NULL,Water,Wetland,Wetland,Forest
172,NULL,NULL,Water,NULL,Water,Wetland,Water,Forest
173,NULL,NULL,Water,NULL,Water,Water,Grassland,Grassland
174,NULL,NULL,Water,NULL,Water,Water,Grassland,Bareland
175,NULL,NULL,Water,NULL,Water,Water,Water,Grassland
176,NULL,NULL,Water,Non_Water,Water,Wetland,Grassland,Grassland
177,NULL,NULL,Water,Non_Water,Water,Wetland,Wetland,Grassland
178,NULL,NULL,Water,Non_Water,Water,Wetland,Wetland,Wetland
179,NULL,NULL,Water,Non_Water,Water,Wetland,Wetland,Forest
180,NULL,NULL,Water,Non_Water,Water,Wetland,Water,Wetland
181,NULL,NULL,Water,Non_Water,Water,Wetland,Water,Water
182,NULL,NULL,Water,Non_Water,Water,Wetland,Water,Forest
183,NULL,NULL,Water,Non_Water,Water,Water,Wetland,Grassland
184,NULL,NULL,Water,Non_Water,Water,Water,Wetland,Wetland
185,NULL,NULL,Water,Non_Water,Water,Water,Water,Water
186,NULL,NULL,Water,Water,Water,NULL,Wetland,Grassland
187,NULL,NULL,Water,Water,Water,NULL,Wetland,Forest
188,NULL,NULL,Water,Water,Water,Wetland,Grassland,Grassland
189,NULL,NULL,Water,Water,Water,Wetland,Grassland,Wetland
190,NULL,NULL,Water,Water,Water,Wetland,Wetland,Grassland
191,NULL,NULL,Water,Water,Water,Wetland,Wetland,Wetland
192,NULL,NULL,Water,Water,Water,Wetland,Wetland,Water
193,NULL,NULL,Water,Water,Water,Wetland,Wetland,Forest
194,NULL,NULL,Water,Water,Water,Wetland,Water,Grassland
195,NULL,NULL,Water,Water,Water,Wetland,Water,Wetland
196,NULL,NULL,Water,Water,Water,Wetland,Water,Water
197,NULL,NULL,Water,Water,Water,Wetland,Water,Forest
198,NULL,NULL,Water,Water,Water,Water,Grassland,Grassland
199,NULL,NULL,Water,Water,Water,Water,Grassland,Wetland
200,NULL,NULL,Water,Water,Water,Water,Grassland,Water
201,NULL,NULL,Water,Water,Water,Water,Grassland,Forest
202,NULL,NULL,Water,Water,Water,Water,Wetland,Grassland
203,NULL,NULL,Water,Water,Water,Water,Wetland,Wetland
204,NULL,NULL,Water,Water,Water,Water,Wetland,Water
205,NULL,NULL,Water,Water,Water,Water,Water,Grassland
206,NULL,NULL,Water,Water,Water,Water,Water,Wetland
207,NULL,NULL,Water,Water,Water,Water,Water,Water
208,NULL,NULL,Water,Water,Water,Water,Water,Forest
209,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
210,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
211,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
212,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Grassland
213,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
214,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
215,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,Grassland
216,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
217,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
218,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Grassland
219,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
220,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
221,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Built-up
222,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
223,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,NULL
224,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
225,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Wetland
226,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
227,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
228,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
229,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Water,Grassland
230,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
231,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
232,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
233,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
234,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
235,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
236,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Wetland
237,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
238,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Bareland,Grassland
239,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,NULL
240,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
241,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
242,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Shrubland,Grassland
243,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
244,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Built-up
245,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
246,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
247,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Built-up
248,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
249,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Grassland
250,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
251,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,Grassland,Grassland
252,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Forest
253,NULL,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Forest
254,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
255,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
256,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
257,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,NULL
258,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
259,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
260,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,Wetland,Grassland
261,NULL,NULL,Forest,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
262,NULL,NULL,Forest,Non_Water,Non_Wetland,Shrubland,Wetland,Wetland
263,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
264,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
265,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
266,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Water,Grassland
267,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Forest,Grassland
268,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
269,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
270,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
271,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
272,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Water,Grassland
273,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland,Wetland,Wetland
274,NULL,NULL,Forest,Non_Water,Non_Wetland,Water,Water,Water
275,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest,Wetland,Grassland
276,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Grassland,Forest
277,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Wetland,Wetland
278,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Grassland,Grassland
279,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Wetland,Grassland
280,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Wetland,Wetland
281,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Wetland,Water
282,NULL,NULL,Forest,Water,Non_Wetland,Forest,Grassland,Grassland
283,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
284,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
285,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
286,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
287,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
288,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
289,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
290,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
291,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
292,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
293,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
294,NULL,Cropland,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
295,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
296,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
297,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
298,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
299,NULL,Cropland,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
300,NULL,Cropland,Wetland,Non_Water,Wetland,Wetland,Wetland,Water
301,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
302,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
303,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
304,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Shrubland,Grassland
305,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
306,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
307,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
308,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
309,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
310,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
311,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
312,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
313,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
314,NULL,Cropland,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
315,NULL,Cropland,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
316,NULL,Cropland,Forest,NULL,Non_Wetland,Forest,Forest,Forest
317,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Forest
318,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
319,NULL,Wetland,Wetland,Non_Water,Wetland,Water,Wetland,Water
320,NULL,Wetland,Wetland,Non_Water,Wetland,Water,Water,Wetland
321,NULL,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Grassland
322,NULL,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Wetland
323,NULL,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Water
324,NULL,Wetland,Water,NULL,Water,Wetland,Water,Forest
325,NULL,Wetland,Water,Non_Water,Water,Wetland,Wetland,Wetland
326,NULL,Wetland,Water,Water,Water,Grassland,Wetland,Wetland
327,NULL,Wetland,Water,Water,Water,Wetland,Wetland,Grassland
328,NULL,Wetland,Water,Water,Water,Wetland,Wetland,Wetland
329,NULL,Wetland,Water,Water,Water,Wetland,Wetland,Water
330,NULL,Wetland,Water,Water,Water,Wetland,Water,Grassland
331,NULL,Wetland,Water,Water,Water,Wetland,Water,Water
332,NULL,Wetland,Water,Water,Water,Water,Wetland,Wetland
333,NULL,Wetland,Water,Water,Water,Water,Wetland,Water
334,NULL,Wetland,Water,Water,Water,Water,Water,Water
335,NULL,Wetland,Water,Water,Water,Water,Water,Forest
336,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,Wetland,Grassland
337,NULL,Wetland,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
338,NULL,Wetland,Forest,Non_Water,Non_Wetland,Grassland,Forest,Grassland
