Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22MCS_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MCS_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MCS_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MCS_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MCS_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MCS_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MCS_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22MCS_M_R
59,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
60,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
61,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
62,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
63,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
64,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
65,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
66,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
67,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
68,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
69,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
70,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
71,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
72,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
73,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
74,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
75,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
76,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
77,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
78,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
79,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
80,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
81,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
82,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
83,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
84,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
85,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
86,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
87,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
88,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
89,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
90,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
91,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
92,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
93,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
94,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
95,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
96,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
97,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
98,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
99,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
100,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
101,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
102,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
103,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,NULL
104,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
105,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
106,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
107,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
108,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
109,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,NULL
110,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
111,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
112,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
113,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
114,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
115,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Forest
116,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,NULL
117,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
118,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
119,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
120,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
121,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Wetland
122,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
123,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Grassland
124,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Forest
125,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,Forest
126,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
127,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
128,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
129,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
130,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Forest
131,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Wetland
132,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Wetland
133,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Grassland
134,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
135,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
136,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Forest
137,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Wetland,NULL
138,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
139,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Bareland,Forest
140,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Forest,Forest
141,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
142,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
143,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Forest
144,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
145,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
146,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
147,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
148,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
149,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
150,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
151,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
152,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
153,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Bareland,Forest
154,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
155,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Shrubland,Forest
156,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
157,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
158,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
159,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Grassland
160,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Forest
161,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
162,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
163,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
164,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
165,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Forest
166,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
167,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Bareland
168,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
169,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
170,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
171,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Bareland,Forest
172,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
173,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
174,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
175,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
176,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Grassland
177,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
178,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Bareland
179,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
180,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
181,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
182,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
183,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,NULL
184,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
185,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
186,NULL,NULL,Wetland,NULL,Wetland,Grassland,Bareland,Forest
187,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Grassland
188,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Forest
189,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Grassland
190,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
191,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
192,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
193,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
194,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
195,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Grassland
196,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Forest
197,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,NULL
198,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Grassland
199,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Forest
200,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Grassland
201,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
202,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Forest
203,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
204,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Bareland
205,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Water
206,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
207,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Grassland
208,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Bareland
209,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
210,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Forest
211,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
212,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
213,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Grassland
214,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Water
215,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Grassland
216,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Wetland
217,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Forest
218,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Grassland
219,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Wetland
220,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Bareland
221,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
222,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Wetland
223,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Bareland
224,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Forest
225,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Grassland
226,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Wetland
227,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Bareland
228,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Water
229,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Forest
230,NULL,NULL,Wetland,Water,Wetland,Bareland,Wetland,Grassland
231,NULL,NULL,Wetland,Water,Wetland,Bareland,Wetland,Bareland
232,NULL,NULL,Wetland,Water,Wetland,Bareland,Wetland,Forest
233,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Grassland
234,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Forest
235,NULL,NULL,Wetland,Water,Wetland,Water,Water,Grassland
236,NULL,NULL,Wetland,Water,Wetland,Water,Water,Wetland
237,NULL,NULL,Wetland,Water,Wetland,Water,Water,Water
238,NULL,NULL,Wetland,Water,Wetland,Water,Water,Forest
239,NULL,NULL,Wetland,Water,Wetland,Water,Forest,Grassland
240,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
241,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
242,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
243,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Forest
244,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
245,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Bareland
246,NULL,NULL,Water,NULL,Water,Grassland,Grassland,Grassland
247,NULL,NULL,Water,NULL,Water,Grassland,Grassland,Forest
248,NULL,NULL,Water,NULL,Water,Grassland,Wetland,Grassland
249,NULL,NULL,Water,NULL,Water,Grassland,Bareland,Forest
250,NULL,NULL,Water,NULL,Water,Wetland,Wetland,Wetland
251,NULL,NULL,Water,NULL,Water,Bareland,Wetland,Forest
252,NULL,NULL,Water,NULL,Water,Bareland,Water,Grassland
253,NULL,NULL,Water,NULL,Water,Bareland,Water,Water
254,NULL,NULL,Water,NULL,Water,Water,Grassland,Forest
255,NULL,NULL,Water,Water,Water,Bareland,Water,Water
256,NULL,NULL,Water,Water,Water,Water,Wetland,Wetland
257,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
258,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Shrubland,NULL
259,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
260,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Forest
261,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,NULL
262,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,Grassland
263,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,Forest
264,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Wetland,NULL
265,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Wetland,Grassland
266,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Wetland,Forest
267,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Bareland,NULL
268,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Bareland,Grassland
269,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Bareland,Forest
270,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Forest,NULL
271,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Forest,Grassland
272,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Forest,Forest
273,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
274,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,NULL
275,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Grassland
276,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Forest
277,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
278,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
279,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
280,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,NULL
281,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
282,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Wetland
283,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
284,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,NULL
285,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
286,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
287,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Water,Forest
288,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,NULL
289,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
290,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Wetland
291,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
292,NULL,NULL,Forest,NULL,Non_Wetland,Cropland,Bareland,Grassland
293,NULL,NULL,Forest,NULL,Non_Wetland,Cropland,Bareland,Forest
294,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Shrubland,NULL
295,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Shrubland,Grassland
296,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Shrubland,Forest
297,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,NULL
298,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
299,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
300,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
301,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
302,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Wetland
303,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
304,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Bareland,Grassland
305,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Bareland,Forest
306,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,NULL
307,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
308,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Wetland
309,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
310,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Shrubland,Grassland
311,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Shrubland,Forest
312,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,NULL
313,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
314,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
315,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Grassland
316,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
317,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,NULL
318,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
319,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
320,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,NULL
321,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Grassland
322,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
323,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Grassland
324,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Forest
325,NULL,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Grassland
326,NULL,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Wetland
327,NULL,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Forest
328,NULL,NULL,Forest,NULL,Non_Wetland,Water,Bareland,Grassland
329,NULL,NULL,Forest,NULL,Non_Wetland,Water,Bareland,Forest
330,NULL,NULL,Forest,NULL,Non_Wetland,Water,Forest,Grassland
331,NULL,NULL,Forest,NULL,Non_Wetland,Water,Forest,Forest
332,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Shrubland,Forest
