Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22KCG_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KCG_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KCG_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KCG_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KCG_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KCG_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KCG_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22KCG_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Water
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Water
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Water
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
50,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
51,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
52,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
53,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
54,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Water
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
78,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
79,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
80,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
81,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,NULL
82,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
83,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Cropland
84,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Forest
85,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
86,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
87,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
88,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
89,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
90,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
91,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
92,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
93,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
94,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
95,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
96,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
97,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
98,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
99,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
100,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
101,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
102,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
103,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
104,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
105,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
106,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
107,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
108,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
109,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Water
110,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
111,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
112,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
113,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
114,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
115,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
116,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
117,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
118,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Bareland
119,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
121,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
123,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Water
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,NULL
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Built-up
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Water
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
135,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
136,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
137,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Bareland
138,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Water
139,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
140,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Water
141,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
142,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
143,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
144,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
145,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
146,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
147,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
148,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
149,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
150,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
151,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
152,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
153,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Forest
154,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
155,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
156,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
157,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
158,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Grassland
159,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Bareland
160,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Water
161,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Forest
162,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Grassland
163,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,NULL
164,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Grassland
165,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,NULL
166,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
167,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Shrubland,Grassland
168,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
169,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
170,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
171,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
172,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
173,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
174,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
175,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
176,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
177,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
178,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
179,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
180,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
181,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
182,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
183,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
184,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
185,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
186,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
187,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
188,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
189,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
190,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Cropland
191,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
192,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
193,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
194,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
195,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,NULL
196,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
197,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Water
198,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Forest
199,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
200,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
201,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
202,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
203,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
204,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
205,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Built-up
206,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
207,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
208,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
209,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
210,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
211,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
212,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Water
213,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
214,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
215,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
216,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
217,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
218,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
219,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Water
220,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
221,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
222,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
223,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
224,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
225,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
226,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Built-up
227,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
228,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,NULL
229,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Grassland
230,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Wetland
231,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Water
232,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Forest
233,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
234,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
235,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
236,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
237,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
238,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
239,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
240,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
241,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Water
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Bareland
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Cropland
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,NULL
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,NULL
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Water
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,NULL
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Cropland
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Forest
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,NULL
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,NULL
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Forest
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Wetland
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Water
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Wetland
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Cropland
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Wetland
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Water
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,NULL
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Cropland
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Wetland
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Bareland
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Built-up
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Water
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
