Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19MHP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MHP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MHP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MHP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MHP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MHP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MHP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19MHP_M_R
165,Water,Water,Grassland,NULL,Non_Wetland,Water,Forest,Forest
166,Water,Water,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Water
167,Water,Water,Grassland,Non_Water,Non_Wetland,Wetland,Water,Water
168,Water,Water,Grassland,Non_Water,Non_Wetland,Water,Wetland,Water
169,Water,Water,Grassland,Non_Water,Non_Wetland,Water,Wetland,Forest
170,Water,Water,Grassland,Non_Water,Non_Wetland,Water,Water,Water
171,Water,Water,Grassland,Non_Water,Non_Wetland,Water,Water,Forest
172,Water,Water,Grassland,Water,Non_Wetland,Water,Wetland,Water
173,Water,Water,Grassland,Water,Non_Wetland,Water,Water,Water
174,Water,Water,Grassland,Water,Non_Wetland,Water,Water,Forest
175,Water,Water,Cropland,Water,Non_Wetland,Water,Water,Water
176,Water,Water,Wetland,NULL,Wetland,NULL,Wetland,Water
177,Water,Water,Wetland,NULL,Wetland,NULL,Wetland,Forest
178,Water,Water,Wetland,NULL,Wetland,NULL,Water,Water
179,Water,Water,Wetland,NULL,Wetland,NULL,Water,Forest
180,Water,Water,Wetland,NULL,Wetland,Wetland,Wetland,Water
181,Water,Water,Wetland,NULL,Wetland,Wetland,Wetland,Forest
182,Water,Water,Wetland,NULL,Wetland,Wetland,Water,Water
183,Water,Water,Wetland,NULL,Wetland,Wetland,Water,Forest
184,Water,Water,Wetland,NULL,Wetland,Wetland,Forest,Forest
185,Water,Water,Wetland,NULL,Wetland,Water,Wetland,Grassland
186,Water,Water,Wetland,NULL,Wetland,Water,Wetland,Water
187,Water,Water,Wetland,NULL,Wetland,Water,Wetland,Forest
188,Water,Water,Wetland,NULL,Wetland,Water,Water,Grassland
189,Water,Water,Wetland,NULL,Wetland,Water,Water,Water
190,Water,Water,Wetland,NULL,Wetland,Water,Water,Forest
191,Water,Water,Wetland,NULL,Wetland,Water,Forest,Water
192,Water,Water,Wetland,NULL,Wetland,Water,Forest,Forest
193,Water,Water,Wetland,NULL,Wetland,Forest,Wetland,Forest
194,Water,Water,Wetland,NULL,Wetland,Forest,Water,Water
195,Water,Water,Wetland,NULL,Wetland,Forest,Water,Forest
196,Water,Water,Wetland,NULL,Wetland,Forest,Forest,Forest
197,Water,Water,Wetland,Non_Water,Wetland,NULL,Wetland,Water
198,Water,Water,Wetland,Non_Water,Wetland,NULL,Wetland,Forest
199,Water,Water,Wetland,Non_Water,Wetland,NULL,Water,Water
200,Water,Water,Wetland,Non_Water,Wetland,NULL,Water,Forest
201,Water,Water,Wetland,Non_Water,Wetland,Grassland,Water,Water
202,Water,Water,Wetland,Non_Water,Wetland,Grassland,Water,Forest
203,Water,Water,Wetland,Non_Water,Wetland,Wetland,Wetland,Water
204,Water,Water,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
205,Water,Water,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
206,Water,Water,Wetland,Non_Water,Wetland,Wetland,Water,Water
207,Water,Water,Wetland,Non_Water,Wetland,Wetland,Water,Forest
208,Water,Water,Wetland,Non_Water,Wetland,Bareland,Water,Grassland
209,Water,Water,Wetland,Non_Water,Wetland,Bareland,Water,Water
210,Water,Water,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
211,Water,Water,Wetland,Non_Water,Wetland,Water,Wetland,Water
212,Water,Water,Wetland,Non_Water,Wetland,Water,Wetland,Forest
213,Water,Water,Wetland,Non_Water,Wetland,Water,Water,Grassland
214,Water,Water,Wetland,Non_Water,Wetland,Water,Water,Wetland
215,Water,Water,Wetland,Non_Water,Wetland,Water,Water,Bareland
216,Water,Water,Wetland,Non_Water,Wetland,Water,Water,Water
217,Water,Water,Wetland,Non_Water,Wetland,Water,Water,Forest
218,Water,Water,Wetland,Non_Water,Wetland,Water,Forest,Water
219,Water,Water,Wetland,Non_Water,Wetland,Forest,Water,Forest
220,Water,Water,Wetland,Water,Wetland,NULL,Wetland,Water
221,Water,Water,Wetland,Water,Wetland,NULL,Water,Water
222,Water,Water,Wetland,Water,Wetland,NULL,Water,Forest
223,Water,Water,Wetland,Water,Wetland,Wetland,Wetland,Water
224,Water,Water,Wetland,Water,Wetland,Wetland,Wetland,Forest
225,Water,Water,Wetland,Water,Wetland,Wetland,Water,Grassland
226,Water,Water,Wetland,Water,Wetland,Wetland,Water,Water
227,Water,Water,Wetland,Water,Wetland,Wetland,Water,Forest
228,Water,Water,Wetland,Water,Wetland,Wetland,Forest,Water
229,Water,Water,Wetland,Water,Wetland,Bareland,Water,Bareland
230,Water,Water,Wetland,Water,Wetland,Bareland,Water,Water
231,Water,Water,Wetland,Water,Wetland,Water,Wetland,Grassland
232,Water,Water,Wetland,Water,Wetland,Water,Wetland,Bareland
233,Water,Water,Wetland,Water,Wetland,Water,Wetland,Water
234,Water,Water,Wetland,Water,Wetland,Water,Wetland,Forest
235,Water,Water,Wetland,Water,Wetland,Water,Water,Grassland
236,Water,Water,Wetland,Water,Wetland,Water,Water,Wetland
237,Water,Water,Wetland,Water,Wetland,Water,Water,Bareland
238,Water,Water,Wetland,Water,Wetland,Water,Water,Water
239,Water,Water,Wetland,Water,Wetland,Water,Water,Forest
240,Water,Water,Wetland,Water,Wetland,Water,Forest,Water
241,Water,Water,Wetland,Water,Wetland,Forest,Water,Water
242,Water,Water,Bareland,NULL,Non_Wetland,Grassland,Water,Forest
243,Water,Water,Bareland,NULL,Non_Wetland,Water,Wetland,Water
244,Water,Water,Bareland,NULL,Non_Wetland,Water,Wetland,Forest
245,Water,Water,Bareland,NULL,Non_Wetland,Water,Water,Water
246,Water,Water,Bareland,NULL,Non_Wetland,Water,Water,Forest
247,Water,Water,Bareland,NULL,Non_Wetland,Water,Forest,Water
248,Water,Water,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Water
249,Water,Water,Bareland,Non_Water,Non_Wetland,Wetland,Water,Water
250,Water,Water,Bareland,Non_Water,Non_Wetland,Water,Wetland,Water
251,Water,Water,Bareland,Non_Water,Non_Wetland,Water,Wetland,Forest
252,Water,Water,Bareland,Non_Water,Non_Wetland,Water,Water,Grassland
253,Water,Water,Bareland,Non_Water,Non_Wetland,Water,Water,Water
254,Water,Water,Bareland,Non_Water,Non_Wetland,Water,Water,Forest
255,Water,Water,Bareland,Non_Water,Non_Wetland,Water,Forest,Water
256,Water,Water,Bareland,Water,Non_Wetland,Wetland,Water,Water
257,Water,Water,Bareland,Water,Non_Wetland,Wetland,Water,Forest
258,Water,Water,Bareland,Water,Non_Wetland,Water,Wetland,Grassland
259,Water,Water,Bareland,Water,Non_Wetland,Water,Wetland,Water
260,Water,Water,Bareland,Water,Non_Wetland,Water,Wetland,Forest
261,Water,Water,Bareland,Water,Non_Wetland,Water,Water,Grassland
262,Water,Water,Bareland,Water,Non_Wetland,Water,Water,Water
263,Water,Water,Bareland,Water,Non_Wetland,Water,Water,Forest
264,Water,Water,Built-up,NULL,Non_Wetland,Wetland,Wetland,Forest
265,Water,Water,Built-up,NULL,Non_Wetland,Water,Forest,Grassland
266,Water,Water,Water,NULL,Water,NULL,Wetland,Water
267,Water,Water,Water,NULL,Water,NULL,Wetland,Forest
268,Water,Water,Water,NULL,Water,NULL,Water,Water
269,Water,Water,Water,NULL,Water,NULL,Water,Forest
270,Water,Water,Water,NULL,Water,Wetland,Wetland,Water
271,Water,Water,Water,NULL,Water,Wetland,Wetland,Forest
272,Water,Water,Water,NULL,Water,Wetland,Water,Water
273,Water,Water,Water,NULL,Water,Wetland,Water,Forest
274,Water,Water,Water,NULL,Water,Water,Wetland,Water
275,Water,Water,Water,NULL,Water,Water,Wetland,Forest
276,Water,Water,Water,NULL,Water,Water,Water,Wetland
277,Water,Water,Water,NULL,Water,Water,Water,Water
278,Water,Water,Water,NULL,Water,Water,Water,Forest
279,Water,Water,Water,NULL,Water,Water,Forest,Wetland
280,Water,Water,Water,NULL,Water,Water,Forest,Water
281,Water,Water,Water,NULL,Water,Water,Forest,Forest
282,Water,Water,Water,NULL,Water,Forest,Water,Forest
283,Water,Water,Water,Non_Water,Water,NULL,Wetland,Water
284,Water,Water,Water,Non_Water,Water,NULL,Wetland,Forest
285,Water,Water,Water,Non_Water,Water,NULL,Water,Water
286,Water,Water,Water,Non_Water,Water,NULL,Water,Forest
287,Water,Water,Water,Non_Water,Water,Wetland,Wetland,Water
288,Water,Water,Water,Non_Water,Water,Wetland,Wetland,Forest
289,Water,Water,Water,Non_Water,Water,Wetland,Water,Grassland
290,Water,Water,Water,Non_Water,Water,Wetland,Water,Water
291,Water,Water,Water,Non_Water,Water,Wetland,Water,Forest
292,Water,Water,Water,Non_Water,Water,Water,Wetland,Grassland
293,Water,Water,Water,Non_Water,Water,Water,Wetland,Water
294,Water,Water,Water,Non_Water,Water,Water,Wetland,Forest
295,Water,Water,Water,Non_Water,Water,Water,Water,Grassland
296,Water,Water,Water,Non_Water,Water,Water,Water,Wetland
297,Water,Water,Water,Non_Water,Water,Water,Water,Water
298,Water,Water,Water,Non_Water,Water,Water,Water,Forest
299,Water,Water,Water,Non_Water,Water,Water,Forest,Water
300,Water,Water,Water,Water,Water,NULL,Wetland,Water
301,Water,Water,Water,Water,Water,NULL,Wetland,Forest
302,Water,Water,Water,Water,Water,NULL,Water,Water
303,Water,Water,Water,Water,Water,Wetland,Wetland,Grassland
304,Water,Water,Water,Water,Water,Wetland,Wetland,Water
305,Water,Water,Water,Water,Water,Wetland,Wetland,Forest
306,Water,Water,Water,Water,Water,Wetland,Water,Grassland
307,Water,Water,Water,Water,Water,Wetland,Water,Water
308,Water,Water,Water,Water,Water,Wetland,Water,Forest
309,Water,Water,Water,Water,Water,Water,Wetland,Grassland
310,Water,Water,Water,Water,Water,Water,Wetland,Water
311,Water,Water,Water,Water,Water,Water,Wetland,Forest
312,Water,Water,Water,Water,Water,Water,Water,Grassland
313,Water,Water,Water,Water,Water,Water,Water,Wetland
314,Water,Water,Water,Water,Water,Water,Water,Water
315,Water,Water,Water,Water,Water,Water,Water,Forest
316,Water,Water,Water,Water,Water,Water,Forest,Water
317,Water,Water,Water,Water,Water,Water,Forest,Forest
318,Water,Water,Water,Water,Water,Forest,Water,Forest
319,Water,Water,Forest,NULL,Non_Wetland,NULL,Wetland,Water
320,Water,Water,Forest,NULL,Non_Wetland,NULL,Water,Water
321,Water,Water,Forest,NULL,Non_Wetland,NULL,Water,Forest
322,Water,Water,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
323,Water,Water,Forest,NULL,Non_Wetland,Wetland,Wetland,Water
324,Water,Water,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
325,Water,Water,Forest,NULL,Non_Wetland,Wetland,Water,Grassland
326,Water,Water,Forest,NULL,Non_Wetland,Wetland,Water,Water
327,Water,Water,Forest,NULL,Non_Wetland,Wetland,Water,Forest
328,Water,Water,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
329,Water,Water,Forest,NULL,Non_Wetland,Water,Wetland,Water
330,Water,Water,Forest,NULL,Non_Wetland,Water,Wetland,Forest
331,Water,Water,Forest,NULL,Non_Wetland,Water,Water,Water
332,Water,Water,Forest,NULL,Non_Wetland,Water,Water,Forest
333,Water,Water,Forest,NULL,Non_Wetland,Water,Forest,Water
334,Water,Water,Forest,NULL,Non_Wetland,Water,Forest,Forest
335,Water,Water,Forest,NULL,Non_Wetland,Forest,Wetland,Water
336,Water,Water,Forest,Non_Water,Non_Wetland,NULL,Water,Water
337,Water,Water,Forest,Non_Water,Non_Wetland,NULL,Water,Forest
338,Water,Water,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Water
339,Water,Water,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Forest
340,Water,Water,Forest,Non_Water,Non_Wetland,Wetland,Water,Water
341,Water,Water,Forest,Non_Water,Non_Wetland,Wetland,Water,Forest
342,Water,Water,Forest,Non_Water,Non_Wetland,Water,Wetland,Water
343,Water,Water,Forest,Non_Water,Non_Wetland,Water,Wetland,Forest
344,Water,Water,Forest,Non_Water,Non_Wetland,Water,Water,Water
345,Water,Water,Forest,Non_Water,Non_Wetland,Water,Water,Forest
346,Water,Water,Forest,Non_Water,Non_Wetland,Water,Forest,Water
347,Water,Water,Forest,Non_Water,Non_Wetland,Forest,Wetland,Forest
348,Water,Water,Forest,Water,Non_Wetland,NULL,Wetland,Water
349,Water,Water,Forest,Water,Non_Wetland,NULL,Water,Water
350,Water,Water,Forest,Water,Non_Wetland,NULL,Water,Forest
351,Water,Water,Forest,Water,Non_Wetland,Wetland,Wetland,Water
352,Water,Water,Forest,Water,Non_Wetland,Wetland,Water,Water
353,Water,Water,Forest,Water,Non_Wetland,Wetland,Water,Forest
354,Water,Water,Forest,Water,Non_Wetland,Water,Wetland,Water
355,Water,Water,Forest,Water,Non_Wetland,Water,Wetland,Forest
356,Water,Water,Forest,Water,Non_Wetland,Water,Water,Grassland
357,Water,Water,Forest,Water,Non_Wetland,Water,Water,Water
358,Water,Water,Forest,Water,Non_Wetland,Water,Water,Forest
359,Water,Water,Forest,Water,Non_Wetland,Water,Forest,Water
360,Water,Forest,Grassland,NULL,Non_Wetland,Water,Water,Forest
361,Water,Forest,Wetland,NULL,Wetland,Water,Wetland,Grassland
362,Water,Forest,Wetland,NULL,Wetland,Water,Wetland,Water
363,Water,Forest,Wetland,NULL,Wetland,Water,Water,Forest
364,Water,Forest,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
365,Water,Forest,Wetland,Non_Water,Wetland,Wetland,Water,Forest
366,Water,Forest,Wetland,Non_Water,Wetland,Water,Water,Grassland
367,Water,Forest,Wetland,Water,Wetland,Water,Water,Water
368,Water,Forest,Bareland,Water,Non_Wetland,Wetland,Water,Grassland
369,Water,Forest,Forest,NULL,Non_Wetland,Water,Wetland,Forest
370,Forest,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
371,Forest,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
372,Forest,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
373,Forest,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
374,Forest,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
375,Forest,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
376,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
377,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
378,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
379,Forest,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
