Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20KQD_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KQD_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KQD_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KQD_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KQD_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20KQD_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20KQD_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20KQD_M_R
335,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
336,Grassland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
337,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,NULL
338,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
339,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
340,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
341,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
342,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
343,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
344,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
345,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
346,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
347,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
348,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
349,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
350,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
351,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
352,Grassland,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
353,Grassland,Forest,Forest,Water,Non_Wetland,NULL,NULL,NULL
354,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
355,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
356,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
357,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
358,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
359,Cropland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
360,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
361,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
362,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
363,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
364,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
365,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
366,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
367,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
368,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
369,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
370,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
371,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
372,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
373,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
374,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
375,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
376,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
377,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
378,Cropland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,NULL
379,Cropland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Cropland
380,Cropland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
381,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
382,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
383,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
384,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
385,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
386,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Water
387,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
388,Cropland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,NULL
389,Cropland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
390,Cropland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Water
391,Cropland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Cropland
392,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
393,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
394,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
395,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
396,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
397,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
398,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
399,Cropland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
400,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
401,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
402,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
403,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
404,Cropland,NULL,Water,NULL,Water,NULL,NULL,NULL
405,Cropland,NULL,Water,NULL,Water,NULL,NULL,Forest
406,Cropland,NULL,Water,Water,Water,NULL,NULL,Water
407,Cropland,NULL,Water,Water,Water,NULL,NULL,Forest
408,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
409,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
410,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
411,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
412,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
413,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
414,Cropland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
415,Cropland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
416,Cropland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
417,Cropland,NULL,Forest,Water,Non_Wetland,NULL,NULL,NULL
418,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
419,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
420,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
421,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
422,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
423,Cropland,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
424,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
425,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
426,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
427,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
428,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
429,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
430,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
431,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
432,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
433,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
434,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
435,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Water
436,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
437,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
438,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
439,Cropland,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
440,Cropland,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
441,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
442,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
443,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
444,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
445,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
446,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
447,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
448,Cropland,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Bareland
449,Cropland,Cropland,Wetland,Water,Wetland,NULL,NULL,Grassland
450,Cropland,Cropland,Wetland,Water,Wetland,NULL,NULL,Water
451,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
452,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
453,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
454,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
455,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
456,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
457,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
458,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
459,Cropland,Cropland,Water,NULL,Water,NULL,NULL,NULL
460,Cropland,Cropland,Water,NULL,Water,NULL,NULL,Cropland
461,Cropland,Cropland,Water,Water,Water,NULL,NULL,Grassland
462,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
463,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
464,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
465,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
466,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
467,Cropland,Cropland,Forest,Water,Non_Wetland,NULL,NULL,NULL
468,Cropland,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
469,Cropland,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Bareland
470,Cropland,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,NULL
471,Cropland,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
472,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
473,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
474,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
475,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
476,Cropland,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
477,Cropland,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
478,Cropland,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
479,Cropland,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
480,Cropland,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
481,Cropland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
482,Cropland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
483,Cropland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,NULL
484,Cropland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
485,Cropland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
486,Cropland,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
487,Cropland,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
488,Cropland,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
489,Cropland,Water,Forest,NULL,Non_Wetland,NULL,NULL,NULL
490,Cropland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,NULL
491,Cropland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
492,Cropland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
493,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
494,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
495,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
496,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
497,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
498,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
499,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
500,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
501,Cropland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
502,Cropland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
503,Cropland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
504,Cropland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
505,Cropland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
506,Cropland,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
507,Cropland,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
508,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
509,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
510,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
511,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
512,Wetland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
513,Wetland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
514,Wetland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
515,Wetland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
516,Wetland,NULL,NULL,Water,Non_Wetland,NULL,NULL,NULL
517,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
518,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
519,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
520,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
521,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
522,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
523,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
524,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
525,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
526,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
527,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
528,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
529,Wetland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
530,Wetland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
531,Wetland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
532,Wetland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
533,Wetland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
534,Wetland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Cropland
535,Wetland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
536,Wetland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
537,Wetland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
538,Wetland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
539,Wetland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Water
540,Wetland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
541,Wetland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,NULL
542,Wetland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
543,Wetland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
544,Wetland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
545,Wetland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,NULL
546,Wetland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Cropland
547,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
548,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
549,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Cropland
550,Wetland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
551,Wetland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
552,Wetland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
553,Wetland,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
554,Wetland,NULL,Water,Non_Water,Water,NULL,NULL,Cropland
555,Wetland,NULL,Water,Water,Water,NULL,NULL,Grassland
556,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
557,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
558,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
559,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
560,Wetland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
561,Wetland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
562,Wetland,NULL,Forest,Water,Non_Wetland,NULL,NULL,NULL
563,Wetland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
564,Wetland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
565,Wetland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
566,Wetland,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
567,Wetland,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
568,Wetland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
569,Wetland,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
570,Wetland,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
571,Wetland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
572,Wetland,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
573,Wetland,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
574,Wetland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
575,Wetland,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
576,Wetland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
577,Wetland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
578,Wetland,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
579,Wetland,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
580,Wetland,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
581,Wetland,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
582,Wetland,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
583,Wetland,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
584,Wetland,Wetland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
585,Wetland,Wetland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
586,Wetland,Wetland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
587,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
588,Wetland,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
589,Wetland,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
590,Wetland,Water,Water,NULL,Water,NULL,NULL,NULL
591,Wetland,Water,Forest,NULL,Non_Wetland,NULL,NULL,NULL
592,Wetland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
593,Wetland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
594,Wetland,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
595,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
596,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
597,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
598,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
599,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
600,Bareland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
601,Bareland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
602,Bareland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
603,Bareland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Bareland
604,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
605,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
606,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
607,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
608,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
609,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
610,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
611,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
612,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
613,Bareland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
614,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
615,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
616,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
617,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
618,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
619,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
620,Bareland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
621,Bareland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
622,Bareland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
623,Bareland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
624,Bareland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
625,Bareland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
626,Bareland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,NULL
627,Bareland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
628,Bareland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Cropland
629,Bareland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
630,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
631,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
632,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
633,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
634,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
635,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
636,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
637,Bareland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
638,Bareland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
639,Bareland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Water
640,Bareland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
641,Bareland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Cropland
642,Bareland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Wetland
643,Bareland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Water
644,Bareland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
645,Bareland,NULL,Wetland,NULL,Wetland,NULL,NULL,Cropland
646,Bareland,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
647,Bareland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
648,Bareland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
649,Bareland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
650,Bareland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
651,Bareland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
652,Bareland,NULL,Wetland,Water,Wetland,NULL,NULL,Cropland
653,Bareland,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
654,Bareland,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
655,Bareland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
656,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
657,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
658,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
659,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
660,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
661,Bareland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,NULL
662,Bareland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
663,Bareland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
664,Bareland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
665,Bareland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
666,Bareland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
667,Bareland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
668,Bareland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
669,Bareland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Forest
670,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
671,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
