Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21NYB_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NYB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NYB_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NYB_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NYB_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NYB_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NYB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21NYB_M_R
194,NULL,Forest,Wetland,NULL,Wetland,Water,Wetland,Forest
195,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
196,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Forest,Forest
197,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Wetland,Grassland
198,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
199,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
200,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
201,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
202,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Shrubland,NULL
203,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Shrubland,Grassland
204,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Shrubland,Forest
205,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
206,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
207,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
208,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Water,Forest
209,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
210,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
211,NULL,Forest,Forest,NULL,Non_Wetland,Water,Wetland,Forest
212,NULL,Forest,Forest,NULL,Non_Wetland,Water,Forest,Forest
213,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
214,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
215,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL,Wetland,Forest
216,NULL,Forest,Forest,Non_Water,Non_Wetland,Grassland,Shrubland,Forest
217,NULL,Forest,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Forest
218,NULL,Forest,Forest,Water,Non_Wetland,NULL,Wetland,Forest
219,NULL,Forest,Forest,Water,Non_Wetland,Grassland,Wetland,Forest
220,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
221,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
222,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
223,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
224,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
225,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
226,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
227,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
228,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
229,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
230,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
231,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
232,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
233,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
234,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Wetland
235,Grassland,NULL,Wetland,NULL,Wetland,Shrubland,Wetland,Grassland
236,Grassland,NULL,Wetland,NULL,Wetland,Shrubland,Wetland,Forest
237,Grassland,NULL,Wetland,NULL,Wetland,Shrubland,Forest,Forest
238,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
239,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
240,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
241,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Wetland,Grassland
242,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Wetland,Forest
243,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Forest,Forest
244,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Shrubland,Grassland
245,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
246,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
247,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
248,Grassland,Water,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
249,Grassland,Water,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
250,Grassland,Water,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
251,Grassland,Water,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
252,Grassland,Water,Wetland,NULL,Wetland,Wetland,Wetland,Forest
253,Grassland,Forest,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
254,Grassland,Forest,Wetland,NULL,Wetland,Shrubland,Wetland,Grassland
255,Grassland,Forest,Wetland,NULL,Wetland,Shrubland,Wetland,Forest
256,Grassland,Forest,Wetland,NULL,Wetland,Shrubland,Forest,Forest
257,Grassland,Forest,Forest,NULL,Non_Wetland,Shrubland,Wetland,Grassland
258,Grassland,Forest,Forest,NULL,Non_Wetland,Shrubland,Wetland,Forest
259,Grassland,Forest,Forest,NULL,Non_Wetland,Shrubland,Forest,Forest
260,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
261,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
262,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
263,Grassland,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
264,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
265,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
266,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
267,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
268,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
269,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
270,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
271,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
272,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
273,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
274,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
275,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
276,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
277,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
278,Cropland,NULL,Wetland,NULL,Wetland,NULL,Forest,Forest
279,Cropland,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
280,Cropland,NULL,Wetland,NULL,Wetland,Water,Water,Forest
281,Cropland,NULL,Wetland,NULL,Wetland,Forest,Wetland,Forest
282,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
283,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
284,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
285,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
286,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
287,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
288,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
289,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
290,Cropland,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Forest
291,Cropland,NULL,Forest,NULL,Non_Wetland,Water,Water,Forest
292,Cropland,NULL,Forest,NULL,Non_Wetland,Water,Forest,Forest
293,Cropland,Water,NULL,NULL,Non_Wetland,Water,Wetland,Forest
294,Cropland,Water,NULL,NULL,Non_Wetland,Water,Water,Forest
295,Cropland,Water,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
296,Cropland,Water,Shrubland,NULL,Non_Wetland,Water,Forest,Forest
297,Cropland,Water,Wetland,NULL,Wetland,NULL,Wetland,Forest
298,Cropland,Water,Wetland,NULL,Wetland,NULL,Water,Forest
299,Cropland,Water,Wetland,NULL,Wetland,NULL,Forest,Forest
300,Cropland,Water,Wetland,NULL,Wetland,Wetland,Wetland,Forest
301,Cropland,Water,Wetland,NULL,Wetland,Water,Wetland,Bareland
302,Cropland,Water,Wetland,NULL,Wetland,Water,Wetland,Water
303,Cropland,Water,Wetland,NULL,Wetland,Water,Wetland,Forest
304,Cropland,Water,Wetland,NULL,Wetland,Water,Water,Water
305,Cropland,Water,Wetland,NULL,Wetland,Water,Water,Forest
306,Cropland,Water,Wetland,NULL,Wetland,Water,Forest,Water
307,Cropland,Water,Wetland,NULL,Wetland,Water,Forest,Forest
308,Cropland,Water,Wetland,Non_Water,Wetland,Water,Wetland,Bareland
309,Cropland,Water,Wetland,Non_Water,Wetland,Water,Wetland,Water
310,Cropland,Water,Wetland,Non_Water,Wetland,Water,Wetland,Forest
311,Cropland,Water,Water,NULL,Water,Wetland,Wetland,Forest
312,Cropland,Water,Water,NULL,Water,Water,Water,Water
313,Cropland,Water,Water,Non_Water,Water,Water,Water,Forest
314,Cropland,Water,Water,Water,Water,Water,Wetland,Forest
315,Cropland,Water,Water,Water,Water,Water,Water,Water
316,Cropland,Water,Water,Water,Water,Water,Water,Forest
317,Cropland,Water,Water,Water,Water,Water,Forest,Water
318,Cropland,Water,Forest,NULL,Non_Wetland,NULL,Wetland,Water
319,Cropland,Water,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
320,Cropland,Water,Forest,NULL,Non_Wetland,NULL,Forest,Forest
321,Cropland,Water,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
322,Cropland,Water,Forest,NULL,Non_Wetland,Water,Wetland,Bareland
323,Cropland,Water,Forest,NULL,Non_Wetland,Water,Wetland,Water
324,Cropland,Water,Forest,NULL,Non_Wetland,Water,Wetland,Forest
325,Cropland,Water,Forest,NULL,Non_Wetland,Water,Water,Water
326,Cropland,Water,Forest,NULL,Non_Wetland,Water,Water,Forest
327,Cropland,Water,Forest,NULL,Non_Wetland,Water,Forest,Bareland
328,Cropland,Water,Forest,NULL,Non_Wetland,Water,Forest,Water
329,Cropland,Water,Forest,NULL,Non_Wetland,Water,Forest,Forest
330,Cropland,Water,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
331,Cropland,Water,Forest,NULL,Non_Wetland,Forest,Forest,Forest
332,Cropland,Water,Forest,Non_Water,Non_Wetland,Water,Wetland,Forest
333,Cropland,Water,Forest,Non_Water,Non_Wetland,Water,Water,Forest
334,Cropland,Forest,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
